Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,6 March 2006,bkoganbing,9, The Goal Is Always Justice,"In a recent biography of Billy Wilder, Agatha Christie is quoted as saying that this was the best adaption of her work ever done on the screen. I can't praise Witness for the Prosecution any higher than that.",/
1,16 July 2006,planktonrules,10, Dynamite courtroom drama,"This is one of the absolute best courtroom movies ever made, along with ANATOMY OF A MURDER and THE VERDICT. All deserve a score of 10 and each is great in it own way.",r
2,8 November 2005,ccthemovieman-1,9, EntertainingTrial Movie That Still Holds Up,"This is one of the best ""trial movies"" ever made. It's an outstanding film that is just as good today as it was almost 50 years ago when it was released in the theaters. The shocking ending caused quite a stir back then, too.",e
3,3 February 2005,The_Void,8, Another triumph for cinematic genius Billy Wilder!,"Billy Wilder is a director with an understanding of cinema that is almost unmatched throughout the medium's entire history - that's why his films are always so good. Witness for the Prosecution is yet another highlight in the great director's history, and it proves that courtroom dramas can be both riveting and a great opportunity for some first rate comedy. Wilder's film features one of the most well paced plots I've ever seen in a film, and it's a plot that includes some very finely tuned twists. Towards the end, Wilder bombards us with twist after twist, each one both making sense and topping the one before it. In a time when people are impressed by films such as 'The Sixth Sense', Billy Wilder still shows us how to skilfully attribute a twist into a film's plot. The plot itself follows the story of Sir Wilfrid Robarts; an ace defence lawyer that has been told that his health won't allow him to tackle anything more than mundane cases, but is brought back into the fray when a case involving the murder of an elderly woman comes into his hands. Wilfrid must now juggle the case and his health as he attempts to keep the young man from being sent down.",v
4,10 March 2006,Hitchcoc,9, This had me to the bitter end!,"I love it when a movie captivates me, carries me along, then surprises me at the end. This is a masterpiece of human maneuvering. It has outstanding acting and a plot to die for. This is a fairly pedestrian Agatha Christie short story. I'm not saying it's not a wonderful story, just that it doesn't come to life like it does on the screen. Charles Laughton is the wonder barrister who is taking the case, even though he is in poor health. The murder case seems a relatively simple one until we begin to trip over the many layers left lying on the path. Marlene Dietrich does a masterful job in all her roles (I won't say anymore than that so I don't spoil the ending). Tyrone Power is able to balance his pathos and his potential guilt. The beauty of the movie is that it never takes itself too seriously. There are some modestly funny subplots and a great deal of careful investigation. I guarantee you that once you start watching, you won't be able to turn it off.",i
5,27 October 2017,Coventry,9, The Mother of all Courtroom dramas/thrillers.,"Yours truly has never been much of a reader, though with one notable exception: the work of Agatha Christie. I absolutely, positively worship this brilliant woman and try to read as many of her novels, short stories and stage play adaptations as possible. ""Witness for the Prosecution"" is a genuine classic, and although somewhat atypical for Christie, it is undeniably one of the greatest stories ever penned down. There's one major disadvantage about having read all of Christie's whodunits, of course, namely that you can't experience the same astounding twist-in-the-end twice! I would really have loved to be overwhelmed by the climax of this film- version, especially because Marlene Dietrich and Tyrone Power give away such fabulous performances. The story, with its fascinating characters and dazzling plot twists, does remain the movie's biggest strongpoint, but there are a number of more reasons why ""Witness for the Prosecution"" is righteously considered as one of the most massive milestones in cinematic history. Billy Wilder's surefooted direction, for one, and the stellar performances of the entire ensemble cast. I mentioned Dietrich and Power already, but there's also the downright phenomenal Charles Laughton (arguably the most shamefully neglected actor/director in history) and an appealing supportive role for Elsa Lancaster. But do I daresay that the ultimate success-factor of this stage play adaptation is the masterful re-creation of the court trial? The bombastic settings and decors, the echoing acoustics, the powerful monologues of confident (and arrogant) barristers and the intimidating gowns and wigs are largely what make ""Witness for the Prosecution"" not only the first but also the mother of all courtroom dramas. This may just be the opinion of an avid fan, but practically ALL great courtroom-dramas that were released from the sixties until present day (""To Kill a Mockingbird"", ""Philadelphia"", ""Devil's Advocate"", ""A Few Good Men"") were clearly influenced by ""Witness for the Prosecution"". In fact, I only have one minor complaint: *** Spoiler **** the film version adds one more final twist that I didn't find 100% plausible.",e
6,7 September 2015,AlsExGal,10," ""I suspected something, but not that. Never that!""","That's a quotation from the film and what you'll say at the conclusion. I saw it the first time 36 years ago back when network TV ran old movies late at night, and I'd never even heard of it. I thought it was a Hitchcock film with all of the unexpected twists, but no, the director was Billy Wilder. How surprised I was to see Wilder do Hitchcock better than Hitchcock ever could! The set-up is this - Leonard Vole (Tyrone Power) is an inventor that is having trouble getting his inventions to market. He befriends a wealthy older woman, one Emily French. She is obviously flirting with him, and Vole, though married, flirts back, his objective being that maybe she will financially back one of his inventions. Then disaster strikes. Emily French is found murdered. Vole is an obvious suspect because Mrs. French has just changed her will and left everything to Vole. There is circumstantial evidence pointing to Vole, and he says he knows nothing about the will. Enter barrister Sir Wilfred, the finest in England, whose doctor has told him he must quit work and go on a vacation because of his heart condition. Sir Wilfred talks to Vole, believes his story, and also talks to his wife, Christine (Marlene Dietrich) who backs up Leonard's story but comes across as somewhat cold to her husband's peril. Sir Wilfred is convinced to take the case and agrees to retire upon this last trial. Past that I cannot tell you any details or I'll ruin it for you.",w
7,30 December 2007,littlemartinarocena,10, A Hitchcockian Billy Wilder,"At the end of the day the films you give top marks are those films that become constant companions. You can see them again at the drop of a hat, you show them to people who have never see them and it's always a triumph. ""Witness For The Prosecution"" is one of those wonders. Suspend your disbelief for a couple of hours and enjoy this banquet of a romp. Charles Laughton showed here what he was made of better, more clearly and more loudly than in any other film and all of his films, at least the moments with him in it, are unforgettable - Captain Blight or Henry VIII, Quasimodo or that malefic Senator from South Carolina. Here the severity of his lawyer by vocation takes your senses away with his masterful judicial way to see logic and it's such an incredible fun to watch him do it. Tyrone Power is a toy in his hands but not Marlene Dietrich who stands her ground, not merely as a character but as a presence on the screen. Billy Wilder visits early Hitchcock territory with wit and fun. Elsa Lanchester's nurse is the cherry on top of this delightful film.",/
8,29 August 2004,flickershows,8, Love That Laughton,"Charlie Chaplin was funny. Charles Laughton was witty. As good as 'Witness For The Prosecution' is---Agatha Christie's story, the other actors, the technical expertise---the Oscar-nominated Laughton is THE reason to see this film. What he brings to Billy Wilder's 1957 courtroom thriller is his tremendous wit and intellect. It's a serious story, but the dark-comic tag team of Wilder/Laughton upgraded the film from ""a good courtroom mystery"" to ""a classic of the courtroom genre"".",r
9,16 April 2018,HotToastyRag,9, One of the best courtroom movies of all time,"Witness for the Prosecution is one of the most entertaining courtroom stories of all time, written by the crime mistress herself, Agatha Christie. Charles Laughton completely owns the courtroom, starring as a famously brilliant barrister who's supposed to be taking a break for his health-but he gets drawn in by a truly compelling murder trial. Tyrone Power, in his last movie, has been accused of murdering a wealthy older woman. While all the evidence racks up against him, Charles doesn't give up hope and tries to win the case, all the while trying to crack the very hard nut Marlene Dietrich. Marlene is Tyrone's wife, and it's impossible to tell what she's really thinking or feeling.",w
