Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,27 February 2020,tkarlmann,10, I have NEVER seen such a performance ... ever!,"No, I'm not speaking of Brad Pitt; I'm speaking of German actor Christoph Waltz! He has won just about every award for his performance in this film, and he deserves every single one of them.
Take my Challenge: Watch this film and see if you don't get the chills whenever Christoph Waltz's character is 'interrogating' his suspects! Ooooo!
He is ULTRA polite with each one; and has supreme confidence in his scary, chilling, bold mannerisms.
All I can say is: ""You see this movie for Christoph Waltz's performance; all the rest is secondary""!",/
1,30 May 2014,SnoopyStyle,8, Quentin Tarantino's style and Christoph Waltz's menace,"In 1941 Nazi-occupied France, ""The Jew Hunter"" SS Colonel Hans Landa (Christoph Waltz) finds the Dreyfus family hidden by their neighbors. Shosanna Dreyfus (Mélanie Laurent) escapes after her family is massacred. Meanwhile Lt. Aldo Raine (Brad Pitt) has gathered 8 Jewish American soldiers to kill Nazis behind enemy lines. Their brutal scalping campaign instills fear among the Germans. Donowitz (Eli Roth) is even given a nickname ""The Bear Jew"" for brutally beating Nazis with a baseball bat. Then in June 1944, Shosanna has a new name and a theater. She catches the eye of German war hero Fredrick Zoller who wants a big premiere in her theater that will attract the biggest of Nazi leaders. It even attracts the Jew Hunter as well as the Inglourious Basterds.",r
2,5 August 2016,Leofwine_draca,10, Tarantino's best? I think so,"No joke – I believe this film to be Tarantino's best yet. The movie has its naysayers, but I see this as the epitome of movie-making: a literate, intelligent film, beautifully shot from an excellent and original script. You might be forgiven for thinking that little more needs to be said about the Second World War, but you'd be wrong, as this outing shows: it's as fresh as a field full of daffodils in the springtime. I knew I was in for some fun with the opening sequence, in which spaghetti western style music riffs on an old classical piece and builds up the tension as Nazi officer arrives to question a remote French farmer.",e
3,7 February 2020,laurabethc1,10, I can't believe I just now watched this for the first time.,"This is a perfect Tarantino movie. It's explosive and exciting while also deep and well thought out. It took me a minute to get used to reading so many subtitles because of the variety of languages used, but I think that's a quality that makes the movie even more enticing. It is incredibly well done and it had a hold of me from beginning to end. Fair warning for any Tarantino movie, be prepared for the gore and violence. It runs rampant throughout the movie, but it's kind of gratifying seeing it happen to the Nazis.",v
4,10 July 2012,ablewuzi,10, People seem to be missing the point,"This review gives everything away, so see the movie first.",i
5,20 November 2022,Xstal,9, Oh! What a Lovely War...,"There's a hunter called Hans Landa you should fear, if circumcision defines the way your men appear, on the surface quite polite, underneath riven with spite, carries a scar that lets you know of his career (or at least he will). But those un-helmeted can rejoice and be spurred, avenging evil come Inglorious Basterds, being led by Aldo Raine, with a remit to cause pain, several parts may disappear as things are sheared.",e
6,25 August 2009,paulmuehlendahl,10, Who the hell is Christoph Waltz?,"That's what I thought, when I heard about the cast of Inglorious Basterds. And I'm both from Germany and into movies.",w
7,12 December 2021,ruelshepperd,9, Glorious indeed!,"Aside from the Kill Bill's I have not seen any other Tarantino film. I heard this one was good and so I watched. It's great. From the opening scene you are mesmerized by Christoph Waltz's unnerving performance. He gets a lot of credit and rightfully so. Hans Lands is possibly one of the greatest movie villains of all time. There so many iconic moments and Tarantino demonstrates how normal dialogue scenes can become suddenly intense with words alone. Every actor gives it their all with Brad Pitt giving a memorable performance as well. This movie is worth watching just for its opening but it also has back to back quality scenes that are well shot and have excellent dialogue. The movie balances it's comedy with excellent dark moments reminding viewers that this is indeed a WW2 film. Overall, my favourite Tarantino film of the three I've seen and might be for some time. Worth watching for Christoph Waltz.",/
8,8 September 2009,bkoganbing,8, World War II In an Alternate Universe,"I take exception to the comment that one reviewer made saying that a film like Inglourious Basterds had not been made before. Not only was one made, but it was made during World War II. When Hitler, Dead Or Alive was shown I'm sure the same rousing cheers went up from the audience who really wanted World War II to end that way.",r
9,23 July 2009,motta80-2,8," Great fun, a real surprise","It just goes to show how wrong you can be. I had not expected to like this film. I was disappointed by both the Kill Bill films (although i preferred the second) and Death Proof (although it was better in the shorter cut of the double-bill release). I love Reservoir Dogs, admire Pulp Fiction and think that Jackie Brown is Tarantino's most mature piece of film-making - technically his most superior - including the last great performance elicited from Robert De Niro. Since then it seems to me while his films have been okay (i haven't hated them) he has been treading water in referential, reverential, self-indulgent juvenilia.",w
10,17 January 2010,planktonrules,8," Not for everyone...but if you like this sort of thing, watch it--it is a lot of fun.","This must be said first and foremost--if you HATE violent films, then don't watch this film. The film is filled with ultra-violent images that will turn your stomach--scalpings, machine gunnings, fire bombs roasting crowds of people and the like. My assumption, and I am NOT trying to be sexist, is that in general guys will like it more than women--though I know that there are man exceptions. If you look at the demographic breakdown on IMDb of votes, this doesn't reveal any difference between men and women...unless you look carefully. You'll see that men have outvoted women 10-1! It is, simply put, a ""guy film"".",2
11,14 August 2010,rmax304823,3, Schlock and Awe.,It's one of those movies that's difficult to evaluate because it's as inconsistent as it is. The plot is ludicrous yet there are very suspenseful moments embedded in it. Nobody could have made this except Quentin Tarantino -- it's that original -- and yet it rips off bits of business and entire subplots from a dozen or more other sources.,9
12,25 August 2009,bobt145,10, No Matter How You Spell It,"...""Inglorious"" as our local theater decided to display its title on their marquee, minus the second word. It is terrific cinema.",5
13,16 February 2014,Theo Robertson,4, Hitler's Table Talk,One good thing about waiting several years after a very well received film is released is that you can step back from it and judge it on its content without all the hype . Sometimes if you go against the grain you do feel you're in danger of being branded a blasphemous heretic who should be locked up in order to keep little children safe at night or worse still to protect film makers from unpopular views . To be honest I have real excuse for missing Tarantino's INGLOURIOUS except that it never popped up in front of my radar until now . After finally getting round to seeing the movie I can put my hand on my heart and say I didn't miss all that much ,1
14,23 August 2009,zardoz-13,1, A revisionist Holocaust fantasy of far-fetched proportions!,"""Pulp Fiction"" director Quentin Tarantino has taken Italian filmmaker Enzo G. Castellari's cult World War II thriller ""Inglorious Bastards"" (1978) and reimagined it as a cinematic atrocity entitled ""Inglourious Basterds."" Castellari's riveting mission-behind-enemy-lines thriller about a group of court-martialed Allied deserters led by Bo Svenson and Fred Williamson qualified as an electrifying actioneer with charismatic characters boasting several surprises. ",2
15,3 October 2009,abelardo64,9, A Comedy Of Horrors,"Brad Pitt sticks his index finger in Diane Kruger's leg wound and keeps it there until he gets what he wants. Funny, horribly so. The invented yarn takes ""The Dirty Dozen"" for a ride and sometimes abandons it to pay tribute to other movies. Lots of fun. Even ""Paris when it sizzles"" is mentioned in a delightfully organic piece of dialog. I was thrilled by Christoph Waltzer's character and by his sensational performance. Brad Pitt creates a true original. I love the actor's lack of vanity. There's a quirk in the character that is pure Brad Pitt. Tarantino visits a new universe but. fortunately, his hand. his brain and his heart are visible all over the place.",5
16,11 March 2011,ElMaruecan82,4, A dangerous and irresponsible film from a director who used to be great...,"Reviewing ""Inglourious Basterds"" is a moral dilemma. I know it has everything to please the fans, it's entertaining, masterfully directed and edited, and features memorable characters portrayed by a big-star cast, and the whole film is carried by one of the greatest supporting and villainous performance of the last ten years. Christoph Waltz, as Hans Landa, is an unforgettable character, magnetic even in one blink or a crazy smirk. But this is a supporting performance, not enough to redeem the film.",6
17,27 March 2010,Bolesroor,1, Fiasco,"""Inglorious Basterds"" is a movie so clueless, so sloppy, so jam-packed full of half-ass characters and shock-value violence, so relentlessly terrible that I can't even muster the rage and indignation that most intelligent film fans feel toward Quentin Tarantino.",/
18,15 July 2014,Hitchcoc,8," Hey, It's Tarantino!","I've read so many of the naysayers. Giving this a one rating seems really spiteful. They speak of Walz's excellence in his role. If there is an actor of such incredible skill, how can one give it one star. Yes this is violent. Yes it is gratuitous. Yes it stretches the bound of reality. But Tarantino pushes the envelope at every turn in every movie. My God, what about ""Django Unchained."" There will always be flying body parts and characters of almost supernatural proportions. The plot that leads to the face-off in the movie theater is very intricate and does stretch our believability meter, but it is really engaging. Yes, the Germans are interesting in their own ways. Remember, this is not a propaganda film. We are put into a setting that is not for one instance a real portrayal of an historical event. But it does draw out the evils of war and makes a serious statement. It does have heroes and heroines. I know at times I was left a bit confused as to the point, but it didn't diminish my enjoyment of the movie itself.",?
19,19 March 2022,robinhio84_,9," I'm not a war film fan at all, but this is fantastic","From the moment this movie starts the score already gives an epic feeling. The first scene is so strong and somehow this level is maintained throughout the movie. Tarantino absolutely excels with this film. The story is great, but almost 2nd to the performance. Most actors are great, however it's Christoph Waltz that takes his role to the next level..",r
20,8 October 2021,skrstenansky,7, Pretty good,"This movie is a bit overrated and really isn't the best of Tarantino, but its still a good film. Very great acting and cast of characters, amazing cinematogaphy. A entertaining but stupid and unrealistic story of WW2. Good effects and just very well done, good film but overated.",e
21,30 July 2009,Llakor,9, Dark but Funny Comic Fantasy,"Inglorious Basterds is a dark and violent comic fantasy, gloriously so. Built on the framework of The Dirty Dozen, Inglorious Basterds ditches the elongated training sequences of The Dirty Dozen to plunge into the action right away. In the process, Tarantino fixes one of The Dirty Dozen's major flaws by giving the bad guys screen time to remind us just how bad the Nazis were. The Nazis with the most screen time end up becoming the most completely human characters in the film, which ironically makes them even worse monsters.",f
22,27 July 2010,DarthBill,1," ""I don't suppose you'll mind if I go out speaking the King's.""","PLOT (or lack thereof): A group of Jewish American soldiers, led by Brad Pitt, go overseas to during World War 2 to terrorize and massacre Nazis while a Jewish cinema owner, the only survivor of her family, having barely escaped a German soldier known as ""The Jew Hunter"" played Christopher Waltz, who now plots to have her revenge when a film about a German sharp shooter is forced upon her to debut at her theater, while Waltz plans defection.",_
23,21 January 2010,HalGuentert,1, This Movie Was A Bad Joke About WWII,"For those that have studied WWII, and unfortunately, seen real human brains on the ground, this movie is a travesty, a sadistic farce, and a complete waste of time like most of Tarantino's other questionable work. I do admit to liking ""Reservoir Dogs"" to a point. However, this thing does not even have an original title.",=
24,4 October 2009,claudiaeilcinema,6, Tarantino and His Italian Critics,"You should hear the Italian critics talking about Tarantino and ""Inglorious Bastards"". They run out of superlatives. One of them last night actually shouted ""Tarantino is my God"". Wow! I, personally, suspect that Tarantino is the result of a generation of TV and bad (now cult) exploitation movies. I enjoy him, don't get me wrong, but I'm not shouting miracle when I still have ""The Great Escape"", for instance, so fresh in my mind. ""Inglorious Basterds"" more than any of the other Tarantino films is all about appearances. There is nothing underneath other than references to other movies. Nothing wrong with that in fact I like it but I refuse to treat Quentin Tarantino as a sort of Deity. I can't buy it. I think he should be placed exactly where he belongs among the best of his kind but what kind is that? Never mind, it works. Italian critics who are so prepared to destroy their own - you should read some of the reviews for ""Baaria"" - are prepared to fall to their knees in front of Tarantino. This are the same critics that last year, the year of ""Milk"", ""Slumdog Millionaire"" ""Edge Of Heaven"", The Wrestler"" etc, gave the David de Donatello Award for best picture to ""Grand Torino"" I want to make sure that I'm making my point clearly. ""Inglorious Bastards"" is a terrific comedy with most of Tarantino's trademark tricks in place. You'll have a great time with Brad Pitt and an incredible Christoph Waltz as the ultimate Nazi villain but don't expect a masterpiece as declared by some critics. That kind of review damages the film and me the spectator. It forces something on me. As if I was suppose to feel the same otherwise there is something wrong with me. No. I liked it, I recommend it for what it is. Period.",t
25,27 September 2009,kosmasp,9, Waltz with Pitt,"C. Waltz is the new discovery in this movie. He might have had a following in German speaking countries, but with this movie, he's getting world famous. Speaking 4 languages (and that's only in this movie, who knows how many more he is able to master) and being the main actor in this, despite the title of the movie. Which leads us to one thing that might be appalling to some people (especially to those who love(d) the original ""Inglorious Bastards"").",t
26,11 September 2009,CineCritic2517,1, A failure to fuse different movie genres into one feature.,Tarantino was in my opinion a master in fusing different movie genres into one. But he miserably and painfully fails to do so in Inglourious Bastards (IB). ,_
27,7 October 2009,uhmartinez-phd,8, A Rip Roaring Yarn,"An fun, engrossing, beautifully crafted piece of nonsense, the likes of which we hadn't seen in a long long time. The silliness of the story is marvelously camouflaged with great dialogue and some superb performances. Christoph Waltz must be thinking already about his acceptance speech. What a performance! The civilized monster, polyglot, refined and deadly. He gets us going from the first, sensational scene. Brad Pitt is also wonderful. Was he putting a Mussolinni chin while impersonating (hilariously) an Italian? I thought so. His character's name sounds like Aldo Ray and I'm sure that's no accident. The film is full of movie references. Another character is named Fenek, as an homage to his 1970's sexpot, Edwige Fenech. What is already one of Tarantino's trademarks is his sure step along the most immediately recognizable bits of pop culture. He's clearly not a cultured man but a pop expert, king in a world where people get their news from TV, don't read, other than magazines and comics, etc. That's how it happens, to be in the right place at the right time. For better or worse this are Tarantino times.",u
28,8 November 2010,oneguyrambling,6, Sorry sweaty-palmed fanboys - this is one of Tarantino's worst.,Read on before you complain! ,r
29,20 August 2011,TOMASBBloodhound,5, What's worse than having to listen to 2 1/2 hours of Tarantino dialog?,"The answer: Having to READ about 2 hours of it! Yes, the man is talented. And yes, there are parts of this overly-lengthy film that are terrific, but I've just come to the point where the thrill is gone. Gone is my appetite for Tarantino's style with excessive homages to an era of films I never saw, and neither did many of his hard-core fans. Gone (if it ever was truly there) is my desire for endless conversations that seldom lead anywhere or advance what little plot his films often have. It's all pretty much gone. Tarantino has been doing this to us for almost twenty years now, and its time that either himself or myself moves on.",v
30,8 September 2009,secondtake,10, Larger than life in the best cinematic ways,Inglourious Basterds (2009),
