Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,10 April 2022,PedroPires90,9, Real world,"I'm completely tired of people who think films should only have black or white characters, people who think films should not show racism, homophobia, stupid people, like that is not...the fu****' real world? That's why I think I like this much. It's not afraid to shock and it's not afraid to make you think. Good people make some bad things. Bad people make some good things. People can change. I know this is a lot for this new world order where you are right 100% of the time or wrong 100% of the time, but this is what being human means.",/
1,7 December 2017,blanche-2,8, Anger begets more anger,"Frances McDormand is a grieving mother who puts up ""Three Billboards Outside of Ebbing, Missouri"" in this 2017 black comedy directed by Martin McDonagh.",r
2,4 December 2017,tyson-hunsaker,9, A thought-provoking and darkly comedic drama with lots to say.,"""Three Billboards outside Ebbing, Missouri"" marks a milestone for writer/directer Martin McDonagh and is an idea piece on a mother's struggle with her town after posting billboards containing a call to action in regards to her murdered daughter. With outstanding screen writing and near perfect editing, this powerhouse of a film is easily one of the best all year and is driven with force and intensity by its lead, Frances McDormand.",e
3,17 February 2018,Semisonic,9," Anger, what it begets, and what to do about it","When you think about great cinema, you often imagine some grandiose epic setting which all that greatness builds upon. The likes of Gone With the Wind or Godfather or The Shawshank Redemption, such films span through decades or cover the major historic events.",v
4,21 June 2021,ronakkotian,10, This is how a drama should be!,"Martin McDonagh has made critically acclaimed throughout his career. I haven't seen In Bruges but I liked Seven Psychopaths. However, it's with Three Billboards Outside Ebbing, Missouri that made me realise what a talented writer and director he is.",i
5,9 February 2018,TheLittleSongbird,8," Comedy, tragedy and morality rolled into one","Saw 'Three Billboards Outside Ebbing, Missouri' on the promise of one of the year's best trailers, the immensely talented cast, the intriguing subject matter, the receiving and pending of numerous accolades and being familiar with Martin McDonagh's previous work. ",e
6,16 October 2017,rubenm,9," Extremely funny film about grief, anger, revenge and violence","It seemed that the pregnant police detective Marge Gunderson from 'Fargo' would forever be the most memorable character of Frances McDormand's acting career. But now I'm not so sure. Mildred Hayes, the heroine from 'Three Billboards', is a serious contender. This might well be her best performance ever.",w
7,25 November 2017,chicagopoetry,7, Beware the p(l)ot holes near the billboards,"I will say that I enjoyed this film, mostly due to Frances McDormand's performance. It was surprisingly funny given its subject matter. But after thinking about it for a few days after watching it, I have to say a few words about the writing, because it seems everyone is raving about how ""Oscar worthy"" the writing here is, and at first glance, I thought so too. But thinking back on it, I'd have to say the writing is actually pretty sloppy. There's a lot of stuff here that doesn't make a whole lot of sense, and I mean a lot. I can't explain this without revealing spoilers, so be warned.",/
8,30 October 2017,FallonTimberlake2016,10, A comedic masterpiece with a stellar leading performance from Frances McDormand.,"Three Billboards Outside Ebbing, Missouri is a dark comedy that has an a-list cast with names like Frances McDormand, Woody Harrelson, Sam Rockwell, John Hawkes, and Peter Dinklage. It centers around Mildred Hayes, a woman whose daughter was raped and killed, and who believes that the local police have not done enough about it. In reaction, she erects three billboards outside of her town that send a message to the sheriff about the state of the investigation.",r
9,19 April 2018,bkoganbing,9, Inconsolable grief,"It's ironic that the first of Frances McDormand's Oscars came for her portrayal of a
sheriff in Fargo. For her second one she plays the antagonist to a sheriff she
feels isn't doing her job. The sheriff is a most popular individual in the town,
Woody Harrelson. But this is a woman with a mission.",w
10,18 September 2017,GODZILLA_Alpha_Predator,9," A dark, twisted comedy about grief, tragedy and three billboards","Having recently won the People's Choice Awards at TIFF, Three Billboards outside Ebbing, Missouri is very easy to see why it won.",4
11,28 December 2017,MongoLloyd,4, Is this a masterpiece?,"Pretty cool cast, and interesting premise muddied by oddities, implausibilities, and a juvenile sense of story. Is this a film set in a world where crazy stuff happens as a matter of course, or a normal every day world where crazy stuff happens every now and then? In this film, I see pretty normal people doing normal things and having normal things happen to them, so why is it the writer/director chose to litter what could have been a very good film with SO much bizarro bs? And with literally ZERO character development? ",4
12,4 December 2017,damian-fuller,9, Fires Of The Heart,"Frances McDormand is, without question, one of the very best actresses of hers or any generation. Wow! And like most of the greatest she goes for characters who don't ask for sympathy. The truth is in her eyes, always. So, naturally, I followed her every inch of the way. She is surrounded by a fantastic group of actors. Woody Harrelson is just extraordinary but perhaps the biggest surprise is Sam Rockwell making his one eighty not just believable but very moving. Martin McDonagh's writing is the magic potion that keeps everything together and when I say everything I mean everything. Humor and horror as if it were practically the same thing. The dialogue is brilliant and Frances McDorman deserves the last paragraph. Her face is a wonder. Superb performance. Don't miss it.",9
13,4 February 2021,Sleepin_Dragon,9, A powerful film that draws many emotions.,"Mildred refuses to give up in her fight for justice for her murdered daughter, she puts up three billboards blaming The Police incompetence.",5
