Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,13 December 2004,ivko,10, The only problem...,"...is that it ends. This is a fantastic film. It joins the handful of movies where I think I liked the sequel even more than the original, although I liked 'Before Sunrise' as well. Where Sunrise captured the immediacy and urgency of perfect youthful love, Sunset reflects beautifully on the aftermath of that perfection. I remember a line that says ""nothing that is complete breathes"", and I think that is what we see in this film. A perfect connection with another human is a blessing and a curse; having experienced perfection a part of us stops breathing, unable or unwilling to mar the perfection of that memory.",/
1,20 November 2004,film-critic,10, I'm designed to feel slightly dissatisfied!,"I will be the first to announce that I was not a huge fan of the original film. While I thought that it was interesting to see as well as an untapped concept in Hollywood, I felt that the characters were too forced coupled with a very amateurish and repetitive moments. It was an average film that seemed to be lacking bits of the human element. It needed something more. At the time I couldn't put my finger on it, but after seeing Before Sunset, I could see what it was. Maturity. This may sound strange, but I felt that Jesse and Celine were too perfect in the first film. They lacked connectiveness to the average person. I couldn't see myself in this situation. Perhaps if I would have seen the original film in 1995 instead of a couple of years ago, it would have been closer, but I just couldn't capture the moment. In Before Sunset, I feel head over feet for both Jesse and Celine.",r
2,19 June 2004,Superunknovvn,8," Linklater, Delpy & Hawke make an impossible sequel work (including minor SPOILERS)","""Before Sunrise"" was one of the most beautiful independent love stories of the 90's. Part of its appeal came from the open ending. We didn't know how the lives of these two young people would continue and what would become of them. The whole movie was like a snapshot that left the rest to our imagination. A sequel to such a story seemed to be unnecessary, but apparently director Richard Linklater himself couldn't stop thinking about these two intriguing characters and had to envision their lives after this one fateful day in Vienna.",e
3,14 August 2004,Bob Pr.,10, Wow! Satisfying at so many levels,"I had not seen the prequel to this although my date had and she filled me in on many details. While the experience of this film would be enriched by having seen the preceding film first, it certainly stands satisfactorily alone.",v
4,19 November 2004,FilmBuff77,10, Absolutely fantastic. Easily the best film of the year.,There are four scenes that I will treasure forever:,i
5,16 July 2004,preppy-3,10, Just great,"A sequel to the 1995 film ""Before Sunrise"". Jesse (Ethan Hawke) and  Celine (Julie Delpy) meet 9 years after their initial meeting. They've  changed--originally they were in their 20s and full of idealism. Now  they're in their 30s--and their lives have changed in ways they didn't  predict. Like the first movie they walk around Paris this time and talk about love, life, reality, what  might have been--and it's all fascinating. Like the first film this is  basically a character study and (like the first) just incredible. It's  like catching up with old friends after 9 years apart! They've aged a  lot--Hawke looks TERRIBLE but Delpy looks OK--and life has thrown both  a few hard knocks but hearing how they survived and what they went  through is just incredible.   This is NOT for everybody (four people walked out when I went to see  it) but, for people who can deal with nonstop talk for 80 minutes it is  just great. Every single line rings true and is delivered full force by  Hawke and Delpy. The acting varies--Hawke is good (but he smiles WAY  too much)--Delpy is just superb all the way through.  This is easily one of the best films of 2004. Highly recommended.",e
6,7 March 2005,Galina_movie_fan,9," ""I know what you meant for me that day. I just want another try, I just want another night""","This film is one of my favorites from last year, along with ""Sideways"" and ""Eternal Sunshine of the Spotless Mind"". Is it just a coincidence that three best films of the year all deal with ability to connect with other people, with meeting one's true love and losing it, with memories that will not go away, and with possibilities of second chances?",w
7,30 November 2004,FreddyShoop,10," A great movie, and a nice break from most Hollywood trash.","This is simply one of the best movies I've seen, with very few qualifications. Maybe I should say that this is one of the best ""simple"" movies I've seen. Perhaps it is a bit like cooking, use fresh and quality ingredients and you can make something great without a lot of unnecessary stuff. Unfortunately, Hollywood just doesn't seem to have the ambition to make these type of movies anymore.",/
8,11 December 2004,its_a_mee_mario,10," So Little Time, So Much Love.","Before Sunset is one of those movies, you either love, or you hate.",r
9,29 October 2004,johnnyb-16,10," How do you make a sequel to ""Before Sunrise""? This is how.","I'd been longing to see this one as I'd always thought 'Before Sunrise' was one of the most honest, most real films I'd ever seen, but at the same time I held off seeing the sequel from fear of disappointment. For all of you in the same position, fear not ; Linklater, Hawke and Delphy (for it has surely been a joint effort and labour of love for all three) have done us and themselves proud. I've just seen the film and despite being male and 38 I feel like Roberta Flack must have felt when she penned 'Killing me Softly' after hearing Don McLean sing 'Vincent' in concert; this is - once again - just so close to what it's all about. You want technicalities? The acting, superb; Hawke and Delphy slip right back into their characters, their mannerisms, their sometimes gauche repartee, the way they seem to fence around each other, seeming to go in for the kill then feigning, drawing backExquisite. And then the details, the echoes of the first film in the settings but now with a world-weariness, an autumnal note and yet with still that fundamental freshness and optimism that revives the memories of Sunrise's youthfulness and reminds us, as our heroes discuss, that though time changes people, there remains an unchanging core. Just see it; this is about as good as it gets, folks.",w
