Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,22 May 2001,the red duchess,8, A smartly modern elegy.,"There is a character in 'Amores perros' who looks like Karl Marx.  He is a tramp and an assassin, a good bourgeois who one day, Reggie Perrin-like, abandoned his family, and, un-Reggie Perrin-like, joined the Sandanistas in an effort to create a better world, earning 20 years in prison for his troubles.  Walking the streets with a creaky cart and a gaggle of mangy dogs, he was found by the policeman who jailed him, who gave him a dingy place to live, food, and the odd, non-official contract.",/
1,9 June 2017,TheLittleSongbird,10, What a masterful feature film debut,"Alejandro González Iñárritu's debut feature film 'Amores Perros' to me is one of the most remarkable film debuts there is in terms of direction and as an overall film. While he hasn't made a bad film (his weakest 'Babel' is still very good), even if some of his films are very divisive, 'Amores Perros' to me is his best.",r
2,11 June 2003,WriterDave,9, Doggie Holocaust makes for Best Mexican Film Ever,"Some people just won't want to sit through this film because of the overtly graphic and disturbing dog fighting scenes, which is ironic, because most people don't seem to mind the graphic violence involving the people in this film. Others simply won't watch it because of the subtitles. This is a shame, since this is by far the best film I have ever seen come out of Mexico (far better and more complex than the comparably immature ""Y Tu Mama Tambien""). Here we get an intertwining tale involving dog fights, petty gangsters, a tragically injured model, a cheating husband, an abused teenage wife, and a homeless hit man. As you might expect the homeless hit man becomes the soul of the film, and the dogs serve as a link, reminding us of the violence we inflict upon each other and nature, and the fractured relationships we think beyond repair, but are actually more resilient than we could ever imagine. Brilliantly directed with a great soundtrack and a bigger heart than you might initially perceive, ""Amores Perros"" is a deep, thought-provoking and utterly enthralling film that you will not soon forget.",e
3,25 April 2003,dromasca,9, On Men And Dogs,"This Mexican movie was surprisingly good. I confess the sin of prejudice concerning Mexican cinema, this being maybe the second Mexican film I have ever seen, but here my sins are punished. This is the work of a director of big talent. Hopefully, he will not be spoiled by the success.",v
4,16 May 2021,pawanpunjabithewriter,6," A Movie about life choices and its conclusions, Disturbing, Intense","It's a life-changing experience. Movie is highly violent, disturbing, harsh and intense, which is necessary too since the characters' upbringing lead them to that. It's so exceptionally well created that one little action creates a havoc in the lives of 3 different people, people who have no relation with each other. It seems relatable now considering how single pandemic Corona virus is changing peoples lives mostly for bad. I would not recommend this movie to anyone since it's highly disturbing and insanely violent and depressing. However, would suggest them to watch at their own risk. It's a little too stretched too, however, is fast paced no doubt.",i
5,1 February 2021,Prismark10,7, Amores Perros,Director Alejandro Iñárritu heralded the Mexican New Wave cinema with Amores Perros.,e
6,11 October 2009,CihanVercan,9, Do dogs have personal characters? Or they just try to be loyal to their owners? What if they reflect our personalities by means of their loyalty?,"Thanks to contributors, plot synopsis has been very well written. Amores Perros is included in the most important movies for the beginning of the 21st century. It marked a new epoch with its thoroughly life-like vision on a twist of fate. Then in a 5 years' of time within more recognized movies, we started seeing similar plot schemes telling different stories over accidents that binds each person's fate. One of them was Crash, and it won the best picture Oscar in 2005.",w
7,6 March 2004,aknowles-1,8, Lest the Dramatic Structure be Stillborn,"True to the structure, Iñárritu attacks the subject of love with a multi-pronged approach, addressing three different stages, or complications, common in `love.'  All three storylines represent the `struggling' aspect of love.  It would be fair to say that Amores Perros, roughly translated to be `Love's a Bitch,' makes the ultimate statement, `Love is a struggle.' More specifically, however, Octavio's narrative can be most suitably seen as the `hunt for love' and acquisition or fight for it.  To be with his love, Susana, he must overcome both the fact that his brother is married to her and the fact that his dreams of leaving the city are hamstrung by his less than admirable socio-economic state.  Daniel and Valeria, who are about fifteen to twenty years Octavio and Susana's elders, represent love's most frustrating peak - when one is already in it and wants or needs to get out, for better of for worse.  Daniel is trying to get out of a marriage in which he has kids to be with the supermodel, Valeria, a woman whose meaning to him is ultimately superficial.  El Chivo, whose story is a perfect compliment to Daniel's, represents distance and alienation from love, inwardly looking at it from the outside.  He has abandoned his family twenty years prior to become a guerilla terrorist and now operates as a vagabond hit man.  It would be difficult to look at these three different `stages' of love in a classically structured film.  The episodic structure eases us between each stage, at no point forcing us to tolerate the unrealistic concept of one couple going through all of these stages.  Breaking it up into three different narratives, each revolving around different characters, presents the audience with the ability to view each story as independent the others, a more pervasive perspective.",/
8,4 January 2002,JesNollie,7," Three stories, one great, one good, one bad","This film consists of three intertwining stories, all involving dogs, and all laced with violence.  The first story we're shown, that of Octavio, is excellent.  Definitely a ""10"".  If the movie had stayed at this level it might have been the best film of the year, but the second segment is annoyingly bad.  Totally ridiculous, bad acting, lame story.  The third and final segment is very good.  I would recommend seeing this film, but I'd also recommend fast forwarding through the second segment.",r
9,11 April 2005,tricky_jgc,10," Must've beaten Crouching Tiger, Hidden Dragon in the Academy Awards","I think we're talking about one of the best Mexican films ever (i say so, knowing there's been excellent Luis Buñuel films as well as Arturo Ripstein ones, like 'Principio y Fin' -Begining and End- that is this director's highest peak (based on the book by Naguib Mafusz)and Emilio 'El Indio' Fernandez ones that i don't personally like that much (even though he received the Golden Bear in the 'Berlinale').",w
10,19 July 2002,danielariasv,9, reality is weirder than fiction,"Maybe for most of you, people outside third-world countries like Mexico or Colombia, my home, movies like ths one are only representations of another world... something away from you. My city, medellin, is one of the most dangerous cities on the world. Mexico city can be as dangerous as medellin. I`m not talking about politics. maybe you haven`t lived violence as near as i have, but im gonna tell you something, that is the main reason i voted 9 this movie: Amores perros is not fiction. Its a perfect peep to what life is here. We have expensive models that go to stupid tv shows, we have dog fighting, we have mercedes, we have old trucks, we have killers, businessmen, we feel love, we have houses... our life, as you can see in the movie, isn`t as different as you think. Amores perros can show you that life is not easy here. but that`s it. What you saw is thousand`s of people life. that`s why it`s so magic to you. Yourè seeing what you will never live there, in london, new york, seattle, paris, berlin... reality is weirder than fiction... see it on amores perros, and you`ll believe me... live it here, and no movie will surprise you",4
11,16 December 2021,wumbi,10, Incredible,"This long movie can be exhausting to some people, running at plus 2 hours this movie is heavy on its story but it doesn't forget its characters. Telling three different interlinked story, each of which have different appeals and different lively characters. Those characters feel real and authentic, they have motivation, feelings and dreams and it is well acted. Lots of dogs violence but the dogs here are as important as the humans. I was impressed by the presentation, it is ruggy and gritty and it adds to the genuine feeling of the movie and you can feel Alejandro's passion for cinema. This movie can be too much for some people as there are lots of violence involving animals and the quite long runtime but I thoroughly enjoyed this.",7
12,8 September 2010,lewiskendell,4," You may enjoy it more, but I found Amores Perros to be a disappointment.","""To make God laugh, tell him your plans.""",0
