Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,23 July 2020,planktonrules,8, Well made but very difficult to watch....and not a film for everyone.,"""Capernaum"" is a very unpleasant film that deals with very unpleasant situations and people. Because of that, it's not a film for kids to watch and I don't recommend anyone suffering from depression watch the movie....it's very hard to take and is brutal in its realism.",/
1,24 August 2020,thesar-2,9, I Also Accuse My Parents,Watch this and you'll never feel poor again. You might even appreciate every single thing you own.,r
2,21 August 2022,Zi_Reviews_Movies,10, Real. Touching. Heartbreaking.,"At first, I didn't want to review the movie, just give it the highest rating and leave it at that because I don't think I am worthy to judge it. And here I am, writing this, not because I have become any worthier but because people need to watch it. Capernaum tugs at your heartstrings and makes you ache. It's painful, and not in an ordinary way. I watched the movie a few days back and I still think about it. It's definitely made me more grateful for the things I have. The actors don't feel like they're acting (to some extent they're not), it feels like a reality, their innocent eyes describing a journey most of the world was unaware of.",e
3,9 March 2021,kosmasp,8, Other World,"This is not a documentary, yet it may very well have been. It does feel a lot like one. And because of that, which includes a pace and a mood that some may not like that much, it may or may not be your cup of tea. The family problems and issues are so direct and so obnoxious at times, that you may feel annoyed. This is by design. Depending on your level of empathy, you will of course have different reactions to a crying baby for example.",v
4,12 July 2019,bugsmoran29,10, Made a grumpy old white guy cry,This movie was almost unwatchable for me at time because of its heartbreaking depiction of life on the streets of a big city. The scenes with the 12 year pulling around the infant in a big pot as he sought to provide for them both made me cry. There's so much pain in the world!,i
5,20 May 2019,lee_eisenberg,10, I bet that more people live like this than we realize,"We've heard a lot about refugees in the past few years. There have been images of people trying to cross the Mediterranean Sea, or pouring into Lebanon and Jordan, or other things like that. The reality on the ground for them is horrible beyond belief. This topic gets addressed in Nadine Labaki's ""Capharnaüm"" (also rendered Kafarnaum, called ""Capernaum"" in English). It concerns Zain, a Lebanese boy who befriends Yonas, an Ethiopian immigrant boy.",e
6,4 September 2019,classicsoncall,8," ""We're insects, my friend. Don't you get it?""","This is one of the more disturbing movies one is likely to see. Disturbing in the sense that it reveals the horrendous conditions that people are forced to live in if they have no other recourse. The story follows a twelve year old Lebanese boy, (who quite literally doesn't even know his true age) who has seen enough in his short lifetime that he has no trouble at all distinguishing good from bad. Unfortunately for Zain (Zain Al Rafeea), things are almost always bad, as the story traces his tragic circumstances at home and the way he's forced to use his street smarts to survive in unrelenting chaotic conditions. What infuriated me the most was the extent of human trafficking that the film reveals, which affected Zain's own family and circumstances, to a degree that he lost his own eleven year old sister to a merchant who traded meager security for a youngster he could abuse sexually. I would have been more comfortable with the central character if his upbringing hadn't contaminated him with the obscene language he used in virtually every circumstance, calling his own mother a whore, though her treatment of Zain certainly didn't qualify Saoud (Kawsar Al Haddad) as Mother of the Year. What the story never got around to however, was a resolution to the premise that Zain sued his parents for 'being born'. A courtroom hearing delivered no reprisals against the couple, nor do we learn what happened to the man Assaad (Nour El Husseini), who made Zain's sister an unintended victim. The pathos and poignancy of the story is best expressed in Zain's own words to a mother who held no value for the life her children - ""Your words are stabbing me in the heart"".",w
7,26 September 2018,HadeelKouta,10, A Masterpiece,Capharnaum - The Movie,/
8,7 July 2019,tedicaprio,8, Two great boys!,"OMG. Zain and Yonas are movie miracles. The director succeeded in crafting them into natural actors. And the story ..... flowing like a strong current that carries you helplessly you can't do nothing but let go of everything. And Zain, how his energy infiltrated my being, I realized that I smiled when he also finally smiled at the end, that through the movie I became him. He is magic!",r
9,24 September 2019,Pjtaylor-96-138044,8, As close to 'real' as possible.,"'Capernaum (2019)' is social-realism at its finest, so palpably 'real' that it almost seems a documentary. It somehow depicts a bleak and difficult-to-stomach world with sparks of hope and fun. Of course, a lot of what happens is devastating, too. Apparently, writer-director Labaki amalgamated the story only from real-life events she witnessed first-hand during her research. It certainly shows and, for me, this information makes everything that much more heart-breaking. It's precisely because it's so real that it hurts so much. This emotional connection is only possible because of a fantastically subdued screenplay, some brilliant direction and typically phenomenal performances from all members of the cast. Indeed, the child actors are remarkably good here, ranging in age from pre-teen to barely out-of-the-womb. It's impressive stuff that solidifies the film as one of the most believable in recent years. The whole thing is just effortlessly engaging, wrapping you up in a relatively small story that usually wouldn't get the time of day it deserves. It may be fiction, but it highlights a plethora of issues that truly plague our world every single day. It's all so domestic and, even, mundane, too. It's just a slice of life that we usually don't see. It's great. 8/10",w
