Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,23 May 2022,Top_Dawg_Critic,10, The truly epic blockbuster we needed.,"Wow. The first Top Gun is a classic, and as we all know, sequels/remakes rarely beat the original, especially 36 years later e.g. The Matrix Resurrections. Well, this film just broke that theory.",/
1,26 May 2022,scottedwards-87359,10," This is slightly different to the other reviews, please stay with me here.","If you were a late teen or in your early twenties in the mid 1980's the world was very different. No computers, no mobile phones, no internet, no DVD's. We had cars though, and bikes, and we loved them, and we loved films too. The original Top Gun captured this moment in time perfectly, and gave us a thrilling ride like we had never seen before. The humour, the games, the bikes, the aircraft and my word, those flying scenes. We went back to the cinema to see it again and again, and spent the following decades quoting the movie. As time went on, it remained like a static snapshot in time to perfectly represent that magical point in our lives for so many of us.",r
2,25 May 2022,GusherPop,10, Best Sequel yet,"In one of the more memorable lines in the original Top Gun, Maverick gets chewed out by a superior who tells him, ""Son, your ego's writing checks your body can't cash."" Sometimes I wonder if Tom Cruise took that putdown as a personal challenge. No movie star seems to work harder or push himself further than Cruise these days. Ridiculously entertaining Top Gun: Maverick. Cruise was in his early 20s when he first played Pete ""Maverick"" Mitchell, the cocky young Navy pilot with the aviator sunglasses, the Kawasaki motorcycle and the need for speed. In the sequel, he's as arrogant and insubordinate as ever: Now a Navy test pilot in his late 50s, Maverick still knows how to tick off his superiors, as we see in an exciting opening sequence where he pushes a new plane beyond its limits. Partly as punishment, he's ordered to return to TOPGUN, the elite pilot-training school, and train its best and brightest for an impossibly dangerous new mission. And so the three screenwriters of Top Gun: Maverick - including Cruise's regular Mission: Impossible writer-director, Christopher McQuarrie - have taken the threads of the original and spun them into an intergenerational male weepie, a dad movie of truly epic proportions. They're tapping into nostalgia for the original, while aiming for new levels of emotional grandeur. To that end, the soundtrack features a Lady Gaga song, ""Hold My Hand."" It's nowhere near as iconic a chart topper as the original movie's ""Take My Breath Away,"" but tugs at your heartstrings nonetheless. The action sequences are much more thrilling and immersive than in the original. You feel like you're really in the cockpit with these pilots, and that's because you are: The actors underwent intense flight training and flew actual planes during shooting. In that respect, Top Gun: Maverick feels like a throwback to a lost era of practical moviemaking, before computer-generated visual effects took over Hollywood. You start to understand why Cruise, the creative force behind the movie, was so driven to make it: In telling a story where older and younger pilots butt heads, and state-of-the-art F-18s duke it out with rusty old F-14s, he's trying to show us that there's room for the old and the new to coexist. He's also advancing a case for the enduring appeal of the movies and their power to transport us with viscerally gripping action and big, sweeping emotions.",e
3,27 May 2022,dtucker86,10, This is why we go to the movies,"This is one sequel that looked like it would never get made. It was stuck in development ""hell"" for years and years. Then it was delayed by COVID and other issues. Its almost as if we were not meant to see a sequel to Top Gun. But now it is here and the question is, was it worth the wait? The answer is a resounding yes. This is the only sequel I have ever seen that i liked BETTER then the original. EVERYTHING about this film rocks! Tom Cruise is sixty this year but he can still do the job! He is awesome as Maverick capturing emotions and giving a performance that he hasn't given since A Few Good Men. You see Maverick's innate cockiness (something all fighter pilots have I'm sure) but you also see his vulnerability and his pain especially the scenes where he talks about his dead wingman's son and how he can't bear the thought of him dying as well. Jennifer Connally and Miles Teller give great performances as well playing Maverick's love interest and Goose's son. Yes you 1980's music lovers we get to hear Kenny Loggin's Danger Zone at the beginning it is wonderful nostalgia. Oh and I should also mention the aieral sequences are the best and most intense in movie history you are on the edge of your seat the whole time. To wrap it all up I wanted to mention the touching scene where Maverick goes to see his old Top Gun classmate ""Iceman"" who is now an Admiral and dying of throat cancer. Val Kilmer looks so bad because he has had throat cancer and can no longer speak well. The scene is so sad but they have a joke at the end where he asks Maverick who the best pilot is? Go see this movie by all means!",v
4,26 May 2022,lovefalloutkindagamer,10, Let me just say...,"I was reluctantly dragged into the theater, thinking that they didn't need to make a Top Gun 2 and that the first one was where that story needed to end.",i
5,30 May 2022,alexglimbergwindh,10, The real cinema experience!,If there's any movie that deserves to be seen in the theaters with big screens and booming speakers. It's :Top Gun Maverick.,e
6,25 May 2022,r96sk,9, What an excellent sequel,"What an excellent sequel - I, in fact, like it more than its predecessor.",w
7,27 May 2022,DarkVulcan29,10, Flying High,"Top Gun (1986) made Tom Cruise a star, and now 36 years later he jumps back in role of Pete Mitchell AKA Maverick almost like he never left.",/
8,29 May 2022,cruise01,10, Tom Cruise really knows how a blockbuster film is made.,5 out of 5 stars.,r
9,4 June 2022,DVR_Brale,10, A perfect gift to all Top Gun fans,There are so many references to the original that I was brought to childhood when I had first seen it.,w
