Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,11 October 2018,cricketbat,8, What a crime thriller should be,"I like it when a movie can keep me guessing until the end, and Gone Girl just did that. Most of the time I didn't know where this film was going, and each new twist and turn was a surprise. You can't help but get pulled into the story. The actors all gave excellent performances, as well. I don't think I'll ever be able to look at some of them the same way again. This movie is what a crime thriller should be.",/
1,18 May 2020,cmalpelli,9," Mixed feelings, hear me out.","There's no denying that this is a great film and from what I've heard a great book as well, you can see that I gave it a 9/10 rating, but there's a catch especially for me personally with this movie. The shorts version I can tell you and with my hand to God no lie this movie single handedly put the nail in the coffin for my marriage without me even being the wiser. So for as much as I do appreciate the detailed and intriguing story, watching it years later after my divorce it sends chills through my body knowing that my ex wife and I enjoyed this movie together, and obviously me not knowing just how much she loved it but how it inspired her to go about divorcing me in the way that she did, be weary because there are sick people (men and women) in this world that will vindictively assassinate someone else's character and well being just to avenge whatever perversion that they're transfixed on in their own mind. I'm not looking for sympathy or anything, I'm just stating a fact that happened to me, I don't advise watching this for the first time with a love partner, it could unhinge the mind beyond a point of no return, I'm absolutely 100% serious about this, this is not a joke.",r
2,1 August 2017,manisimmati,10," A Cynical, Masterful Caricature of Modern Relationships","Amy and Nick Dunne are young, stylish and charming. The immaculate dream couple? It seems so, at least on the face of it. But infidelity and financial troubles let the glamorous façade crumble. One morning, Amy disappears without a trace, and Nick becomes suspect. Did he kill his wife? The media depict him as an uncaring husband, and he's trying desperately to correct that image. But what if he really is the murderer everyone believes him to be?",e
3,7 August 2018,bgar-80932,8, Interesting end,This is a 2.5 hour movie and sometimes these days it's difficult for me to stick with the longer movies but this never felt long. You were always curious what was going on. Let's just say it didn't quite go the way I expected but I was intrigued the whole time. The acting was great. This could for sure be considered a slow burn and I'm actually currently watching the TV show Sharp Objects by the same author and this is paced much better than that. There's a couple things I didn't particularly thing got solved or like how they went at the end but overall a great movie.,v
4,22 April 2015,bowmanblue,8," Gone, but definitely not forgotten","Wow, actually a thriller that's pretty good. Yes, it's fair to say that 'Gone Girl' is a really engrossing film. As with almost every film, it's based on a book. And, as with most films based on a book, I haven't read the book, so I haven't got a clue how well the film relates to the source material. But then I don't care. I just enjoyed the ride.",i
5,1 January 2015,claudio_carvalho,6, Great Hype for a Too Long Movie with Plot Holes and a Deceptive Conclusion,"In Missouri, the unemployed writer Nick Dunne (Ben Affleck) goes to the bar The Bar that he owns with his twin sister Margo Dunne (Carrie Coon) on the day of his fifth wedding anniversary and they talk and play a board game. Then he goes home and finds that his wife Amy Dunne (Rosamund Pike) is missing. He calls the police and Detective Rhonda Boney (Kim Dickens) is in charge of the investigation with Officer James Gilpin (Patrick Fugit). As long as the investigation proceeds, the evidences show Nick as the prime suspect of murder while the media fiercely attacks him. But is Amy really dead?",e
6,11 February 2015,Mr-Fusion,5, This is what the fuss was about?,"The more time passes since finishing ""Gone Girl"", the more the aftertaste worsens. It did its job in keeping me guessing until the final credits, but with that bloated running time and those levels of hype, that can't be all it set out to do, right? Affleck and Pike are playing such bland characters that I didn't care what happened to either of the Dunne party. I cared far more for Carrie Coon and Kim Dickens, who were unquestionably side players. Neil Patrick Harris was just a plot device to get -SPOILER- Amy to return home and reveal that she was alive.",w
7,1 March 2017,zkonedog,7, Captures Most Of The Book's Bizarre Mystery,"Its a little tough for me to watch/review ""Gone Girl"" seeing as how I had already read the book. For a plot that relies heavily on surprise and misdirection, I already knew what was going to happen, and that obviously makes it a different viewing experience. I was very impressed, however, by how the film was able to capture the basic essence of the Gillian Flynn novel (maybe it helped that Flynn wrote the screenplay herself!).",/
8,25 January 2015,LiamCullen6,10, Shock and Awe,"How on earth is this film attracting so much criticism?! This is one of the best films of 2014 and people are labelling it ""utter tripe"", ""an enormous heap of illogic and nonsense"", ""wish I had missed it"". Are these people serious? Can we no longer appreciate - or even identify - a great film?!",r
9,19 December 2014,avik-basu1889,9," All the world's a stage, and all the men and women merely players !!!!!!","I have always been a huge admirer of David Fincher. He is undoubtedly one of the most consistent and masterful storytellers in modern cinema. I also think when it comes to dark, disturbing thrillers, there is very few who can match the directorial skills of Fincher. ",w
