Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,31 December 2019,j-a-julian,10, Hard to Rate ... been there,The first 23 minutes of this film is rated at a 12.,/
1,11 October 2018,keving4241,10, The only movie my grandfather couldn't finish,My grandfather fought in WW2 somehow surviving D-Day. He was apart of Operation Neptune and stormed the beaches of Normandy. He told us a lot of war stories but rarely ever spoke about that day. Before he passed away he did an interview with a local newspaper and detailed what he saw despite it being very difficult for him to speak about. He loved watching war movies... not sure exactly why. Some about that soldier life never really leaves them I guess. He absolutely hated Pearl Harbor cause of the horrible way they portray the military to be a bunch of toothbrush wielding babies who don't know what to do in the event of being attacked. He had a friend stationed there who lost his life and thinks that movie is a disgusting display of ignorance. Soldiers don't take girlfriends on private plane rides. And they most definitely know how to swim. Maybe I'll give that movie a good ripping one day.,r
2,27 August 2011,classicsoncall,10," ""Sergeant, we have crossed some strange boundary here. Our world has taken a turn for the surreal"".","I read four or five pages of reviews for this film on the IMDb boards, and most of them fall into one of two camps - those who felt it was the best, or at least one of the best war movies ever made - and the Spielberg bashers who decry the very fact that America and it's Allies had even the slightest audacity to win the War. Granted, the concept of good Americans versus evil Nazis is a bit too simplistic when it comes to cinematic treatments. Those viewers who want to read so much of that into the picture are missing one of Spielberg's main goals - 'How do you find decency in the hell of warfare'? That question reverberates around the central plot, the mission to rescue a sole surviving brother who's three siblings have all perished in the same war already. For the eight members of the rescue team, the quandary is presented in terms of moral prerogatives - why potentially sacrifice so many soldiers at the expense of just one, who may already be dead anyway? ",e
3,16 August 1999,ToldYaSo,9," War is hell, and ""Saving Private Ryan"" peeks into the gates of Hades","I'd heard a couple of startling things about this film before seeing it. I'd heard that many veterans were having a hard time getting through the film without breaking down. I'd also seen interviews with veterans who'd seen the film and found the film to be incredibly realistic and consequently difficult to watch. Intriguing comments, since we all know there is no shortage of films about war from this century.",v
4,10 December 2016,Leofwine_draca,9, Everything you've heard is true,"I've long been a fan of war films but for some reason it took me eight years to finally get around to watch this, the often undisputed classic war film of all time. Why? Not sure really – I'm not the world's biggest fan of Steven Spielberg, although I'll admit that he's made some good films in his time. Still, it was with some excitement that I sat down to finally watch this lengthy epic of a film, in the best format possible – widescreen DVD, 52"" television, and surround sound system. Unsurprisingly, I was blown away by the production.",i
5,31 July 2016,KissEnglishPasto,10, A Movie Is Only as Good as the Reactions It Provokes!,"From PASTO, COLOMBIA-Via: L. A. CA; CALI, COLOMBIA+ORLANDO, FL
The ONLY Tony Kiss Castillo on FaceBook!------------------------------",e
6,15 March 2009,TheLittleSongbird,8," A strongly acted, powerful film that is unashamedly brutal!","This is definitely one of the more powerful war films out there, if not the most powerful. I will admit, when I first saw it at school, I found the first half-hour extremely upsetting to watch.",w
7,27 February 2006,ccthemovieman-1,10, I Agree: This Is The Best War Movie Ever Made,"Without looking, I am sure other reviewers here have headlined their article ""Best War Movie Ever Made"""" and I agree. However, before briefly discussing the film, let me just say if you don't have a decent 5.1 surround sound system, you aren't going to fully appreciate this movie (DVD).",/
8,26 October 2008,Nazi_Fighter_David,9, The most realistic harrowing battle scenes ever filmed...,"Steven Spielberg makes a unique motion picture in regards to the D-Day invasion of World War II just in the gritty reality of the detail For more than twenty minutes he revives for us the landing at Omaha beach No one was prepared for how horrific it really was No one understood what was going on: The terror, the chaos, the maelstrom of bullets, the near-deafening explosionsYou really got a sense of what these guys had to go through ",r
9,15 April 2000,helpless_dancer,10, This should cool off the Rambo wannabes,"The opening beach assault sequences were the most violent, realistic, and upsetting filming I've ever seen; looked as though the thing was actual combat footage. The shushing noises of rounds cutting through the air was the most chilling part of all. Perfect portrayal of the insane stupidity of war and the anguish of all who enter this most foolish of enterprises. A must see.",w
10,24 January 2000,Hitchcoc,8, Horrors of War,"There's violence and there's violence. With the huge numbers of personal reviews of this movie, I'm hard pressed to add much. The first half hour affected me like no other in recent years. I wondered as the boys threw up on the amphibious carriers whether they were seasick or scared beyond belief. When one uses the expression ""cannon fodder"" so casually, do we realize that this means the second wave makes it's way to the beach over the dead and dying bodies of the first wave, like ants sacrificing themselves to ford a puddle. The ones that get through, get through because there are only so many bullets and so many people. They are exposed, disoriented, helpless--they have no place to go but ahead. I will be haunted forever by the soldier searching, then finding his dismembered arm in the carnage. I will remember those trying to get above water, only to be cut down below the surface. If anyone has a heart, his or her attitude toward war should never be the same. How can we who have never been there have a hint of what it must have been like. Like Schindler's List on the Holocaust, this should be a training film on war.",6
11,16 March 2004,Smells_Like_Cheese,10, One of the best war movies ever made,"I'm starting to think that everything that Speilberg touches turns to gold. This is probably considered one of the greatest movies of all time and it is directed by Speilberg. The movie is incredable. The beginning was horrifying. I couldn't believe how accurate it was and painful it was to watch. When I studied WW2 in high school, I thought no one could ever re-create the Beach of Normady. But Speilberg did. I felt like I was there with the soldiers. I felt their fear, pride, and love for their country. I couldn't believe how much dedication our armies put into fighting and winning the war. And whenever I go to visit Washington D.C., I have more American pride then ever. I am more than proud to give this movie a",2
12,2 February 2000,Xophianic,10, One of the most outstanding movies ever,"Saving Private Ryan is, without a doubt, the best war movie ever made and one of the best movies of all time. I wasn't sure what I would think of this movie before I saw it. I heard the gore and carnage was too much, and I heard the story and action was great.",2
13,25 January 2000,janesbit1,9, Numbing experience of SPR redeems baby boomers...,"It's been over a year since first seeing Saving Private Ryan -- it's a worthy effort by Speilberg--his best since Shindler's List by far. You've probably heard about the amount of violence, blood, and gore and that's all true--it's got the Viet Nam movie style violence (and then some) but it's not gratuitous. Were it sanitized like early WWII movies, modern audiences probably wouldn't take it as seriously.",2
14,17 November 1999,weiz_one,10, Breathtaking,"I have never been affected by a movie the way Saving Private Ryan affected me.  That movie really took me out of my seat in the movie theater and practically had me believing I was really in the battle with John Miller. When somebody was dying in that movie, it felt as if you could almost feel their pain.  Speilberg did an unbelievable job of putting realism into this movie with the camera-work and everything else.  Simply amazing.  An all time great.",1
15,3 June 2020,auuwws,10, Best movie of world war two,"A very cool movie that contains the best movie editorial, a shocking ending, characters that the viewer has to watch, and a great acting representation",7
16,29 July 1998,lc-2,10, The Greatest War Movie Ever Made,"It gives a million reason why no one should go to war and one very powerful reason to go to war. It is a soul numbing realistic depiction of what our grandfathers, fathers, uncles, brothers and sons have faced in humanities darkest moments. Not just in WWII but in any war. No one can see this movies without being altered in some way. No one should miss it with the EXCEPTION of those war veterans that have already been there. The surround sound puts the audience in the middle of the battle. ",2
17,30 June 2005,domino1003,10, One of Spielberg's Most Haunting and Visually Stunning Films,"""Saving Private Ryan"" is one of Steven Spielberg's most haunting and visually stunning films. As the film opens, you see an elderly man (Whose identity is not revealed until the end), standing at a headstone, in tears. Why? You soon understand the story as we go back in time.",/
18,30 April 2005,mOVIemAN56,10, WWII Films Don't Get Much Better,"Saving Private Ryan is a top WWII film and I've seen it a dozen times. As the film starts we are presented with a hundred or so ships coming across the sea. Suddenly violence erupts and soldiers are slaughtered on the D-Day Assualt. In the assualt, Captain Miller (Tom Hanks) leads his platoon up and around the German lines for a flank attack. ",?
19,12 May 2015,adammfeeley,10, One of the best war films ever made.,This film is an absolute masterpiece. It shows that war isn't always glamorous. Steven Spielberg won a Best Directing Oscar for his work on this film and the film went on to win four others. It is gritty and bloody and it shows that wars aren't won by weapons but by soldiers. The cast shine as the group of soldiers tasked with finding Private Ryan. Along the way they encounter the harsh truth and real meaning of war. It boasts impressive battle sequences and the stylish cinematography makes the film truly beautiful. The opening beach sequence is possibly the greatest opening scenes in movies. Tom Hanks is spell binding as the commander who has no idea about the harsh truth of war. Overall a truly amazing film.,r
20,12 September 2019,bigmikeh-59467,10, Fictional yes but combat authenticity was genuinely real.,21 years ago this movie was released and I finally watched it in 2019. I really struggled to watch and I cried and I wept through most of the movie. I did two tours in Nam. This movie was like being back in country. I will never watch it again. It's just eats my guts out.,e
21,20 August 1999,beejer,10, One of the Greatest War Movies of All Time,"Together with ""Schindler's List (1993) and ""Platoon"" (1986), ""Saving Private Ryan"" ranks as one of the greatest war movies of all time. Like ""Platoon"" it gives the viewer an ""in the trenches"" experience.",f
