Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,17 December 2013,gogoschka-1,9, As relevant today as it was then - and still very funny,"Part satire, part slapstick comedy, part melodrama; the great pioneer of film, Charles Chaplin, has created his own monument with this film. At the same time, 'Modern Times' was Chaplin's last goodbye to the era of silent film - which, remarkably, had already ended almost a decade earlier.",/
1,7 December 2005,evanston_dad,7, Individual Parts Greater Than the Whole,"One of this movie's most famous images--Chaplin sliding around inside the gears and cogs of a monstrous machine--provides a handy visual to go along with my opinion of the film in general: there are individual cogs that I remember as being brilliant, but when put together they don't make a totally satisfying machine.",r
2,13 September 2020,Xstal,8, In the Pursuit of Happiness...,"Never a dull moment with the vagrant antics of Mr Charlie Chaplin as he seeks to impress on his audience the impact of living in the modern era. What would the little man make of the world today, as technology continues its drive to remove people from the workplace and replace them with more and more automation (who can blame them during pandemic times). A timeless classic that is perfectly geared, engaged and enmeshed for the unstoppable onslaught of technology and its perpetual modernisation - happiness beckons.",e
3,28 June 2015,851222,9, Solid comedy with great story and drama,Greetings from Lithuania.,v
4,18 May 2016,Horror-yo,8, Excellent,"This very well written story never lets down from the very first image we see, flocking sheep compared with rushing urban human crowds, to the very ending. Excellent criticism of the Taylorism/capitalistic through humor relevant for any age, nationality or time; story-telling that would touch anyone alike in a universal fashion, every now and then sparkled with Chaplin's unique and deeply influential sense of humor and on-screen comedy. Hilarious in moments, and unique. A man of many talents clearly, and excellent at those. Overall this depicts quite a zany approach to life, one that is pure in essence and profoundly antagonistic with the current ways of the time, and ways of today still: a life dominated by one-track thinking, rigid and stubborn social etiquette, and the enslavement this new world has brought in so many aspects to the human species. Finally, it highlights the importance of never giving up; EVER; and the preciousness of love.",i
5,15 March 2016,Teyss,10," Still modern, funny and profound","It is difficult to review Chaplin's movies objectively because many of us have seen them, or at least have heard about them, since we were young. They have become part of our emotional and/or cultural background.",e
6,23 March 2019,ma-cortes,8, Charles Chaplin masterpiece finds him playing a factory worker who becomes involved in problems and strikes,"This mostly silent movie deals with a little man , a disgraced factory worker who goes insane from his repetitious job at an assembly líne . At the same time the exigent boss demands him for greatest efficiency and speed at work . As the unfortunate man moving from hapless factory worker to singing waiter and ultimately triumphing along the way .",w
7,26 August 2001,Anonymous_Maxine,10," Charlie Chaplin's own deeply impoverished past plays an extensive role in the theme of his film Modern Times, which is probably the most potent of his dozens of films that deal with the difficult lives of th","It is a testament to Chaplin's filmmaking skills that he is able to impose such significant meaning on what really boils down to little more than a series of comedy skits strung together on an apparently flimsy clothesline of a plot. Indeed, the cinematic value of Modern Times is unquestionable, but it is ironically noteworthy that such a simple and even blocky plot is made into such a memorable film experience and delivers such a strong, time-transcending message about poverty stricken populations.",/
8,21 August 2016,bkrauser-81-311064,10, Still a Modern Classic,"We like to think that comedy has evolved since the time of silent film. We like to think that with the advent of sound and the injection of modern technology in all aspects of film production has made just about everything better. Indeed, it's hard to argue that so much of today's fun and farce just can't exist without a sound mixer and a few boom mics laying around. Ask yourself, if you put The 40-Year-Old Virgin (2005) or The Hangover (2009) on mute, would you really get anything out of it?",r
9,10 May 2004,razwee,10, The Farewell Performance of The Tramp,"Charlie Chaplin's Modern Times (1936) is the final film to feature the great actor/director/writer's most easily recognizable incarnation: The Tramp. Here is a character that is so ingrained in the collective conscious of modern film audiences that many recognize him despite the fact that they have not seen a single Chaplin film. Indeed, several iconographic studies have labeled The Tramp (with his worn hat, distinctive mustache, dusty suit, cane, and trademark waddle) as the single most identifiable fictional image in history.",w
