Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,6 February 2021,Sleepin_Dragon,10, One of the best of all time.,"A masterclass in film making, is The Godfather a contender for the best film of all time? I'd argue the case that it is, this is the ultimate gangster movie.",/
1,1 April 2019,andrewburgereviews,10," An offer so good, I couldn't refuse","It is now past 1 PM and I just finished watching Francis Ford Coppola's ""The Godfather"". I should probably go to bed. It's late and tomorrow I have to wake up a bit early. But not early enough to postpone writing these lines. Now that I have seen it three times, the opportunity of sharing my thoughts and refreshed insights are too much of a good offer to sit on. So, bear with me.",r
2,11 February 2018,gogoschka-1,10," For Me, This Is The Definitive Film","This isn't just a beautifully crafted gangster film. Or an outstanding family portrait, for that matter. An amazing period piece. A character study. A lesson in filmmaking and an inspiration to generations of actors, directors, screenwriters and producers. For me, this is more: this is the definitive film. 10 stars out of 10.",e
3,21 June 2008,alexkolokotronis,10, An Iconic Film,Tell me a movie that is more famous than this. Tell me a movie that has had more parodies spinned off its storyline than this. Tell me one movie that has been as quoted as a much as this. The answer is you can't. No movie has had as much of an impact as The Godfather has had ever since it was released.,v
4,5 March 2002,b-a-h TNT-6,10," Another kind of ""family movie""","The Godfather is one of the few films in which I personally did not find any significant weakness even after many viewings. From the direction, to the acting, to the storyline, to the score, The Godfather has the word classic written all over, and it really is not much of a surprise that it is now considered by many one of the top five movies of all time. Perhaps when it comes to cinematic techniques The Godfather has not been as revolutionary as Citizen Kane, but its influence on motion pictures is comparable. Rarely a movie has defined or re-defined a genre as much as this one did for ""gangster movies"", but its influence goes well beyond that.",i
5,30 March 2013,planktonrules,10," #2 on IMDb's Top 100, a multi-Oscar-winner and over 1500 reviews...what more can I say about the movie?!","Up until today, I haven't bothered to review ""The Godfather"". After all, everyone pretty much knows it's one of the greatest films ever made. It's #2 on IMDb's Top 100. It won the Best Picture Oscar. And, there are nearly 1600 reviews on IMDb. So what's one more review?! Well, after completing 14,000 reviews (because I am nuts), I guess it's time I got around to reviewing a film I should have reviewed a long time ago. So, here goes....the film is perfect and only a dope wouldn't watch it. Unfortunately, IMDb requires me to say more to meet it's 10 line minimum for reviews. So, I'll point out that you do NOT need to like gangster films to enjoy this film. Yes, it's violent and nasty in spots--but it's also brilliantly written and produced from start to finish and deserves the accolades it's received.",e
6,14 October 2006,mattrochman,10," Initially, I wasn't a fan... but then I realised","This is a masterpiece. A timeless masterpiece. Initially, I didn't like this film all that much - I found it rather over-hyped and boring. This was until the advent of DVD, which gave me the feature I needed for this sort of film: subtitles. Once I switched them on and heard (read) every last word of Brando's ramblings and other characters ramblings, I grew a true appreciation for this epic.",w
7,18 July 2010,TheLittleSongbird,10, I'm finding it hard to describe how amazing this movie was,"There is very little that I can add to the reviews on here, that have explained what is so wonderful about The Godfather so well. I have seen many amazing movies, as well as some clunkers, but The Godfather was beyond amazing. There are so many images, details and scenes that I seriously cannot get out of my head since watching it for the first time just nine hours ago. The Godfather is so incredibly well-made and acted that it stands out among the rest of those other amazing films I've seen, so much so I couldn't think of a single flaw, and I am struggling to think of a good enough reason to why I didn't see this film before now.",/
8,30 September 2005,SJ_1,10," ""The Godfather"" is pretty much flawless, and one of the greatest films ever made","Rather than concentrating on everything that is great about The Godfather, a much easier way for me to judge its quality is on what is bad about it. Almost every film has something that I don't like about it, but I can honestly say that I wouldn't change anything about The Godfather. There is nothing weak about it and nothing that stands out as bad. That's why it gets ten out of ten.",r
9,1 April 2014,Leofwine_draca,10, Everything you've ever heard is true...,"THE GODFATHER is quite simply a masterful piece of film-making, an epic in the truest sense of the word and by far the finest gangster film ever shot. Made with finesse, style to spare and a director who elicits pitch-perfect performances from a talented cast, this is movie-making as it should be.",w
10,29 June 2008,DaveDiggler,10," An Epic, Masterful Look into the Underground World","""The Godfather"" simply put, is one of the greatest films of all time. The script is thee best I've ever read. The direction is flawless. The acting may very well have the best ensemble cast in any movie I've ever seen or will ever see. It's also one of the most precise and intricate films I've ever come across as writer, Mario Puzo brings out some of the most hidden and guarded secrets of the underground world ever captured on film. Watching ""The Godfather,"" is like watching cinematic art. Francis Ford Coppola's direction is what brings this film, that's so ambitious and so grand, down to earth with precision direction as he handles each and every scene with such care. The film starts with a black screen and an opening monologue from an undertaker. As the man starts talking about honor, family, respect, and justice we are pulled right in on his luminous eyes as he stands in near darkness. He begs for justice since the American system has failed him. He goes to Don Corleone (Marlon Brando) for justice. Don Vito is the man of power. He's the one who pulls all the strings and watches his puppets dance from behind the stage and out of sight; untouchable, or so we think. Some of the greatest moments in the film- and very intentional to show the distinguishable difference between Michael and Vito- are of Vito crying over his son, Sonny's (James Caan), death. When Michael learns of the news, he has little reaction. Two of the most emotionally powerful scenes in the film are from the cause of a loved one that has died long before he should have, and they come from Brando. As Vito stands over the body of his son he nearly breaks down. There is clash of feelings between the two men that are never conflicting, but compared. ",3
11,16 May 2001,mm-39,10, perfect,"This movie is strong, good script, great casting, excellent acting, and over the top directing.  It is hard to fine a movie done this well, it is 29 years old and has aged well.  Even if the viewer does not like mafia type of movies, he or she will watch the entire film, the audiences is glued to what will happen next as the film progresses.  Its about, family, loyalty, greed, relationships, and real life.  This is a great mix, and the artistic style make the film memorable.",3
12,8 May 2021,nathanmanson,7, Why didn't I enjoy this as much I should've,"I'm 21 years old and this is the first time I've watched the godfather. I feel like I've missed something, like I definitely enjoyed the film but it was dragged out way longer then it should've. There was definitely a few pointless scenes. I can understand this was way ahead of its time but I'm obviously watching this 50 years late. Which is the reason I believe I didn't enjoy it as much as the rest of you. If you read the rest of my reviews of old film I actually really enjoyed them so don't blame it on my youth. I'll definitely watch the second one aswell at some point and I'm sure I'll really like that one but I've seen films I've given an 8 that are way better. Marlon won the Oscar for best leading role but I think he should've won best supporting role and Al pacino should've been put up for the Oscar. Marlon wasn't in the film nearly as much as I thought he'd be. All in all it definitely wasn't a bad film, in fact a good film but that's all just a good film.",3
13,26 May 2014,eric262003,10, The Geatest Movie Ever Made,"You can't really criticize a film like ""The Godfather"", especially from a younger-type guy like me. Since its release in 1972, ""The Godfather"" has been highly praised by fans universally. It's extremely hard for a person who has never seen ""The Godfather"" without having high expectations because millions of people, maybe more have been talking about how wonderful it is. But as a film critic who has seen the movie several times and has read the novel that it was based on by Mario Puzo, this movie really deserves the credibility it gets. It really is that special. The film is a gripping epic that indulges the viewer with plenty of unsuspecting twists and a plot that works in a multitude of dimensions. The mobster's depicted here face many trials and tribulation that involve marriage, favours, family struggles, turncoats, tragic events, violence and rigor mortis.",3
14,25 December 2002,ks4,9, Magnificent portrait of organized crime,"This is by far the best movie ever to give a portrait organized crime, this movie goes deep inside and shows it all inside out..",7
15,8 September 2015,ironhorse_iv,10, The Godfather make me an offer that I cannot refuse. This movie is a masterpiece.,"It's basically impossible to watch this movie directed by Francis Ford Coppola, without already knowing some of the major themes, motifs, plot twists, within author Mario Puzo's story; due to how popular the film is. Even, if you haven't saw the movie, you probably heard of it. If you had, saw it. You might agree with me, in scope, that this movie is indeed, one of the greatest films ever made. Based off, Mario Puzo's 1969 novel with the same name, The Godfather tells the story of Michael Corleone (Al Pacino) on his journey, from reluctant family outsider to ruthless Mafia boss, during the criminal drug wars of the 1940/early 1950s. Without spoiling the movie, too much, I found that a lot of critics, overpraise Marlon Brando's work in this, a way too much. Don't get me wrong, Marlon Brando does deserve, a lot of credit for making his character, the patriarch Vito Corleone, so iconic. I just don't believe, that he deserve, the Oscar for Best Actor, that year. In my opinion, Al Pacino should had be nominated & won. After all, Michael is pretty much, the main character, not Vito. Also, Pacino is the one actor that kept the movie, going, with his great range of emotional. Brando show-what disappears, toward the middle of the film. If any, Brando deserve to win, Best Supporting Actor at the Academy Awards, because Brando's acting is secondary to that of Pacino. It's not personality, it's only business. Besides that, the acting throughout the film was well-performed, from all the actors. I just wish, there wasn't much, many characters. It was so hard to keep track of each one. Some actors, worth noting for their performance are James Caan as Michael's hot-headed brother, Sonny Corleone, Robert Duvall as Irish lawyer, Tom Hagen, Diane Keaton as Michael's girlfriend, Kay Adams & last, John Cazale as Michael's weaker brother, Fredo Corleone. As much, as I despise, certain gangster films. There was something, likable with these characters. Yes, they do, horrible stuff, but you can't help, feeling bad for them. Indeed, keep your friends close, your enemies closer. Not only was the film had gifted actors, but it was very well-shot. I love, how the film used doors, as a way to symbolize, the different between family life, and 'the family life'. A great example of this, was the last few minutes of the film in which Kay finds out, the truth nature about Michael. It's a crucial theme of the film. The five families are essentially living the American dream with specific ideals that America at the time greatly treasured. One could easily see this as a deconstruction or even an attack on the idea of the American Dream. So it was no surprise that the families met inside a Federal Reserve Bank. Talk about smart! I also like, how the movie has this stark bleak look to it. All the colors in the film, looks so muted, as if to say, this gangster film was indeed shot in early 1940s, technicolor. I like how, clever, the filmmaker was, when using bright colors. Most of the only bright color, used in the film, was orange. It was used as mostly an item, like a fruit symbol. It representing sin, and greed. It's as if it was the forbidden fruit, in the bible. It was also, used as a sexual way to show impending judgment. Everybody that got near it, end up, dying in the film. While, the movie has tons of other symbolism. It's also shroud in darkness and mystery. The movie even has a few film noir inspire scenes, where shadow, become a big factor to show, how shady, the underworld, can be. Vito's daughter's wedding scene shows the best of this. The movie has a lot of violence as well. Scenes like the real horse severed head were pretty gruesome. Still, compare to modern day, gangster movies, the sex, drugs and violence is pretty tame. For the most part, the movie kept to a somewhat classy mode with its subject matter. I do like the editing. The whole baptize sequence was amazing to watch. The pacing for the film is a mixed bag for me. There were some parts of the film that I kinda found boring or out of place, such as the Sicily, Las Vegas & Hollywood scenes. It felt like, I was watching two different films, due to how unfamiliar, each of those scenes, were, when comparing to the New York settling. I just glad, they were very short. The film also drops a lot of the novel's subplots, such as Sonny's mistress, having a large vagina, and having to get surgery on it. Another thing worth cutting is a lot of Johnny Fontane (Al Martino) and Lucy Mancini (Jeannie Linero) scenes. In the novel they both get big story lines nearly the equal of the main storyline with Michael. I'm glad, they cut it out, because it was too jarring. Though one major one, they cut out in this film: Don Vito's youth and rise to power came back, as part of the sequel, 1974's the Godfather: Part II. Happy, that they found, a way to add that, back in. Leave the Fontane BS. Take the cannoli, instead. The film score by Nino Rota was great. You really think of the word 'mafia' when you hear that tune. While, the film doesn't deliberately speak that word, it did expose, what was then, a mostly hidden underworld of Mafia organizations. Overall: While, some big time criminals and even some stars, like Frank Sinatra were against it, and boycott the film, but they couldn't stop the movie, from being made. The Godfather continues to influence producers of films, television shows, and video games more than 40 years after its release. It's a classic.",6
16,9 March 2008,bkoganbing,10, The Don And His Sons,My nephew who is all of 17 told me in no uncertain terms that movie making with him starts with The Godfather. He doesn't believe anything made before it is of any great merit. For him The Godfather is like The Birth of a Nation. ,6
