Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,9 November 2018,cinephile-27690,10," ""Not everyone can become a great artist; but a great artist *can* come from *anywhere*""","That's what the food critic, Anton Ego, says in his review of the movie's restaurant at the end of the movie. That is a good way to sum up Ratatouille.",/
1,9 July 2007,planktonrules,10, One of Pixar's best,"This film is exactly what Pixar needed to steal the thunder from Dreamworks' latest release, SHREK III. In many ways, this is very ironic, as one of Pixar's best films, MONSTERS INC., was overwhelmed when it was released due to the first SHREK's success. I honestly think if SHREK hadn't been such a wonderful movie, people would have noticed that MONSTERS INC. was an exceptional film. Now, Pixar gets some payback with one of their best, RATATOUILLE.",r
2,4 May 2019,Hitchcoc,10, Among the Greatest Animated Features,"The absolutely absurd premise of a rat becoming a great French chef is brought to fruition by Pixar. It starts by being amazingly colorful and capturing the world of food. Secondly, it is downright funny but does not insult the intelligence of the viewers. Food becomes the background for everything and as the tiny rodent gains popularity, we are pulling for him. This is such an intelligent film and it works at every level.",e
3,18 October 2020,Xstal,9, A Feast for the Soul...,"Taking great ingredients including but not limited to, an endearing story with meaning and a message, superb and breathtaking animation, brilliantly voiced narration and as cute a rattus rattus you're ever likely to encounter. Combined, refined, formed and baked to perfection, the result, a jaw dropping piece of film that you can perpetually admire, enjoy and savour.",v
4,17 June 2007,PoisonKeyblade,10, Best Animated Film in Creation,"The combination of Disney and Pixar never ceases to amaze, but with Ratatouille, their newest effort, animated features are brought to new heights with the best one to date. Ratatouille is stunning, surreal while at the same time realistic, and a joy to watch. The writing is, in one word, just amazing, and the voice acting is sensational. The characters are poetic and real, and the rats are some of Disney/Pixar's cutest creations. Ratatouille is written and directed by Brad Bird (The Incredibles), and features stellar voice acting from Peter O'Toole, Patton Oswalt, Ian Holm, Brian Dennehy, Lou Romano, Brad Garrett, and Janeane Garofalo.",i
5,17 June 2007,willden21,10," An Amazing film, made for film lovers, with an artistic/indie appeal","I caught a sneak peak yesterday, and must say, this film is a classic. It is not as flashy as cars, or as action packed as Incredibles, but it is a masterpiece of restraint and heart, that matches the classics from the golden age of the film industry. Pixar has always been groundbreaking for smart and fun animated features, but Ratatouille might just be what puts them over the top as one of the BEST all around film-making teams in history.",e
6,17 June 2007,stalcup,10, Incredible,"Remember how everyone was talking about Toy Story when it first came out? The incredible visuals, unique style, vividly imagined world? The next time people were talking that way with such enthusiasm about a computer animated movie was Finding Nemo. I'm excited to say that Ratatouille will be the next one to redefine the visual creativity and technical detail of computer animated movies. Honest to goodness, I was awestruck by the animation, and that never happens to me. It is a visual masterpiece of a movie if ever the term applies.",w
7,29 June 2007,Quinoa1984,10," truly devilish fun and mind-blowingly entertaining as classic cartoon style, but also very successful in storytelling- magnifique!","It's pretty easy to make little rodents charming and fun characters (just ask Disney himself, to a clichéd extent), but it's even harder to make them work in such a way that's original and exciting as comedy in conventional ways for today's audiences. But Brad Bird shouldn't be lumped into the group of today's CGI animators. He doesn't really think in those terms, but rather in how to make things look real, and yet at the same time keeping in full mind that it's a cartoon, not reality. This goes not simply for the rats themselves- the funniest, probably even funnier, that Disney's remotely had to market since the Great Mouse Detective- but the human characters too, who have their own distinct shapes and qualities based on personality and relevance to the story (whether they're good or bad, or maybe even more complex too). He places the designs for the characters right up there with the rest of the atmosphere, and then also adds in just the right way to make that wonderfully formulaic Pixar storyline- you know a lot of what may unfold, though not everything, and you know that you're in excellent hands because of the levels of detail and nuance in the comedy chaos at times. It'll be hard to beat this (to put it in a corny phrase) 'gourmet selection' as the best animated film of the year, and certainly the best that Pixar's done since, um, the last Brad Bird movie! ",/
8,16 June 2007,ashowen,10, Another Disney-Pixar Masterpiece!,"This film is fantastic! Pixar has yet another great film to add to their impressive repertoire. Oscar-winning director and screenwriter Brad Bird, who wrote and directed ""The Incredibles"", has produced a film with subtle humor, heart, and very profound truth. The voice actors are so great, and it is especially great to hear Peter O'Toole on the screen. The animation is beautiful and it is all around an excellently made film. Its message is one that holds so much truth for everyone, especially today's youth: it tells people that no, not anyone can do anything, but if you have the talent you don't have to be limited by your surroundings or your upbringing. I think this is refreshing to hear because often, children are lied to when they are told they can do anything, when actually not all of them can. But it offers hope to the ones who may feel limited by their social class. It also exposes the fact that most people try to put up false facades of themselves to hide who they are in order to feel accepted by the social standards we create in our society; it shows characters with this flaw, but ultimately they accept this reality and learn to be true to themselves. This thread, I think, is very common throughout the Pixar films, and they present it very well. ""Ratatouille"" is my new Disney-Pixar favorite! ""Ce film a pleine de joie de vivre!""",r
9,10 August 2007,DICK STEEL,10, A Nutshell Review: Ratatouille,"The Pixar juggernaut continues! I've always been enthralled by the movies that Pixar puts out ever since Toy Story, and through the years, Pixar has built a brand of trust amongst movie goers, with quality storytelling using animation as a tool to tell them, not because it's cool to do things through the medium, but that it adds a certain powerful, believable dimension, with stories rooted to universal themes, yet jazzed up by the structure in which it's told. The Incredibles ranked amongst my favourite so far, but writer-director Brad Bird has topped that with Ratatouille, a story about a rat, and probably the most mature of the Pixar stories to date.",w
10,11 June 2007,superfan18,10, Excellent movie!,"Tonight I went to see Ratatouille during a preview offered to Myspace users in Boston. Overall the movie was GREAT! It was really funny, often in unexpected places, the storyline kept you engaged the entire time and the overall mood was lighthearted and inspiring. A real ""feel-good"" movie. I admit I was a bit skeptical going in, I mean the idea of a rat in a kitchen kind of left me queasy, but I left the theater excited to see it again when it is released. The voice actors are excellent and the animation is amazing. I've been to Paris before and the overall views were very accurate. At times I could tell exactly where in the city the events were taking place. Overall a fabulous movie, I highly recommend it!",3
11,17 June 2007,mstramba,10, Pixar's best yet !,Fantastic ! ... Can't wait to get the DVD ! The technical / animation / lighting ..etc aspects of the film are awesome. Pixar has raised the bar again.,5
12,28 December 2018,cricketbat,9, Features one of my favorite animated movie moments of all time,"Not only does Ratatouille do a fantastic job of portraying the joy of eating, but it also features one of my favorite animated movie moments of all time (the childhood flashback scene). Yes, the premise is goofy and, yes, rodents are actually pretty disgusting, but that doesn't make me love this movie any less. This is one of the Pixar greats.",9
13,22 January 2008,bobsgrock,10," Amazing, spectacular, and perfect.","The greatest test of whether or not a film is truly admirable is how well it holds up years after its release. It has been almost three years since Ratatouille has been released and I have now seen it at least four times, maybe more. I am proud and thrilled to say that it has not lost any of its charm, still looks amazing and holds up better than almost any film I've seen as many times as I've seen this.",6
