Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,21 March 2006,ccthemovieman-1,8, The Loves Of 'Toto' Beautifully Told,"After seeing this special edition DVD which shows the entire 174-minute film (in addition to the 121-minute one that most of us had seen over the years,) my rating of this film was elevated. This review is of the longer ""director's cut.""",/
1,1 July 2002,preppy-3,10, Classic,"This 1988 Italian film (released in the US in 1990), is back with a full 51 minutes added on. This seemed like a stupid idea...there was nothing wrong with the original. The directors cut (which was 1/2 hour longer) was considered a mess. Also, for this release, an extra 1/2 hour was added! I expected the worse. Well, I was pleasantly surprised that this 3 hour version is better than the 2 hour one.",r
2,12 February 2005,caspian1978,10, Every Filmmaker's Favorite Film,"Giuseppe Tornatore's Nuovo cinema Paradiso (Cinema Paradiso) is everything good about the movies. It is a story about love. The love between a Father and Son, an Individual and his home, and the love for the movies. Even if this is not your favorite film, if you are a filmmaker, you have no choice but to say this is your all time favorite film (if not one of the greatest films ever made). If only for the movie's ending, this is a great film. The ending answers all of your questions and completes the story. The missing love from a Man's life. The missing pieces to all the stories (movies) found and made into a whole. The final message from beyond the grave, the ending is perfect. If the musical score doesn't put you in tears, the amazing visuals will push you over the edge. This is what all movies should be about. Terrific.",e
3,19 March 2020,boblipton,10, A Movie For Movie Lovers,"Is there any way for someone who has chosen the movies over life to write anything sensible about this movie for an audience who have made the same choice? I could talk about the way that Philippe Noiret's performance dominates the movie, but he is the only actor who plays his role from start to finish. Certainly, if Giuseppe Tornatore had set out to make a feature intended to win a Best Foreign Picture Oscar, he couldn't have plotted more cannily.",v
4,16 June 1999,doeadear,9, A beautiful film about the love of movies and life,"I continue to be moved and deeply touched by this beautiful film from Italy, and I never tire of watching it. I share the lives of Toto and Alfredo, the small Sicilian boy, who loses his father in the second world war, and the older man who runs the projector at the local cinema. Toto lives in a world of make believe, movies, adventure. His dreams take him away from the small Sicilian village where he lives with his mother and sister. Alfredo becomes for him a surrogate father, and the movies, his paralell existence. It is a deceptively simple film, which sweeps you up and carries you along. You never want it to end. And, when it does end, it is with such heartbreaking simplicity, I cannot help being moved to tears. Young Salvatore Cascio is a marvel as the small Toto, a mischievous, impish, adorable child. Phillipe Noiret is unforgettable as the sly and heart-warming Alfredo. You grow up with Toto, until he becomes a famous film director in Rome, and returns to the small village after many years for Alfredo's funeral. It is the story of life, lost love, devotion, friendship, and family. It is unforgettable.",i
5,30 January 2005,darkside2003,10, A Masterpiece,"I seldom watch Italian movies, (i saw it today for the first time) being Italian maybe i'm biased, but this one really stands out. A real masterpiece; i can't remember another movie so moving like this one, maybe Schindler's list; it makes you laugh and it makes you cry, yet it is so simple and straightforward. Maybe there lies its magic: no Hollywood superstars, no special effects, just pure emotions and feelings, love, fear, grief and regret, nostalgia for childhood and youth, memories of places and times that will not come back, memories of the loved ones. Some movies are there to entertain, some to scare, some to question. This movie is there to affect your feelings. Definitely to be seen.",e
6,17 July 2011,TheLittleSongbird,10, One of the best and most moving films of the 80s,"As a big lover of film, I am still kicking myself for not seeing this masterpiece any sooner. To me, Cinema Paadiso is one of the best films of the 80s and also the most moving, particularly in the final hour.",w
7,29 November 1999,michaelsjmurphy,10, As Good as Movies Get,"Movies can wield a strange power over those who sit in the darkened seats of a theatre.  The truly great ones manipulate your perception of reality, suspend your disbelief, and ultimately either alter or affirm your view on life.  NUOVO CINEMA PARADISO is just such a movie.  It is the near-perfect melding of direction, acting, script, sound track, and cinematography. Phillipe Noiret and Salvatore Cascio give the kind of performances usually associated with much more recognizable actors.  The supporting cast looks like they could all be full-blooded Sicilians.  The location shots add depth and realism to the entire production.  Ennio Morricone's music is simply the most appropriate and emotive I have ever had the pleasure to hear in a theatre.  Tornatore's script and direction are a joy, a breath of fresh air.",/
8,16 May 1999,*DATo*,10, Personal Favorite,"Whether you are a professional or an amateur it is always wise to avoid superlatives with regard to a movie critique ... but I cannot. 'Cinema Paradiso' is simply the finest movie I have ever seen. Like many who have posted at this site before me I have seen it many many times. It reaches within me to places other movies have never reached and I have often wondered why. Perhaps it is because of it's simplicity. It contains no expensive special effects, it has no gratuitous sex or violence, it has no ""multi-millon dollar per performance"" actors that I know of, it is arguable whether it even has a story line, and yet it soars far above the nonsense that film makers are producing these days. It's characters are portrayed by each and every actor in award winning style and the music is not only beautiful but absolutely perfect for this film.",r
9,26 January 2016,Hitchcoc,10, A Film for the Ages,"A village comes to life as a man dreams of a character who directed his entire life. He was a projectionist a run down movie theater which formed the center of entertainment in the community. We are introduced to Toto who lives with his mother who waits for her husband to come home from the Russian front. He is a scalawag who disobeys her and finds ways to spend time with Alfredo, the protectionist. He is in constant trouble but always comes to this man for direction, even though the guy finds him to be a pain in the butt. One night, the movie projector catches fire as does the film (nitrate film did this in the early days) and blinds the old man. Toto becomes the projectionist, even though he is but ten years old. He also becomes the eyes of his friend. He stays at the job, ignoring school, and eventually makes some modest films himself. As he does this, he sees a beautiful young woman with whom he falls in love. This whole film captures the essence of the city. We get to know a multitude of characters because their lives revolve around the movies being shown at the Cinema Paradiso. Toto (not his real name) returns to his home when his mother leaves a message for him that Alfredo has died. He has really cut off ties with the place and it is a painful trip back. But it pulls at our hearts. Things are almost magical. One of the best films every made.",w
10,7 August 2019,rdmcflyers-95247,10, Beautiful,"Absolutely one of the most beautiful, touching movies I've ever seen. Superbly acted by everyone and totally touched my heart. When he's watching the movie reel at the end I felt an overwhelming feeling of nostalgia, love and happiness for a time gone by when movie theaters were special places to go to lose yourself for a short time to something wonderful. A must see film.",4
11,10 April 2020,krational66,9, Film Heaven,"Youth is a kind of capital, and nostalgia only belongs to the old.
When a world collapses, you always see some people crying and others smiling. It is always the young who laugh, for they look forward and see that the destruction of the old world means the birth of a new world.
I don't know why, after watching ""cinema paradise"", the deepest picture in my mind is that when the cinema collapsed, the smiling faces of the young people, the thunderous applause filled the air of the small town, accompanied by the sigh of the old people.
Heaven belongs to the nostalgic, because it is a simple and innocent ideal of the past. The past is a dream, that's why it's beautiful. Time will beautify all cruel things, to wear a hazy veil of pain.
The old evert said to the young saverto, ""you are so young, the world is yours. And I'm old. I don't want to listen to you any more. I want to hear people talk about you. ""Such a sincere piece of heart, hidden, but all is a vision of the future. Only youth is always looking forward, in the long stream of time, is a little optimism and hope for the faith.
So saverto left, with lost love and a broken heart, never to return.
If there is no expectation of the eternal, then love is just a dream, but, leave that little expectation, life from then on to bear such a heavy cross.
The immortal cross, how could savertu not understand? The 30 dazzling years in the movie are actually 30 365 days in real life. Cut out the banal, trivial, realistic details, so that the past 30 years ago is such a beautiful story.
Unfortunately, that's just the story.
Children always love fairytales. They have no past and have no time to remember their short life. They expect to hear the ending that the prince and princess live happily ever after. When young, is never to think, in fact, the end is just a beginning, and the real end, is writing behind the endless trivial and trouble.
The king may also die in battle one day, leaving the widowed queen alone. Their children may be demented. Somewhere in the palace garden, love is rotting. One day, when all the people are old, only the wrinkles of the eyes are still flashing a little clear light, perhaps only then, is to write the real ending time.
But everyone did not like to hear such stories, young people, happy to witness the birth of a new world, but do not want to go to the old world that was full of joy. When we go to remember, perhaps, our hearts have been old.
I guess I do.",2
12,5 February 2005,phaneendrakumar,10, Great movie.. with excellent background.,This movie definitely is one of my all time best movies. Director Giuseppe Tornatore placed himself in the list of the best directors. The usage of an excellent background score is a trademark of his movies and this movie is not at all a different case.,7
13,5 March 2014,ma-cortes,7, Stunning film with great sense and sensibility ; being compellingly directed by Giuseppe Tornatore,"Colorful and moving flick dealing with a wonderful friendship between a little boy and a solitary projectionist . However , being overly nostalgic , too sentimental and overwhelmingly sweet . Attractive and sensitive picture with stirring drama , ravishing cinematography and enjoyable musical score . A filmmaker (Jacques Perrin , he subsequently became a notorious director) recalls his childhood (Salvatore Cascio , Toto , who celebrated his eighth birthday during filming) , when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist (Philippe Noiret who said all his lines in French) at Cinema Paradise . The director goes back home to his Sicilian village for the first time after almost 30 years and is reminded of his first love (Antonella Attili) . ",7
14,12 July 2006,planktonrules,10, About as good an Italian film as you can find,"With the exception of a few of De Sica's films during the Neorealist days of the 40s and 50s, I think this is the finest Italian film I have seen. It is highly reminiscent of Fellini's Amarcord, though even better (and that's saying a lot), because it offers a wonderful and nostalgic look back at how life used to be. And, it is told so gently and affectionately that you can't help but love the film and the characters. The film is named after the local theater because it is the focal point for this community through the many years the film encompasses. Gentle, beautiful and full of humor and grace--this is a wonderful film for pretty much the entire family and you can't help but admire all those associated with it.",1
15,7 February 2021,stevelivesey67,10, A Perfect Movie,"Genius, masterpiece, (insert superlative here).
Tornatore's finest achievement is nostalgic and romantic in equal measure.
Watch the long version, it adds a more perspective to the heartbreaking ending.",4
16,24 November 2006,lee_eisenberg,10, In memory of Philippe Noiret,"Philippe Noiret's death yesterday brings to mind all his movies, including ""Nuovo cinema Paradiso"". The first time that I saw this was right after I had seen ""The Postman"", and I recognized him as the man who had played Pablo Neruda. Here, he plays an equally great role, of the operator of a camera in a movie theater in an Italian village in years past. His friendship with and advice to young Salvatore proves to be more than the boy could have ever dreamed about. In a sense, the movie seems to be a look not only at what Italy was, but also what going to the movies was. It's definitely a masterpiece that I recommend. There may be the issue of whether or not we should make Italy's past look so idealistic, given that Mussolini was in power at the time. But I would assert that this movie shows that even in times of oppression, people can find ways to escape it. A really good movie.",4
