Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,15 March 2008,preppy-3,10, A true Hollywood horror story,"Hack screenwriter Joe Gillis (William Holden) accidentally falls in with faded screen legend Norma Desmond (Gloria Swanson). She lives in a crumbling old mansion with her butler Max (Erich von Stroheim). She refuses to believe that she's no longer remembered and will never make another movie. She gets Gillis to stay with her and rewrite ""Salome"" which she thinks will be her comeback. Gillis has no other choice and things slowly get out of hand.",/
1,11 April 2004,FilmOtaku,9, Another Billy Wilder masterpiece,"I have yet to see a Billy Wilder film that I haven't loved, and Sunset Boulevard is definitely one of those films.  It's interesting to watch the film during different times in one's life  when I was a child watching this film, I thought the story was good and that Norma Desmond (Swanson) was a pretty scary lady.  In my teens/college years, I appreciated it as a certified classic and for its commentary on Hollywood.  Now, in my late 20's and early 30's I found it to have a different impact on me  I was saddened by Desmond's mental illness, and when she makes her final descent down her staircase and utters her famous line as the camera pans the faces of the people around her, so full of pity, and the care her butler/ex-husband takes to make sure she's happy for maybe the last time in her life made more of an impact on me than any other time in the 20-odd times I've seen this film. There are only a small handful of central characters in Sunset Boulevard and they are so richly written that this film will remain timeless.  There are not a lot of `dated' themes in this film  the circle of life that is Hollywood isn't going to be much more evolved in 2050 than it was in 1950. If you haven't seen this film, watch it because there is something for just about anyone in this film.",r
2,22 April 1999,Don-102,10, The Hollywood Myth FOREVER Shattered !!!,"Until 1950, American films were strictly entertainment, some deeper than others. Studio executives were very protective of image and star-making. In essence, everything seemed perfect. Billy Wilder, Charles Brackett, and D.M. Marshman, Jr. created a stunning work of art that splits the Hollywood sign in two and exposed a dream factory for what it really is: a struggle to both gain and keep notoriety in the limelight. ""Norma Desmond"" and ""Joe Gillis"" are at opposite ends of this warped Hollywood mindset, with Gillis, played by that most cynical of actors, William Holden trying to pay the rent and Norma (Gloria Swanson) living a lie as a silent queen whose star burned ""10,000 midnights ago"". How a picture with such a snide look at the industry could come out in 1950 is simply mind-boggling, considering some of the light fodder that came out of Hollywood at the time. It has inspired many modern day disciples such as Altman's THE PLAYER, and Sonnenfeld's GET SHORTY, both of which took their vicious, hilarious parodies to the jugular of the movie capital of the world. SUNSET BLVD is the father of all socially oriented pictures regarding the movies and is by far the best.",e
3,3 September 2021,AlsExGal,10, A popular opinion is to believe Joe is a cad BUT...,"... how would you feel if the sexes of the characters were reversed? Suppose it was a woman writer trying to break into Hollywood, completely broke who, due to a flat tire, wanders into that big mansion. Pretty much financially cornered, she agrees to a job reworking some old film star's (let's say John Gilbert lived) script and comeback vehicle and slowly, what independence she has is taken away - her things are moved from her apartment where she is behind on her rent into a room over the garage at the mansion, her host sits by and lets her car be repossessed, she is never paid the promised cash for her work, a bad rainstorm moves her from her room over the garage into a room in the main house where there are no locks on the doors and thus no privacy, and then the seduction. Who would be the cad then?",v
4,29 August 2005,jotix100,10," ""Mr. Wilder, I'm ready for my close-up""","Billy Wilder and Charles Brackett were about the best writing team in Hollywood for more than three decades. ""Sunset Boulevard"" shows the men at the pinnacle of their profession. Billy Wilder directed the film with his usual panache at this nostalgic look at a Hollywood that had faded almost a quarter of a century before. If you haven't seen the film, please stop reading here.",i
5,28 January 2023,Sleepin_Dragon,10, 'Crumbling apart in slow motion.',"Down on his luck writer Joe Gillis is desperate for cash, one day he breaks down outside the home of reclusive silent actress Norma Desmonde, who quickly moves him in, and imagines returning to Hollw8.",e
6,15 April 2007,Nazi_Fighter_David,9, A film packed with unforgettable moments,"Although at that time she hadn't appeared in a film for several years and wasn't to make one for several for several more, Gloria Swanson remained a presence in the Hollywood of the thirties, the only legendary silent star to sustain an image and continue to interest the film studios, which put her under contract and announced her to star in a series of projectsnone of which were realized While she wasn't to regain her former eminence until her celebrated comeback as Norma Desmond in Billy Wilder's ""Sunset Boulevard,"" a scathing satire on Hollywood and the self-delusions of its former heroes, she maintained her silent-screen image as the personification of glamor, and as such wasn't the initial choice for the role of the faded silent star ",w
7,26 March 2001,rupie,8," weird, bizarre, fascinating, great","This movie deserves all the accolades it has gotten here, as well as ""Maltin's"" four stars. It certainly ranks up there as one of Hollywood's greatest achievements. Seeing it again only reinforces my opinion that William Holden was one of the truly great actors of the last [!] century. Gloria Swanson, however, steals every scene she's in; you can't turn away from watching her, even though she makes you really uncomfortable - it's like watching a train wreck. I don't know if the black & white was an economic or an artistic choice, but the film would never have been as effective in color. The opening shot - the floating, dead body of Joe Gillis, eyes wide open, shot looking up from the bottom of the pool - is one of the great shots, and an unforgettable opener, matched perfectly by the unforgettable closing closeup of Norma Desmond. To have Cecil B. deMille actually play himself was an inspired touch. Throw in Eric von Stroheim and you have an unbeatable combination. Truly one the all-time must-see films, although I don't know how to classify it - film noir? black comedy? Hollywood fable ? horror story? psychodrama? Who cares; just see it.",/
8,2 February 2015,seymourblack-1,9, Living In The Past,"The advent of the talkies created possibly the biggest-ever upheaval in the history of Hollywood and the impact it had on the careers of a large number of the industry's popular stars at that time was enormous. Many whose voices seemed unacceptable because they were incompatible with their image or because of a heavy foreign accent, found themselves out of work as did others who were simply unable to adapt to the demands of the new era. Billy Wilder's ""Sunset Boulevard"" provides a fascinating insight into some of the more ruthless and unpleasant facets of the Hollywood system in a style that's witty, cynical and realistic and also features a number of actors whose careers were profoundly affected by the arrival of the talkies.",r
9,18 January 2008,claudio_carvalho,10, A Bitter and Tragic Masterpiece,"In Hollywood of the 50's, the obscure screenplay writer Joe Gillis (William Holden) is not able to sell his work to the studios, is full of debts and is thinking in returning to his hometown to work in an office. While trying to escape from his creditors, he has a flat tire and parks his car in a decadent mansion in Sunset Boulevard. He meets the owner and former silent-movie star Norma Desmond (Gloria Swanson), who lives alone wit her butler and driver Max von Mayerling (Erich von Stroheim). Norma is demented and believes she will return to the cinema industry, and is protected and isolated from the world by Max, who was his director and husband in the past and still loves her. Norma proposes Joe to move to the mansion and help her in writing a screenplay for her comeback to the cinema, and the small-time writer becomes her lover and gigolo. When Joe falls in love for the young aspirant writer Betty Schaefer (Nancy Olson), Norma becomes jealous and completely insane and her madness leads to a tragic end.",w
