Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,26 October 2003,FiendishDramaturgy,10, One of the most successful movies of all time (and I'm not talking about the Box Office take),"What made this the hugely successful triumph it was? Was it casting, music, imagination, ingenuity, or luck?",/
1,23 April 2016,ivo-cobra8,10," A classics, phenomenal and arguably the best sci-fi flick masterpiece!","Star Wars: Episode IV - A New Hope (1977) is a classic phenomenal arguably the best sci-fi film in trilogy away, the one that started all and arguably changed the face of cinema forever. I love this film is actually my number 1 favorite film in the franchise and it is George Lucas masterpiece - the man who make this film happening. He wrote and Directed him self, I love this film to death! I love everything that is in A New Hope. Before I go in to this movie I want to say after watching the new awful horrible movie Episode VII The Force Awakens, I decide to re watch the original Star Wars Trilogy and I have always loved A New Hope and I always will. This was the first film in the trilogy that I have saw as a kid and that I remember. Star Wars are starring Mark Hamill, Harrison Ford and Carrie Fisher.",r
2,16 January 2020,UniqueParticle,10, Legendary piece of cinema,"Only seen the original Star Wars films a few times, I tend to forget how great of a magical experience it is! A New Hope is so awesome in so many aspects especially the music and sounds of everything! It's amazing how it was made for it's time I still I don't understand how they did many things. I will admit it has a few bits that are boring but still glorious. Up until a few years ago I didn't see most of the films and I didn't understand the hype now I do in which I'm happy with them all even seen the new ones.",e
3,25 December 2005,Bogmeister,9," The Best of Sci-Fi Times,the Worst of sf Times","Though now known as ""Episode IV-A New Hope,"" for many of us, namely those of us who first saw this exhilarating entertainment in theaters back in '77, this will always be the first ""Star Wars."" We will always think of it as just ""Star Wars"" - plain & simple, no pretensions, no aspirations to deep film-making or high art. This is where we first met them all: Luke, Han Solo, Princess Leia, Obi-Wan Kenobi (old 'Ben'), Chewbacca, the 2 robots C3PO & R2D2 and, of course, Darth Vader. They were instant pop culture icons; you got the sense you'd seen them before somewhere, but were sure this wasn't possible. But they'd been there before in our minds. We'd read about them constantly in science fiction novels and short stories - tales of outer space civilizations, of spaceships zooming through asteroid belts, of exotic-looking aliens hanging around space ports. We'd dream about them at night and try to imagine ourselves in their midst; up until then, we could only imagine such things - there were no projected images to realize such dreams. ""Forbidden Planet"" from 1956 came close, and then there were the ""Star Trek"" and ""Lost in Space"" TV series, both hampered by dime store budgets and cheesy sets. We ate 'em up since there was nothing else. Then Lucas made it real.",v
4,27 July 2018,SantiagoDM1,10," The Force will be with you, always.","""A long time ago, in a galaxy far, far away...""",i
5,22 October 2003,Sfpsycho415,10, Where It All Began-----10/10,"I can never pick a favorite movie because different movies have different effects. Goodfellas is my favorite drama. Face/Off is my favorite actioner. But when it comes to pure amazement, nothing beats Star Wars. We are introduced to a whole other universe with different creatures, different lifestyles, and different history. We are dropped in the middle of an intergalactic war between an empire and a rebellion that has raged for years and left the universe in ruin. It was the most fascinating thing to see when i was eleven, but to this day i am still a Star Wars nerd.",e
6,22 November 2009,TheLittleSongbird,10, A milestone in film-making- a superlative sci-fi movie,"I couldn't have asked for anything more. Star Wars: A New Hope had it all. If I had to sum it up in one word, superlative would be my answer. I saw the film for the first time three months ago and loved it, and since then I have watched all the Star Wars movies. I was disappointed with the prequels (Attack of the Clones was my least favourite), but this, Return of the Jedi and Empire Strikes Back were perfection.",w
7,25 April 2005,budmassey,10, The greatest cinematic epic of all time begins here.,"Here begins the greatest cinematic epic of all time, and arguably one of the greatest stories ever told. Originally conceived as a serialized popcorn movie in the manner of the old action movies that Lucas grew up with, Star Wars surpassed even George's keen and bombastic imagination to become a central part of movie history.",/
8,31 December 2015,paul_haakonsen,10, The classic...,"Having grown up with the ""Star Wars"" trilogy, then ""Star Wars: Episode IV - A New Hope"" is a classic in every sense of the word. This is the epic story of good vs. evil and of light vs. dark. But it is also a story of heroism, bravery and adventure. I am an fan-boy, yes, but what is there not to love about ""Star Wars""?",r
9,19 November 2018,Anthonyjkb,10, Never gets old,This movie is a cinematic masterpiece that will be loved forever. The special affects are so good for 1977 and the soundtrack for this movie is amazing.,w
10,20 September 2010,bkoganbing,10, In A Galaxy Far Away................A Franchise Was Born,The awesome special effects and the creation of creatures that are part of the vivid imagination of George Lucas are not the reason for the enduring popularity of Star Wars and the franchise it spawned. Rather it is because of the characters Lucas created that will live as long as we have cinema and the means to display it.,0
11,29 September 2013,SnoopyStyle,10, Not just a great movie. It's important,"This story happened 'A long time ago in a galaxy far, far away'. The galaxy is under the dictatorship of the emperor. Princess Leia (Carrie Fisher) is part of the rebellion but is capture by the evil Darth Vader. Luke Skywalker (Mark Hamill) the young hero, Han Solo (Harrison Ford) the brigand, his sidekick Chewbacca, and the wise master Jedi Ben Obi-Wan Kenobi (Alec Guinness) must together rescue the princess and save the galaxy.",1
12,6 October 2008,Tweekums,9, A long time ago in a decade without CGI...,"When I first watched this in the cinema I was ten, it was 1977 and I'd never seen anything like it. It had me gripped from the start when a small spacecraft flew past being fired upon by another much larger one that was so big that it seemed to take ages to pass over the viewer. Unlike the recent prequels scenes such as this weren't cluttered with excessive CGI activity but instead showed what was needed in a way that hadn't been seen before. The special effects used throughout the film were ground-breaking for the time and still look great to this day, there is something more real looking about the models used when compared to today's CGI.",5
13,15 November 2005,MaxBorg89,10," In 1977, in a galaxy far, far away...","This great classic has so many good elements it's almost impossible to list them all: The breathtaking visual effects, still awesome 28 years on; the brilliant script, which mixed epic battles and duels with matinée-serial-style characters and dialogues; the debut of one of the greatest villains in cinema history, Darth Vader; John Williams'amazing and unforgettable score, among the Top 10 best scores ever...",5
14,1 January 2018,jay_amer,10, The Movie that Changed My Life Forever!,"This movie when I first saw it as a kid absolutely amazed me and put me into a world where I wished I could be! The story is absolutely genius, the characters are amazing! Everything about this movie is amazing! George Lucas made an absolute masterpiece of a film!!!!! May The Force Be With You!",9
15,9 May 2008,ShadeGrenade,10," A Long, Long Wait For A Movie Far, Far Away","This is not a review of the first ( and best ) 'Star Wars' movie. I take it, fellow I.M.D.B. users, that you are already familiar with the plot, characters and production history, and how its success changed the face of cinema overnight. So rather than rehash all the known facts, I want instead to recount a personal memory.",5
