Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,22 August 2021,jack_o_hasanov_imdb,8, Good,I didn't watch this movie when I was a kid.,/
1,16 January 2020,UniqueParticle,10, The most peculiar Star Wars and under appreciated,"Totally should've won at least some of the awards it was nominated for! A very different adventure story with lots of adorable characters, more truths and the epic Emperor Palpatine! I love all the majestic forest aspects. Still crazy to me that they filmed so many parts especially the chases. The bulk of this art in cinema is done so well and always entertaining. Quite lovable many years later and not many movies have that kind of force!",r
2,2 December 2005,evanston_dad,10," The Boy Who Loved ""Star Wars""","A long time ago, in a galaxy far, far away.....There was a boy who was only two years old when the original ""Star Wars"" film was released. He doesn't remember first seeing the movie, but he also doesn't remember life before it. He does remember the first ""Star Wars"" themed gift he got...a shoebox full of action figures from the original set. He was too young to fully appreciate how special that gift would be. But years later, he would get what to this day goes down as one of the best gifts he's ever received: another box full of action figures, ten of the final twelve he needed to complete his collection. It's now legendary in this boy's family how the last action figure he needed, Anakin Skywalker, stopped being produced and carried in stores, and how this boy went for about ten years (until he got into college) trying to track one down and finally bought it from someone on his dorm floor for a bag of beer nuggets (don't ask...it's a Northern Illinois University thing).",e
3,30 March 2020,bevo-13678,10, Good,I like the bit when the ewoks crush an ATST with two logs on a rope,v
4,12 February 2006,ccthemovieman-1,9, One Of The Best In The Series,"Up until the sixth and last episode of the Star Wars saga, which finally ended in 2005, I had always looked at this 1983 entry as my favorite film of the long-running series. The varied action scenes and really different characters (Jabba The Hut, furry woodland creatures, etc.) made this a particularly appealing movie.",i
5,8 April 2022,kevin_robbins,10, This movie doesnt get as much credit for its greatness that it should,"Star Wars: Episode VI - Return of the Jedi (1983) is a movie in my DVD collection that I recently rewatched on Disney+. The storyline follows the Jedi and Luke needing to save their ally, Solo, who even after being saved will need to settle his debt with Jabba the Hutt. Meanwhile, Luke seeks out Yoda to finish his training and the Jedi sets out for one last battle against the evil empire. For them to be successful, Luke will likely need to face his father one last time.",e
6,19 February 2019,P97,10, a lovely conclusion to one of the greatest trilogies of all time,"This movie might not be as flawless as the first two but everything involved with those throne room scenes were some of the highest points in the entire saga, the conflict between luke and vader, the emperor himself finally showing up for the first time and he's so good at being this manipulative evil, the final lightsaber battle is just breathtaking with that amazing music by john williams and the beautiful ending of the film that brings everything together, those moments alone makes this one of the most underrated in the whole franchise and in my opinion it's the second best movie behind the empire strikes back.",w
7,28 April 2016,ivo-cobra8,8," Flawed, very entertaining solid third sequel an epic conclusion to the original trilogy!","Star Wars: Episode VI – Return of the Jedi (1983) is a third sequel in the original Star Wars trilogy it is flawed, yet very entertaining solid third sequel and an epic conclusion to the original Star Wars trilogy. Honestly in my opinion Return of the Jedi is far way better film than The Force Awakens, that movie was a disaster and it sucked, I rather watch this movie any time. It is not my favorite film in the series and I don't love this movie that much like I love the first two movies, but I like it and it think it is very good at some points. The film has a lot of problems, that hurts the movie. I still have enjoyed this movie and I had a lot of fun. Return of the Jedi (1983) is directed this time from Richard Marquand a different director than it was directed from Irvin Kershner and George Lucas. This movie was released on the same year that I was born in 1983. The film is pretty good on it is own way, but on the other thing it suffers from problems and flaws.",/
8,18 October 2019,AlsExGal,7," 36 years and 737 reviews later, what is new left to be said?...","...Maybe my personal take? The original Star Wars (1977) was genre changing. The second Star Wars (1980) was an unexpected sequel, a blockbuster in every sense of the word. This third one....well, it made it easy to say goodbye for 16 years and to have lowered expectations when the prequels started arriving in 1999.",r
9,12 June 2022,poseyfan,10, My favorite ending of all time.,"There's a reason why Anakin Skywalker/ Darth Vader is my favorite character of all time. Even after everything he did, he still fulfilled the prophecy and brought balance to the force. The scene where luke takes off his helmet makes me tear up all the time. Poetry.",w
