Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,10 May 2023,poseyfan,9," A scene between an intelligent raccoon, a rabbit with artificial legs, a walrus with wheels and an otter with metal arms made me cry","Guardians of the Galaxy Volume 3 is chaotic, weird and oftentimes ridiculous, but it is also full of heart, emotion and great themes.",/
1,4 May 2023,ta-98251,8, A Fitting and Heartfelt End to the Trilogy,Having sat through some phase 4 films that failed to inspire... Guardians feels like a breath of fresh air. It's less a run of the mill superhero film and more a out of world space adventure handled with care by James Gunn.,r
2,8 May 2023,jace_the_film_guy,9, One of the Best MCU Trilogies,"Up to this point, there has been one trilogy in the MCU that has been excellent from start to finish. It's time to add another one to that list. ""Guardians of the Galaxy Vol. 3"" is a more than fitting conclusion to the narrative of these characters. James Gunn (writer/director) took his time creating connections and depth to each of the individual story-arcs.",e
3,7 May 2023,gcsman,9," This is one of the best MCU movies, hands down","""There is no God. That's why I stepped in."" I have to admit, this is one of THE best lines ever spoken by a supervillain - it concisely captures their whole reason for being. (Seems like that would have been a perfect thing for Thanos to say.) Oddly though, for once there's no real backstory for the High Evolutionary, as there usually is for Marvel villains, but that might have been just too much material. Quite appropriately, all the attention is really on our scruffy, argumentative, and lovable heros, the Guardians.",v
4,3 May 2023,breneff,9, A Beautifully Dark and Goofy Goodbye,"This. This is what I've wanted. Yeah some of the jokes are a bit too silly and the tone is a bit confusing at times. But the end result for me is probably the most heartfelt emotional reaction from me to a comic book movie since Endgame. It's not a perfect film, I am conflicted with what the did with Adam Warlock. And the main villain is a little hammy. But the personal relationship between the guardians and where they take them is dark, heartbreaking, and also beautiful. This is also the best performance from Chris Pratt probably his entire time playing this character. But the person who steals the show is Rocket. I don't know how but they need to change the rules degree voice acting performances can be nominated for Oscars because it was incredible. This is the most emotionally satisfying experience I've had with the MCU in a very long time. And every critic who is saying that the movie is too schmaltzy or sappy... doesn't understand how much these characters not only mean to people but also James Gunn. This isn't just a final chapter of a story, it's a goodbye to a set of characters and films that changed the landscape of not only the tone and vibe of superhero movies but also changed the fact that weird unknown characters who have strange stories can be highlighted in these films.",i
5,3 May 2023,AfricanBro,8, I am groot,"Firstly Adam warlock's intro was marvelous, which made me hate Kang's depiction in Quantumania even more because Adam seems way more hardcore than Kang was shown(shown, not talked about). Same with the high evolutionary, they delivered on their reputation.",e
6,4 May 2023,josephbannister,10, Best Marvel film this year,"It all leads back to where we once started off as all great trilogies have indicated from the past. But GOTG surpasses expectations with what is nothing short of phenomenal performances by the cast and truly well written and does not shy away from what could only be understood from what requires a sense of maturity to understand. Rockets back story alone is on occasion dark and incredibly sad it had me in tears at a few instances during the film. Honestly I did not expect this, James Gunn yet again provides an absolutely beautiful piece of cinematography and I have to say I really hope in the future they dive back into the story of the colony . With Adam warlock finally in the MCU it's most likely there will be some cameos. But it does deliver in the traditional guardians humor but this film is meant about more for the mature audience of marvel. Trust me this is a great film.",w
7,3 May 2023,georgewhittingham1,9, A perfect send off for the Guardians,A near perfect end to an incredible Marvel trilogy.,/
8,11 May 2023,Mysterygeneration,9," Finally, Marvel start to return to its roots","The most unlikely hit of Marvel's string of hits, in retrospect, focused on the most unusual of families. With a rowdy and frequently emotional sequel that seems very much like a proper finale, ""Guardians of the Galaxy Vol. 3"" makes that point with great effect. This is mostly due to writer-director James Gunn moving his skills to competitor DC.",r
9,3 May 2023,cthirlby,10, Emotional and energetic!,"This is probably my favourite of the Guardians Of The Galaxy movies. James Gunn toned it down in the comedy department with this one to give us a more complex, intriguing and serious story. The film kept all the charm of the crew in it and still had the unique style that the guardians movies have. Mostly to do with the music, always look forward to music in these movies and the soundtrack was fantastic! Emotional and energetic! I loved it! It managed to give us a really emotional story for Rocket whilst having time for everyone else in the film, it was very well written to do that with so many cast members involved. The Rocket storyline is absolutely tragic, and it was really upsetting to hear and watch, even made me cry. The things they did and hearing him cry and squeal as he was ripped apart was really sad and to have what happened to his friends too was the bit that made me cry, the pain of rocket is really heartbreaking as all he wanted to do was free his friends and live with them. There was a lot of shock in the film as things happened that I wouldn't expect and that was great too. Drax who we have had glimpses of has been fully fleshed out in this one with talking about his daughter again which is a big part of the character and him being told he was made to be a dad. Star Lord got more of his Earth story being told and going back to see his grandpa was really cool. Everyone else was really cool too and more Cosmo was awesome! Adam Warlock was good and I can't wait to see more of him but he was a side character for now. It was quite dark for a marvel film with bloody scenes and even the F word was in there! Really enjoyed a more gritty tone in marvel. It was an emotional journey with our characters for one last time and it was one that was awesome but made me cry. Can't wait to see the new guardians of the galaxy at play as they have really cool characters in that roster. Fantastic movie! Loved it to bits!",w
