Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,12 December 2005,EUyeshima,10, Ozu's Quietly Brilliant Masterpiece Deserves Your Attention,"I think this movie is amazing for reasons I was not expecting. I had heard of Yasujiro Ozu's ""Tokyo Story"" for several years but never had an opportunity to see it until Criterion resuscitated it as part of their DVD collection. Over fifty years old, this wondrous 1953 film resonates just as deeply today. Those outside Japan rarely get to see a Japanese film classic that doesn't involve samurai warriors in medieval battles. This one, however, is a subtly observed family drama set in post-WWII Japan, and it is the quietude and lack of pretense of Ozu's film-making style that makes this among the most moving of films.",/
1,22 March 2004,Galina_movie_fan,9, Universal appeal of Tokyo Story,"As with every great work, the film has its own unique perfection in style, rhythm, details, and artist's vision - but Tokyo Story is very universal in its appeal - it is for every parent, every son or daughter - for everyone. It was made 50 years ago in Japan, about people who lived far away, but it is also about all of us, our families, our problems, our guilt and our search for love and meaning.",r
2,1 August 2018,851222,10, Great movie,Greetings from Lithuania.,e
3,8 April 2007,GyatsoLa,10, A cinema of tears,"I can vividly remember the first time i saw this movie - it was during a festival of Japanese movies in an art house cinema here in Dublin. I must admit to never having heard of Ozu before, i went out of boredom and casual curiosity. I was embarrassed at the end to find myself in tears. I quickly wiped them away in that subtle way guys do when they don't want anyone to know, and got out to leave. What struck me was that even as the credits were finishing, I was one of the first to go. As i walked up the aisle I realized that most of the nearly full cinema was still sitting quietly, without the usual post movie chatter - and more than half of the audience had tears pouring down their faces. I have never, ever witnessed that in a cinema.",v
4,8 March 2013,TheLittleSongbird,10, Beautiful and deeply moving,"Why did it take so long for me to see this film? I don't know why that is, other than being behind with my movie watching due to studying, and I am still kicking myself because Tokyo Story was one of the best films I've seen in quite some time. I haven't seen enough of Yasujiro Ozu's work to judge him as an overall director, but seeing Tokyo Story it is very easy to see why anybody would consider it one of his finest achievements or him as a master film-maker. Tokyo Story is beautifully shot, everything looks homely and evocative and the shots, frame and cinematography are done to perfection. And Ozu directs very sensitively and assuredly, it is said that he specialised in middle-class family melodramas and I have no trouble believing that. The story is quiet and meditatively paced but never bored me, because every bit of writing, family scene and character was dealt with in such a poignant and intelligent manner. Tokyo Story is also helped by some truly wonderful acting. Setsuko Hara just epitomises gentle kindness, making us warm to Noriko easily, while Chishu Ryu and Chieko Higashiyama play their roles with nuanced and affecting dignity. In conclusion, a beautiful and deeply moving film in all respects. 10/10 Bethany Cox",i
5,14 May 2002,KFL,9, The excuses we make to justify our neglect of others,"An appreciation of this movie may demand some understanding of Japanese culture. The Japanese are rather reserved, and were even more reserved back in the early 1950's, when this film is set. No embracing, even of parents, children, siblings; no dramatic histrionics; even a death scene in this movie is much quieter than a Westerner might expect.",e
6,16 November 2020,Hitchcoc,10, Just Too Real,"An elderly Japanese couple come to Tokyo to visit children and grandchildren. From the beginning, we get a sense that they are looked at as a nuisance, even though they have not seen their family for years. While they visit, the children are hard pressed to take a little time for them. We see that they have settled into their lives (rather depressing lives) and into themselves. The kindest person is a young woman who the widow of one of the sons. She is kind an compassionate. True, not a lot happens, but as we go through the two hours, it is painful how tense things are and what an edge there is. I've seen these kinds of relationships in my extended family and in the families of others. This is a very well constructed film.",w
7,8 May 2004,Cheesedemon28,10," ""Isn't Life Depressing?""",Two women are sitting on tatami mats. They are smiling and talking. One of,/
8,27 October 1999,Stroheim-3,10, FANTASTIC,"I need to say this:  THIS MOVIE IS ABSOLUTELY FANTASTIC!!!  Sure it starts off slowly, but the fact of the matter is the film is a great story of a family and the alienation associated with aging.  This is the kind of movie that will make you reflect upon your own family and how you treat them.",r
9,17 June 2002,bobbie-16,10, beautiful meditation on old age and family; simple and moving,"I can't take my mind off this movie. The story is both universally human (old age, the end of life, parents and children) and specifically Japanese. The movie tells the viewer so much about Japanese middle class life in the 1950s: eating and sleeping; mourning the war dead; clothes and home furnishings; spoiled kids; a doctor's office; a schoolroom; life in Tokyo and small towns; how family members talk to each other; old men's drinking habits; a resort hotel. But while we see all these details of a real time and place, we are constantly drawn into reflection on the meaning of human life and relationships. The reflection emerges effortlessly from the simple narrative and the specifics. The director never annoyingly tells us how to feel, he is not preaching and not drawing attention to himself. (There is none of that ""hey, I'm making a moving movie"" crud that you get in Hollywood treatment of these topics). He just lets the story unfold in a quiet, natural way. It's not for folks who only like ""action"" movies. I put ""action"" in quotes because this movie is about the real action in life--enjoying life, sharing it with others, facing the end of it.",w
10,14 July 2004,spqrclaudius,10, Extraordinary Portrayal of Real Life,"A fantastic film that belies the simplicity of its plot, Tokyo Story is the tale of a vacation gone sadly awry, with an elderly man and woman visiting from the countryside pushed to the sidelines by their busy children in the city. The younger generation (and by extension the ""new"" Japan) turns its back on the family from which it arose- because of selfishness, because of necessity, or because it's simply the way of the world. The movie provides no easy answers- its melancholy ambiguity is part of its charm. Whatever the case, Ozu delights in portraying the details of everyday life. The emotional resonances of this movie are extraordinary, and some shots (a child picking flowers, an old couple framed by the sea, a woman sitting forlornly at her work desk) are enough to give a sensitive film-goer the shivers. Despite the testimony of some critics, the film is not totally devoid of melodramatic elements (some stock characters and cloying musical motifs spring readily to mind), but the film is founded upon such an obvious love and respect for the importance of real-world interactions that it's hard not to be anything other than enthralled by it.",5
11,16 April 2014,claudio_carvalho,7, A Movie to Make You Think about Parents' Seniority and Children Indifference and Selfishness,"In Onomichi, Hiroshima, the retired Shukishi Hirayama (Chishû Ryû) and his wife Tomi Hirayama (Chieko Higashiyama) live with their single daughter, the teacher Kyôko (Kyôko Kagawa). They decide to travel in a long voyage by train to Tokyo to visit their children, the doctor Koichi Hirayama (Sô Yamamura) and the hairdresser Shige Kaneko (Haruko Sugimura). However, Koichi and Shige can not afford time to spend with their parents but the widow sister-in-law Noriko Hirayama (Setsuko Hara) gives attention to them and go on sightseeing through Tokyo with the old couple. Shukishi and Tomi note that their children do not have time for them and they decide to return to Onomichi. Along their trip, Tomi does not feel well and they stop in Osaka to visit their son Keizo Hirayama (Shirô Osaka). Soon each son and daughter receives a telegram from Onomichi with sad news.",9
12,21 December 2001,zetes,7, From the If-It's-Boring-It-Must-Be-A-Masterpiece school of filmmaking,SPOILERS,9
13,29 July 2021,Farzad-Doosti,9," Now that I am alone, I feel that the days are too long.","Japanese cinema is full of great and creative directors. From Kurosawa and Mizugochi to more modern filmmakers like Kobayashi and Nagisa Oshima and Shishihara. Yet Ozu, like a detached taffeta of them all, deserves the title of the most Japanese filmmaker in the history of cinema. A filmmaker who, if they show you a shot of a film you have not seen before, you will immediately know that it was made by artist Yasujiro Ozu.",0
14,3 November 2016,elvircorhodzic,9, Life is simple and unique. That's very true.,"TOKYO STORY is a film that has a moderate tone, unobtrusive style and quiet family story. An elderly couple from the provinces coming to Tokyo to visit their grown children. The story shows how the children, preoccupied with their daily lives, do not show enough care for their parents, as opposed to the former daughter-whose husband died in the war. At first glance, everything in this film seems simple and clear, but on the other hand is a sensitive topic and family discord, somewhat generational conflict with fairly deep emotions without excessive melodrama.",5
15,1 July 2005,planktonrules,8, exceptionally crafted but depressing,"This is a marvelous movie with exceptional acting throughout. However, it is also INCREDIBLY bleak and sad, so be forewarned!!! The story begins with an older Japanese couple (grandma and grandpa) packing to go to Tokyo to see their grown son, daughter and daughter-in-law (whose husband, their 2nd son, was killed in the war). However, despite their letting everyone know they were coming, they are treated as inconveniences. The only one who showed them any consideration was the daughter-in-law. Particularly disgusting was their daughter, who ALWAYS told her husband to spend LESS on her parents, as they wouldn't know any better. Lovely kids, huh?! Anyways, after spending their time in Tokyo, they return to their hometown and grandma becomes deathly ill. You can probably guess where this is going. Despite all this, the grandparents continually say they've got good kids, even though they seem like selfish jerks.",3
16,13 November 2014,SnoopyStyle,7, slow but mesmerizing,Elderly couple Shūkichi and Tomi Hirayama go to Tokyo to visit their children and their families. Their oldest son Kōichi has a family of four. Shige is married and runs a hair salon. Both of them are extremely busy and pay for expensive trips for their parents. Their daughter-in-law Noriko is widowed after the war. She is the most caring but mother Tomi notes a loneliness in Noriko's life. However Noriko is not feeling well.,2
