Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,1 June 2006,EUyeshima,10, Still Stirring Wartime Adventure and Compelling Psychological Drama Exhibit David Lean at His Peak,"After years of more intimate British films and just discovering the joys of location shooting with 1955's ""Summertime"", master director David Lean made his first actual widescreen epic with 1957's ""The Bridge on the River Kwai"", an acknowledged classic that deserves attention from a new generation of viewers and another visit from the rest of us who love perfectly executed films by an unparalleled craftsman. Recently, this movie has been overshadowed by his 1962 follow-up epic, the comparatively more elaborate ""Lawrence of Arabia"", but this richly textured WWII-set adventure is special enough on its own terms. While it has its share of action and suspense presented in exacting detail, the film is even more resonant as a psychological drama about the test of wills between mission-driven officers amid the perils of wartime survival.",/
1,9 June 2001,jhclues,10, The Definitive Guinness Performance,"Within the Conflict that was World War II, there were many more smaller, more personal conflicts which, when added up, made a significant impact on the outcome of the War; though trying to explain them, or war in general, is like attempting to decipher the indecipherable.  In `The Bridge On the River Kwai,' director David Lean takes you deep into the Burmese jungle to examine some of these deeper conflicts, and the effects of extraordinary circumstances on some ordinary men:  British Colonel Nicholson (Alec Guinness) is a man of rigid principles and ideals, to whom acquiescence in any quarter is not an option; Japanese Colonel Saito (Sessue Hayakawa) lives by an inflexible code of conduct and is adamant in his adherence to it, through which he maintains his dignity and honor; American Navy Commander Shears (William Holden) just wants to make it through the war alive and get back home.  ",r
2,19 February 1999,bat-5,10, They don't make movies like this anymore.,"I recently saw The Bridge on the River Kwai at the Cinerama Dome, and it was quite spectacular.  Unlike some of today's grand adventure films, you get to know the characters along with seeing great scenes of acting and cinematography.  Alec Guinness is at the top of his form as the single minded Colonel Nicholson.  The scene between Nicholson and Saito in Saito's hut is remarkable.  Nicholson still will not concede defeat, he even takes offense that other officers of different armies gave in and worked alongside the enlisted men.  Saito can't understand Nicholson's acceptance of his punishment, and it drives him crazy.  The film's plot has two stories that are beautifully intertwined.  Shears' return to the bridge is his only way to escape the bridge.  In the film's final act, the tension is turned up as the British commandos try to blow up the bridge, and a train, and only then does Nicholson realise what the bridge really is.  The Bridge on the River Kwai is one film that is hard to top, the only film able to do that is Lawrence of Arabia, both directed by the meticulous eye of David Lean.  One director who could put intimacy in epic circumstances.",e
3,10 May 2008,Steffi_P,9," ""This is not a game of cricket""","The Bridge on the River Kwai – David Lean's first epic, a genre he would later be associated with more than any other. Previously having made his mark as a director of deep and often psychological dramas, Lean's easy transition into bigger pictures reflects the change that was taking place in the genre itself, moving from the grandiose spectacle of De Mille et al, towards the ""intimate"" epic of the late 50s and early 60s.",v
4,25 April 2006,ccthemovieman-1,10," Unlike The Bridge, This Movie Holds Up","SPOILER: This film is long (161 minutes), is almost 40 years old, and yet still is terrific, still holds up and will forever, I suspect, be considered one of the greatest war movies ever made.",i
5,25 December 1999,Nazi_Fighter_David,9, Winner of 7 Academy Awards...,"David Lean's ""The Bridge on the River Kwai"" like Jean Renoir's ""Grand Illusion"" is an anti-heroic war film, set in a prisoner of war camp environment... But there, the point of resemblance came to an end... ",e
6,8 January 2023,Sleepin_Dragon,10, David Lean's incredible masterpiece.,"A group of British soldiers arrive in a Japanese prisoner of war camp, led by Colonel Nicholson, their captors order them to build a bridge linking Burma to Siam.",w
7,22 February 1999,Haplo-4,8, A movie about madness,"I have watched this movie several times and it is just getting better and better all the time. Why? Because this movie actually has a message built-in, this isn't a violent story, like ""Saving Private Ryan"" - also a good movie with a message - but it is still not a slow story.",/
8,9 September 2019,calspers,8," ""It's a matter of principle"" - timeless direction by David Lean","""The Bridge on the River Kwai"" is a prinoner-of-war drama at its best, masterfully directed by David Lean.",r
9,1 September 2006,theowinthrop,10," ""Madness, Madness""","Let's face it - war is organized madness, and although the stakes in World War II were tremendous for whichever side lost, the individual effects of the war on the men and nations involved caused madness on several levels.",w
