Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,5 September 2022,Xstal,9, Perpetually Outstanding...,"It's a story that's riven with themes, of prejudice, hate, broken dreams, there's courage and caring, there's taunting and daring, growing up, finding out what life means. At its heart you'll find Atticus Finch, defends a man most town folk want to lynch, no evidence in play, to support what they say, but they're adamant and won't move an inch. Scout and Jem watch these awful events, through child's eyes losing their innocence, in a world that's gone mad, it makes you so sad, but there's hope that leaves some recompense. Plus there's Boo, who defies more perceptions, all shrouded in cloaked misconceptions, hidden from view, most people eschew, but a saviour, and a child's revelation.",/
1,9 November 2003,FilmOtaku,10, One of the most important films of all time,"To Kill a Mockingbird is the movie based on the Harper Lee novel of the same name about Scout, Jem and their father, Atticus Finch who is an attorney in a small southern town.  It is both a coming of age story about the children as well as a hard-hitting drama, as Atticus defends a black man who is on trial for the rape of a white woman.  ",r
2,1 April 2004,clydestuff,10," Not just film, but film history","The first time I saw To Kill A Mockingbird was at a drive-in theater.  I was probably about ten or eleven at the time.  Even at a young age I was captivated by this seemingly simple story told through the eyes of children that I could easily relate to.  Perhaps also it was the fact that the part of the story that dealt with Boo Radley, held a kind of mystery and an eeriness for me, much in the way a ghost story would.  I'm not about to make the pretense that I understood the social significance of To Kill A Mockingbird at the age of ten, or even the greatness of the film.  That would come later in life, after having viewed it in one of it's first network television broadcasts.",e
3,4 September 2004,TBJCSKCNRRQTreviews,10, Amazing film,"After hearing nothing but critical acclaim for this film, and the book it was based on, I finally got to see it. I am quite amazed at how well done this film is, and how timeless the theme is. I haven't read the book, but I'm considering it, just to see if there are any details that were left out. The story is amazing and exceptionally told. As far as I know, the film is as close to the book as it could possibly be; some call it the most accurate book-to-film conversion ever. The plot is very good, it takes a timeless problem and presents it to us, through the innocent eyes of a naive child. The pace is very good; apart from The Godfather(the first one) and one or two other exceptions, this is the only drama where there was truly not one single moment that I found dull, boring or unimportant. Nothing seemed trivial in the film. The perspective that is forced upon us is that of a young child, naive and innocent. This is a brilliant idea, as the eyes of a child is without a doubt one of the most impressionable things in the world, and the film handles this perfectly. What really makes the film, apart from the brilliant and possibly unique perspective, is the fact that the children are likable, credible and charming. You couldn't help but like them; believe me, normally I really dislike children. I find them annoying, loud and egotistical. But with this film, I couldn't, for one second, muster up any tiny amount of aggression, or even annoyance. They come off as so likable, charming, and, most importantly, *real*. Almost every kid in any Hollywood movie is either a completely ridiculous stereotype/cliché of a brat, who does nothing but destroy things around him, or the exact opposite, a little angel. Everyone knows that no child is the latter all the time, and even I will admit that there probably doesn't exist too many children who are the first, either. In this film, the children are completely real. They are naive, innocent, they disobey what their father tells them, but ultimately, they obviously love and respect their father, and they never do anything, anything at all, with the intent to hurt or harm someone or something. That is what a child is; innocent. They do what they do because they do not know better. This film provides a perfect view into their world, or, rather, their perspective of it. The acting is excellent. The child actors exceed all expectations. I was amazed at how professional and convincing they were. The other actors all give great performances as well. The cinematography is excellent; once again, it gives a perfect perspective on what your surroundings look like when you're a child. The characters are well-written, credible and well-casted. The dialog was well-written. The script was excellent. A very memorable and beautiful film, should be viewed by almost anyone. I recommend this to anyone who likes dramas, and just about anyone who for one reason or another might enjoy this. Don't be scared off by it being over forty years old, or it being black and white; it's an excellent film, and just about anyone would enjoy it. Don't miss this perfect film. 10/10",v
4,30 March 1999,Don-102,9, Wonderful Social Classic That Echoes Issues of Its Day...,"TO KILL A MOCKINGBIRD is presented like a play in three acts. It is also from the children's perspective. Through the kids, we find that racism is a learned attitude or feeling. We also see a delightful coming of age drama as the young kids realize that there is no Boogeyman down the street and their father is capable of doing a lot more than they think. The great Gregory Peck plays Atticus Finch, a pillar of nobility, social conscience, and, rare for 1930's Americana, a single parent. Peck is such a strong presence, you believe everything about him. It is something you can compare to America's trust in TV anchorman Walter Cronkite. We always took his word for it.",i
5,27 January 2006,bkoganbing,10, Our Greatest Film Hero,"When the American Film Institute polled its members and they selected Gregory Peck as Atticus Finch as the greatest hero on film ever, the selection was met with very few dissenters. I'm sure not going to argue the merits of the choice. But I do have a theory as to why.",e
6,15 December 1998,HenryHextonEsq,9, It does the book justice.,"After studying the outstanding book of To Kill A Mockingbird at school, I viewed this film, and was on the whole very impressed. Scout and Jem are portrayed brilliantly, considering the ages of the children who played them, and they, as with everything else in the production, are true to the book's spirit. Gregory Peck is perfect as the unflappable Atticus Finch, and deserved his Oscar. The music is worthy of praise, especially for the climatic scene, and the raw emotion and feeling of the book is amply conveyed. All of the cast are well cast, and it's interesting to ponder how much this film, at the time, would've shocked. That the book explores racism and outsiders in a southern town, through the eyes of a child is genius and works very nicely here. The only problems are minor- much of the book's counter-balancing humour was left out, certain characters are omitted (Dolphus Raymond and Aunt Alexandra), and some of the book's early characterisation is missed. Aside from these gripes, this is a magical film and a ""must-see,"" as a companion piece to the classic novel. 9/10",w
7,9 February 2016,Fella_shibby,10, This is a deeply moving and powerful film about right and wrong seen through the eyes of children.,I first saw this in the early 90s.,/
8,20 October 2002,lizziebeth-1,10, Every bit as good as they say (B&W). Still POWERFUL. 10/10. Spoilers.,"Horton Foote's Oscar-winning screenplay is so good, it really supplants the 1960 Harper Lee book. I've recently re-read the novel, and it seemed weighed down and paced with backwoods vernacular and situations right out of the 1930s, that are shockingly removed from the 21st century. My goodness. I hope it doesn't strike others so, because the book is a gem too. It's just in need of ...updating perhaps, which is what the 1962 movie excels at; it translates the Depression Era for us. The characters (played, eg by Gregory Peck and Brock Peters in their signature roles) seem so much better-depicted on screen than merely in my own imagination from having read the book!",r
9,11 May 2018,Pjtaylor-96-138044,8, An important and enduring cry against prejudice in all its forms.,"'To Kill A Mockingbird (1962)' has held up remarkably well over the years, perhaps most due to its faithful representation of Harper Lee's timeless source novel. It boasts brilliant performances - including surprisingly good turns from the first-time child actors - and beautifully crisp black-and-white cinematography. While the movie isn't quite as successful as the book, as usually is the case, it's still an enjoyable tale that acts as an important and enduring cry against prejudice in all its forms. 8/10",w
10,11 April 2002,jam5219,10, enough can't be said,"Enough good things can't be said about this movie.  It is undoubtedly one of the best and most moving films ever made.  No other racial injustice or discriminatory based movie can even compare with ""To Kill a Mockingbird"". This movie not only makes you sympathize with those who were being discriminated against, but also those who fought for those people.  One of the most moving parts of the movie is when Atticus Finch is leaving the court room and Reverend Sykes tells Scout to ""stand up your father is passing"".",1
11,25 October 2017,EthanBJones_03,7, Recommended,​'TO KILL A MOCKINGBIRD' - 1962,1
12,22 February 2014,SnoopyStyle,10, American Classic,"Based on Harper Lee's Pulitzer Prize winning book, Scout (Mary Badham) is a 6 year old girl living in Maycomb, Alabama during the 1930s. It's a tired old town life with his lawyer father Atticus Finch (Gregory Peck) and his little brother Jem. Then Atticus takes a case to defend a black man Tom Robinson accused of raping a white teen girl Mayella Ewell. It sends the town into a frenzy which only Atticus and the innocence of Scout are able to withstand.",9
13,10 August 2017,HotToastyRag,7, 'Do you know what a compromise is?',"To Kill a Mockingbird is pretty famous in my household. My mom loved Gregory Peck's portrayal of the integrity-filled, honest, caring, patient father so much that she named my brother Atticus. It was a running quotation when I was growing up to say, ""Do you know what a compromise is?"" with a little Southern drawl. I know my family is one of millions who have tried to emulate Gregory Peck's clipped pronunciation of ""Scout""; that one word is another one of our famous and long-running movie quotations.",8
14,30 July 2014,Hitchcoc,10, When a Book and a Movie Knock It Out of the Park,"There is something so sensitive yet intense in Peck's portrayal of Atticus Finch. He is a man of great honor and true humanity. He takes it all inside, dealing with the realities of what he is facing. He ignore the threats and sees a man for a man. However, he is doomed but represents an action out of time. I was especially impressed with the children in this movie. They are not scene stealers but rather show the future if allowed to grow up. As the trial moves along, it is obvious that there is little that can be said to counteract the hate that is there. But like most of us, Atticus and look in the mirror at the end of the day and say he did what was right. Gregory Peck was a top ten actor and wandered smoothly from movies such as ""Moby Dick"" to ""The Omen."" He was masterful in psychological thrillers such as ""Spellbound."" This was, however, his finest hour. The man with the rumpled suit and the big heart.",6
