Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,4 August 2019,heisenberg12,10, It's a Masterpiece. Best Movie of All Time,"Braveheart is the best movie ever made in history, an absolute sculpted work of art that depicts every emotion of human existence, from suffering, to courage to love, in front of the background of political astuteness and socio-hierarchal analysis.",/
1,6 September 2020,Xstal,8," Your Heart is Free, Have the Courage to Follow It...","A simple message but even today, over seven hundred years later, there are far too many captive to their cultures, governments and institutions. They take a large slice, sometimes all of the freedoms William Wallace and so many others fought for. Keep up the fight because, like the tide, those oppressive forces wont curtail.",r
2,12 March 2021,brentcollyer,10, Freeeeeedooooommm....,It doesn't get any better than this. Mel Gibson didn't just star in this movie but directed and produced. No one will ever forget...,e
3,21 April 2002,Smells_Like_Cheese,10, One of the best modern movies of time,"I'm talking just in the 90's. The 90's were a great time for the movies, we had so many memorable one's and there is no doubt that ""Braveheart"" is one of them. ""Braveheart"" is one of my favorite movies that never gets old. Despite it's long running time, I will watch this movie any day.",v
4,21 January 2021,damianphelps,10, A Very Fast 3 hrs,What to say about Braveheart?,i
5,25 March 2006,ccthemovieman-1,9," Brutal, But Epic Masterpiece","This is an emotional, involving and ultimately draining film. By the time you are done, you are spent. ",e
6,2 March 2023,EVON1TY,10, You should have courage to make this movie. ⭐,"Most of the times Hollywood movies is sided. I don't know what you believe but sadly this movie based on the truth. Only some of the minor subjects are added to make the movie more interesting. The additions were pretty minor most of the times, the main subjects is based on the truth.",w
7,9 April 2021,andreascaloni,9, EPIC,"Braveheart depicts the life of Wallace leading the Scots in the First War of Scottish Independence against King Edward I of England. The movie boasts of a massive cast, a great characters' development, beautiful locations, epic battle scenes and a wonderful soundtrack. It's an exhilarating, gripping, touching and epic experience that you won't miss.",/
8,13 September 2014,classicsoncall,10," ""Every man dies. Not every man really lives.""","This movie is almost two decades old now and as is often the case with blockbuster films, I'm just now getting around to seeing it for the first time. My timing is kind of serendipitous too because Scotland will be voting on leaving the UK next week on September 18th, 2014 as I write this. It's pretty much a toss-up on how it goes, though whatever the outcome, the geopolitical consequences will be felt for a long time.",r
9,13 December 2015,Leofwine_draca,10, Historical war par excellence,"One of the early ""historical epics"" to set off a still-current wave of ancient adventures, this is epic, grand stuff spoiled only slightly by a twinge of Hollywoodian uneasiness and a little overloading of sentimentality. It isn't as bad as in something like, say, ROBIN HOOD: PRINCE OF THIEVES but it isn't mastered to the extent it was in GLADIATOR either. Although history is sometimes rewritten and distinctions are blurred, this is a moving masterpiece with a sweeping score and splendid visuals to boot.",w
10,28 August 2005,Nazi_Fighter_David,9, A motion picture that dares to be excessive...,"Set in the late 13th century, 'Braveheart' is the story of one of Scotland's greatest national heroes Sir William Wallace. leader of the Scottish resistance forces during the first years of the long, ultimately successful struggle to free Scotland from English rule...",0
11,6 January 2010,hitchcockthelegend,10," Historical flaws aside, Braveheart is a rousing spectacle.","So it comes to pass in the year of 1995 (not a year of our lord I think) that Mel Gibson would craft the award winning epic that is Braveheart, a film that is historically bent in the extreme, that is directed by a man who would go on to have a less than favourable character reputation, and a film that has a heavy handed approach at times. It's also as choppy as a boat ride during a tidal wave, so yes, Braveheart is far from flawless folks. Yet the structure, the epic emotional swirls and sheer spectacle of it all marks it out as a rousing treat.",3
12,21 July 2009,kosmasp,9, Masterpiece,"Mel Gibson not only stars, but also directs one of the greatest historical movies, that have ever been made. While I'm not aware of the historical facts and what parts might be true or not, the appeal of the movie is undeniable.",5
13,3 May 2023,klindon-38400,9, My favorite Mel Gibson film,"I'm a fan of super intense acting performances. Intensity to me is what I think people call star power or charisma. Lethal Weapon is one of those movies where his intensity is on full display but he has a different kind of thing going on here. He's a tad older, wiser, gets accosted personally and his livelihood, so his intensity is of a different ilk. He's crazy in Lethal Weapon but in Braveheart he's completely intense while being completely sane at the same time. All of his actions in this film are justified. You're rooting for him from frame one. This is the best film he's ever been in and possible ever will be.",7
14,27 November 2005,Jakethemuss,9, Wallace's courage is inspiring,"This epic tale of patriotism, love and conflict opens with a birds eye view which takes you through mist and air out onto an open loch with scenic mountains in the background. This is accompanied by stirring bagpipe music, and shortly by the start of a narrative by Robert the Bruce.",2
15,7 February 2015,ma-cortes,8, Epic recreation about a notorious Scottish hero who purposes to free his country from the tyranny of Edward I,"In 14th Century Scotland, when his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt and leads Scottish warriors against the cruel English tyrant , the nasty ruler Edward I (Patrick McGoohan)the Longshanks (as he was called ""The Longshanks"" -long legs- since he was uncommonly tall for a man of the time , Edward I was at least 6 feet, 2 inches) who wishes to inherit the crown of Scotland for himself , ruling Scotland with an iron fist and succeeded his effeminate homosexual son Edward II Prince Edward (he was indeed the first English prince to carry the title Prince of Wales, although he did not marry Princess Isabella until 1308, after both Wallace (1305) and Edward I (1307) had died) . As William Wallace begins his long quest to make Scotland free once and for all, along with the assistance of Robert the Bruce. There took place several battles such as Stirling , York (though the sacking of York was invented for the movie ,Wallace never got as far south as York during his invasion of northern England) and the famous Battle of Falkirk (July 22, 1298), in which the English army was personally led by King Edward I, who decisively defeated the Scots , the real-life King Edward I was a military genius who learned combat tactics while fighting the Mamelukes during the Eighth and Ninth Crusades . There also appears Robert the Bruce , though many Scots were offended by the film's portrayal of Robert the Bruce (Angus McFayden) , who is considered a National Hero of Scotland . ",1
16,27 December 2020,katari24,10, I'd give it more if i could,I watched it years ago and just now and will definitely watch it again.. I feel like you can't rate it it's just beyond that it's so beautiful and it's epic. One of the best movies ever made. Mel Gibson is a true legend.,6
17,13 September 2005,rutan07,10, Best movie ever,"Most on this site pick the Godfather, or the Shawshank Redemption, but this is it, this is the best film ever made. People will complain, will argue that I am wrong, but I will say it again...Braveheart is as close to perfection as a movie can be. The acting is superb, the man who played Lonshanks, the actor who portrayed Robert the Bruce, both should have been nominated for Oscars due to their powerful rendering of evil and a man who is saved from losing his humanity (from becoming evil) by meeting William Wallace. And let us not forget the direction, the cinematography. Braveheart is glorious, beautiful to look at. The slow motion pictures of horses preparing to charge armed combatants, the entire landscape of Scotland that Mel Gibson captures with the camera. Braveheart is artwork, it is as good as any picture. That the film is number 93 on the list of the top 250 movies ever is a shame. Yes there is violence in this film but that violence does serve a point...that freedom isn't free and sometimes it takes death, gruesome and horrible, to let ones people taste what it is like to be free. Braveheart is a great movie and it deserves to at least be in the top ten of IMDb's list of greatest films.",/
18,14 December 2022,freethinkingworld,7, After Thoughts,"So look, I like this movie, I even have nostalgia for this movie......it shouldn't be on the list for greatest movies of all time 😅😅. It's a good, fun film. The effects and battles are fun and exciting. I love reqatching the battle sense. But this movie can be rather dull in some places, and like everyone says, it is historically inaccurate. But! I don't penalize it as much as some people do for being historically inaccurate, I just had to point it out. I find that hardly any movies are accurate to History as it would make a dull film, so I understand where they are coming from. But non the less, fun great film....just overrated a bit.",?
19,8 January 2014,SnoopyStyle,8, Rip Roaring Fun,William Wallace (Mel Gibson) is the son of a minor landowner who was killed by Longshanks' treachery. He would start a revolt after his secret wife was executed unjustly. The revolt would grow to an all out war against the tyrannical king of England.,r
20,13 December 2004,suiko,10, A flurry of emotions to move you in every direction (at least once),"Unfortunately, I have yet to find a film of quite this caliber again. Braveheart contains elements of Romance (several heart- wrenching and warming instances), Epic/Action (spectacular scenes), Mystery (can take a few viewings to put it all together), History (albeit romanticised) and of course Drama (perfectly unravelled). This level of uncompromised multi-tasking allows the film to move you to laugh and cry, love and hate or even to think and be taught. I'm trying to avoid the clichés of glowing reviews (almost as bad as entirely negative ones) - but this is one of the few movies that I feel deserves one.",e
21,8 November 1999,BradFan-2,10, superbly acted and directed,"If you are a Mel Gibson fan of any sorts this movie is a must see. A wonderful directing job, supported by a wonderful cast. Men will appreciate the attitude depicted by Mel Gibson towards his love and his country along with the added violence. Women will swoon and pine for the hopeless romantic they will find in Mel as he avenges the death of his wife and fights for the freedom of his fellow countrymen. This movie gave me a whole new respect for Mel as a director and actor. In my opinion it is the best movie Mel has made to date.",f
22,28 February 2007,delamericano,8, One of the best films ever made,"In this spectacular, historic movie a young Scotsman becomes the hero of his country, after his wife gets killed by the members of the English occupying force. In the beginning of the movie young William Wallace experience the death of his father and brother. They get killed by the English Kings Soldiers. After this he grows up with his uncle. Years later Wallace (Mel Gibson) returns back to the farm of his father to fall in love Murron (Catherine McCormack), the same girl who gave him a flower after the burial of his father and brother years ago. Because the English noblemen have the right to deflower every new married girl, Wallace marries Murron in secret. But the young luck won't last forlong. A few English soldiers try to rape Murron at a marketplace. Wallace tries to rescue her but the agressors can catch her and kill her right on the marketplace. When Wallace finds out about it, he takes revenge. He executes the murderers of his beloved. This ation is like a wake-up call for his fellow countrymen. They see him as their Leader to defeat the English occupying power. In their first battle the highlanders accomplish to defeat a numeral superior English Force. Wallace becomes an inspiration and more and more Scottish people follow him into war. Meanwhile in England the tyrannic King Edward the Longshankes (Patrick Mc Goohan) takes notice of the triumphs of Wallace. But this is not his only problem: His and heir apparent is a mollycoddled coward, who doesn't behave like his father would like to see it from a Prince. At least Edward the Longshakes arrange the marriage between his son and the lovely Princess Isabelle of France (Sophie Marceau). Besides this the Kings health is not the best anymore. But not only the English have their problems: The Scottish Landlords betray each other for more land and try to get more land for themselves from the English King. During the movie you'll see a lot of great filmed battles, two heart breaking love storys (first between Wallace and Murron, later in the movie young princess Isabelle falls in love with Wallace) and an exciting story about love, hate, patriotism, deception and heroism all in front of a wonderful landscape (the movie was actually set in Ireland). When you watch this movie, you'll be carried away by this powerful and always haunting epic and unterstand why there was no other chance than giving this movie 5 Oscars (including the award for the best film). It is a film who has it all: A great story, perfect filmed battles, one of the best soundtracks ever made (it is a shame, that the score didn't win an Oscar) and a hell of a cast. The role of William Wallace fits Mel Gibson perfect: heroic, romantic but always in a down to earth kind of way. Sophie Marceau and Catherine McCormack are lovely from their first appearance until the end of the film and Patrick McGoohan gives the most despicable (this is meant as a compliment) interpretation of an English King ever seen. This movie you can see over and over again and it never looses his magic and it is a movie you can watch with men and women as well: Men will love the great staged battles and women will love the lovestory.",_
