Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,31 August 2005,JamesHitchcock,10, Life is Starting to Imitate Satire,"Life is starting to imitate satire. ""The Truman Show"" was only made seven years ago, but it predates the current mania for so-called ""reality"" television shows such as ""Big Brother"". The idea behind such shows is that they present the viewer with a slice of actual reality- real people in real situations with real emotions- rather than the simulated reality of drama or the edited reality of documentaries. The flaw in this idea is that nothing is more unreal than a reality show. The presence of the cameras has a distorting effect, inducing artificial behaviour patterns in those who appear in front of it, and the sort of people who star in such programmes are almost invariably eccentric exhibitionists. ""The Truman Show"" takes the central concept of reality TV shows one stage further in order to overcome this flaw: what would happen if we made a reality programme about a person who has absolutely no idea that he is appearing on television? Truman Burbank is an insurance executive, living in a small American seaside town called Seahaven, and happily married to a nurse named Meryl. Or at least he thinks he is. What Truman doesn't know is that he is the central character in a soap opera and that his whole life is a fiction. The company he works for does not exist. Seahaven, the island it stands on and the surrounding ocean are all part of a gigantic set, specially created for the programme and sealed off from the outside world in a gigantic geodesic dome. Everyone in Truman's life- Meryl, his mother, his colleagues at work, his best friend Marlon- are actors playing out their roles in his drama.",/
1,19 July 2019,skepticskeptical,9, Prophetic,"The Truman Show is a film I never got around to watching until now, despite having heard references to it here and there over the past ... twenty years?! Now that I have seen it, I am somewhat glad that I waited, because from this vista, twenty years later, it really seems prophetic. Think about all of the children who were born after the ascendance of the internet. Many of their lives are not unlike Truman´s life: every moment captured for all the world for all of time.",r
2,16 February 2014,planktonrules,9, A good film for those who think they hate Jim Carey.,"I have never liked Jim Carey's humor. I have found it to very broad and boorish. However, I was very happy that I saw ""The Truman Show"" and am surprised I did considering my feelings about his earlier 'comedies'. Thankfully, Carey showed he could act and NOT ham it up--a tribute to his native talents as well as the director and writer. With a weak director, Carey might have begun to seek laughs in 1001 crazy ways. Here, however, it's straight and quite endearing. I could talk about the plot, but there are already a bazillion reviews for this one. The bottom line is that don't assume because you don't like ""Dumb and Dumber"" or ""Ace Ventura"" you won't love this film. And, I really loved ""The Truman Show"" and think it's a lovely film with a lot of heart and an awful lot of imagination.",e
3,10 March 2017,zkonedog,10, A Film Ahead Of Its Time,"When ""The Truman Show"" hit theaters in the summer of 1998, there was no such thing as reality TV. ""Survivor"", ""Big Brother"", ""Amazing Race"", or ""Keeping Up With the Kardashians""? All in the future. The fact that this film beat America to the reality-TV punch shows how much of a landmark production it truly was--ahead of its time, to be sure.",v
4,25 October 2019,MrPupkin,9," It's undoubtedly one of my favorite movies, the kind of movie that changes our lives, as well as looking like a long episode of Black Mirror.","As inventive and creative as Weir's staging is, The Truman Show wouldn't work without credible Truman. And Carrey carries off the tricky role with a chipperness that belies a deep-seeded longing for more in life than surface perfection in all this movie is one of my all time favorites.",i
5,12 June 1999,Altaira,10, Genius,"I asked a friend to describe The Truman Show.  He said, ""No, it's not a comedy, well...not exactly.""  I didn't quite understand until I watched it myself.  Truman takes on a tone quite different than any parody/comedies I've seen lately.  The point (the media and its destructive powers)  is subtlely relayed through dark humor, and you don't feel like the director is smashing you over the head with his morals.  Peter Weir demonstrated his artistic genius in Dead Poets Society and here as well. The soundtrack is great, Ed Harris is stellar (what were they THINKING at the Academy?) and for once I actually liked Jim Carrey. His performance wasn't ribald for once. The final scene--I will not reveal it--is a majestic, long-awaited finish to an intellectual movie. Some people will insist that it was boring or pointless.  Those are the same viewers who prefer slapstick, obvious humor to the subtle layers presented here.  This is a thinking person's movie.  If you can't see the underlying message here, of course you won't like it!",e
6,9 April 2007,Mark1988,10, One of the Most Original Films Ever Made,"'The Truman Show' epitomizes strong and original storytelling on screen. This film is emotionally engaging, didactic, witty, dramatic and very unique. For those unfamiliar with the concept, Truman Burbank has never left his ideal home town of Sea Haven. What he doesn't know is that his entire environment is a materialized set and he is the ignorant star of a reality TV show of epic proportions.",w
7,10 July 2005,daveisit,8, Lawn Mowing At Its Best,"""The Truman Show"" owes a lot to the direction of Peter Weir. Weir refuses to pump out the movies in a search for extra dollars. Instead he chooses wisely and directs brilliantly. Just by looking at a list of his movies will surprise and even amaze you. So as you would imagine ""The Truman Show"" is another success.",/
8,20 March 2003,WriterDave,8, Ambitious and Entertaining Treatise on the Reality Media Creates for Us,"It's not often a Hollywood film arrives with such lofty ambitions as this. On one hand this is a high concept comedy in the vein of ""Groundhog Day"" about an unwitting man whose entire life has been a TV show.  This is also a Jim Carrey vehicle designed to display his charms.  On the other hand this a very satirical look at the way the media manipulates our reality.  The film also wants to take a philosophical look at free will vs. a higher power and reality vs. fantasy.  It doesn't always work as the satire often keeps you from thinking too deeply about the underlying themes and the philosophical stuff keeps the satire from biting as well as it could.  Credit engaging performances and solid and thoughtful direction from Weir for keeping things afloat and entertaining.  There are some great cinematic moments here.  I loved the ""stolen kiss on the beach at night"" and ""Cue the sun!""",r
9,1 February 1999,macpherr,10, Finally a movie that makes us think,"When I was a young adult on the search for my true self, religion and God; I found myself reading all kinds of books such as: Demian, Sidarta, Brave New World, 1984, the works of Jean Paul Sartre and Simone de Bolvoir. The world of Truman Burbank certainly took me back to those days. I used to look at myself in the mirror and say out loud: ""I wonder if I am me? I wonder if everybody thinks the same shade of red when I say red? Why was I born? Why are my parents my parents? Why did God create the world? Will I get punished by God for thinking all these things?"" This is a deep movie, bound to become an art film.  Jim Carey did such a superb job that it earned him a Golden Globe Award. This is definitely an Oscar contender. It made me think! What a suprise! Movies do not make me think very often. They are predictable to me now. Could it be age?",w
