Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,15 July 2005,WriterDave,9, The Slow Development of a Masterpiece,"This is probably the best crime thriller I've seen since ""Insomnia,"" and contains the most haunting climax of any serial killer flick since ""Seven."" But like most films reaching for greatness, this is most admirable for its striking details.",/
1,10 December 2004,dbborroughs,8, Must See,"After two women are found dead in a rural community, a detective arrives from the big city to help out. Things quickly mushroom with the discovery of more bodies, more suspects and no end in sight.",r
2,1 January 2005,AKS-6,9, Great serial killer drama,"I'm one of those people who tend to think that South Korean movies are perhaps a bit too slow-paced for my taste. Memories of Murder isn't a fast-paced film, by any means, but this time the slow pace made this movie about an investigation of serial killings so much better than 95% of its American counterparts.",e
3,24 November 2018,jadavix,8," What's Korean for ""nuance""?","The more South Korean films I see, the more I understand how it came to pass that filmmakers from that part of Asia are basically leading the world in terms of cinema in the 21st century.",v
4,19 October 2020,ferguson-6,8, the crime is solved - decades later,"Greetings again from the darkness. Between 1986 and 1991, 10 women were raped and brutally murdered in the province of Gyeong-gi outside Seoul. Considered South Korea's first serial killer case, the crime went unsolved until 2019. The case was the inspiration for writer-director Bong Joon Ho's second feature film, as was Kwang-rim Kim's play, ""Come to See Me"". Director Bong Joon Ho co-wrote the screenplay with Sung-bo Shim, and of course, went on to win an Oscar for PARASITE (2019), in addition to providing other popular features such as OKJA (2017), SNOWPIERCER (2013), and THE HOST (2006). This early film can be compared to David Fincher's ZODIAC (2007), although this one is a blend of murder mystery, crime thriller, black comedy, and political commentary.",i
5,2 June 2021,Fella_shibby,10," Do watch out for The flying kick, my favorite interrogation technique. Excellent n engaging crime drama.",I first saw this more than a decade ago n loved it.,e
6,28 August 2021,jack_o_hasanov_imdb,8, The Last scene . . .,"It was a great movie, I like it very much. I understand why it was so recommended by others.",w
7,3 February 2017,tapio_hietamaki,10, An expertly shot detective mystery,"Simply put, this is a well-made film. The story is gripping and realistic (and real), the characters are interesting and the actors engaging, the themes are explored in depth, the visuals are striking and original, the music and sound design are immersive, and the 2 hour runtime is expertly paced. It's a tense and thrilling story, a detective mystery with gray morality and no clear resolution, so it will leave you feeling unsatisfied and even scared at the world around you, but it feels real and humane.",/
8,29 November 2017,classicsoncall,8," ""This time be realistic, like in a movie.""","Starting out I didn't know how to take this movie. The senior police detective is out planting evidence, his belligerent sidekick routinely beats and tortures suspects, and people brought in for questioning admit to crimes they're completely innocent of. It's all very disorienting and doesn't make a lot of sense until about the second half of the movie when the detectives hunker down and involve themselves in routine but exhausting police work.",r
9,26 May 2004,guycorhuo,9, American thrillers should learn from Korean ones,"What a good movie.What a great work of casting. Perhaps a little bit long, but the most part the movie is enjoyable and there's no perfection without mistakes. I think i haven't ever seen before a Korean movie and if there are much of them like this one i shall become Korean movie fan. The tempo, the thrill, the development of characters, everything it has been well worked.The direction is good yet without emphatic resources, there are just two moments with a little much use of slow motion but it doesn't arrive to be an abuse of it.",w
