Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,10 March 2016,TheLittleSongbird,9, Was really surprised by how good this was,"Despite not being an auto racing fan, the stories of the rivalry between James Hunt and Niki Lauda and Lauda's accident are well known and on research was big news in the 70s. ",/
1,19 January 2014,tomgillespie2002,8, Thrilling character study,"As Asif Kapadia's gripping and extremely moving 2010 documentary Senna  proved, cinema audiences have a thirst for the larger-than-life  characters that inhabit the Formula One track. The sport itself is  frightfully dull (although I'm sure plenty will disagree with that),  but the sportsmen willing to lay down their life for a kick and a  trophy are infinitely more fascinating, especially in the days of lax  safety rules. The sport nowadays is little more than advertising on  wheels, but when the likes of James Hunt and Niki Lauda battled it out  on the track, epic rivalries were created, and no matter how talented  these men were at driving these ""coffins on wheels"", every race could  spell out death.  Rush portrays the clash of two opposing personalities. The long-haired,  dashing Englishman James Hunt (Chris Hemsworth) was all about the  adrenaline, embracing the post-race parties and lying with the many  women that would throw themselves at him. He was reckless, willing to  risk his life and others in order to win, but, as described in the  film, there was no better driver in the world in terms of raw talent.  His rival, Austrian Niki Lauda (Daniel Bruhl), was focused, clinical,  and even helped design the cars he would drive. He was the early-night  type, 'rat-faced' and cold. In every sense, he's the perfect villain.  But where Rush succeeds the most is challenging our early conceptions  of these two characters. There's little fun to be had with Lauda, but  played by Bruhl, he evolves into the underdog of the movie, perhaps the  only one that actually gives a damn about his own life and the life of  his opponents. This, naturally, leads to tragedy and a particularly  wince-inducing scene in which Lauda requires having his lungs vacuumed,  but it's at this point that we realise just what these two drivers mean  to each other. As Lauda watches Hunt claw back some points in the 1976  Formula One season, it becomes clear that these two need each other to  survive. Their hatred of one another only serves to fuel the flames,  and leads to Lauda's defiant early return to the driver's seat, scarred  and bandaged.  Fast cars, beautiful women and exotic locations hardly sounds like a  recognisable workload for Ron Howard, one of the most play-it-easy  directors out there. His past films have been unjustifiably successful,  critically and commercially, never stamping a recognisable directorial  trait onto his work. Yet here, although the bright sheen of the 70's  initially takes some getting used to, he has managed to create a world  that is very much alive, using snappy editing, a pumping soundtrack and  some growing sound design to re-create this world for petrol-heads. But  he doesn't neglect his characters, and evokes the great work done on  Frost/Nixon (2008), which was also a study of two giant, clashing  personalities coming together on the world stage.  Rush is an exhilarating experience, able to distinguish each race from  the next and literally putting us in the driver's seat with the use of  digital cameras. Although it occasionally drifts into formulaic  territory with the introduction of the 'wives' (played by Oivia Wilde  and Alexandra Maria Lara, respectively), Howard cleverly uses this as  an insight into Hunt and Lauda's personalities. Hemsworth is very good  in his first 'proper' post-Thor role, but it is Bruhl that you take  away from the film. How he gets you to initially loath him, only to be  cheering him on at the climax is the work of a great actor, and it's a  crime that he has been snubbed by the Academy this year. Hopefully this  will inspire a host of decent sports movies, as Rush proves that you  can mix character study and even existential musings with the thrill of  sport.",r
2,8 May 2014,evanston_dad,8, What's This? A Ron Howard Movie That Isn't Intolerable?,I never thought I would ever watch a Ron Howard movie again much less write a good review of one.,e
3,3 June 2020,auuwws,9, A super cool movie,A super cool movie Beautiful story and wonderful acting main actors,v
4,16 September 2013,bm2759,10, F1 finally has an amazing film,"This is an amazing film. I can't recommend it highly enough for F1 fans like me, sports fans, or anyone interested in a story of rivalry i.e. something different to the unoriginal junk movies which get churned out each year.",i
5,12 March 2014,planktonrules,7, Quite good.,"I enjoyed ""Rush"", as have a ton of other people. As of today, it's #142 on IMDb and it was nominated for Best Picture. While my score of 7.0 is slightly less than the current 8.3, I was glad I saw this film.",e
6,13 September 2013,joechang-1,10, The best movie this year so far!,"Mr. Ron Howard is a great story teller, this movie is about human nature, love and tears.",w
7,15 September 2013,Muttley_McLad,10, Chris Hemsworth as James Hunt? Really??!,Really. ,/
8,11 October 2013,Horst_In_Translation,8, No better script than reality,"Originally I planned on not watching ""Rush"" at the theater, simply because I lost interest into Formula 1 considerably since the Schumacher years. However, finally curiosity got the better of me and I decided to give it a go. Which proved a pretty great choice as Ron Howard's latest movie makes for a very entertaining two hours. I was vaguely aware of the year season 1976, the developments and outcome of the driver championship and Lauda's spectacular crash of course as you get pretty much reminded here every second weekend when you see him being the co-host of current Formula One coverage. Putting Daniel Brühl into perspective to what I see there, I think he nailed Lauda's character and his very own Viennese charm. Of course, it's different to compare with Lauda now being roughly 35 years older than in the movie and I was not even born the year Lauda ended his career, but I think he made a good job in portraying him. Aside from all comparisons to what Lauda was really like, he definitely created an interesting character that had your eyes glued to the screen during every scene he was in. It's not surprising Brühl is in talks for his first Oscar nomination and it's nice to see him back so strongly, after I was a bit disappointed by his work in recent years, especially in ""Inglourious Basterds"" where his performance wouldn't make my top5 of the film despite having a pretty interesting character.",r
9,18 March 2014,Vartiainen,9, Way more than just a Formula 1 sports film,"I liked this film a lot more than I would have anticipated. Sure I knew going in that the two main leads were both brilliant actors - Hemsworth especially has become a recent favourite of mine - but they both exceeded my wildest expectations. They became James Hunt (Hemsworth) and Niki Lauda (Daniel Brühl), down to the smallest of detail, the most delicate of nuance. The 1976 racing season was before my time, but even though I'm just a casual Formula 1 fan, I had heard about it and I knew who these two were. They were such large characters, such giants in their chosen field, that had this film not captured them perfectly, it wouldn't have been half as good as it is now. Luckily Howard's directing and the performances of these two are some of the finest I've seen in a long time.",w
