Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,8 January 2023,Sleepin_Dragon,10," My favourite Tarantino, and that's a bold statement.","A German bounty hunter flees a Slave, Django, and the pair embark on a mission to find Django's wife.",/
1,19 December 2020,shawnmikedryer,10, Tarantino at his best,"(Jamie Fox, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Walton Goggins, James Remar, Don Johnson, Bruce Dern & Samuel L. Jackson)",r
2,3 December 2020,filipemanuelneto,8, It's not perfect but it's very good... and I'm not even a fan of Tarantino!,"I just saw this film and I confess that I am completely satisfied. I am not an admirer of Tarantino but I have little to say about this film, inspired by a character from the sixties western-spaghetti films and mixing western with blacksploitation. Tarantino's style (exaggerated, showy, extravagant and excessive) is all there before us, but unlike other films I didn't feel that this was a problem or transformed the film into a kind of parody.",e
3,24 August 2013,SnoopyStyle,9, Unmistakable Tarantino,"Dr. King Schultz (Christoph Waltz) is a bounty hunter. To identify his next catch, he tries to purchase Django (Jamie Foxx). Thing go all wrong Tarantino style. The two become friends and Dr Schultz decide on a plan to free Django's wife Broomhilda (Kerry Washington) from a notorious plantation owner Calvin Candie (Leonardo DiCaprio).",v
4,25 April 2021,postolachivalentin,10, Best Tarantino movie and you can't change my mind,Jango (D is silence) is just one of those movie you can watch every year and it never gets old.,i
5,9 November 2022,Xstal,8, A Bountiful Tale...,"Django's luck, has taken quite a turn, the chains around his legs, have suddenly been spurned, Dr Schultz did him a favour, uncoupled him from viscous slavers, now they're off to see what bounties can be earned. The rewards are more enticing than plain cash, as they hunt down evil villains and watch them crash, their revolvers take them out, seldom having time to shout, it's akin to picking up, discarded trash. Now Django's keen to find his wife who's kept, by Calvin Candie who is cunningly adept, at keeping people tethered, disobey and they get leathered, but the duo plan to make an intercept.",e
6,16 June 2020,alexcole10,10, The Perfect Movie,"For anyone who isn't much into cinema, I would recommend watching Django Unchained and you will fall in love with films forever.",w
7,13 February 2018,nogodnomasters,10, I like the way you die,"Dr. King Schultz (Christoph Waltz) is a well spoken bounty hunter who acquires Django (Jamie Foxx) to find and kill some men who are wanted, ""dead or alive."" Dr. Schultz isn't too keen on the ""live"" part.",/
8,15 November 2020,nadavsaar,10, Tarantino is undefeated,"This is a movie that wouldn't work with every other director other than Tarantino.
Just like all of his movies, film making top tier.
Every aspect of this film is amazing",r
9,30 December 2012,classicsoncall,9," ""D-J-A-N-G-O.... the 'D' is silent.""","After all the hype, all the articles and reviews, after all the controversy over the 'n' word, after all is said and done, Tarantino kicks butt again and comes up with a terrifically entertaining movie. Notice I said entertaining and not necessarily enjoyable. There are a number of scenes that are clearly not enjoyable, in fact, downright troubling like the dog attack of the black slave D'Artagnan (Ato Essandoh) and the hot box scene involving Broomhilda (Kerry Washington). But over all, Tarantino has fashioned a well told revenge tale modeled on the Spaghetti Western genre of the Seventies. And it begins immediately with a classy credit for the 'friendly participation of Franco Nero', the original coffin dragging gunslinger from the 1966 film who's name is resurrected here because frankly, it just sounds really cool.",w
10,13 July 2020,pedroborges-90881,8, Great film with the crazy passion of a great director,"Great direction, screenplay, performances, soundtrack, cinematography, costume design, production design, all the things you can expect from a Tarantino film.",2
11,23 December 2012,DonFishies,8," Brutally hilarious and quite messy, but a total blast from start to finish","I only had one thought on my mind for this Christmas: see Django Unchained. Quentin Tarantino's latest opus, a Western set two years before the Civil War, concerns a former slave named Django (Jamie Foxx). He is freed by bounty hunter Dr. King Shultz (Christoph Waltz) in order to help him with a bounty. Quite quickly, Shultz takes Django under his wing and trains him as his partner. But he made him a promise: that he would rescue his wife from a plantation owned by the ruthless Calvin Candie (Leonardo DiCaprio). And rescuing her is not going to be all that easy.",7
12,16 October 2020,manseetswaroop,9, A masterpiece!,Django Unchained is a 2012 Hollywood movie depicting the story of a former slave turned freeman who just wants to get his wife back. He will stop at nothing to unite with his wife.,3
13,26 December 2012,arnieiam,10, Tarantino-gasm!,Merry Christmas to all you Tarantino fans out there. I hope you made a Tarantino checklist so here we go.,9
14,10 August 2013,Hitchcoc,7, It's Like a Day at the Slaughterhouse,"I'm pretty broad in my tastes in movies. I've seen most of Tarantino. When I start watching, I know that peoples arteries will be pumped up to 250 pounds per inch. I haven't seen so many geysers since I was last at Yellowstone. I was taken in by the story. The establishment that there is evil out there and yes, there was racism in the old West. And I did enjoy the avenging angel. But when the gore started and it sounded like the lake washing up on the shore at midnight, I slipped away. I really didn't care what happened to these guys. This is just another one of those blood baths that have no end. Two hours and thirty minutes of it. They mistreated your wife. Let's kill everybody. Of course, they are all simplistically portrayed as consummate evil. Only Django and his guy are acceptable. And anyone else who is black, unless, of course, he's in it with the white guys. ",4
15,31 December 2020,Morejambo54,9, I like the way you write Quentin!,"This is a fun movie! Great acting, great soundtrack, great editing and great story! The scenes in the big house...top class! Every scene with Leonardo diCaprio was amazing! Now my problems with the movie: the main meat of the movie, the mid section, dragged on a little too long and some of the dialogue was a bit dull but it was necessary to tell the story. The opening of the movie though, was great, I was hooked instantly and the end was so chaotic and fast paced! I wasn't expecting this movie to be as hilarious as it was either, so many scenes had the timing of humour spot on and actually made me laugh out loud. The story isn't complicated or hard to follow which is good, I enjoyed being able to relax and watch the movie unfold. I like this...8/10",7
16,25 July 2019,BandSAboutMovies,10, Perfect spaghetti magic,"I'm fascinated by spaghetti westerns. How can Italian directors, many of whom never set foot on American soil, reinvent an entirely foreign genre, that of the Western? How can they take the basics of the John Wayne-style cowboy film and transform it into a world with no morality?",7
