Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,22 October 2005,MaxBorg89,10," Dr.Lecter, I'd like to see you again...","The Silence of the Lambs runs two hours.Anthony Hopkins appears for little more than sixteen minutes, yet during those minutes he hasn't bored you for a second, not even after the tenth or eleventh viewing. Such is the power of his performance, it's absolutely impossible to forget him.His character, Dr.Hannibal""The Cannibal"" Lecter, is a brutal killer with revolting methods and habits, but he's also very intelligent, charismatic and with good taste(you can interpret that as you like).A clichè by now, but who cares? He still is one of the key elements in this wonderful thriller, which sees Jodie Foster's Clarice Starling asking for Lecter's help to catch another killer.The result is a dangerous yet fascinating relationship between the young, unexperienced FBI-agent and the convicted,but basically omnipotent, psychiatrist.He's a step ahead of everyone all the time, and makes sure everyone notices, with his witty, unforgettable one-liners.If there had to be only one reason to worship this movie, then it would have to be the chemistry between the two leading actors.Never before has a non-sexual man/woman connection been more thrilling.Never before has a film's ending been more unsettling and brilliant and left us asking for more.",/
1,11 August 2021,Fella_shibby,10," Rare to experience a dark n twisted thriller aided by top notch performances, tight script n direction.",I first saw this in the early 90s on a vhs and i still remember how two very old ladies were petrified n blabbering about the movie to my dad and one thing which stayed with me after that conversation was the praising of Hopkins acting by the two grumbling old geezers.,r
2,17 January 2007,ccthemovieman-1,10, A Story And A Character That You Can't Forget,I'll never forget my first viewing of this movie at the theater and will always look back fondly on it for one reason: helping me quit smoking cigarettes.,e
3,28 August 2004,Smells_Like_Cheese,10," ""The Godfather"" of all thrillers","I've seen way too many thrillers. You name it: ""Identity"", ""Seven"", ""The Usual Suspects"", etc., etc., etc. I remember my friend being so obsessed with ""Silence of the Lambs"", that it drove me crazy. And I hated the movie naturally and refused to see it. But everyone told me that I have to see this, so I let my guard down. And had an open mind, and I'm glad I did. My friend was right, this is a great movie. It is so well acted, I couldn't even describe. I loved ""Silence of the Lambs"" and would recommend it to anyone. It's creepy and exciting. Trust me, you'll love it.",v
4,16 November 2005,wellthatswhatithinkanyway,10, A truly remarkable film,STAR RATING: ***** The Works **** Just Misses the Mark *** That Little Bit In Between ** Lagging Behind * The Pits ,i
5,10 August 2019,FrenchEddieFelson,9, A thrilling must see,"I just saw, for the second or third time, this cinematographic masterpiece, during an « UGC culte » evening, in Paris. The list of the Big Five Academy Award winners is short. There are currently three of them, in nine decades: ",e
6,30 October 2005,Theo Robertson,8, Very Effective Thriller But Ultimately Overrated,"It's impossible to comment on SILENCE OF THE LAMBS as being a mere film . Its release was a watershed in popular culture and has influenced a myriad of imitations that are far too numerous to mention . Much of this success is down to director Jonathan Demme who has made the film so effective by coming up with the strikingly simple idea of filming everything in dim lighting which gives SILENCE a moody and brooding atmosphere that was absent from movies in the previous decade . Ironically enough this is as typical of 90s film making as MANHUNTER was of 80s movies . Howard Shore's score also helps the proceedings and Jodie Foster gives a sublime nuanced performance as vulnerable heroine Clarice Starling . Watch the scenes closely when Clarice is in the company of men , don't you get the feeling she has a phobia about the male of the species . Is she a victim of sexual abuse in her childhood ? A lesbian ? We never find out but Foster's performance is multi layered and it's a pity this aspect is never explored in HANNIBAL which sadly deletes this aspect to Clarice ",w
7,15 July 2011,TheLittleSongbird,10, Truly enthralling film and not one to forget,"I have seen some great movies, old or new. The Silence of the Lambs is an amazing one, while not my personal favourite of the year of 1991 it was a well deserved Best Picture win in my opinion.",/
8,2 May 2013,LeonLouisRicci,7, Some Careless Stitching,"Heaps of praise have been given to this multiple Oscar winner by Critics and Fans alike. It is sometimes disturbing, sometimes terrifying, and sometimes the Characters are engaging. Sometimes.",r
9,25 May 2016,ivo-cobra8,10," Classic psychological, suspense brilliant - masterpiece best horror thriller ever made!","The Silence of the Lambs (1991) is a classic psychological suspense brilliant masterpiece well acted and the best thriller ever made! This was my first film I saw on VHS as a teenager and I absolutely loved it. Right after seeing this flick, I heard about Hannibal (2001) Ridley Scot film a sequel to this psychological thriller flick, I rushed buying it right away. Saddly I was disappointed with Ridley Scott Hannibal.",w
10,23 December 2022,ACollegeStudent,7, Lecter carried this hard,Rating: 7.8,7
11,4 May 2019,pmtelefon,5, Top ten most overrated movies of all time.,"Overrated doesn't mean bad. It just means that something is not as good as people say it is. ""The Silence of the Lambs"" isn't a bad movie. It's an okay movie. The best part of the movie is the music. It gives the movie a creepy vibe. The rest of the movie isn't so hot. This is the kind of movie that while you are watching it you think it's really good. But when it's over and you begin to think about what you just watched, you realize that it's pretty dumb. Hannibal Lector escapes by wearing a dead guy's face. Silly. Oh by the way, how did Lector steal the pen? They don't tell you because it would have been impossible for him to steal it. Now after all these years (and years of CSI type tv shows) the little gross out elements that ""The Silence of the Lambs"" has seem awfully tame. It's an okay, and I guess somewhat mandatory, watch.",2
12,11 August 2006,crisp_morning_2004,10, A gripping film that well deserved its Oscars,"It is a creepy and taken-by-storm experience with the film, background music is darker than the film itself and too ominous, plot is brilliantly constructed, conversations are thought-provocative, to crown the whole, Jodie Foster and Anthony Hopkin are the cream. They take ownership of Clarice and Hannibal respectively, transforming them into the most unforgettable screen images.",8
13,17 January 2017,SusieSalmonLikeTheFish,4, Why?,"Look, ""overrated"" doesn't necessarily mean bad. I liked this film when it first came out, and I found it very entertaining. But the extremely high amount of praise that this film gets, makes no sense to me at all. The supposedly menacing and creepy Hannibal Lecter, who ate his victims and is now locked away from society, sounds totally ridiculous with his cheesy one-liners about cannibalism and killing. Jodie Foster, who plays our main protagonist (an elite FBI agent in training) looks and sounds about thirteen years old, and the entire time I was watching, she kept reminding me of an actress from a television after-school special playing dress-up and pretending to be a cop. The pace of this film was rather dull as well, unnecessarily long with hammy characters that seem like they belong in a Troma movie rather than anything highly rated. It still blows my mind that a brilliant film like ""The Killing Fields"" has never been selected for national preservation, but this corny crime thriller was. Honestly I've seen low-budget slashers better than this thing... so why the high reputation and constant fans saying ""oh god, this film is awesome! Hannibal is soooo sexy!"" and all that? To each their own, everybody likes different things, but with this one, which currently has an 8.6/10 overall rating on IMDb, how did that even happen? Was this one of those ""right place at the right time"" kind of things where it hits a generation by doing something innovative for the time, thus becoming popular? Or is there seriously something here I'm missing? I've watched it several times and I don't find it complex or overly intriguing in any way whatsoever. And I really like Foster and Hopkins as actors, from Hopkins' role as the grieving father in Audrey-Rose, to Foster as the dying little girl on a Nova Scotia vacation in Echoes of a Summer, but in this film it tries to put them together in some sort of tragic love story, which really plays out strangely. I kept cringing at Foster's character's pretentiousness and show-off attitude and Hannibal Lecter's pointless riddles and games, which are interesting at first but quickly become boring and stupid.",8
14,1 August 2017,notoriousCASK,10, One of the Greatest Thrillers of all Time.,"The Silence of the Lambs is a masterpiece you cannot miss, it's a masterwork of suspense that blends the elements of horror, crime and psychology into one tight and smooth story. It's only the third film in history to win Academy Awards in all the top five categories: Best Picture, Best Actor, Best Actress, Best Director, and Adapted Screenplay and that imply something about its technical quality as a film. It features expertise level of craftsmanship in all departments of filmmaking, and takes a huge bonus from the exquisite performances put in by its stellar cast. After all these years The Silence of the Lambs remains in a league of its own and is a perfect exemplification of just how great a movie can become when all the right elements come together and work in perfect harmony to form a complete whole.",7
15,20 March 1999,Clothahump,10, Suspenseful doesn't come close!,"Great job by Foster and Hopkins.  Hannibal's part could have been fleshed out a little more, though (sorry, couldn't resist that one).  The book described him in more detail and made him even more reprehensible; the movie could have spent five minutes more and done the same.",5
16,2 October 2020,ThunderKing6,5, overhyped 90s movie,It was not bad. Mainly an over hyped.,5
