Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,9 July 1999,baumer,10, There will never be another film like Raiders,"It is a hot sunny day in South America. We see a bunch of men, shot mostly from the back. They are walking deep into the forest. We see a tall dark figure. He is wearing an old leather jacket, he has the 5 o'clock shadow looking like it's closer to midnight, he wears a fedora and he carries a bull-whip ( yes a bull-whip ). Finally, two of the men enter a cave and we hear about some guy named Forstall, who was good, very, very good, but he never came out of the place alive. But they enter anyway. They are confronted with tarantulas, spears that are triggered by blocking out the light, a pit that they must swing over and then more tiny poisonous darts that come out of the wall. All this to protect an ancient gold statue. They recover it. One guy dies and the other barely makes it out of the room before it all falls on him. Then he has to get out of the cave and a giant boulder chases him. Finally he makes it out of the cave only to be surrounded by Hovitos and his arch enemy named Belloq. He takes the gold statue that this guy worked so hard for and then the guy runs and makes it to the plane where he is in the passenger seat and there is big snake in the plane. He hates snakes. This mans name? Indiana Jones!",/
1,15 November 2019,acedj,9, When Harrison Ford was crapping gold,"This is the first movie in the Indiana Jones series. It is also the best film in the series. Indy is hired by the US government to track down the sacred arc of the covenant. While he is on his quest the Nazis are also searching for the arc. This is a wonderful adventure story that covers many countries. Harrison Ford was born to play this role, and he does it with flair. After having seen this film quite a few times, you also get to pick out the Easter eggs that are scattered around. One hint is be on the lookout for two well known Star Wars droids.
I do not think that there was a better combination in the 80's than Lucas and Spielberg. This in everything you would want from an adventure movie and more.",r
2,27 August 2020,snoozejonc,10, Classic and timeless action adventure,Archaeologist-Adventurer Indiana Jones hunts for the ancient Ark of the Covenant.,e
3,6 June 2022,Xstal,9, Perpetually Entertaining...,"An army of fascists seek to plunder, an artefact so precious it's a wonder, an archaeologist will resist, using whips and guns and fist, in a treasure of a film packed with adventure.",v
4,24 December 2004,PyrolyticCarbon,10, Excellent movie and brilliantly crafted entertainment with a superb casting,"I remember seeing this movie when I was young, and it may well have been in the cinema with my Father, I can't quite remember (if he does, then please post the answer), anyway I do remember seeing it and being thoroughly entertained and that feeling of excitement and total fun staying with me to this very day as that is the feeling that the movie conjures up whenever I think of it.",i
5,26 September 2006,CuriosityKilledShawn,9, Will stand the test of time forever.,"I've seen Raiders of the Lost Ark numerous times on TV, DVD and big screen. My local theatre had a special showing last night and the 400-seat screen completely sold out (as Indy films always do). Luckily for me and my pal, we got the last 2 tickets available! I can't think of many films that still sell-out 25 years after their original release. There's just something about Indy movies(iconic hero, affection, epic spectacle) that brings you back again and again.",e
6,27 July 2008,Nazi_Fighter_David,9," Harrison Ford, in the role that suited him best...","Ford stars as Indiana Jones, an archaeologist adventurer, who spends his time traveling all over the world through jungles, deserts, oceans, and caverns in search for hidden treasureslike the priceless long-lost Ark of the Covenant (the Hebrew sacred artifact that held the supposed Ten Commandments). Unfortunately, a group of treasure-hungry Nazis wants it too, having heard that any army who wins it would receive supernatural powers ",w
7,19 April 2001,Aaron1375,10, My favorite movie of all time!,"There are few movies I can watch over and over again, but this is one of them.  This movie has it all: action, romance, comedy, and suspense. Harrison Ford is at his best as Dr. Jones, one of the most exciting archeologist ever.  From the start to the end you are hooked to this movie. I love the opening when he as to dodge traps as he tries to get this treasure, I love it when he is running through the streets trying to save the girl, I just love every bit of it.  Spielburg said he wanted a b-type movie like he remembered from his youth, but this far surpasses any b movie and any a movie as far as I am concerned.",/
8,6 December 2004,belzebuebchen,10, A blockbuster how it was meant to be,Nowadays we keep forgetting how beautiful blockbusters can be. Too much CGI makes everything possible and therefore very often also arbitrary. In Raiders you actually seem to feel the physical pain some of the actors/stuntmen had to go through to provide 2 hours of pure entertainment.,r
9,3 September 2010,TheLittleSongbird,10," To me, this will always be the best of the Indianna Jones series","For me it is not only the best of the series but one of the greatest adventure films ever made. It is breathless excitement from start to finish, and to be honest I cannot fault it really. The production values are wonderfully evocative, and John Williams's score is outstanding. The script is filled with wit and invention, and the story is slickly paced and exciting. The action is spine-tingling, with booby-trapped caves, snake chambers, Nazi spies, religious demons, damsels in distress and romance, and the special effects are dazzling especially in the superb climax. The direction is effortless, and there is little to complain about the acting either. The part of the unorthodox archaeologist fits Harrison Ford like a glove and Paul Freeman brilliantly plays a smooth villain. Karen Allen, Denholm Elliot and John Rhys-Davies are excellent as well. In conclusion, brilliant and if you haven't seen it do. 10/10 Bethany Cox",w
10,6 April 2020,h-28658,8, This is a very classic movie series.,"In the process of watching, I am only an idea in mind, he is really very bad, how many times, in the film to the treasure he showed his ferocious face bad men put him in trouble, he can turn dangerous, again and again to escape these tombs nearly died.",1
11,15 August 2005,ma-cortes,8, Magnificent action-packed adventure film that spawned two sequels and numerous copies,"It's the first part of adventures trilogy , going on the way of the 30s classic films and the Comics-Books language. The picture blends comedy,adventures action,rip roaring,cliff hunger,tongue-in-cheek and is extremely entertaining and fun . The archaeologist Indiana Jones with his bull whip-wielding and hat will confront dastard Nazis (Ronald Lacey) in Peru, Nepal and Egypt to the obtaining the Moiseh ark with the Covenant's tables . He's only helped by two feisty adventurers (Karen Allen and John Rhys Davies) . Indy fights nasty Arabs , decodes hieroglyphics and faces off hundreds of snakes . The movie attempts to go on the path from great classics during the 30-40s and the comic-books narrative along with the special characteristics of the terror cinema of 80 decade.",3
12,30 June 2020,cricketbat,10, An adventure classic that launched a legend,"Raiders of the Lost Ark is an adventure classic. Harrison Ford is fantastic as the whip-bearing, hat-wearing hero, Indiana Jones, and the story is full of entertaining twists and turns. This has long been a favorite film of mine, and I am happy that I was able to pass the legacy along to my children-who were only mildly traumatized by the face-melting scene.",1
