Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,2 January 2010,classicsoncall,10," ""He doesn't know it's a show. He thinks it's a damn fight!""","One gains a certain degree of perspective with the passage of time, and one of the things I like to do is watch a movie that I saw upon it's original release and compare my feelings for it now to those I experienced back in the day. I thought ""Rocky"" was a great and inspiring movie back in 1976, and with only the slightest bit of hesitation, I think it delivers the same feelings today. I throw in that slight hesitation part because over the years, the sports underdog theme has been worked to death in cinema. But the thing about ""Rocky"" is that it's not so much a film about boxing as it is a film about life in general. A direction-less man with no goals suddenly finds the gold ring handed to him on a platter. Not that there isn't a whole lot of work involved to make that dream come true, but one has to recognize opportunity in the first place. I read with some amusement the negative reviews of the picture on this board and have to wonder how many of the nay-sayers consider themselves so intellectually superior that they trash the film for that simple lack of recognition. Because criticizing Rocky Balboa for talking like he had a mouth full of marbles is missing the point. He talked like that because he was a street punk working as an enforcer for a local mob boss, and the people he dealt with on a daily basis weren't exactly magna cum laude types. Nor was he going up against members of mensa whenever he climbed through the ring ropes at a local boxing joint.",/
1,24 February 2016,BA_Harrison,10, Yo!,"Rocky Balboa (Sylvester Stallone) is a struggling Italian/American boxer who also earns cash collecting debts for shady Philadelphian 'businessman' Gazzo (Joe Spinell). When heavyweight boxing champion Apollo Creed (Carl Weathers) finds himself without an opponent for his upcoming match, he offers the unknown fighter a chance at the title as a gimmick, but doesn't count on Rocky's determination to go the distance.",r
2,6 July 2015,utgard14,10," ""I ain't no bum, Mick. I ain't no bum.""","A first-rate film that's about as close to perfect as any movie about boxing (or any other sport) that I've ever seen. The plot is very simple -- small-time boxer Rocky Balboa (Sylvester Stallone) is given a chance to fight the heavyweight champion Apollo Creed (Carl Weathers). It sounds no different than a ton of old movies about the sport. But this film proves that it's not always how fresh or unique the story is but how well it's crafted. Rocky is a masterpiece of filmmaking with dynamite acting from Sylvester Stallone, Burgess Meredith, Talia Shire, Burt Young, and Carl Weathers. Many classic scenes, lines, characters. Bill Conti's score is one of the all-time greats. It was nominated for nine Oscars, winning three including Best Picture. It was director John G. Avildsen's best film and many would argue it is Stallone's best as well. Certainly his best screenplay. The fight choreography is terrific. Followed by a string of enjoyable sequels but they were just solid entertainment. This one is very entertaining but it is also something much more than that. It's one of those movies that becomes part of culture in a big way where everybody recognizes something from the film even if they've never seen it.",e
3,5 May 2003,MovieAddict2016,10, The Raging Bull Named Rocky...,"""Rocky"" is about a man. It is the story of a man who exceeds past all normal expectations and makes the most out of what he is doing. What is he doing? Boxing. Why? As Rocky says in the film, ""You have to be a moron to want to box.""",v
4,3 November 2015,ivo-cobra8,10, A classic! the best and the original movie of all time - Rocky !,"Rocky (1976) It is still today one of the best action, sport, drama and a cult classic low budget films ever made in history. It is an underdog story telling about a men and his struggle in his life. Sure, I know that without it, there'd be no sequels for a ranking, but compared to III, although this Best Picture of 1976 was great, it just dragged a bit for me. I'm no brainless action-goer, mind you. I love real human drama portrayed on screen. I've got to say though, at times, you feel like you're watching a documentary on a real man's life. It's that much realistic. This to me is a no brainier. You get introduced to an insecure Rocky who works for the mob as a collector, but has too big of a heart to go around hurting people in an awesome heartfelt movie. Adrian and Rock meet, You get introduced to the lovable A-hole Pauly. Introduced to Creed. Introduced to Mick. And BUTKUS! And Rock goes the distance with Creed! This movie has a Heart . As a kid Rocky III was my favorite best movie ,but this one is my second best movie. YO ADRIAN I DID IT!!!",i
5,27 November 2020,zkonedog,10, Everything About This Film Is Iconic--And Inspirational,"Every once in awhile, a movie comes along that sort of breaks the mold. By almost all accounts, ""Rocky"" never should have even been made, much less developed into a cultural phenomenon. Fortunately, the stars aligned in just the right places to produce what is truly one of the most iconic, inspirational films of all time.",e
6,17 December 2004,JFHunt,10," ""But it's Thanksgiving. Yeah to you, but to me it's Thursday.""","It's hard to explain what this movie means to me. Words could never. I remember when I was a kid, I never liked the first Rocky, was too obsessed with III and IV. It happened when I was 11 and I went to see V in the theater. I never been to a movie like that before. People were screaming and cheering. Shook the whole damn place. They were dancing in the isle's and celebrating. It was then I realized the true power of Stallone's vision. The realization that only the original would ever really matter.",w
7,11 August 2019,BandSAboutMovies,10, A perfect movie,"Sylvester Stallone wrote the screenplay for Rocky in three and a half days after watching Chuck Wepner take world champion Muhammad Ali to 15 rounds, a feat that no one saw coming. Stallone was also inspired by two boxers named Rocky - Marciano and Graziano, as well as Joe Frazier.",/
8,18 February 2005,rbverhoef,9, A great Sylvester Stallone film,"If you think Sylvester Stallone has made nothing but stinkers you just have to see 'Rocky'. This is a brilliant film, based on Stallone's own screenplay, where he plays a complex character in such a terrific way it is not strange people thought this was going to be a great actor. Compare it to another great film about a boxer, 'Raging Bull', and 'Rocky' will be better at some points. It goes without saying that it's quite an achievement.",r
9,15 May 2020,marcin_kukuczka,10," The older it gets, the better it is... Wonderful Movie!","It seems that those movie productions that had to fight the big fight with the expectations, somehow, turned out to be timeless, not only for the fans of the genre but for the general audiences as well. That is, undeniably, the case with ROCKY not yet directed by Sylvester Stallone but by late John G Avildsen (who comes back with the direction of ROCKY V in 1990). ROCKY, after all these years and a lot of sequels made after, including the recent CREED films, proves to be one of the very best films about sport, a sportsman and, most importantly, a personality - formerly 'nobody' rising to the top-notch fame and popularity.",w
10,24 December 2015,Uriah43,8, Intense Action and Drama,"""Rocky Balboa"" (Sylvester Stallone) is a boxer who struggles just trying to make ends meets in the city of Philadelphia. Although he certainly isn't the brightest person around he has a big heart and does the best that he can. Yet even then he realizes that he is going nowhere fast. Then one day he gets a call from a man who wants to schedule a fight between him and the undisputed Heavyweight Champion of the World who goes by the name ""Apollo Creed"" (Carl Weathers). At first Rocky refuses because he doesn't believe he is in the same class as the World Champion and doesn't deserve the honor. However, he eventually comes around and gets more serious about his training. But even then he has grave doubts about his chances. Now rather than reveal any more I will just say that this was a very good movie which really highlights the importance of never giving up and always trying to do your best in spite of the odds. Admittedly, the first hour or so is quite slow but during this time it provides the character development necessary for the intense action and drama in the second hour. This is especially true for Talia Shire (as Rocky's girlfriend ""Adrian"") and the aforementioned Sylvester Stallone. At any rate, I thoroughly enjoyed this film and recommend it to those who might be interested in a movie of this type.",0
11,30 March 2013,planktonrules,10," The film cost a million and grossed over 100,000,000 domestically.....'nuff said.","I am not a huge boxing film fan. Well, that's not exactly true. I am not a fan of films that glamorize boxing. Movies like ""The Harder They Fall"", ""Requiem For a Heavyweight"" and ""Champion"" and ""The Set-Up"" are all wonderful films about the brutality and vicious nature of the 'sport' and are great indictments about what a terrible thing boxing is--and I heartily recommend them. However, ""Rocky"" is a rare film that glamorizes boxing (for the most part) and manages to deliver a film that you can't help but admire. Think about it. It was a small film, costing only about a million, and earned TONS of money and won the Best Picture Oscar!! No matter what you think of the later Rocky Films (as they got progressively worse) or the other films of Sylvester Stallone, you cannot take anything away from this tremendous achievement. It is a great film and it's amazing that it was made by folks who no one really heard about up until then. Plus, when you read about how quickly Stallone penned the script, you can't help but admire it. A terrific film.",9
