Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,10 December 2003,Coventry,8," Yes, it's THAT good !!",I'll be totally honest and confirm to you that everything what they say about this movie is true. It's a brilliantly animated masterpiece with lots of humor that actually works and a plot that really brings tears to your eyes from time to time. The modern artists of Pixar never cease to amaze the audience in expanding their horizons. Finding Nemo is visually stunning and you can have nothing but respect for the people who created it.,/
1,15 October 2005,kylopod,9, Pixar's best feature to date,"I have enjoyed most of the computer-animated films made so far, ranging from Pixar films like ""Toy Story"" and ""The Incredibles"" to DreamWorks films like ""Shrek."" But ""Finding Nemo"" is the one that remains unparalleled, not because of its comedy or creativity, both of which are equaled in the ""Toy Story"" movies and in ""Monsters Inc.,"" but because it truly, more than any of the previous computer-animated features, reinvents the genre of the children's animated film.",r
2,22 January 2005,mjw2305,8, Another Disney/Pixar Classic,"Those guys and girls at Disney/Pixar have done it again, they've created the perfect underwater world, full of fascinating Disney characters.",e
3,20 March 2006,PizzicatoFishCrouch,10, Swimming with Sharks is a Whale of a Time,"Marlin, a nervous and neurotic clownfish is heavily overprotective of his son Nemo, who only wants to explore the sea in its entirety. When Nemo gets caught by a scuba diver and taken away, it is up to Marlin to swallow his own fears and find Nemo. The ensuing search and rescue organized by the him is a mass effort by swimming and flying creatures of all sizes and personalities, such as a threesome of vegetarian sharks, a fish with short term memory and an aged turtle, all helping him realise the error of his ways in restricting himself to just his home.",v
4,28 July 2003,MovieAddict2016,8, Pixar Remains the Best Family Film Industry Out There Today...,"Pixar Animation Studios has a very good knack for making thoughtful, intelligent and humorous family films (note that I didn't say kid films). ""Toy Story"" 1 & 2 and ""Monsters, Inc."" are some of my favorite family films; ""Finding Nemo"" isn't one of my favorites, but it isn't disappointing like ""A Bug's Life,"" and it is thoughtful, intelligent, humorous and incredibly watchable, just like the other Pixar films.",i
5,11 January 2004,Boba_Fett1138,9, Who said fish are boring?,"""Finding Nemo"" is a wonderful animated adventure movie that simply is irresistible for young as well as older persons.",e
6,5 June 2003,lhseaglerunner,9," ""Finding"" A Flight odf Fancy","Remember back when you were little.you know, back when tall to you was about as high as a mailbox? In those days, Disney animated films (e.g. `Lion King' and `Beauty and the Beast') were some of the coolest things out there and were movies to watch over and over (much to your parents' chagrin). Now, animated movies aren't exactly the `coolest' things to see, but an exception can be made for the uber-hip Pixar movies, the most recent of which being `Finding Nemo'.",w
7,14 June 2020,MAYESY-44,8, Childhood memories,This is another classic animated movie from my childhood. This is a great story and a good amount of comedy with Dory. Must see family film.,/
8,3 May 2009,TheLittleSongbird,9, What an outstanding movie!,"This movie is just gorgeous to look at, really the animation is just stunning, with the blue backgrounds and colourful characters. My only criticism is that although there are some very funny moments, like Doreen speaking whale(Ellen DeGeneres was born to speak whale, really she was) and Barry Humphries's shark, I don't think it is as laugh-out loud funny as Toy Story. Finding Nemo is definitely the most beautiful visually of the Pixar movies, I would certainly pick it over Cars. The music by Thomas Newman was just beautiful, and I always look out for this in a movie, and it was a delight hearing ""Beyond the Sea"" over the end credits. The characters are genuinely memorable, especially Doreen and Bruce. And who can forget the girl Darla, with the Psycho music?(that is really terrifying)The voice talents are very good indeed, especially Ellen DeGeneres, and I liked Willem Dafoe's Gil. Albert Brooks made a wonderfully paranoid father figure, and I loved the plot about Marlin's son Nemo being taken by divers and Marlin (a clown fish) racing to find him. That is simple, but we meet characters like the turtle, so the film is filled with fun, enough to satisfy the fussiest child. In conclusion, 9/10 for the visuals and the characters. Outstanding! Bethany Cox",r
9,5 July 2020,twpain,10, Great Movie For Anyone,Finding Nemo is a very good movie and is really rewatchable! The characters are great and the story is heartwarming. The film is never boring and brings constant laughs for everyone! I highly recommend this film!,w
