Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,28 April 2006,planktonrules,10, Chaplin's best--what a film!,"I've seen both version of this film--the original silent version from 1925 and the re-release by Chaplin in the 1940s. The difference is that the re-release was designed to appeal to a new audience that expected sound from their movies. To do this, title cards were removed--having Chaplin narrate the film. In addition, Chaplin-created music (for the most part--some were classical pieces), sound effects and singing were added to make the movie more palatable to the average viewer. I personally like BOTH versions and the one you watch is up to you if you get a copy of the Warner Brothers release on DVD--it has both plus excellent DVD extras. Otherwise, there have been a lot of public domain versions on video out there--many with terrible quality prints or music or both. The Warner version is the most pristine and beautiful silent print you can find. The version usually shown on Turner Classic movies is the 1942 re-release.",/
1,13 May 2005,lee_eisenberg,10, You just can't beat Charlie Chaplin!,"The 1898 Gold Rush to Alaska may have been harsh, but Charlie Chaplin makes it hilarious. As an unnamed prospector, Chaplin goes through a series of gaffes while seeking gold in the Yukon. Most famous of course are the shoe for dinner, the dancing roles, and the cabin teetering on the edge of a cliff. His companion, Big Jim McKay (Mack Swain) at one point is so hungry that he believes Chaplin's character to be a chicken, and before long, a bear enters their cabin. In the midst of it all, the prospector falls in love with dancer Georgia (Georgia Hale).",r
2,15 May 2001,Anonymous_Maxine,10, Charlie Chaplin at his best.,"The Gold Rush is one of Chaplin's best films, as well as one of his most famous. It has been said that it is the film that he most wanted to be remembered by, and it's not hard to see why. Chaplin plays the part of the lone prospector, a young miner during the gold rush. After getting caught in a storm, he hurries to the only shelter that he can find, a wood cabin in the middle of the storm. It turns out that it is already inhabited, and by a tough criminal named Black Larson, no less, and the scene in which Charlie and Big Jim, another prospector, insist to Black Larson that they are going to stay is one of the countless memorable scenes in the film.",e
3,10 September 2020,Xstal,9, Silence is Golden...,"Then came the dawn, and with it one of the standout scenes in any silent movie as the cabin teeters on the brink. There are so many elements in this film, elements that would be reused and recombined in various presentations over the years and on so many occasions - the gold standard.",v
4,30 March 2005,didi-5,8, Little Tramp makes good,"Charlie Chaplin's silent film (also re-released with a narration in the early 1940s) focuses, as usual, on the Little Tramp, and in this case, his attraction to a chorus girl (Georgia Hale). This is the one where he eats a boot, along with its laces, and manages to make it appear a sumptuous meal; as well as creating a dance with bread rolls.",i
5,17 May 2020,ma-cortes,8, Classic Chaplin movie with unforgettable scenes as the pantomime sequence of eating the shoe,"Very good Charles Chaplin in which he proves his excellent skill as an actor and director . The Little tramp searches for gold and romance in the Klondike , Alaska , in the mid-1800s . Along the way he gets mixed up with some burly roles and he falls in love by the charming dancer Georgia , furthermore , he finds in competition with a jealous suitor who has his eyes on Georgia , as well . And while facing off other prospectors and suffering extreme starvation, and anything else.",e
6,4 January 2005,ACitizenCalledKane,10," Possibly Chaplin's best film, certainly one of the greatest comedies of all time!","To see Charlie Chaplin's The Gold Rush is to know enjoyment. One cannot help but enjoy a film as well-done as this! Chaplin said that this was the film for which he wanted to be remembered, and I can see why. It is a masterful blend of comedy, drama, and romance, among other genres seamlessly brought together in one extraordinary picture. Like all great movies, The Gold Rush has more than its share of memorable moments, from the Thanksgiving dinner to the dance of the dinner rolls to the cabin teetering on the edge of the mountain. All of these scenes are brilliant because of The Tramp's flawless physical comedy. He was a master of comedic timing, and he was one of the most graceful physical comedians I've ever seen. Don't get me wrong, this picture is not just three fantastic scenes amongst filler. The film moves along at a brisk pace, following the misadventures of our hero, The Lone Prospector (Charlie Chaplin, of course), as he attempts to hit it big by discovering gold in Alaska. Along his journey through the elements, the prospector meets the notorious Black Larsen (Tom Murray), a wanted criminal willing to do anything to get his hands on some gold. Fortunately, our friend also comes across a fellow prospector, Big Jim McKay (Mack Swain), who has finally defied all odds and struck it rich. But the Lone Prospector's adventures take place not only out in the middle of nowhere. When he is forced back to civilization, he falls in love with Georgia (Georgia Hale), the most beautiful girl in town. Of course, it would be all too easy if no one else was interested in this beauty. Jack Cameron (Malcolm Waite), the handsome lady's man who is not content with every other woman in town by his side; he must have Georgia, as well. Competition arises between the disappointed prospector and the ego-maniacal ""lady killer."" All of this would be too much for any one of us, but the Lone Prospector handles it all with his uncompromising resilience in the face of insurmountable odds to bring us one of the greatest comedies of all time! I will not lie, I am a fan of Charlie Chaplin's movies, but as objective as I can possibly be, this IS one of the great movies...Essential viewing!",w
7,26 January 2002,lugonian,10, Charlie of the Yukon,"THE GOLD RUSH (United Artists, 1925), written, directed and starring Charlie Chaplin, may not be the very best of the Chaplin feature comedies of the silent era, but has become the very movie in which Chaplin wanted to be most noted for by future generations. So proud of his achievement, Chaplin reissued this silent film in 1942 with a new music soundtrack which introduced a narration written and spoken by Chaplin himself, eliminating the use of title cards. Then in the summer of 1971, THE GOLD RUSH became the initial movie presented on public broadcasting station's 13-week series of ""The Silent Years,"" as hosted by Orson Welles, from the Paul Killian collection with a new and excellent piano score by William Perry.",/
8,7 June 2004,PhilipJames1980,10, Gold is the operative word here.,"The Gold Rush is pure gold.  It was Charlie Chaplin's third feature-length film, and marked his comeback of sorts following A Woman of Paris (1923), which he had directed to great critical acclaim but which had been unsuccessful at the box office because it lacked his signature character The Little Tramp.  ",r
9,14 October 2005,Nazi_Fighter_David,10, The Little Fellow is simply superb!,"If any single figure can fairly be said to symbolize the glory years of the silent filmsthe cinema's truly international epochit is Charles Chaplin's indomitable tramp The Little Fellow, as millions came to call him, was at once tatty and debonair, brow-beaten and irrepressibly optimisticand he was, without question, the best-loved international star in all of film history ",w
