Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,4 July 2020,ferguson-6,9, just superb,"Greetings again from the darkness. You know what it's like when people start talking about some great new restaurant that just opened (think back to pre-pandemic)? And then you start to hear your friends and co-workers raving about it ... best 'steamed broccoli' (ok, insert your favorite entrée) I've ever tasted! Having been burned many times with high expectations, you remain skeptical, but make the reservation. Well, that's been me with ""Hamilton."" For almost 5 years, the hype was just too much. Surely folks were caught up in the frenzy, and peer pressure was such that no one would admit it wasn't all that. So, now I'm here ... throwing myself at the mercy of the Theater Gods. Thanks to Disney Plus, I only needed to invest a little (ok, a lot) of time, rather than a few hundred dollars for a ticket. This is me humbly admitting I was wrong. The show is fantastic, and I only wish my first viewing had been a live performance.",/
1,4 July 2020,rebekahrox,8," Grateful for the captions, the pause button, and Wikipedia.","I started watching this out of curiosity and to say I have seen it, being the cultural touchstone that it is. At first, I was a little detached, not liking the songs too much, and thinking I would probably just skip through to end in a minute. I couldn't stop watching and it really sucked me in. I have to say, I'm not sure I would have enjoyed it at all, live in the theater. I benefited greatly from the captions and the ability to put it on pause to consult Wikipedia from time to time. The lyrics were so clever and really told the story. I ended up very moved and almost cheering at the end. Of course, now that I am familiar with the story, I would love to see it live and would enjoy it immensely. But I would strongly recommend this for a first time viewing. I will definitely re-watch. And probably again and again.",r
2,3 July 2020,guapo_andres,10, BEAUTIFUL,"I'm a mexican boy who has never got the chance to go to Broadway, all I've seen are bootlegs, and they're fine but not like this. This is a beautiful shot of the great spectacle Hamilton is, the flawless music of Lin Manuel Miranda, the production, the photography, costumes. And the acting, Leslie Odom Jr., Renneè, Miranda and Daveed Diggs shine on their roles, I don't know is this can be nominated for any award, but damn it deserves it",e
3,13 July 2020,TheLittleSongbird,10, Musical history,"'Hamilton' was a major surprise for me when seeing and hearing it. Music is such a big part of my life, being now a semi-professional singer and raised into a musical family, and am a fan of musicals, especially the golden age ones. History was also one of my favourite and best subjects in most of my up and down school life, until it didn't work out in sixth form when my confidence went and my comprehension and drive worsened. So having a musical to combine the two immediately intrigued me, despite not being the biggest fan of the dominant styles here (was raised on classical music and opera personally).",v
4,18 July 2020,Prismark10,9, Hamilton,One critic recently wrote a list of three great musicals that must be seen on stage. Hamilton was one of them.,i
5,16 July 2020,henry8-3,9, Hamilton,"Musical based on the life of Alexander Hamilton, one of the founding fathers.",e
6,6 July 2020,blanche-2,10, what a treat,How incredible to be able to see this show on TV instead of going to New York and spending $800.,w
7,15 July 2020,Thanos_Alfie,8, Watch it...,"""Hamilton"" is a Biography - Drama musical in which we watch the life story of one of the founding fathers and the first Secretary of the Treasury, Alexander Hamilton. We learn more about him, his work and his life.",/
8,13 July 2020,cricketbat,9," Complex, emotional, and lives up to the hype","There was so much hype surrounding Hamilton that I thought there was no way it could live up to expectations-and yet it does. The songs in this musical production are complex and emotional, and the story explains the history of our founding fathers in an engaging way. Yes, it would probably be better to see it on stage and no, it's not perfect, but I'm glad I was finally able to see Hamilton performed instead of just listening to the soundtrack.",r
9,7 July 2020,southdavid,8, All Rise.,"Like the rest of the world, I watched ""Hamilton"" on Disney Plus this weekend. Though I have seen a number of stage musicals, I haven't seen ""Hamilton"" yet, so this was my first opportunity to see the highly regarded show and I have to say that it didn't disappoint.",w
10,3 July 2020,sebastianbrown-00139,10, This is how musicals should be done for screen,Although many musical adaptations have flopped this may have proved that best way to do it is simply film the play. What you get is one of the best musicals available to watch whenever you like at an affordable price. Great work by everyone involved especially Lin Manuel Miranda.,7
11,4 July 2020,planktonrules,8, How much you enjoy this is highly dependent on your age.,"Yesterday, a bazillion folks tuned in to Disney+ to see the debut of ""Hamilton""...a recording of the Broadway show back in 2016. Because it's not a traditional movie-style musical, it's pretty difficult to compare it to a typical film in the genre. It's also a film whose enjoyment definitely depends on your age. I am in my mid-50s....hardly the age to like hip-hop style music in a musical. But, despite this, I did respect what the show was trying to accomplish--to bring America history to the masses AND to make it more accessible to minorities as most of the parts were played by Black and Hispanic actors and actresses. So, while having the likes of George Washington and Aaron Burr played by black actors isn't historically accurate, it does help make history more inclusive....as did the very modern music. And, as an ex-history teacher, I am thrilled about these things even if I wasn't all that fond of the singing. Well worth seeing....and a nice chance to publicize a few nearly forgotten great Americans.",8
12,4 July 2020,Hitchcoc,10, A Great Representation,"Having seen the play and loving it, I was set for a disappointment. No chance. With the one limitation of being confined to a screen, the portraya was extremely well done. With a minimum of close-ups, the filming of the staging worked well. The sound was very good, few words lost. Since this was the original cast, we got to see the thing at its best. I will leave it to others to get into the plot details. I was intrigued from beginning to end.",4
13,4 July 2020,cliftonofun,8, Not better than the real thing...but close,"I was fortunate enough to see Hamilton 3 times in Chicago, including once from the second row thanks to a friend winning the lottery. How did this compare? WAY better than I expected, honestly. I noticed new moments. I saw the original cast in a new light. I experienced the story like I was onstage. There's nothing quite like being in the theater, but this may be the closest a film crew ever got to capturing theater magic. (I wish the RENT movie had been a recording of a 1996 production...) Hamilton represents a unique moment in American theatre, and I'm grateful someone captured it.",6
14,19 July 2020,garethcrook,10, Blimey!!,"I know a little bit about America's founding fathers. Not a lot, it's not really taught in the UK. That's not important though. Knowing any history to enjoy this I mean, not America's independence. Musicals aren't my thing either and certainly not musical theatre, which this is with several exclamation points. What we have here is the theatre production, filmed, fairly simply. A few camera angles covering the stage, mostly wide to show off a lovely set, occasional close up to, well to provide some variation in the edit, nothing more. This is the thing, it's a show designed to be enjoyed in the room. There's no set camera positions. The camera is normally your eye from your seat. That's not possible right now though, which is why this exists. So it's not a film. It works though and it's undeniably a spectacle. If you don't like singing and dancing, you might think you're buggered. Honestly though, this is pretty top quality singing and dancing, you're in safe hands. It's fast and fun, the energy dialled all the way up. The mix of humour, hip hop and show tunes will make even the most hardened cynic smile. Alright it's gimmicky, actors spitting bars wearing frock-coats, declaring war, but I guess the rules are different in theatre and it's very effective. In film it's often said that if the actors look like they're having too much fun, the audience aren't. I don't think that applies here either, everybody looks to be having the time of their lives and the live audience, that we hear but don't see, seem to be too. It's pretty lengthy, but there's a lot in there, not least a pretty eventful life story. Alexander Hamilton. Rags to revolutionary. A social climbing agitator, with a love of writing and setting up financial institutions. Weddings, duals, adultery, bribery, a bloody big war and a lot of political manoeuvring. The historical content is top line stuff, covering the basics. They're touch points really, never allowing the story to get too dry, but it manages this without dumbing it down too much and the razor sharp humour helps, ""Immigrants we get the job done"". The cast are wonderful. Daveed Diggs as both Lafayette and Jefferson is the standout for me. There are quieter moments, but there's sequences where it's one bombastic banger after another. Canon fire and scratching, the score gets pretty raucous. I went it with a little trepidation, but Lin-Manuel Miranda has indeed created something marvellous. It. Is. Spine-tinglingly brilliant. I might have to stop saying I don't like musicals.",0
15,24 July 2020,ahmedgorshy,10, Best movie in 2020,"Best movie in 2020
A really difficult year, but this film managed to forget me everything and make me into another world where everything is beautiful, I wish it were longer",5
16,4 July 2020,tm-sheehan,10, A magnificent production the hypes justified,I thought after all I've heard and read about this musical phenomenon that July 4th would be an appropriate evening to judge for myself and I'm so pleased to say all the hype about Hamilton is true it is truly a fabulous stage show.,6
17,5 July 2020,sini-200,9, A musical masterpiece,"One of the greatest historical musicals ever made, the story, the outfits, the set, the score, the casting - everything absolutely perfect! Songs are incredible. Lin Manuel Miranda is remarkable in this, a living legend. You won't forget a musical like this.",/
18,8 July 2020,questl-18592,9, Alexander Hamil-WIN!,"This was an exciting thing for me. I, like most people, had heard of Hamilton. It was/is a HUGE phenomenon on Broadway and launched the careers of some incredible people. Miranda is always the fun, quirky, goofy musical wizard that pops up in shows now and then. Leslie Odom Jr. has always had this impishly wicked energy to him. Oh, and lets not forget Daveed Diggs, the up and comer who, after Blindspotting and a couple other things, I would watch in just about anything. Unfortunately, I live light years away from any decent stage so the odds of me seeing this in real life seemed like something that may just never happen. Enter the magical world of Disney and I am given the opportunity to finally experience the phenomenon myself, albeit not in the original form. Of course, with all the build up and all the hype, I was worried it couldn't possibly measure up.",?
