Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,20 December 2021,kevin_robbins,10, You find yourself rooting for both sides the entire film.,Heat (1995) is a movie that is in my DVD collection that I recently rewatched on Tubi. The storyline follows an underground high end burglary team looking for one big last mission and a parallel story about a successful police officer who is struggling at home. As the buildup to the big heist unfolds the two worlds come closer and closer together until the ultimate collision happens.,/
1,23 April 2011,planktonrules,9, Exceptionally well done though it's not the sort of film for everyone...but what movie is?,"I have very little interest in most action films or violent movies, so I am not the sort of person that would normally watch a film like ""Heat"". However, on a lark and because it's apparently such a good film I decided to give the film a look. Well, I must say that thought I was not in love with the film it sure was exceptionally well made and had a lot to offer--even for folks like me.",r
2,9 January 2011,TheLittleSongbird,10, Brilliant,"This is a brilliant film. While clocking in at a nearly three-hour running time, there isn't a single wasted scene, it is always entertaining and I think it is very rewatchable too. The cinematography, locations and scenery are superb, and the film's atmosphere and pace are also terrific. The story is plausible and beautifully structured with a breathtaking sequence towards the middle of the film, and there are a lot of memorable quotes. Heat is also brilliantly directed by Michael Mann and the acting of Robert DeNiro and Al Pacino is exemplary. So all in all, brilliant and absolutely worth it. 10/10 Bethany Cox",e
3,15 February 2006,ccthemovieman-1,10, One Of The Best Crime Films Ever,"I really believe this is one the great crime movies of all time. It has some drawbacks that wouldn't make me recommend this for family viewing - tons of f- words by Al Pacino and a few bloody scenes, but as far as a fascinating crime story: wow!",v
4,1 October 2021,concrndone,10, Is better now I'm middle aged,Wow. First saw this in the cinema back in 1996 and of course we all raved over how good it was but I don't think we really appreciated it back then or could have as twenty somethings.,i
5,17 August 2021,lareval,10, Michael Mann's finest work,"A brilliant character driven action thriller with drama and emotion all the way. Despite the long runtime, the pacing never drags. The Magic of this action movie is that you believe the people you see in the screen. You care for them and everything they go through. All of the scenes are influential, the script and the score are iconic. Two thumbs up!",e
6,7 December 2017,ivo-cobra8,10," Action masterpiece Michael Mann, Al Pacino and Robert De Niro's best favorite heist movie of all time","A masterpiece and one of the best action heist movies of all time! Heat (1995) is one of my personal favorite Al Pacino and Robert De Niro Action heist movie of all time! I love this movie to death! This movie has everything, action, drama, heist, great cast and incredible realistic great performance from Al Pacino and Robert De Niro! Provides fast and loose action with interesting characters. Great action movie!!!! One of the best for me!!!!!!!!! To this day this movie stands a classic action heist movie of all time! Acting, story, score everything in here is excellent!",w
7,7 August 2021,juniorbarra-58647,10, Why can't they make movies like this anymore?,"Every 2-3 years i come back to this movie and watch it again and again, just a reminder of the 90's movies with cops and robbers...one of the best cop movie ever!",/
8,4 November 2008,bkoganbing,9, The Summit,"One of the amazing things about Heat is that during an almost three hour running time of the film, your interest in what happens in the summit teaming of Al Pacino and Robert DeNiro never flags for a second. Part of the reason is because these guys are at the top of their profession and brought their A game to the parts. ",r
9,23 June 2000,aboriginee,10, The best character film of all time.,"Sound like a bold statement? Devotees of classic cops and robbers flicks of old will no doubt take exception, but I believe that Michael Mann achieved some measure of perfection with Heat. To break this three-hour gem of a film down to its core, this is a film about men - strong men - and the supporting role that he women of the film have on them for better or worse. Take Pacino as good cop Vincent Hanna: one of the most intense characterizations of the tragic hero that I have ever witnessed, as he laments the demise of his third marriage to a pill-junkie wife. A fact which he discusses with his archnemesis (De Niro) in what history will regard as one of the most frenetic scenes in the history of film. The dialogue in this scene (at the very end of the first tape, if you own the VHS version) sets up the last half of the film beautifully, as our two rivals come to the joint realization that they have no hand in choosing the paths that will lead them to their ultimate confrontation: their very natures so define their respective actions that any attempt to do otherwise would simply be a waste of time. While I have heard others (who I am ashamed at times to call close friends) say that Heat drags in places, I will concede that there are moments in the film that require more than the cursory attention that they give to the movie they happen to be watching at any given time (I'm sorry not every director is Jerry Bruckheimer), there are poignant developments of character in Heat that many would casually disregard. I am thinking of the interaction between the ex-con who finds conditional employment in a diner with an opportunistic scum of a boss, and whose girlfriend is so proud of him for swallowing his pride and not simply giving the sonofabitch a good pummeling. But there is a catharsis that I felt for that same ex-con when De Niro's character presents him with the opportunity to take just one more score, for old time's sake. Who doesn't feel for this guy - this minor character in a film with big-time heavyweights who gets to shine for a few brief moments. That's what Heat is really: a series of brief moments, some touching, others traumatic, and still others incredibly horrifying in the feelings that they inspire in the romantic who, like me sees not black or white portrayals of protagonist and villain, but a montage of grays that combine to create a vivid spectrum of film characterization that could not be found in hundreds of films combined. One of my five favorite films of all time, Heat is a cinematic banquet of intense imagery and pulse-pounding action. Come hungry.",w
10,30 November 2004,LeightWinst,10, Masterful on all counts,For some reason I cannot stop thinking about this film lately.,6
11,15 September 2003,Theo Robertson,7, Good But Overlong,"The thing to strike me about HEAT is that it`s overlong . I don`t know if I`ve been watching too much MTV but a major problem I`ve had with a great number of movies coming out of Hollywood studios since the early 1990s is that they`re too long for their own good and I wish to add HEAT to this list since its running time is taken up with too many unnecessary scenes . If these scenes had been ditched at script stage not only would we have had a shorter film we`d have had a far better one . Take the scene in the coffee bar where the gang have just carried out the initial heist and Neil teaches Waingro a lesson  by banging his head off the table . Seeing as they`re shown throghout the story to be well organised , professional villains why would Neil draw attention to themselves by assaulting Waingro in this way ? It`s a scene that lacks any credibility and should not have been included . There`s another problem with too many domestic scenes , the film tries to show the audience the marital marital/romantic life of every major character , cop and robber . I know Michael Mann`s later movie THE INSIDER is also full of scenes involving home life but that`s necessary to the plot and characterisation . Here it is not ",1
12,17 February 2000,jamie-109,10," Heat is truly epic, absolutely breathtaking","One of the most amazing things about Heat is the scale of the film; it is nearly three hours long and packed to bursting with mind-blowing visuals. It seems one of Michael Mann's main priorities was to make a film with a dreamlike feel to it, to portray LA as a dusty oil-painting on which complex characters could play out their lives. One of the main themes is the similarity of the career criminal and the street-wise cop. It is fascinating to find yourself really feeling for DeNiro's tragic bank-robber, a man of philosophical merit who realises he's stuck in a life of crime he doesn't want to lead. Pacino's cop is less easy to sympathise with, but he too leads an in-escapable life of guns and crime. What really stands out is the climax. On the whole, Heat has to be the best cops n' robbers film ever made, indeed, one of the best films. An epic, wonderful, sad, adrenaline-fuelled exercise in scale and grandeur.",9
13,2 November 2006,kosmasp,10, More than De Niro and Pacino,"What can you say about this movie, that hasn't been said before? Not much, but I state my opinion nonetheless :o).",4
14,25 April 2020,Jouford,6, I obviously don't get it ...,"Let me start by saying that Heat isn't a terrible movie. In fact, it's not a bad movie at all. I just think that it's incredibly overrated.
I'm not a huge fan of Michael Mann's work in general. I find his films to be no more than very long music videos. His movies seem to epitomise style over substance to me, and Heat is no different.
DeNiro and Pacino chew through the scenes like they normally do. That's a given. The rest of the cast are as competent and watchable, but the film doesn't feel deep enough for me. Though judging by the way everyone else is rating it, I must be missing something, even after watching it three times.
I'm sorry that I don't like this film. It's got all the right ingredients to be special, but, as far as I'm concerned, it's undercooked.",9
15,17 January 2005,eddieknocker,10, One of the best films of the 90's,"I am assuming I am commenting on this film for those who have not seen this film and for those people I pity you. Its a crime thriller. Won't describe the story as its not particularly original and not the best thing about this film. You've got Pacino and Deniro on screen in a film for the first and possibly last time which should be recommendation enough. You've also got director Michael Mann at the top of his game. An awesome supporting cast firing on all cylinders. Arguably the best ""shoot-out"" in any film - ever. What more do you want???",8
16,12 June 2022,searchanddestroy-1,10, Is it possible to put more than ten stars?,"Al Pacino is definitely attached to the greatest crime gangster movies in film history: THE GODFATHER trilogy, SCARFACE, CARLITO'S WAY. And so Bob De Niro too: THE GODFATHER 2, ONCE UPON A TIME IN AMERICA, THE GOOD FELLAS, CASINO. To summarize, because of the presence of these two giants, this movie which I talk now is also to be put on the list, and maybe on the top of it. For me it is the best cop gangster - armed robbers - scheme ever made, and a model, a reference for ant real gangster in the US and Europe. This movie is simply perfect, flawless, tense, taut, gripping, outstanding; unless to hate this kind of movie - and you have the right to - it's impossible to ignore it, this would be an heresy. Acting, directing, editing, everything is purely chiseled like a jewel, a diamond. We could see this as a kind of US remake of Jean Pierre Melville's LE DEUXIEME SOUFFLE where De Niro would have Lino Ventura's role, and Pacino Paul Meurisse's one.",0
