Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,16 November 2019,paulclaassen,8, One word: INCREDIBLE!,"Initially, the film can be a bit confusing due to them continually jumping back in time. Once you get the hang of it, though, and get to know the characters, it is easy enough to follow.",/
1,8 May 2018,eddie_baggins,10, A stunning and powerful thriller,"Want to see where one of the modern era's hottest directing streaks started? If you do, then Incendies in the film for you.",r
2,26 March 2011,alexart-1,9, Our Love Became a Funeral Pyre,"When people watch the Oscars, they don't usually care about the Best Foreign Film nominees. Incendies provides so many reasons why people should actually get to see those nominees at all costs. Incendies is the kind of film that one walks away from feeling emotionally drained, one where it stays in the viewer's mind for days on end. Like an intense personal experience, it takes a lot to come to grips with the film's story, a moving plot full of twists and catharsis. At the New Directors/New Films Festival in New York, at which I saw this last night, Denis Villeneuve explained that he has made four films in Canada, but this is the first one to be released in America. Right now, I see no reason why Villeneuve, or any of the actors for that matter, shouldn't have a great future ahead of them.",e
3,15 October 2010,corrosion-2,10, Unforgettable,"A bona fide masterpiece. As simple as that. It is ironic that one of the best films about the Middle East conflict, and specifically the tragic civil war in Lebanon, should be made by a Canadian film maker. Incendies is based on a play but it feels as though it has been adapted from a great literary work. In fact there is no specific mention of any country in the film but no one can be in any doubt that the unnamed country is Lebanon.",v
4,26 January 2011,ilpintl,9, A work of devastating power...,"""Incendies (Scorched)"" opened in town this Friday, just days before it made the short list of nominees for Best Foreign Film for this year's Academy Awards. It played in the Vancouver International Film Festival 2010, but I missed it then.",i
5,26 June 2020,Red-125,10," Powerful, gripping plot with great direction and acting","Incendies (2010) is a Canadian film that was co-written and directed by Denis Villeneuve. The movie stars Lubna Azabal as Nawal Marwan, ""The Woman Who Sings."" In the opening of the film we learn that Nawal has just died, leaving some unusual instructions for her two children in her will.",e
6,24 December 2022,Xstal,10," Tragedy, Turmoil & Torment...","There are secrets to be uncovered now she has passed, the undiscovered stories, that she'd amassed, a father and a brother, you didn't know, could there be others, it's time to lift the bedrock, of the past. You make a visit to a country, in the east, where friction, conflict, war, chaos, have seldom ceased, walking footsteps left in shadow, as you plough a lonely furrow, a record slowly forming, piece by piece. You discover revelations, tragedy; events of circumstance and shocking gravity, an uncontrived coincidence, implications beyond immense, that point to why your mother had to run and flee.",w
7,13 August 2011,DICK STEEL,10, A Nutshell Review: Incendies,"The film begins in sweeping slow motion, centered around a harsh cemented premises with a bunch of boys undergoing the shaving of their hair ala military fashion, with the camera centered on one boy possessing this crazed looking eyes, before cutting to Canada where twins Jeanne and Simon Marwan (Melissa Desormeaux-Poulin and Maxim Gaudette respectively) arrive at a notary's office to accept the will of their recently deceased mother Nawal (Lubna Azabal), where they are left with letters to deliver to a father and brother that they do not know. In the meantime, they are to bury their mother in a certain strange way until their quest has been completed, with the notary Jean Lebel (Remy Girard), Nawal's boss the last few years, ensuring that her last will and testament is completed the way it was intended.",/
8,23 July 2021,mmyilmazyurt,9, Speechless...,"To be honest, there is nothing left to say story-wise after this film. The tragedy, atmosphere and everything...",r
9,5 November 2017,classicsoncall,10," ""Death is never the end of the story. It always leaves tracks.""","I don't know if I've ever seen a more heartbreaking and shocking story. Check that, ""The Boy in the Striped Pajamas"" was another film that served a solid punch to the gut that remains with you a long time. I have to credit some other reviewers for this film to identify the location of the story and place it in context of the Lebanese civil war. I might have considered it myself if I hadn't been so absorbed by the story and the intricately detailed revelations regarding Nawal Marwan (Lubna Azabal) and her twins, son Simon (Maxim Gaudette) and daughter Jeanne (Melissa Desormeaux-Poulin). One must pay attention though, to the non-linear story telling style of director Denis Villeneuve, as well as the identity of the Christian and Muslim factions involved in war time brutality and atrocity. Apart from the principal story, the scene that will stay with you for a long time involves a Christian militia attack on a busload of Muslims attempting to flee their war torn and devastated city. A noble sacrifice on Marwan's part turns into a horror spectacle when a young child is gunned down by the militants. The picture exemplifies the terror of war and it's heartbreaking effect on those fortunate to survive.",w
10,14 March 2019,magadalwarmayur,10, Top Ten Films I ever watched,"This movie needs more recognition i couldn't believe it was released in 2010 it is that kind of movie which will stick until you die do watch this movie with little patience every aspect of the movie is masterpiece i.e cinematography,editing,screenplay,music,direction,performance this is the only movie i consider best after the shawshank redemption and it deals with somewhat same thing i.e.hope just watch this movie and get prepared to be amazed",4
11,8 February 2011,CineCritic2517,9, Recommended viewing,"During the reading of the will of their mother's, a twin brother and sister learn of some unusual last wishes. Amongst other requests, two envelopes need to be delivered to respectively the father of the two and a brother whom are both unknown. The quest leads the twins through the Middle East where they slowly learn of the horrific tales which is the life history of their late mother.",3
12,13 September 2010,vsdobbs,9, Fantastic! Villeneuve's best film yet,"This film is extraordinary on just about every level. The script is terrific, the actors are perfect, the direction and cinematography are all you could hope for. I recommend it without hesitation.",0
13,7 September 2019,andrewroy-04316,7," The build is tense and well crafted, but the twist is more shock value than adding depth to the story","There's no doubting Villeneuve's skill in building tension and emotional stakes through his characters and shots. While it's in a very different way, like in Enemy the shocking twist ending doesn't really add to the story and feels forced. The difference is while in Enemy the ending was insane and left the meaning and plot completely up in the air, in Incendies what happened is entirely clear and just isn't that satisfying. The most cogent point Villeneuve makes in the film is how the atrocities of war can shape people and turn them into monsters. The alternation between the past and present put into focus how war can ravage a region and a family for decades and was very effective in gradually unspooling the plot threads. The performances were all very good, particularly those playing Nawal and her daughter.",2
14,12 October 2010,kluseba,8, Probably the best drama of the last few years!,"I decided to watch this movie because I have read many excellent critics and because this book is used in Quebec's ""cegeps"", some kind of a post-high-school, and my girlfriend talked about it with me. Indeed, I am very happy to have seen this intense movie. It is really a great and close to perfection. Even though I have even seen one or two better films this year, this movie is at least the best drama I have seen in the last five years.",2
15,26 March 2012,claudio_carvalho,8, One plus One is Equal to One,"In Canada, the sixty year-old immigrant secretary Nawal Marwan (Lubna Azabal) passes away and the notary Jean Lebel (Rémy Girard), who had been her employer and friend for seventeen years, reads her will to her twin son and daughter Simon (Maxim Gaudette) and Jeanne Marwan (Mélissa Désormeaux-Poulin), who is a mathematician.",6
16,16 September 2017,TheLittleSongbird,9, A promise is very much a sacred thing,"The main attraction into seeing 'Incendies' was that it was directed by Denis Villeneuve, having loved 'Sicario' and really liked 'Prisoners' (apart from the ending). Reviews for both films recommended 'Incendies' highly and with people calling it one of Villeneuve's best, so seeing the film was definitely on the cards.",6
17,18 May 2020,zzhhhqing,10, Seeing the end in 1 hour and 15 minutes is like a jigsaw suddenly clear,"Seeing the end in 1 hour and 15 minutes is like a jigsaw suddenly clear. It is difficult to agree with the mother's motivation setting. True love is silence and commitment, swallowing and digesting alone. It is my suffering that is settled and cut off by me today. I will never force a pair of children to embark on the journey of inheriting pain and cocoon. If the director tells his mother to hide the truth, and passes away with a secret, and the children actively pursue the answer, the ending will be even more shocking.",/
18,20 November 2011,Turfseer,5, Contrived motivations and director's political bias undermine Lebanese Civil War victim's compelling tale of survival,"Some viewers may regard the climax of 'Incendies' as the most effective part of the film, but I must wholeheartedly disagree . If one really wants to single out the most effective and compelling scene, that would be the massacre on the bus and subsequent shooting of the young child. It works because Director Denis Villenueve compounds the horror exponentially: the bus is stopped by terrorists, the passengers react confused and frightened, the bus driver is murdered, the terrorists strafe the bus with machine gun fire killing most of the passengers, Nawal (the protagonist) and a young mother and her young daughter move to the back as the terrorists pour gasoline on top of the roof of the bus, Nawal escapes and takes the young girl with her only to see the terrorists set the bus on fire killing the mother and finally the child running back to the bus to be with her mother, only to be shot in the back by the terrorists as Nawal watches in horror.",?
19,22 February 2022,krusadk,7," Here is what really, really bothers me","Here is what really bothers me:
On her grave stone it states, that she was born in 1949 and died in 2009.",r
20,21 September 2020,Blue-Grotto,10, Tenth anniversary!,"It is a rare person who understands themselves fully. Few people even try to understand. So when it comes to knowing others deeply, even those close to us, the task is nearly impossible. Incendies delves into this seemingly hopeless undertaking.",e
21,8 October 2011,pc95,6, Very Good Until Becoming Too Contrived,"""Incendies"" is one of these movies that really disappoints - The ones that for a good portion of the movie are highly enthralling, but then comes crashing down. (Major Spoiler) I had an inkling that the filmmakers might pull what they ended up trying to smear on the viewer, and it was so, so disappointing. Suffice it to say to twist the plot around and pretzel it like they did, the filmmakers stooped to utter contrivance. They blew up logic and believability for the sake of sensationalism. How probable could all of this actually take place in such a sequence (?), quite improbable. Additionally I had a hard time understanding what exactly transformed the mother into a killer(?) The ending became marginal and a continuation of the contrivance. Too bad - it had a great story going up until the last quarter of it's run-time.",f
22,20 April 2020,salmanhhh,9, I wish I didn't watch this movie,"This movie is great but believe me you don't want to watch this movie, my life will not be the same again",_
23,14 May 2020,vamsipraneethdamarla,9, Don't miss this masterpiece,How stupid iam to postpone this movie for 6 months watching all other stuff.... I've underrated this movie watching trailer 😑,=
24,25 November 2020,latinmelkor,6, A touching film that depends on coincidences all the way up to ridiculous,"I have written this review as a response to all those who find in this film a perfect jewel and label it as underrated (although in many sites it is highly rated and has more than 100,000 views). It is true that it is a very entertaining and interesting film, and I think that, for many viewers, the obvious weaknesses of the film are not so obvious.
Something that I liked and called attention to is the narrative structure. Some twins (female and male) find out from their mother's will that they have a brother and that their father is alive. The mother commands them to find them both. During the first part of the film, only the daughter decides to carry out her mother's wishes, and to do so she travels to a Middle Eastern country (which is never specified) where, as she travels through places that played an important role in her mother's life, we are presented with her biography through flashbacks. It is easy to feel confused at first with the factions (Christian and Muslim), because they do not correspond to a historical reality, but rather were made in the service of fiction. However, little by little, the viewer is able to put the puzzle back together and discover the hard life that the woman led in the midst of violence and intolerance.
The film has a lot of plot-twists that manage to arouse the interest of their audience and, to a certain extent, are presented in such a way that it is possible to glimpse them when they approach. Unfortunately, the film depends too much on coincidences of sudden and unexplained developments. About this, in many occasions I found elements that, although they should seem natural, were not very well explained and, of course, for the final outcome to happen the scriptwriters took the coincidences to the last consequences.
Although Nawal Marwan seems to live in a rural environment, she is able to move to a relative who works at a university. Despite the fact that at first she cannot read or write (at around 21 years of age), she soon manages to work at a newspaper writing articles. The screenwriters made Marwan a prodigious mind: even though she began receiving education as an adult, within a few years she is able to infiltrate as a tutor to the son of an extremist Christian leader she was tasked to kill, teaching him French and English. After killing this leader, she is finally captured and taken to a prison where she is tortured for no less than 15 years. After being raped by one of her captors and becoming pregnant, she is released (instead of executed) and, with the help of the warlord who benefited from the Christian leader's death, she's exiled to Canada.
The same pattern is repeated in the son's story. He is left in an orphanage where, ultimately, is recruited by an extremist Muslim group. There he is trained as a militia officer, a sniper. He is not just any sniper, of course, he is the most skilled and recognized of all. Eventually, the enemy faction, the Christians, manage to capture him, but, because of his ability, they decide not to execute him but to recruit him themselves (wasn't it supposed to be a holy war?) and, moreover, they do not train him as a sniper (there is no justification for it), but as a torturer. In his new job he ends up working in the prison where, by chance, his mother is. He unknowingly rapes her, she gets her pregnant and thus he becomes the twins' father and brother at the same time.
This is shocking and, I admit, makes one reflect on the way in which war separates people who, in peace, would live together happily. It is a sad and painful story, incisive and critical of the senselessness of war, but it is weakened by its dependence on so many unjustified elements. And, without a doubt, what put me most against the film was how the mother came to know that the one who raped her was her own son. In a swimming pool, the woman sees a man who, on his foot, has the tattoo with which she marked her son to identify him. Then, upon discovering his face, she is horrified that her son is the father of the twins, the rapist. The pain of the scene is diluted by the coincidences: her son emigrated from the country where he was originally and precisely that country is Canada and, besides, she finds him in a pool, where she can see his foot and recognize the mark. Finally, the son is unable to recognize her as his victim, so the man does not run away, fearing that he will be denounced for his past crimes. By leaving her will, the mother entrusts her children with the torturous task of discovering that they are their own brother's children, a task that would be impossible were it not for the fact that they are ""lucky"" enough to correlate the records and find the people who could lead them to the truth.
Although I have vilified the film, in reality it is a very beautiful film visually, with an impeccable performance and a catchy plot, but it depends on coincidences that become ridiculous and take it away from a perfect rating.",t
25,21 September 2010,freddyatali,10, Exquisite,"Denis Villeneuve has created nothing less than a masterpiece. This film is revealing a great Director, especially when given an original story with such powerful dimensions.",t
26,10 February 2011,cultfilmfan,10, Incendies,"Incendies is based on the play by Wajdi Mouawad. The film is a Canadian film in French and Arabic with English subtitles. Going into the theatre to see Incendies, I really knew nothing about it. I had not read any of the reviews that came out, but I had heard from the television news shows that it was supposed to be very good and now with a Best Foreign Language Film Oscar, I assumed that it was going to be a really good film. I decided not to read anything about the plot before I saw the film because these days I find that so many critics gave away too much crucial information of the films in their reviews that when you finally do see the film it does not have the same affect on you. So having known nothing about Incendies and then watching the story unfold before my eyes was quite an experience and I would recommend you do the same if you are at all inclined to go see it. Other than the film's director Denis Villeneuve, I was not familiar with anybody else who appeared in the film, or worked on the sides, but I must say that they all did a fantastic job. This is the type of film that when you are watching it, you are not quite sure what will happen, or how the climax, or the ending will come, but when it does, it makes sense to you and leaves you with a multitude of feelings. At times Incendies was not always the most easy film to watch, not because it was overly violent, or graphic because I thought everything was handled in a very tastefully done way, but it still sucks so much emotion out of us and we get to care so much for the characters and what they are going through as we watch it before our eyes, that we can not help but feel sad, enraged, or even physically ill watching it at times. I should clarify that the film does deal with some of the goings on with the Middle East and the wars, tension and prejudices that came out of some of those wars and moments of terror that people at that time and still are going through. I also liked how when dealing with such a tricky and controversial subject matter such as this that as I mentioned it was all very tastefully done and none of it felt like you were watching a Hollywood movie. I think if this had been a big budget, big name star movie extravaganza, then it probably would not have worked. The reason it works so well as it is, is because the fact that it is so character driven and deals with events that have gone on in the past and in some similar and different ways are still going on today. The film felt personal to me. It felt like the people involved with the film had something to say and instead of sugar coating everything and making it an easily watchable film with a feel good portion of it, it instead goes for all your emotions and in a sense almost takes you on the journey and the personal trials and tribulations that the characters in the movie have gone on and understandably we can almost feel their pain, exhaustion and hurt because the performances have this sense of believability and authenticity to them, that everything we see them go through feels like the real thing and the way they handle each situation is believable and not far fetched at all. The characters in the film give us something to believe in because they are searching for the truth and will go to many lengths to find it, even if at times it is difficult, or even dangerous and the amount of honour and pride they carry with them to set out someone's wishes is truly remarkable. This is an incredibly powerful film that as I mentioned, does put you through an array of different emotions, but I did not mind that because I felt I could connect with the characters more because of this. The look and feel of the film is not big budget or fake looking, which makes all the interior and exterior shots look real and further enhancing the emotions, or moods we are supposed to feel in each scene. The acting by everyone involved is all terrific here as well and this is just a really well put together film with a great cast and director and wonderful material to work and mold into this brave, haunting and yet life changing experience. I have not seen any of the other Best Foreign Language Film Oscar nominees, but having just seen Incendies now, I would say that it has a good chance of winning because of how masterful and great it is. Do not just take my word for it, go and see it when it opens in a theatre near you. This is certainly one of the best films of 2010.",_
27,6 September 2015,SnoopyStyle,8, epic Greek tragedy,"Twins Simon and Jeanne Marwan are given instructions at the reading of their mother's Will. They are to deliver letters to their father and a brother they know nothing about. Simon dismisses their mother's weird wishes but Jeanne decides to discover the truth. In Lebanon, their Christian mother Nawal Marwan had an affair with Arab Wahab. Her family killed Wahab. Her grandma saved the pregnant Nawal. The baby was given to a mysterious woman. Narwal would go off to look for him.",u
28,27 June 2011,Multipleh,7, Contrived and Pointless,"Incendies starts with twins a brother and a sister receiving a letter from their late mother. The letter sends them on a mission to find the truth about their backgrounds. The main problem with this film is the purpose of the letter. Why does the mother send them on this mission? The truth revealed is cruel and shocking? The mother has died after finding out the truth, now she wants her children to go on a mission to find the truth rather than reveal to them the truth through the letter. One could argue that the mother wanted to reveal the truth and reveal the horror and the pointlessness of the Middle East conflict. But the journey is contrived and feels as though the screenwriter just wanted to use the incest as shock value.",r
29,20 February 2011,lstonebridge,10, Superb Film,This is a superb film. Best film of the year in my estimation bar none. This exceptional Canadan film should easily win best Foreign film at the Oscars. ,v
30,29 July 2011,Meven_Stoffat,3," A lovely looking and acted film, in desperate need of a script","Forgive me for being the on person who stood out among the crowd here, but by God I really can't see how this has an 8.2 rating here on IMDb. Now I can see that this would be loved to death by those who only watch ""film"" and not movies, but come on, folks. ",
31,7 September 2010,lennyfromamsterdam,10, Wonderful and devastating,I had the pleasure of attending a screening of Incendies at the Telluride film festival and was absolutely shattered by it. This meticulously crafted film was my favorite of the festival. ,
32,24 December 2011,Rockwell_Cronenberg,5, A solid premise with a dreadful structure.,"Incendies was a mixed bag, but I felt like it's negative aspects really bore down on it's positive ones. On the solid side of things, Denis Villeneuve has a real knack for storytelling and an eye for imagery that is truly gorgeous. Some of the shots here dug deep into my brain, be them haunting or beautiful, they managed to elicit a strong reaction from me.",
33,6 June 2020,mikeyjwill,10, Shocking ending parallels with timeless Greek tragedies,"Although a very lengthy movie. Everything comes together in the last half hour of this film. I thought the plot twist was revealed in the last 30 minutes And thought to myself ""oh that's not too big of a surprise""-but was shocked when the real plot twist is revealed in the last moments of this film. Very well acted one of the most tragic stories I've seen, however, definitely a 10 out of 10 😯",
34,18 September 2011,planktonrules,7," A bit confusing, actually...and a great illustration of the phrase 'TMI'","Whether or not ""Incendies"" is a good or bad film, one thing that struck me was that for the longest time I had no idea where the film was taking place or the context for the film. I am sure I am not the only one who felt this way watching the move. I thought that perhaps it was taking place in North Africa or Lebanon--I just wasn't sure. A bit later, it became more obvious--but only because I knew a bit about he history of Lebanon and their long and amazingly destructive civil war. Because of this, it really would behoove the viewer to read up on the war BEFORE watching the movie--then it will be a bit easier to follow.",
35,14 June 2019,labng,7," Politics aside, a great story and moving film","Im not sure the particular politics really matter much here. I think you could drop this story into any civilly torn nation at any time in history with little change. And, while the ending may be too clean for some, it didn't take away from my enjoyment of the movie. This is high praise, because given the choice, war stories are not typically high on my list of go-to viewing. This felt more like a fable or fairytale to me. I found the both the story and visuals beautiful.",
36,19 August 2021,conceptkrishna,9, Damnnn.. pure carnage drama well executed.,"Purely marvelous. Life like. I almost fell asleep in the beginning. After 20 min, till the last 15min, was pure suspense.",
37,29 October 2019,JakeBrinkman,6, Defined by its *spoiler*,Massive spoilers in this review!,
38,30 July 2021,Drawmort,9, Do you really know how much 1+1 is?,"Many times we celebrate the display of one culture in another. Many times learning these cultures are full of wonderful stories and incredible people. But sometimes, immersing yourself in a foreign culture is far from being the desired information paradise. On these occasions, we realize how lucky we are to be born where we were born and to be who we are, even with our worst problems and ordeals.",
39,4 November 2010,rgcustomer,8," A slow, but good film of family secrets","Incendies (Babelfish tells me this means Fires) is good, but a bit formulaic. It aims very high, but I think it falls short of what it could have achieved. I think it spends too much effort on atmosphere and not enough on plot. Maybe tighter editing was needed. Still, I was impressed, and it's undoubtedly one of the better Canadian films, improving on Polytechnique.",
40,4 May 2020,zeekwunlau,8," The story begins with ""evil"" in human nature","The film started in a country where people with different beliefs led to wars in different schools. Muslims and Christianity. The protagonist was not spared to be involved in this tragedy. The story began when he had an affair with a man from another denomination, which in the eyes of the whole village was a serious shame and his family killed In addition to her lover, his brother even wanted to kill his sister. The fanatical religious genre, the faith is firm and terrible. The genre and the genre began to fight each other, and the tragedy began when the heroine gave birth to her first son.",
41,11 July 2018,Pjtaylor-96-138044,8," It pulls you in close, never letting go until the last frame finally releases you and allows you to expell all your emotions in one gut-wrenched gasp.","Though sometimes it seems as though information is given to us slightly too early, this often leads to some decent dramatic irony and does 'distract' from - and thereby make all the more impactful - the flick's big, blindsiding final reveal which is essentially as shocking as it is sickening, a harrowing revelation for both the audience and the picture's principle characters that has massive repercussions for both, and serves to recontextualise everything that came before it in a significant yet suitably subtle way, mostly making up for the slightly slow pace and occasional meandering that had marred the piece before. Once you've settled into the strange pace and presentation of 'Incendies (2010)', you're treated to an increasingly dark exploration of a woman you know to be dead, whom is still as strong a presence as any other character, and the children who slowly learn about her life alongside us, as we both inch ever closer to an ending that will haunt our memories for days, a tragedy of Greek proportions set against a backdrop of tragedies that all meet that same standard. As each new revelation ratchets up the suspense and plumets us in to increasingly dire territory, an unexpectedly grim realism begins to perforate the entire piece, steeping it in an often unspoken sadness and a thick air of mystery. It's this that gets under your skin and pulls you in deeper, never letting you go until the last frame finally lets you slump back in your seat and release all your emotions in one gut-wrenched gasp. It's an ever-escalating devestation of our expectations. It isn't darkness for darkness sake, rather an exploration of the characters within these situations. It's also the rare film that rests upon withholding information that would seem fairly simple, yet doing so for legitimate narrative reasons, and providing it in intelligent, usually exposition-light ways. While the tragedy exists for a reason, it is indeed tragedy. Blindsiding, unflinching tragedy, at that. The film knows when to show and when not to. All in the aid of making each moment the most impactful it can be, making you feel like you are the child of this poorly-treated, mysterious mother as you learn of her past. You'll often find yourself asking: how can things get worse? Trust me... they do. It's brilliant. 8/10",
