Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,10 June 2017,TheLittleSongbird,10, A Brazilian masterwork,"Such an amazing film that deserves the accolades and acclaimed hype it's garnered. One of the best foreign language films there is and one of the best films personally seen recently, after a long time of being on my to see list but taking a while to get round to it due to being so busy and going through a difficult phase.",/
1,16 June 2015,SnoopyStyle,8, The Godfather of Rio,"Li'l Zé and his gang is having fun chasing a runaway chicken in a Rio favela called the Cidade de Deus ""City of God"". The chicken comes to Rocket with his camera. Then flashbacks to the 60s tell the story of Rocket who becomes the photographer of his friends. Li'l Zé and his best friend Benny grow up to be the crime boss of the city. There's Carrot who is a criminal leader tolerated by Benny and there's Knockout Ned who turned away from crime.",r
2,26 October 2004,tjcclarke,10," Magnificent, gut-wrenching and utterly compelling","Do not be fooled by the coy charm of the promotional poster. The image of the girl shyly leaning over to kiss the cheek of a bare-backed boy on golden sands drenched in sunlight represents an ideal that many residents of the City of God strive for, but few achieve. ",e
3,18 December 2004,trelloskilos-1,10, Stunning - in every sense of the word,"Cidade de Deus seems to have a lot of praise on the IMDb boards, and with good reason too. It simply is, in my opinion, one of the best contemporary films ever made.",v
4,6 March 2006,ccthemovieman-1,8," Shocking, Stylish & Brutal Story","Wow, this is one of those different movies - meaning not run-of-mill by any means - and one of those which isn't pleasant to watch but one you might find yourself mesmerized by it.",i
5,30 March 2005,panjshir_lion,10, One of the best unseen foreign films,"I have seen this movie only recently (2005) and it's easily one of the better foreign films I have seen. Actually, it's probably just about one of the best films I had ever seen.",e
6,8 January 2003,ElChivoDave,10, Cidade De Deus,"The film, directed by Fernando Meirelles, tells the story of life in the slums of Rio de Janeiro, in an area known as the Cidade De Deus, the City of God.  The story is told from the narration of the young photographer, Rocket.  The different scenarios of life that make up the wider-story are presented in Pulp Fiction style chapters, complete with on-screen titles for each different story component.  The story covers all the facets of the life, charting the growth of several key members of the gangs from childhood through to young adulthood, with their transformation from young hoodlums to local drugs barons.  The final parts of the story focus on the battle within the Cidade De Deus between two different groups, when business and personal matters lead to an unavoidable confrontation.  And what a confrontation it is, although details will not be given away here.  The result is a powerful telling of life based around real-life events.",w
7,2 April 2007,kosmasp,9, Down and dirty,"This movie does not take any prisoners. Although I have not been into any ""favella"" (= ghetto) and I don't really know if the movie depicts it realistically, I do know that it is a gripping story. About kids growing up in a violent environment. Not that this movie is an action movie. It's a drama, with action scenes in it.",/
8,1 November 2003,claudio_carvalho,10, The Other (Sad) Side of the Wonderful City of Rio de Janeiro,"The story begins in the present days, in a barbecue party in the slum of 'Cidade de Deus', with some bandits chasing a chicken. Then, a teenager called Buscapé (Alexandre Rodrigues) tells the story of the Cidade de Deus and the main characters of the movie (Zé Pequeno, Bené, Cenoura etc.), since they were kids. ",r
9,28 September 2018,janicenichols-32565,9, Raw and cult film,I agree with the other positive reviews here. I just saw this again after 15 years - still far exceeds anything made today when it comes to struggles of troubled youth in urban slums plagued by drugs and violence. So raw. So shocking to the system. Highly recommended!,w
10,17 February 2016,Leofwine_draca,10, Sprawling crime masterwork from Brazil,"Wow, what a great movie! I'd heard plenty about this low budget Brazilian gangster film before I got around to seeing it when it showed on television in the middle of the night, but I was fully prepared to be disappointed. Many times a film has been hyped up so much that it's a let down when I finally see it, but not so this one: CITY OF GOD is a tremendous film, a masterpiece in fact. In many ways it's like a lower budget, more realistic version of the classic gangster films made by the likes of Martin Scorcese and Guy Ritchie and in many places it equals the heights of those two directors at the top of their game.",0
11,28 November 2004,ragin_kagin,10," ""One of the best films you'll ever see!""--Roger Ebert, does it live up to the hype?","The film revolves around the, 'City of God,' a favela (or ghetto) in Rio de Janeiro, Brazil, a horrifying area where drug dealers run the community, and where children killing children is not an uncommon occurrence. ",8
12,20 June 2008,moviesleuth2,10, The Best Film Ever Made,"Before anyone says anything, hear me out. According to the IMDb Top 250 list, ""The Godfather"" reigns supreme as number one, while ""City of God,"" or more appropriately, ""Cidade de Deus,"" is at the number 17 slot. But to compare the two is like comparing an Arnold Schwartzenegger movie to ""Crash."" They are just too different. But for me, while Francis Ford Coppolla's 1972 film is rightly considered a masterpiece, ""City of God"" is more memorable and packs a bigger punch. That, and ""The Godfather"" has had 30 more years under its belt to gather its legendary status. And it's in English (which, sadly, makes a lot of difference).",7
13,23 August 2021,kevin_robbins,10, This is a masterpiece that is definitely worth your time,"City of God (2002) is a movie I originally saw at an advance screening in DC and is now in my DVD collection. It is also available on HBOMax. The storyline has a coming of age feel to it and takes place in the slums of Rio. It tells the tale of a young man trying to accomplish his goals as well as the lifestyle of other kids that grew up in his surroundings the same time as he did. This movie is directed by Fernando Meirelles (The Constant Gardner) and stars Alexandre Rodrigues (Paradise City), Leandro Firmino (Trash), Seu Jorge (Life Aquatic) and Alice Braga (I am Legend). Almost every single aspect of this movie is perfect. I loved the settings and backdrops and how they were filmed. It really did a good job of depicting the character's desperate circumstances. The portrayal of the characters and their evolution as they aged was also very well done. The narration throughout the movie helped with several transitions and established an understanding of the main character's mindset. The violence in this is very sudden and heart wrenching. They do such a good job of establishing the characters and making you feel something for what makes them tick which makes the various circumstances even more interesting. Their backstories are so well developed. The soundtrack is also very good. Overall this is a masterpiece that is definitely worth your time and an easy 10/10.",1
14,18 October 2004,ma-cortes,7, Excellent and violent film based on real events,"The movie deals about children and adolescent factions in the impoverished Favelas , Rio Janeiro , for 1960 and 1970 years . And it centers upon a teen who tries to leave that world by means of the photography . The final confrontation among the motley gangs for Favelas control is pretty violent and bloody . ",2
15,4 October 2004,FilmOtaku,9, Phenomenal,"There are many films that don't live up to the hype they are afforded, particularly modern day films. 'City of God', directed by Fernando Meirelles is not one of them. From the moment the film began until halfway through the closing credits, my eyes did not leave the television once. Based on a true story, 'City of God' spans two decades and is about rival street gangs in the town Cidade de Deus (City of God), just outside of Rio de Janeiro. The city is one where the government sends the 'unwanted' residents of Rio, so most of the inhabitants are homeless, criminal and/or dirt poor. The story is told through the eyes of Rocket, a young boy who manages to stay on the outer fringe of the gangs, befriending some of the hoods, but not participating. What he discovers he wants to do is become a photojournalist, and begins to take photographs of his neighborhood. When he is in his late teens/early twenties, he goes to work delivering newspapers, when one of his photographs of the slum gang boss is discovered and published without his permission, putting his life in danger, but beginning his professional career.",2
16,24 November 2009,Hitchcoc,9, Almost Too Much to Watch,"One must step back from an absolute sense of repugnance at the violence and look at what the filmmaker has done in this movie. Once you tune yourself into the lives of this cast of characters and their ongoing effort to stay alive and maintain dominance, you can reflect on the amazing cinematography and overall effect of the film. There is an ebb and floe that we watch, almost a dance in the slums of Rio. There is so much poverty that factions have grown up and the people are continually victimized by them as are there individual members. The police are perpetually on the take, so a military state is eventually set up. The main character is a participant early on and then an observer. His photographic skills are his ticket out and his ticket in. There is death and destruction, drugs and murder around every corner. Perhaps the scariest thing are a group of young boys called the Runts who are making a seamless transition into the horrors of the place, keeping things going for yet another generation. I think the most dominant theme of the whole thing has to do with the indifference toward death. Even those who are friends early on will kill their friends because a drug lord says so. It's an unforgettable film.",0
17,30 October 2018,chengjeffrey99,10, Easily my favourite movie of all time!,"Incredible film. Not much to say, yet I could say it all. The film is absolutely splendid in its use of colour, characters and especially music. Though some might complain of the shaky Super 16 footage, it is evidently for effect as the first half (golden age) is filmed with lots of aerials, and smooth, precise shots.",/
18,20 October 2019,denkixd51,10, The best film to ever come out of Latin America,"This is just a masterpiece of story-telling, a movie made with love and passion from everyone involved, simply an amazing movie, go watch it, I just can tell you this: City of God is the best film of Latin America, possibly the best film of the decade, and definitely one of the best films ever made.",?
19,14 July 2010,secondtake,9," In terms of movie-making, there's nothing like it.",City of God (2002),r
20,7 June 2003,sarahdelore,10, City of God was Incredible,"I knew nothing of this film before I saw it by chance in a rare Pub open screening, but boy was I glad I got the chance to take a look. I was riveted all night - I completely ignored my friends! I thought it was an awesome re-enactment of a true story - powerful, moving, raw, real - and even funny in parts. I walked away afterwards, beaming. It's rare a great film like this is made, especially these days. I gave it ten out of ten. Please see it if you can.",e
21,7 February 2003,jotix100,8, The gangs of Rio,"Quentin Tarantino, eat your heart out! At least in this film they outshot you big time. Watching this film is difficult at times. The violence is to such a degree, the viewer has a problem seating through it.",f
22,29 December 2005,DennisLittrell,9, Authentic and indelible,"(Note: Over 500 of my movie reviews are now available in my book ""Cut to the Chaise Lounge or I Can't Believe I Swallowed the Remote!"" Get it at Amazon.)",_
23,23 December 2020,dashtag1234,9, A Cinematic Achievement,"Fernando Mierelles is a genius. I'll tell you why. He directed a bunch of non-actors and made them feel real, like they were real characters. It's not like these guys are playing themselves 100% I'm sure the actor of Lil Ze is not a real psychopath. The way City of God is shot makes it feel real, like a documentary, and it is kind of beautiful. The storytelling is clever, and the use of shots is also very clever. Can't believe how this movie didn't win or get nominated for best foreign. It's violent and brutal, but still a remarkable film.",=
24,13 November 2005,planktonrules,9, a horrible movie that I strongly recommend,"When I say ""horrible"" I am referring to the vileness of the characters and terrible images in the film. Technically speaking, this is a great film--with some of the most amazing and innovative cinematography I have ever seen. The stories are interwoven very well and the film seems so very real. It is so unfortunate at the film's conclusion you find out that although these are actors, the story itself is true. It's just so hard to imagine living in this hell on Earth in Rio. After seeing this film, there's no way I am ever visiting Brazil!! I'm sure many viewers feel the same way due to the absolute brutality of their slums where the police do little to interfere with gangs who run it.",t
25,29 April 2005,evanston_dad,10, Visceral and Fabulous,"""City of God"" is an adrenaline jolt of a film that for once manages to find a balance between stylistics and substance. The director, Fernando Meirelles, stuffs his movie to the brim with machine-gun editing, swirling cinematography and pounding music, but while this reliance on fancy tricks has ruined other films, Meirelles is so expert at blending them seamlessly into an engrossing story that the viewer quickly accepts them as inseparable from the world of the film. He delivers a deeply emotional and human story that obviously owes much to Scorsese and Tarantino---but his movie feels completely original, never like a rip off. And underneath all of the action and plotting, there is a compelling message about about the power of art (specifically the camera) and a suggestion that, just as the pen is mightier than the sword, the camera is mightier than the gun. Can't recommend it enough.",t
26,15 December 2004,jpisani-1,10, an exillerating ride through the life of gangsters,"I am a big fan of foreign film, because its great to see directors with different points of view than the average American director. City of God is the epitome of a great foreign film. It shows the classic struggle between right and wrong, in a brand new way. The raw directing style, coupled with a great soundtrack makes for a movie which many different kinds of people can enjoy. Weather your a Harvard intellectual or the local idiot, you can enjoy this. The vicious cycle of the gangster lifestyle is portrayed with haunting accuracy. It even forces the audience to sympathize with some of the nastiest thugs in the world. All in all, City of God is one the greatest movies of my time and each time i watch it i enjoy it more than the last.",_
27,31 August 2006,TheWillVega,9, The Hype and Acclaim is Real: Cidade de Deus delivers.,Long before have I seen movies being overly praised but were not worth the hype and time and vice versa for the rest. It's been like that for a few years already.,u
28,31 May 2005,mungo39,10, From the first moment to the last this movie is enthralling!,"The first moment of the film shows us a swaggering gangster preparing food somewhere in the Favella of Rio de Janeiro. A knife scrapes across a whetstone, a chicken is plucked, fabulously atmospheric music plays in the background and a second chicken makes a break for his life! A chase ensues, the poor chicken being pursued by a whole gang of hoods, armed to the teeth, and the frenzy stops with our hero (Rocket) being caught between heavily armed Policemen, the chicken and the hoods. Violence seems inevitable, and things look bad for Rocket...",r
29,21 November 2020,fabioslimma,10," ""City Of God"" (Cidade de Deus) is the best Brazilian film of all time.","""City Of God"" (Cidade de Deus) is the best Brazilian film of all time. Technically perfect in directing, cinematography, editing, soundtrack and cast. Realistic, violent, impactful, this film is cinema of the best quality",v
30,30 January 2003,Chris_Docker,8, Explores a world or violence and moral ambiguity rarely depicted on film,"The most moving moment in a trip I made to Brasil occurred when I visited a community school in the slums (favelas). These children were desperately trying to better themselves  the school (paid for from community and rotararian funds with no government help) was their *only* chance to get out of the cycle of hopelessness and crime. The awful dilemma was that the community and its inhabitants were protected and supported (with no strings attached) by the local drugs and gun running infrastructure. I was safer there than on the streets of Copacabana  no-one would harm a tourist as that might attract police attention (bad for business). One infraction to law and order would mean a warning  the second, death.",
31,1 June 2021,ThomasColquith,5, Somewhat Flawed Film,"I recently re-watched ""City of God"" for the first time in 15 years, and it was worse than I remembered. I had held this film in high esteem, but now, perhaps being older, I see more issues. First the positives: this film treads ground rarely done -- exploring the Brazilian favelas and the social issues endemic there. I think it is good to raise awareness about the plight of the less fortunate -- those whom by birth have less resources and opportunities afforded to them. However, there is a fine line to walk between raising awareness and just glorifying violence. I'm not saying that was the intent, but when all you see for two hours is violence, it is hard to think beyond that.",
32,5 April 2022,SPZMaxinema,8, I was pretty invested!,"The characterization and drama in this movie was done quite well. While I didn't like some of the directing techniques with the camera-work in some moments, in other moments it was directed quite well! I liked the ending a lot with Lil Z's demise and the twists that took place, plus how the cycle of a life of crime that infested the streets got passed down to yet another generation, quite a powerful movie! I would've never thought that I'd like a film quite like this!",
33,22 June 2006,Flagrant-Baronessa,10, Just... fantastic.,"City of God is set in poverty-stricken and corrupt Rio de Janeiro and bravely zooms in on its young citizens in their extremely violent day-to-day circumstances. Some of them are really only just kids. I don't mean kids like ""rowdy teens"", but actual little children with guns and blood on their hands. It is quite heartbreaking to watch, but very compelling at the same time.",
34,16 October 2019,mikayakatnt,10, Must Watch!,"Hands down one of the best crime films out there. I enjoyed the story-telling, grittiness, and abject realism of this film. There were moments where I forgot that I was watching a work of fiction.",
35,19 September 2018,AhmedSpielberg99,9, A Latin Masterpiece That Is As Hard To Watch As It Is Hard To Look Away From!,"Superb editing, and Fernando Meirelles splashy direction made this movie visually stunning, and this was necessary. Because without being so, City of God wouldn't have been the easiest hard-to-watch movie to be watched! I know that sounds weird, but I'm not kidding this movie is so disturbing and shocking, but its vibrant visual style made it impossible to look away from.",
36,15 May 2020,mahmus,10, A masterpiece,"It gets very hard to watch, but I can't take my eyes away from the screen.",
