Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,30 October 2012,ma-cortes,8, Two musicians dressed as women join an all-girl band to escape the mobsters' vendetta,"Legendary comedy masterpiece from filmmaker Billy Wilder and IAL Diamond that Won Oscar and another 13 wins & 8 nominations . Immensely charming comedy set among Chicago and Miami , being starred by an all-star-cast . When two unemployed musicians witness a mob hit , the St Valentine massacre in Chicago carried out by mobster chief (George Raft) they flee the state in an all female band disguised as women and headed for Florida , but further complications set in. There appears a gorgeous singer , Sugar Kane (Marilyn Monroe) , who is object of pursuit by the musicians (Jack Lemmon , Tony Curtis) who cannot reveal their identity because are dressed as women in order to getaway from killer gangsters' retaliation . ",/
1,1 October 2010,claudio_carvalho,10, One of the Best Comedies of the Cinema History,"In 1929, in Chicago, the musicians and friends Joe (Tony Curtis) and Jerry (Jack Lemmon) flees from the night-club where they are playing during a police raid. Without any money, they seek a job position for saxophone and bass players in another band and they are invited to play in a concert for one night only in a distant town. Joe borrows the car of a former girlfriend to travel and when they arrive in the parking garage, they witness the ""Saint Valentine's Day Massacre"" led by the infamous mobster Spats Columbo (George Raft). The criminals discover Joe and Jerry hidden in a corner and when the killers are ready to execute them, they succeed to escape. Joe and Jerry disguise, dressing like women and they head to Florida by train with an all-girl band using the names of Josephine and Daphne. They get close to singer Sugar Kane Kowalczyk (Marilyn Monroe) and Joe falls in love with her but she believes he is a woman. Meanwhile the millionaire Osgood Fielding III (Joe E. Brown) harasses Daphne inviting her to visit his yacht. When Spats and his henchmen arrive in the same hotel where Joe and Jerry are lodged for a mafia convention, the two musicians feel that they are in a dangerous situation.",r
2,15 November 2005,ccthemovieman-1,10, What's Not To Like?,"Some people still say this is the greatest comedy ever made in Hollywood. Who am I to argue? Even after 45 years, it's still very funny and not the least bit dated. It is one of the true classics in the history of film.",e
3,5 August 2008,EijnarAmadeus,9, A Legendary Comedy,"With Billy Wilder's steady direction, the great casting, and Wilder/Diamond's sparkling script Some Like It Hot has become one of the most enjoyed comedies of cinema history. The story itself is pure comedy gold; the unhappy jazz-musicians Joe (Tony Curtis) and Jerry (Jack Lemmon) are witness to the St. Valentine massacre in 1929 and flees from Chicago with an all-girl-band who's headed for Miami, dressed up as ""Josephine"" and ""Daphne"". Soon both are hooked on Sugar Kane (Marylin Monroe), the band's lead singer - but things gets more complicated when arrived in Miami, Daphne attracts a elderly playboy and the gangster of Chicago arrives at the Floria-hotel to have a mafia-meeting.",v
4,27 June 2007,Nazi_Fighter_David,8," In this brilliant comedy, Marilyn was breathtakingly beautiful...","Any camera loved Marilyn the best In all her films, Marilyn dominated any photographer not just because of her ability with a script but ceaseless attention to the camera... More than anyone else on the set, she knew the importance of her sex appealThe 'fifties belonged to Marilyn, and in that decade it almost seemed as if the world belonged to her also",i
5,17 February 2017,mark.waltz,10, Many have tried but few have succeeded in coming close to matching it.,"There are four Oscar worthy performances in this Billy Wilder comedy classic. Marilyn, Jack, Tony and Joe all shine in the beaches of Florida where sweet Sue and her band, featuring luscious Miss Monroe and two real dogs perform in an all female band. The problem is that the dogs aren't real women: they're musicians hiding from the mob, having witnessed a St. Valentine's Day massacre style hit. Mob head George Raft wants them dead, so what's the best way to hide? Dress up as a woman of course!",e
6,4 January 2014,silva-w-pius,9, Marilyn Monroe. Enough said.,"""Movies should be like amusement parks"" filmmaker Billy Wilder once said ""People should go to them to have fun"". So If Some Like It Hot was an amusement park: it would Thorpe Park, mixed in with Legoland, added with a dash of Disney land. Some Like It Hot is the granddaddy of comedies, the Godfather of laughs and the Mike Tyson of punch lines. Heck! Watching this film is like getting into the ring with Muhammad Ali, as you're constantly hit with fast paced gags. Even when you're least expecting it you're hit with a punch line so funny it leaves your side aching, or a piece of slapstick comedy that leaves your eyes running. Even the fade out line has been regarded as the funniest and most famous in history. Once you hear it, you'll guarantee never ever, ever to forget it. Trust me, it's hilarious! ",w
7,29 November 2018,Tweekums,10, Still fresh after almost sixty years,"Opening in 1929 in Chicago musicians Joe and Jerry witness a mob assassination, committed by Spats Colombo, so have to go on the run. There are jobs with a band that is heading to Miami... there is just one catch; they are all girls. By the time the train is ready to head south Joe and Jerry have become Josephine and Daphne. On the journey they get to know the other girls and as Joe talks to singer Sugar and learns how she hopes to meet a bespectacled millionaire with a yacht rather than the usual succession on no-good saxophone players (Joe plays the Sax). Once in Miami sets about becoming just that man while a real millionaire, Osgood Fielding III, is attracted to Jerry's 'Daphne'! If that weren't enough Spats is in in town for a mob conference.",/
8,18 April 2001,gbrumburgh,10," Billy Wilder's screwball masterpiece with Curtis, Lemmon and the immortal Marilyn handed the best comedy roles of their careers.","Admittedly biased, ""Some Like It Hot"" can certainly stand on its own merit with or without my thunderous round of applause.  More than a decade ago, I had the privilege of performing both the Tony Curtis and Jack Lemmon roles in ""Sugar,"" the musical adaptation of ""Some Like It Hot"" which originally starred Tony Roberts, Robert Morse and Elaine Joyce on Broadway in the 70s. Though it hardly compares to the film's original (how could it???), the musical nevertheless is still a big hit with live audiences.  I can't remember ever having a better time on stage than I did with ""Sugar,"" and it's all due to the irrepressible talents that instigated it all.",r
9,27 December 2022,Sleepin_Dragon,10, Classic comedy featuring several screen greats.,"Billy Wilder's Some like it hot is a fabulous crime comedy, which sees two musicians, Joe and Jerry disguise themselves as Josephine and Daphne in order to escape a criminal gang.",w
