Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,13 April 2021,classicsoncall,9," ""I don't know what's happening anymore.""","This movie brings you inside the mind of someone losing their memories and recognition of those around them. In another genre, what happens here could just as well take place in a horror film. The fascinating thing about the story as it unfolds is that as the viewer, there comes a point where you begin to question whether what you're seeing is what the principal character is experiencing, or whether it's a figment of Anthony's (Anthony Hopkins) imagination. The distinction between his reality and the reveries that make up his daily existence sort of blend together in a way that confound the senses. Hopkins is extraordinary in the role, and if this is his last chance to earn an Oscar for Best Actor, then it's a darn good one in a field with some significant competition. Olivia Colman as Anthony's struggling daughter expresses all the concern and frustration that comes with being the primary caregiver for her dementia stricken father, and there are somber moments in the picture when you want to cry along with her over the hopelessness of both his and her situation. As a harbinger of what might happen to anyone as we all approach those senior twilight years, the film can be a depressing experience, only somewhat mitigated by the care and concern that dedicated health care workers are able to provide in an institutional setting. As tender and comforting as the closing scene is, it's one that will break the heart of anyone who's been through a similar experience.",/
1,12 April 2021,waltermwilliams,10, So close to perfect and so personal,This is one of the hardest movie reviews I've ever had to write in my life.,r
2,1 July 2021,neil-476,9, Excellent but deeply upsetting,"I cannot say what I want to say about this film without spoilers, so please don't read on if you want to find what happens in the film as it unfolds.",e
3,4 April 2021,MOscarbradley,10, Hopkins has never been better.,"I haven't seen the play on which ""The Father"" is based, (or indeed the other two plays in Florian Zeller's trilogy on the family), but as cinematic adaptations go this is as good as it gets. Taking place almost entirely on a single set, this is an actor's piece of the highest order and its linchpin is a magnificent performance from Anthony Hopkins as ""The Father"" of the title, a man suffering from advanced dementia and perhaps, both in Hopkins's performance and Zeller's treatment of the subject, this will come to be seen as the definitive film on dementia as anyone with personal experience can testify.",v
4,22 December 2022,Sleepin_Dragon,10," Hard to watch at times, but essential viewing.","Anthony refuses to accept any help from his daughter Anne, or any family members, Anthony's confusion increases, he's battling dementia.",i
5,26 August 2021,deloudelouvain,8, Most realistic movie about dementia.,"The Father couldn't be more realistic when talking about Alzheimer's disease. I've seen my grandfather walking that path. He was a smart man but once the dementia kicked in he was barely recognizable, which was a hard thing to witness when you knew him as the intellectual he was. The Father just nailed this subject, bringing back so many memories, memories we would rather forget but that you can't. Living with a loved one with this disease isn't easy at all, certainly not when that person sometimes doesn't remember who you are. I didn't knew Anthony Hopkins won an Oscar for his role, but after watching this movie I can only say it's highly deserved. It's probably one of his better performances ever, and that at 83 years old. The Father isn't a movie that will give you a lot of joy, it's sad and scary but certainly worth watching. Nobody wants to have a loved one suffering from dementia, it's a nightmare to live with. I remember my grandfather starting to smoke a cigarette like it was a thing he always did and that whilst he stopped more than forty years ago. I remember him telling me he was going crazy after asking me the same question for the twentieth time in barely an hour. He knew it was all going downhill, he knew he was a burden to everybody, and that must hurt when you are still that little bit lucid to understand that. I watched several movies about dementia but this one is just the most realistic. It's sad but that's life, everybody should watch it so they can be prepared if the disease ever would hit a loved one.",e
6,26 March 2021,Xstal,9, Autumns Arrives & the Leaves Begin to Fall...,"... the days get shorter, darkness encroaches, the past begins to fade and confusion reigns. A remarkable piece of cinema, profoundly performed and presented, both touching and terrifying and relevant - your own experience uniquely yours but one you'll never forget... until.",w
7,22 May 2021,Cineanalyst,8, Demented Puzzle,"Dementia is a terrible disease. It's not something I'm interested in seeing depicted on screen. I've already seen enough of that. ""Amour"" (2012), with it likewise being claustrophobically isolated to an apartment and although it involves a stroke, especially comes to mind. Anticipating it was a depressingly realistic slice-of-life drama, I wasn't enthusiastic about seeing this Awards-winner, ""The Father,"" from a playwright turned first-time movie director. Fortunately and surprisingly, I don't think it's that, and one would be well advised to see it before reading reviews for it, including this one. I'm not familiar with the writer-director's original play that this is an Anglicization of, ""Le Père,"" nor the French film already made of it, ""Floride"" (2015), so I don't know how much of it was always of design or if anything is original here. I mean, ""they don't even speak English there."" Regardless, that ""The Father"" may come across as what I feared it was--and what others seem to discuss it as--is because we may forget genres when introduced to their entries in unpredictable ways. But, remember, ""The Father"" is a mind-game film, a puzzle picture.",/
8,17 May 2021,grantss,9," Superb: intriguing, haunting, thought-provoking and moving","After his previous carer leaves the daughter of an octogenarian, Anthony, organises a new carer for him. However, to Anthony everything is confusion: faces change, one day his daughter Anne is moving to Paris, the next day she's not, is this his flat or not? And why doesn't his other daughter visit him anymore?",r
9,3 April 2021,sinefilcinephile,10, Brilliant...,"Give Anthony Hopkins the Oscar on April 26. He gives you the best performance of the decade. An old man with dementia loses his ties to reality. His mind deteriorates, and reality stops making any sense. This movie will haunt you, especially if you have a relative with dementia. Such a heartbreaking movie. ABSOLUTELY the best movie of the year and the best performance of the year by Hopkins.",w
