Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,24 April 2019,TheDragonTrader,10, More Western than 'The Western' itself,"In full silence, three mysterious men in long trench coats wait in a remote train station. Their faces have anticipation written all over them, even while the most interesting things they can find to do are toying with a fly, drinking water from a hat and cracking their fingers. A dog runs past. The windmill squeaks. The ticket vendor is locked away. The heath bounces off the wooden platform. The men sweat.",/
1,24 December 2013,gogoschka-1,10, It doesn't get any better than this: this is movie history,"This one only gets better with each viewing. Leone's masterful storytelling and Morricone's crazy, beautiful, epic soundtrack; desperate, haunted faces which look like the barren landscapes the story is set in and a plot that unfolds with impeccable pacing to culminate in THE ultimate western finale.",r
2,5 October 2019,myriamlenys,9, thumping good Western with an almost operatic quality,"One of the great classics : a riveting, wildly immersive Western set against the historical backdrop of the expansion of the railroads. The Ennio Morricone music is rousing, the scenery is jaw-dropping and the various characters spring to colourful life.",e
3,30 September 2017,Jeremy_Urquhart,10," Without a doubt, one of the best Westerns of all time","I won't claim to have the ability to say anything new about this movie. It's been around for nearly fifty years, and is widely regarded as not just one the best Spaghetti Westerns of all time, but one of the best Westerns full stop. And it's not hard to see why: an incredible soundtrack, strong performances from the entire main cast, some surprisingly good humour and funny one-liners, a few tense sequences, a well-told story that doesn't rely on excessive dialogue or exposition, and consistently amazing cinematography and direction throughout. At least half the frames in this movie would probably make good paintings- no exaggeration.",v
4,27 June 2007,thinker1691,9," ""When you've killed Four, it's easy to make it five.""","In the annals of western film lore, there are good and bad films. This is one of the finest. Because ""Once Upon A Time in The West"" is such a remarkable film, it is hard to define what makes it so memorable. The story centers on a beautiful former prostitute called Jill McBain (Claudia Cardinale) who arrives to assume the role of wife to a stubborn, crazy, red-headed Irishman with a dream. Waiting, instead is tragedy and 'Mr. Morton' who is a powerful, but ailing land grabbing baron (Gabriele Ferzetti) who desires to crush everything and everyone who stands in his way to reach the Pacific ocean with his railroad. To help him is an equally ruthless gunfighter named Frank (Henry Fonda; the success of this movie owes much to Fonda who plays a very convincing heavy) who has been removing obstacles for years and now targets the McBain family for death and that includes Jill. Unfortunately for Frank, he has accrued many enemies over the years with one particular, mysterious and deadly Harmonica playing stranger seeking revenge. Frank arranges for three of his best and fastest gun hands to meet and eliminate the stranger at the train-station. Joining the instrument playing stranger is an unpredictable, half-breed, renegade, who is a notorious gunfighter called 'Cheyenne.' ( Jason Robards ) The entire film is a triumph to the superb direction of Sergio Leone, who christens each major character with their own theme song. Each theme was created by Ennio Morricone and when the character makes an entrance, the theme prepares the audience for mood change, drama, action, and lifelong memories. Special guest appearances, by Woody Strode, Jack Elam, Keenan Wynn and Lionel Stander add to the classic nature of this excellent story. ****",i
5,30 October 2019,alansabljakovic-39044,9, Masterpiece,The score is amazing and Henry Forda is magnficent. I can see why this is James Gunn's favorite movie. One of the best westerns packed with action and tension.,e
6,13 November 2019,mattywoh,9, I Never Get Tired Of Watching...,"I won't go into the story, but it's true, I never tire of this movie---At first i thought Charles Bronson wouldn't be able to keep up with acting heavyweights Henry Fonda and Jason Robards, but Bronson's physical abilities, combined with his minimalist close-ups practically steal the show---His goodness came through in the close-ups toward the movie's end, I thought it was Charles Bronson's greatest screen work.",w
7,5 November 2010,secondtake,8," Hey, it's slow on purpose. Is that a good thing? When it's this gorgeous, yes.",Once Upon a Time in the West (1968),/
8,21 January 2016,daxsir,10, Art,This is my fav film. It is more like watching a piece of art. The look is fantastic. The director does a perfect job. The acting is wonderful. The story is not the strongest ever but it should be watched to experience it. If your a film lover you can't fail but admire this film.Charles Bronson is the perfect broody loner. Henry Fonda surprises everyone by giving a strong performance as a bad guy. The close up of his eyes is stunning. The camera work and close ups have never been done better. The music is as good as anything you will find in a movie. Throw in the scenes when you first see Henry Fonda. The scene at the railway station which the water dripping on the hat. The sound of the spinning water tower. To me the closet movie to ART i have ever seen and i have seen a lot of films.,r
9,29 October 2008,bobsgrock,9, Leone goes a new route with the same results.,"With a style very much unlike that of his previous three Westerns, Once Upon a Time in the West takes a long time to tell this epic and powerful tale of three men all connected by their past and all destined to connect in the future. The acting is universally excellent with Fonda playing a very uncharacteristic part, but since he is such a great actor he has no problem filling the shoes of the merciless gunslinger, Frank. Jason Robards is great as the outlaw with a good heart, Cheyenne; and Charles Bronson is very Eastwood-like as a man known only as Harmonica with a mysterious past and a quick draw. The central character, though, is that of the beautiful Claudia Cardinale as Jill, a widow seeking revenge.",w
