Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,16 November 2019,Hitchcoc,9, Now I See Why,"I'm an old guy. I'm also a movie fan with an open mind. This is one of those films that is often referred to by critics as being very important. When I read the description of it, my first reactions was to totally avoid it. But it has in it some really great actors and I've been taken with the guy from Elementary. Well, was I surprised. While it was hard to watch as these young men dropped into the depths of addiction, I began to be fascinated by them. They were individuals who had aspirations and lives; they were good and bad. But were continually brought down by their mistakes. Those who say this glorifies drugs have totally missed the point.",/
1,19 December 2016,Prismark10,8, Choose life,"Trainspotting is a magnetic, exhilarating, repulsive film based in a seedy underbelly of Edinburgh. Thieves, drug addicts and a violent type of underclass live in doss houses with babies crawling round innocently unaware of the dangers they face.",r
2,4 June 2018,gogoschka-1,10, One Of THE Defining Movies Of The 90s And A Milestone For British Cinema,"I remember what a raw shock of creative energy this film was when it came out, and I still marvel at what an imaginative way the director found to tell this crazy, immoral tale. The superb cinematography; the amazing cast of young actors (who have all gone on to become hugely successful in film and tv since); the iconic soundtrack: it all just fits together perfectly. 'Trainspotting' is as hilarious as it is deeply disturbing, but most importantly (and unlike many other films concerned with addiction) it's one hell of an entertaining flick and doesn't drag for a second.",e
3,29 April 2005,MichaelMargetis,10, The Wild & Crazy Indie Smash Hit that Started My Love For Independent Film,#1 BEST FILM OF 1996 ,v
4,25 March 2008,gcd70,7, In your face cinema,"Amazingly in your face cinema from director Danny Boyle and writer John Hodge. Adapted form Irvine Welsh's novel, this is the story of four desperate heroine addicts who chose hard drugs rather than life. Instead of the drudgery of the every day, they prefer the ecstatic rush of the heroine hit.",i
5,26 March 2005,Barky44,8, What a horrible movie! Two thumbs up!,"Trainspotting is the story of a humor, violence, goofiness, abuse, friendship and sadness in heroin-addicted Scotland.",e
6,30 August 2007,Sergeant_Tibbs,9," Take the best orgasm you've ever had multiply it by a thousand and you're still nowhere near ""Trainspotting.""","In 1996 John Hodge took Irvine Welsh's novel ""Trainspotting"" and with the help of Danny Boyle's direction created one of the most influential, modern cult classics Britain has to offer. Commonly ranked among the greatest films of the 90s; ""Trainspotting"" delivers satisfactory viewing every single time. The essential drug film.",w
7,10 December 2004,lucidshard,10, Sublimely excellent,After reading some of the reviews that trash this film I had to speak up.,/
8,25 March 2000,omophagia-2,10, One of the best films of the 1990s.,"In the aftermath of _Pulp Fiction_, much of the filmmaking of the 1990s thrived upon attempts to appear ""edgy"" within the constructs of independent films, or merely to provide empty shock value cliches. And no film ever came close to the sheer cleverness of Tarantino's masterpiece.",r
9,14 March 2021,briancham1994,9, Gritty portrayal of urban poverty,"This film is dark but also has a deep sense of realism. The subject matter of this film invites comparisons to Requiem for a Dream (2000). Relatively speaking, Trainspotting has more nuanced characters who seem to have more control over their lives and have more of an active choice in every situation, whereas Requiem for a Dream has characters driven by false hope and losing control over their lives entirely. The endings are still quite tragic in both cases though, as drug addiction ultimately has no winners. This film shows a wider view of the characters' lives and their hobbies, crimes, interactions and quirks, along with the environment around them. It's depressing as you'd expect, but has more of an ethnographic, ""chummy"" feeling compared to the hard-hitting rollercoaster ride that is Requiem for a Dream.",w
10,14 January 2015,SnoopyStyle,9, unique wild ride,"Four Edinburgh friends Mark Renton (Ewan McGregor), Daniel ""Spud"" Murphy (Ewen Bremner), Simon ""Sick Boy"" Williamson (Jonny Lee Miller), and psychopath Francis Begbie (Robert Carlyle) are into the low life heroin addicted junkie world. Renton tries to quit with a couple of final rectal suppositories. He steals clean-cut friend Tommy MacKenzie (Kevin McKidd)'s sex tape with his girlfriend. He chases after Diane Coulston (Kelly Macdonald) from the club but he finds out that she's underage after sleeping with her. The guys go back to doing heroin. Even Tommy starts doing it after dumped by his girlfriend for losing the sex tape.",4
11,25 June 2020,gamerz-18042,10," Love it. Grim, realistic, a classic.","This film defines an era in the UK, a grim reality on the fringes of society.",2
