Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,31 October 2003,Smells_Like_Cheese,10, One of my favorite movies of all time!,"Seriously, I know that sounds stupid as this is an animated movie, but why can't we have a favorite movie that's animated? If you ask me this is Disney's best animated film of all time. Why do you ask? The animation is just beautiful, the story is powerful and moving, the characters are terrific, the villain is one of Disney's most monstrous and the songs are out of this world incredible! Not only is it my favorite animated movie, this is one of my favorite soundtracks, with the strong power of Elton John The Lion King is absolutely beautiful and a pleasure to watch still to this day. I have to say also that this story is just so beautiful, it's still one of the movies that will always bring a tear to my eye. When I was 17 years old, I begged my dad to take me to the re-release of The Lion King, him and I being the only adults besides the parents who took their children to see the movie, Simba's father dies and I started balling! My dad looks around and said ""Krissy, stop it!"" and I just said ""But it's so saaaaad! Simba's daddy!"", yes I'm a sap, I can't help it, this is a powerful movie.",/
1,1 January 2000,Quinoa1984,10, The Best Animated Film I Have Ever Seen,"The Lion King is a great film.  Along with a great story (inspired by William Shakespeare's Hamlet), terrific animation, and an all star cast of voices, there are the lessons that are learned from this film (despite being a little rough for the younger children).  Like responsibility and honor.",r
2,20 January 2000,claudonio,10, A Film For All Ages,"This is a film that can entertain anyone young or old, I usually don't care for animated movies but this film is the real deal, this is one of disney's best animated movies. The animation is top notch and flawless. This film also features superb work from the vocal cast James Earl Jones, Jeremy Irons, Whoopi Goldberg. This is a standout.",e
3,28 December 2002,movieguy1021,9, The Lion King: 9/10,"Released Christmas Day in 2002 to IMAX and large format screens, The Lion King makes a triumphant return to the screen after eight years. Its every bit as majestic and great as it has been before.",v
4,17 February 2009,TheLittleSongbird,10," This is my sister's favourite film, and one of mine!","This is a fantastic movie, and I am not lying! my 13 year old sister loves this movie, and I can't fault this either. It was one of the first movies I ever saw, so that accounts for how much I love it. The animation is superb, the backgrounds look so rich, and for once, there are no stiff movements. The highlights were the stampede and the fight between Scar and Simba. The music by Hans Zimmer is outstanding, a perfect mix of African chants and pure Hollywood. The songs are absolutely great, I had no idea that Elton John could write like that. The best song is ""Can you feel the Love Tonight?"" but the others go without fault, ""Circle of Life"" is so spirit rousing especially. Likewise with the voice overs. Jonathan Taylor Thomas is very likable as Young Simba, and Matthew Broderick, while not as good, is above average too. James Earl Jones lends his booming voice to the majestic King Mufassa, and Nathan Lane, Rowan Atkinson and Whoopi Goldberg provide flawless comic relief. The vocal standout is Jeremy Irons as Scar, who frightened me when I was little. Scar is up there with the best Disney villains, like Jafar, Malificent and Frollo. The humour here is fantastic, and you cry here a bit here as well. I highly recommend the stage version in the West End, and the sequels are actually two of the better DTV sequels.10/10. Bethany Cox",i
5,10 May 2005,gdswalia,10, The best Disney animated film ever...,"The best Disney animated film ever...This film had it all, it was funny, emotional, had family drama, and above all, great animation and songs! My personal favorite character is Rafiki, the Baboon! I still cant forget the line he says to Simbe, ""Past can hurt, but as I see it, you can either run from it, or learn from it!"" it is so true! i loved Zazu's weirdness, and shenzi's humor, above all, i loved Pumba's innocence and Timon's intelligence! In short, i found the film the best film ever... The voice cast is also great. Mathew did complete justice to Simba, and what can I say about Mufasa, He is the best King, and dad anyone can ever get! The movie is not meant for kids, its meant to teach every adult a lesson...to find our place in the great ""Circle Of Life"". I give this film a perfect 10.",e
6,22 April 2002,chadgeri,10," By far, the greatest Disney movie ever made...","This movie is, quite seriously, the Citizen Kane of Disney animation. Every animated movie from Disney ever since has been a failed attempt to recreate the masterpiece that this film is. This movie is an anomaly in a market usually dominated by formulaic kiddie-fare. Unlike most films from animation studios, this movie will enthrall you, whether you're 5 years old, or 50. An epic plot, intriguing characters, great music and hillarious moments make this film a family classic that will endure through the ages. 10/10",w
7,21 July 2019,kaydrelia,10," Masterpiece, the new one doesnt compare","Watched the new one, and I think I had a disgusted look on my face the entire time. The music, the visuals, the dialogue, the voice acting, etc. Rewatched this one and remembered why this was my favorite Disney movie growing up. From mufasa's death to the goofy hyenas, to the bond between rafiki, simba and mufasa. The music that everyone knows every word to, and scar's ability to deliver each line perfectly. This movie is magic, the new one seems to tech focused and forgot what made lion king so beloved to begin with, its unfortunate. Hoping the circle of life makes it way around and the end of remakes draws close (see what I did there lol). Until then, lion king from the 90s will stay on my shelf and my kids will watch with me. This new one will never end up in my cart and I wont confuse my kids by watching it either. Thank you 90s Disney for the magic!",/
8,9 August 2009,moviesleuth2,10," A dazzling, joyous piece of film-making","Of all the animation classics from the Walt Disney Company, there is perhaps none that is more celebrated than ""The Lion King."" Its acclaim is understandable: this is quite simply a glorious work of art.",r
9,21 December 2005,David_l_s,10, TLK is Great,I watched the film today and I have come to the conclusion that this Disney film is one classic that will keep on delivering to Disney fans like myself...TLK is a wonderful film with great characters and songs with a powerful message that you can always find your way back no matter how hard the journey...,w
10,28 November 2005,suicune_tudor,10, A living masterpiece,"This is truly one of the best Disney movies ever. I really enjoyed it when I first seen it, about when I was 6, and since then I watched it over and over again. I simply LOOOOVED the music. It's one of the best soundtracks I've ever heard. And, speaking of soundtrack, I just can't tell in words how much I love the song ""Can You Feel The Love Tonight"". Is one of my favorite songs ever. I truly believe that this motion picture could easily be nominated for The Best Picture, but The Best Song and the Best Original Score is really enough. I wonder if they will ever think to make a prequel of this movie in order to understand who is Mufasa, Scar, Sarabi and the other characters. In short, this movie will be remembered in the next 100 years. Truly.",4
11,16 November 2005,Lady_Targaryen,10, My favorite cartoon from Disney!,"The Lion King is a classic from Disney. I remember going to the movie theater/cinema and watching the film...I was exactly 8 years old. And until now, with 19 years old, the good sensation of watching this movie is the same as that time. My mother even bought me Simba's doll! =)",6
