Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,18 February 2007,ccthemovieman-1,10," Excellent Viewing, Every Time!","This is a very clever animated story that was a big hit, and justifiably so. It had a terrific sequel and if a third film came out, that would probably be a hit, too.",/
1,25 December 2004,philip_vanderveken,9," Created a decade ago, but still stunning","I am a big fan of the animated movies coming from the Pixar Studios. They are always looking for the newest technological possibilities to use in their movies, creating movies that are more than just worth a watch, even when they were made a decade ago.",r
2,21 February 2003,MovieAddict2016,10," ""I can safely say that I have not enjoyed animated films quite so much over the years as I have enjoyed Pixar films.""",Toy Story – 5/5 stars,e
3,13 February 2000,Quinoa1984,10, One of the Best Animated Films Ever!,"Toy Story is a sheer delight to view on the screen.  The characters are well done, the plot is exceptional, and the best thing of all, the film is entirely produced on the computer.  The animation is extraordinary in it's ability to bring such great entertainment to the screen.  The film also teaches some good lessons for the kids like friendship (mainly between Woody and Buzz Light-year).  Spectacular entertainment all around and one of the best films Disney has come with.",v
4,26 May 2006,dunmore_ego,9, Plastic Fantastic.,"Y'know, I always suspected that my toys were coming to life when I wasn't looking! ",i
5,4 March 2021,Instant_Palmer,10, Witty Sweet Fun For All Ages. Forever Changed Animated Film 💯,"This is as close to perfection as any animated film has come, entertained parents on a equal plane with their children, and set the bar to the top of the animation film industry. No film has yet come close to Toy Story in legitimizing animation as a film art on the level of movies with live actors. Great comedies are hard to come by - Toy Story strikes gold on that basis alone, but is so much more. One of the Top 100 Greatest Films of All Time, and currently resides on my ""Top 10 Greatest Comedy Films (1960-Present)"" list.",e
6,20 April 2001,Anonymous_Maxine,10, Best Disney film. Ever.,"Toy Story is not only the best Disney film because it has the best story and the best animation, but also because of the excellent actors chosen to provide the voices of the animals. The casting was perfect from top to bottom, and the movie provides an excellent adventure story about friendship and loyalty that keeps you engrossed until the nail-biting climax.",w
7,3 January 2015,Hitchcoc,10, As Good as It Gets!,"What a wonderful integration of classic toys and a superb plot. It's a new height in animation (though things have gotten even more impressive long since). The voicings of Tim Allen as Buzz and Tom Hanks as Woody, with their inherent connection to their toy beings, with an incredible supporting cast, make this a romp to end all romps. There is a strain between the realities of the world and the fact that even though they are sentient beings, they are still toys. Buzz has lights that flash but he can't really fly. Woody has the ludicrous string on his back that allows him to deliver his catch phrases. Then there is the neighborhood villain, Sid, who is a maimer and destroyer of toys. There is the quest for the mishandled and lost. And a finale that is worthy of everything that has been set up. What really makes this work is the ""humanity"" of the characters. There is love and a true connection among them. If you have never seen this, it is worth every minute.",/
8,15 December 2013,GeorgeRoots,10, The Largest Part Of My Childhood Put On Screen.,"With the wonderful collaboration of Pixar and Disney, who as of 2013 have given us some of the most visually impressive and wonderful movies ever made. ""Toy Story"" was the go to film of many childhoods (Including my own), and brought CGI movies into the mainstream with stunning promises & confidence.",r
9,30 December 2005,SmileysWorld,9," Proof that Pixar not only cares about the quality of their work,they care about our kids.","Though I am not a big fan of computer animation,I have to give the folks at Pixar credit.This brand of animation is nothing short of brilliant.The attention to detail,such as eye and body movement is quite remarkable.Computers allow them to make their characters as close to human like as possible,something we have never seen in traditional hand drawn animation,though the latter will always be the closest to my heart.Combine this excellence with a genuinely good story idea and a top notch voice cast and the result is good family entertainment.It's obvious that the people at Pixar are not only caring perfectionists when it comes to film making,but they care about our kids,something rarely seen today.Highly recommended for any home library.",w
