Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,4 November 2010,dee.reid,10," An amazing third ""Story""","Lee Unkrinch directed ""Toy Story 3,"" the third and presumably final installment in the ""Toy Story"" movie franchise. One could argue that this is probably the best one yet (1999's ""Toy Story 2"" remains my personal favorite of the three), and I won't argue with those who think otherwise. I still hold onto ""Toy Story 2"" for deep personal reasons, but ""Toy Story 3"" does build upon events foreshadowed in the previous installment, which does gives this film a weighty emotional punch - a rarity in animated films these days.",/
1,15 November 2010,claudio_carvalho,10, Wonderful and Touching for Adults Imagine for Children,"Andy is now seventeen years old and is going to college. His mother presses him to decide the fate of his toys, and Andy decides to leave them in the attic, with the exception of Woody that he intends to bring with him. However Andy's mother donates them by accident to the Sunnyside Daycare. The toys are welcomed by Lotso Bear but sooner they discover that the children mistreat them. Further, they are imprisoned in the daycare by Lotso and his gang. But Woody discovers the intention of the evil bear and returns to the daycare to organize the escape of his friends. ",r
2,17 June 2010,DICK STEEL,10, A Nutshell Review: Toy Story 3,"It was in 1995 that Toy Story signaled the arrival of Pixar, and the rest was history. To date, I have personally always found myself to have enjoyed all of their outputs, and it does seem that Pixar has indeed grown from strength to strength with sophistication in its graphics and attention to detail, but more so that their creative teams have always come out with solid stories to tell, which is always the key beneath all the glossy bells and whistles visuals.",e
3,8 July 2010,slokes,9, Metaphysics By Mattel,"Is there Life after playtime? Can you handle a film in which the toys are playing with us, the audience? The third chapter of the Toy Story saga asks some tough questions of viewers, but the rewards of seeing this remarkable film outweigh the emotional toll.",v
4,27 May 2010,The_Fifth_Echo,10, ~One of the Best Trilogies of All Time~,"I attended a special screening for Toy Story 3. I went in with HIGH expectations. I LOVED the first two Toy Stories movies. Toy Story is a beloved franchise that almost everyone that I know loves the first two films. Now how about the 3rd film? Well all I could say is that it lived up to my unbelievably HIGH expectations and then some. This is such a good film. It has the laughs, magic and best of all the entertainment. The new characters in the movie feel like they were in the previous two films, they were that engaging and really worked well in the movie. The best part of the movie has to be the ending, I almost cried and was moved to just about to tears. I truly believe that this is one of the best Trilogies of all time. It might even rival the Lord of the Rings Trilogy.",i
5,18 June 2010,diac228,10," By delivering an amazing finale to an amazing trilogy, all we can do is bow and thank Pixar once again.","Star Wars. Indiana Jones. Fistful of Dollars. Bourne. These are all incredible trilogies that can, will, and should stand the test of time. Yes, I am neglecting the fourth Indiana Jones. Upon the mention of the third Toy Story, I was deathly afraid. Afraid because it has some major, major shoes to fill. The original is a masterpiece that changed animation forever, and the sequel is among the best in the history of film (I mean that). The first two Toy Story films are among the best movies of all-time and to this day entire animation studios have failed to duplicate an ounce of the magic contained in Toy Story. Could part 3 even come close to the original two? My friends, I am very happy to say, the answer is a resounding yes.",e
6,4 November 2010,ccthemovieman-1,10, Succeeds In Living Up To Expectations,"Well, this lived up to the hype, which usually isn't an easy accomplishment. Toy Story 1 & 2 set the bar high so, frankly, I was expecting a disappointment with this one. Thankfully, it didn't happen. ""Toy Story 3"" was another amazing story in this (so far) trilogy.",w
7,18 June 2010,MovieAddict2016,10," Thank you, Pixar.","I left the theater in 1995 after seeing the original Toy Story strangely moved. I was only six years old, and I'm not sure I had even fully grasped the revolutionary CGI for what it was (it probably just registered as animation to me, and I didn't quite understand its impact), but I did know – at least on a basic level of storytelling – that it was fantastic. Four years later I went to see the sequel with my younger sisters and felt the exact same way I had the first time. Even at a fairly young age I knew there was something special about these films.",/
8,23 September 2010,Rectangular_businessman,9, A great ending to a great franchise,"I liked very much the other ""Toy Story"" films, and I loved all the Pixar films, finding all to be clever, well animated and with a good message for the children.",r
9,17 June 2010,beastwarsfan,10, Simply brilliant!,"I was about 10 or 12 when I watched the first Toy Story in the cinema with my little brother and sister. We were all enchanted! Years later Toy Story 2 came out and it was a blast! Again we all went to the theater to see it and we were so thrilled and excited after the movie! Im 24 now, and just yesterday I was at the Bulgarian gala-premiere of the film. My brother was fortunate to win an invitation for two (he took a photo of himself with our small collection of Toy Story toys and sent it to the website), and we had the chance to see the third part on its first screening... and for the 1st time in 3D! No doubt that the animation is better than ever, the guys from Pixar constantly push the limits, but that's kinda natural for them. But still it feels like 100% Toy Story, with all the improvements, somehow I don't feel this 15-years-wide gap between the first and the third part.",w
10,18 June 2010,Quinoa1984,10," few trilogies can be considered whole and complete, but this is now one of them","Toy Story 3 brings back nostalgia, but that's to be expected. We all think back to fifteen years ago, or eleven years ago, when the Toy Story movies came out the first time. If you're too young for that, then at least the re-release was last year to catch people up, though it's not quite the same thing. As Andy is off to college- as was predicted would happen as a given in Toy Story 2- we in the audience realize that this third film follows a kind of time-line that runs with our lives. Even if you're an adult (i.e. older than my 20-something age) you can relate to what the toys and Andy are going through. What happens at the end of the film, the resolution of the ultimate conflict of what to do with the toys as life goes on, is one of the most beautiful and heartwarmingly bittersweet (well, more like sad-sweet) moments in recent cinema. Pixar tends to do that.",3
11,27 June 2010,Smells_Like_Cheese,10, A perfect way to end the beloved Toy Story trilogy,"Again, I don't mean to sound like a broken record but it seems like Disney/Pixar is the only competent movie company that produces great films and classic stories. They know how to write, shoot and tell a story well. Toy Story is Pixar's baby, at the time of the first film's release and was the start of what we have today with computer animation. Now the first Toy Story was good, the second Toy Story was great and Toy Story 3 was absolutely fantastic. The stories just get better and better as they keep coming. Bringing back our favorite characters but adding a fun new little twist to them, it brought a new audience in and kept the one's who saw the first one and gave us something new to enjoy. Pixar's last films like Ratatouille, Wall-E and Up kept raising the bar higher and higher, not only are they Disney's great films, but they're also some of the strongest and best films of all time. Toy Story 3 can now be added as this is my favorite of the trilogy, bringing in some great new characters and magic to the story, I couldn't stop laughing and crying with this movie. I thought this was a perfect ending to the trilogy as it gets to all the adults when we had to grow up and give up our childhood toys.",6
12,18 June 2010,interrealm,10, How in the world did Pixar make adults CRY over TOYS??!,"The best magic tricks in the world are ones that cannot be unraveled, reverse engineered or dissected to figure out exactly how they are pulled off. This philosophy is doubly applicable to Pixar's ""Toy Story 3"", the storyline-ending outro of the beloved Toy Story, uh, story.",2
13,25 September 2010,medris,10, Above an animation,"Toy Story 3, perhaps the best animation made in cinema history has been, because after seeing this animation, each viewer feel that the characters of interest. The animation really neutral in terms of content and is unique. When you see that, like see professionals movie.",1
14,22 August 2021,scottca075,10, Could be the best of the series,Toy Story 3 could be the best movie of the series. I've enjoyed all the movies but TS3 had a little something extra that really got to me.,8
15,28 December 2010,TheLittleSongbird,10," To me, this is by far and large the best Pixar film to date!","To me, Pixar have never yet made a bad film, even their weakest Cars is actually very good. Like a lot of people here, I grew up with and loved the first two Toy Story films and still love them. As is consistently the case with Pixar they are superbly animated, sophisticated and had great characters. Toy Story 3 somehow managed to do the seemingly impossible, while its Toy Storys 1 and 2 have a special place in my heart, this film was even better.",7
16,5 July 2010,russb216,10, A Perfect Tale of Adventure and Devotion,"Since I felt none of the other reviews here do the movie justice, I became compelled to write my own. It is the most inspired film I have ever encountered.",6
17,19 June 2010,thesar-2,10, Third time's a Charm,"I think the harshest thing I could say about the latest Pixar adventure, or Toy Story movie, for that matter, is even attempting to determine with Toy Story film is the best.",/
18,17 June 2010,aaronjbong,10, Pixar's Best Movie And Truly A Masterpiece,"Is ""Toy Story 3"" good? Yes, it is. Is it exciting? Yes. Is the animation good? Excellent. Is it worth the money? It's worth. Is it better than the previous two? Much, much better. ""Toy Story 3"" is an excellent movie for all ages.",?
19,24 June 2010,xamitlu,8, Toy Story 3 is not a movie for adults who DO NOT want to cry during a movie.,"The only Disney movie I cried in was Lion King. The other Disney film that came close was Pixar's WALL E. I did not cry during Toy Story 3. I went home walked into my room a realized that my Optimus Prime is not at the foot of my door, my Sylvester the Cat stuffed toy was not on my bed, and my McDonald's Sonic the Hedgehog toy was not on my shelf. My conner only housed my stack of video games. I asked myself why did my mother give away my toys without my permission? At THAT moment is when I thought about the last 30 minutes of Toy Story 3 I started to cry. This film was a carelessly thoughtful stoke of genius! It keeps both children and adults entertained. Lots of drama, lots suspense, and lots of toys! Disney and Pixar outdid themselves with this one. Toy Story was a smash hit when it first hit the screens. Toy Story 2, in my opinion, was not as good as its first installment but it was a film that almost never hit theaters so I'll give them the benefit of doubt. But Toy Story 3 set the bar ""to infinity and beyond!"" The VA cast was pheNOMenal. The visuals were stunning! The script was enjoyable! This movie reached all corners of film greatness (and its a kid's movie). I have no idea how Disney and Pixar knock out great movies like this (they make it look easy). I related to Andy in this film just as I did in Toy Story 3. The ending was so tough to watch without sniffling because if you watched Toy Story at around Andy's age during the time and you watch Toy Story 3 around Andy's age now (he was 17 and I am 22 and went through roughly the same hassle as he did when he was moving out for college), you would feel a wallop of emotion. Toy Story 3 is a MUST SEE. If you don't have children to take to go see this film then take friends who saw the first two films.",r
20,22 July 2010,SunshineMike,10, Just amazing,"After seeing Toy Story 1 and 2, they quickly became my favourite set of films ever and just last year when i heard there was going to be a 3rd, my heart immediately sank. As with sequels before, i thought it was going to be aimed at an entirely new audience, for the sake of profit and would squeeze the love i had for the series right out of it.",e
21,18 September 2010,itsacatchphrase,10, Blew me away,So I'm 26 and jaded. I most often hate the world and everything in it. Well that being said I absolutely lost myself watching this movie. I had seen the two before it as a kid growing up but I never felt so strong about them as I do with this one. I have spent the last couple weeks after seeing this movie spreading the word about how awesome it was. The theme is so universal that anyone despite their background or feelings can absolutely relate. We've all been to that place were we feel like we've been used and that were done with. The feeling as if we have nowhere to go or anyone to turn to. I really want everyone to experience the overwhelming feelings that boiled inside of me as this movie came to an end. The second the toys held hands at one point my face absolutely exploded and from there it didn't relent. Seriously I could not breathe it was almost to much. But its not. Go see it. Now.......................................what are you waiting for?,f
22,12 November 2010,savvas172007,10, Back to childhood with a masterpiece...,"I am now 20 years old and so, it was at the age of 7 when I first watched Toy Story. I found it amazing that the toys were alive and all the story was superb either. When I found out that a 3rd part was up to be released I had been dreaming of it all the time. So, I went to watch it. In the theatre there were parents with their kids and thankfully they were really quiet. When the film started with the narration of the ages that had passed, I felt so touched. During the film I was back in my childhood when everything seemed -and were- so easy and I was with no concerns. All the purity of that age came and hit me, although I knew that would happen. I admit that I first found the story average, but when the film was on I was enchanted. There were no thoughts in my mind. I was there watching a masterpiece that in my point of view can be truly appreciated by only us, those who matured since the first movie, but still carrying all the heroes into our hearts. I must admit that I was up to cry in several moments, especially when the toys were in fire and in the end. Leaving the cinema and though I cried -cause, yes, I did!- I was too happy. Entering the house I was singing the theme song...",_
23,20 June 2010,wainscoat-1,10," A wonderful movie in every single way, especially in the most important way.",I am 52 years old and have seen an embarrassingly huge amount of movies over the past 45+ years. Toy Story 3 is one of the best movies I have ever seen.,=
24,18 June 2010,bobsgrock,10," Wondrous, beautiful and something to remember.","From the looks of it, it seems Pixar will never go out of style nor will they make a mediocre or bad film. Once again, going back to that wonderful cast of characters we all love that includes the cowboy Woody, the spaceman Buzz Lightyear, as well as Jessie, Bullseye, Rex, Ham, Slinky and many more, Pixar doesn't just recycle old clichés and story lines. Rather, they use what they have already done and build upon that foundation to create a brand-new, exciting and fantastic adventure.",t
25,16 August 2014,petra_ste,9, Memento Mori,"Disney characters often face death, and yet death itself is usually an anomaly for them, a breach made by villainy in their happy worlds. Toy Story 3, however, might be the first major Hollywood animated feature more or less explicitly *about* death. The premise has the protagonists terrified by the prospect of their now seventeen-year-old owner Andy going to college and getting rid of them. They know they are running out of time: even when they end up as gifts in a daycare run by a dictator-like teddy bear and attempt to escape, the specter of the garbage bin looms over them. It's no coincidence the last act features escathological imagery like the hellish fire of the incinerator or the heavenly sky of the last shot.",t
26,18 October 2020,auuwws,10, Toy Story 3,Seeing Andy separated from the Toy that was crying It was best to finish the game's story series in Part Three,_
27,17 June 2010,rugles2,10, Pixar does it again,"As a 28 year old single female lawyer, i have always enjoyed Pixar's movies. I cannot label them as cartoons as there is nothing cartoonish about their stories; they have heart, meaning, feel-goodness with the right touch of class & humor. The formula is A1 yet without feeling overused.",u
28,22 June 2010,Fields201,10, The Box Office is Dominated by Toys,"Let me first start off by saying that this was my most anticipated movie of the summer. Not Ironman 2, not A-Team or Karate Kid, no it was Toy Story 3. Many of my friends laughed at me because I was going to see this movie with anticipation. I still maintained my dignity because, well, Toy Story was my favorite Pixar film and it was a good part of my childhood.",r
