Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,23 March 2018,notoriousCASK,10, This Is the End...,"Apocalypse now is not only the best war film ever made but it's also one of the best films of all time as it won the prestigious Palme d'Or at Cannes and it's constantly recognized as a benchmark in cinematic history. Based on the novel ""Hearts of darkness"" by Joseph Conrad this film is not so much about the Vietnam war, it is about war in general and serves as a deep study into the dark places of the human soul and how war can affect the individual. Apocalypse now depicts a timeless story about a universal human struggle, the duality of man, consisting of morality, the savage primordial instinct and what every person chooses to base his actions upon.",/
1,23 June 2004,Theo Robertson,10, My All Time Favourite Movie,I first saw APOCALYPSE NOW in 1985 when it was broadcast on British television for the first time . I was shell shocked after seeing this masterpiece and despite some close competition from the likes of FELLOWSHIP OF THE RING this movie still remains my all time favourite nearly 20 years after I first saw it ,r
2,22 January 2021,mark.waltz,10, The most anti-war pro-war film ever made.,"Coming out on the cusp of several other big award winning Vietnam war films (""Coming Home"" and ""The Deer Hunter"" which could not have been any more different), this is the most avant garde of them all. While another stack of Vietnam war films came out nearly a decade later, this is perhaps the most controversial. Unlike his son Charlie Sheen's character in ""Platoon"" Martin Sheen's captain here isn't just a recruit facing his own apocalypse from going into combat for the first time. He's experienced, trusted and smart, and that's just one of the reasons he's chosen for the special mission of going deep into the Vietnam jungle to take out one of his own, an American officer who seems to have defected, declared himself to be lord of that jungle and most likely incurably insane.",e
3,11 December 2008,Nazi_Fighter_David,9, Coppola conveyed the drama and spectacle of this truly outstanding film,"After the success of the first two 'Godfather' films in 1972 and 1974 respectively, Francis Ford Coppola embarked on an ambitious attempt to bring home the reality of the war in Vietnam, which had concluded with the fall of Saigon to the Vietcong in 1975 The plot was loosely based on the book 'Heart of Darkness,' a story by Joseph Conrad about Kurtz, a trading company agent in the African jungle who has acquired mysterious powers over the nativesCoppola retains much of this, including such details as the severed heads outside Kurtz's headquarters and his final words, ""The horror the horror"" ",v
4,12 February 2007,Hitchcoc,9, Take the long ride to perdition.,"There are films we watch because they are good, even though they are painful for us. This is a film I saw one time. At that time I thought to myself, this is enough. It was painful to make that journey down the river, wondering what was around every corner. Then we meet the products of our own id impulses, as we are the enemy, our souls have been brought down to this. At the end of the river is the man who came before us, and we see the uselessness of the journey. It is the Heart of Darkness. There are death masters like Robert Duvall. There are those who can only hope to survive, but the war is the master. The Doors music as the napalm settles gently on the treetops and across the ground, sweeps us up gently. Meanwhile it is consuming the flesh of the Vietnamese people, as well as an occasional American soldier. The ancient Romans could not envision peace without war. We and much of the world seem to have embraced those tenets put forth some two thousand years ago. This film gets into the marrow.",i
5,3 January 2018,surfisfun,10," skip Redux version, watch original first",Top 20 war movie,e
6,21 December 2004,jokeco68,10," In my opinion, Coppola's best work","My favourite movie of all time. This was a flawed piece of work by Coppola and seeing the documentary 'Heart of Darkness' made it even more compelling. Coppola at this point was king of Hollywood after making 'the Godfather' and 'GodfatherII' and had developed the ego necessary to even dare try to make a movie like 'Apocalypse Now'. Through sheer arrogance he went to the Phillipines with a partial script and thought he would know what he would do when he got there. Just as Captain Willard thought he would know what to do once he got to Col. Kurtz's compound. And just like Willard, he DIDN'T know what he was going to do once he got there. This is such a masterpiece of American cinema, beautifully photographed and the river is such a perfect metaphor and backdrop for the story. What I like most about 'Apocalypse Now' is that it offers no answers or conclusions. Consequently, because of this open-endedness, it infuriates some viewers who like their movies to be much more obvious. ",w
7,6 January 2000,Quinoa1984,10, In my top five favorite films ever made,"Apocalypse Now is not only my personal favorite work by Francis Ford Coppolla, it's also one of the great visions ever put onto cinema. It makes what was horrific, strange, and ironically exciting and mysterious about the Vietnam War into this mad tale of obsession, death, loss, and the dark side of humanity. While the stories behind the production of the film made it notorious and rather risky back in 1979, it works on its own terms and represents not just Coppola's genius but others in the Zoetrope team as well. It also paints a sometimes lurid, ultra-violent, bleak and curious view of what war does to people, both in the lower ranks, the big-guns, and those who go too far ""up the river"".",/
8,4 October 2004,FilmOtaku,8, The horror. The horror,"'Apocalypse Now Redux', Francis Ford Coppola's war opus is probably the most beautiful war film I have ever seen. Capt. Benjamin Willard (Martin Sheen) is a Vietnam soldier who is tapped to head a very dangerous and highly classified mission into Cambodia to 'terminate the position' of Col. Kurtz (Marlon Brando), a highly ranked and highly regarded army man who seemingly has gone completely insane and defected from the army, setting up his own little society and helped by a cultish following of soldiers. Escorting him up the river to Cambodia is a handful of navy men, and along the way, they encounter several interesting people (most notably is Robert Duvall's Kilgore, a badass lieutenant colonel with a few screws loose) and some horrifying situations. ",r
9,16 December 2022,Xstal,9," War, What is it Good For...","Colonel Kurtz has disappeared within the jungle, with his troupe of fighting fiends ready to rumble, you've been tasked to take him out, but first you have to search and scout, along a river where the residents are disgruntled (to put it mildly). Lots of bloodshed, bullets, ballistics, then flow, there's napalm too that conjures up impressive glow, many lives are lost and taken, in this hell where you're forsaken, but don't ask why, because nobody really knows.",w
