Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,27 June 2008,Smells_Like_Cheese,10, Honestly? This is the best Disney/Pixar movie I have seen,"I'm starting to wonder if there is bad Disney/Pixar film, I mean, normally when we think of the combo, it does equal gold, we automatically know that everyone is going to love this movie, it's just a matter of comparison to the other animation films. I'm not just saying this because I had a good time when I was watching this, I'm very serious, this is my favorite Disney/Pixar film. It's completely worth the ticket price, this couldn't have been a more perfect film. Everything about WALL·E is just beyond great: the characters, the story, and the incredible animation. But the thing that I loved about WALL·E is it's message, I know that it does go a little over board with the ""jog or get fat"", ""throw your garbage away"", and the ""we've become too dependent on machines"" message, but I felt this was the most charming way to present it to the children who have to grow up in a world where they're going to have to worry about global warming, this may open their eyes a little.",/
1,1 December 2009,TheLittleSongbird,9, Simply amazing!,"I heard mixed reviews on WALL-E, there were those who said it was magical, and those who said it was one of the most overrated movies ever. I will say I loved this movie, it is a truly beautiful movie. It could have done with being a tad longer perhaps, but essentially this is more than a movie with A List vocal talents, WALL-E has genuine heart and will definitely enchant children and any Pixar fan. All I will say is that I am sorry it took me such a long time to see it, I will admit I was differing whether I should see it or not. But I am glad I did. The animation is simply incredible, the whole film is wonderful to look at. The whole movie is done in a very sophisticated visual style, and the bright colours and sublime backgrounds were a delight to the eyes. The music is stunning, the orchestral themes are gorgeous but the song from Hello Dolly! was great and fitted in with the story well. Speaking of the story, it may seem thin to some, but it is a very simple heart warming one all the same with depth and poignancy. There are some very imaginative moments, such as the zero-gravity dance and the ride through space. The voice cast that includes Fred Willard, Sigourney Weaver and Pixar regular John Ratzenburger did an exceptional job, and all the characters were endearing. What made the movie was WALL-E himself, he has to be one of the most lovable and in-depth Pixar characters ever, and the writers create a very haunting atmosphere in the early scenes to match our little hero's isolation. All in all, brilliant, quite possibly one of the best films of 2008. 9.5/10 Bethany Cox",r
2,5 July 2008,seaview1,9, WALL-E Brings Pathos to Computer Animation,"Pixar has produced some of the best animation in the past decade with its computer-generated features (Toy Story, Monsters Inc., and Finding Nemo) that have been marked by strong story lines and vivid characters. The tradition continues in an impressive way with Wall-E. This deceptively simple tale is transformed by the emotional content told almost entirely through visuals. ",e
3,27 June 2008,buiredintime,10," Not only great, but a new plateau in animation","I can't say enough about how good this movie, that you probably haven't read, so I'm going to keep this short.",v
4,11 October 2020,Sethtro,10, A timeless masterpiece,Personal Rating: 10/10 (Outstanding),i
5,8 June 2008,DrWetter,10, Pixar does it again!,"I just returned from an advanced benefit screening of WALL*E, and I want to be careful not to spill too much regarding the movie. I had the added privilege of watching the film at Pixar, which in and of itself, was amazing.",e
6,8 December 2008,claudio_carvalho,10, Wonderful Message,"In the Twentieth-Eighth Century, Earth is completely depleted and with the ecological system destroyed. The powerful corporation Buy N Large builds a huge spacecraft called Axiom and sends the entire civilization for a five-year cruise while trash collector robots called WALL-E (Waste Allocator Load Lifter  Earth) would clean the planet. However, the equipment fail and seven-hundred year later, only a single robot WALL-E is performing his duty. His only companion is a cockroach and his great entertainment is watching an old ""Hello Dolly"" videotape. When a spaceship lands on Earth out of the blue and leaves the probe Eve, WALL-E follows her and falls in love for Eve. After a hostile initial contact, the dangerous Eve gets close to WALL-E and he gives a small plant to her. Eve gets the plant and automatically sends a signal to the spaceship that returns and takes Eve back. However, the desperate WALL-E grabs on the hull and travels through the space chasing Eve until they reach Axiom and find a full automated facility crowded by lazy and fat human beings unable even of walking with their legs. The expectation of life on Earth brings hope to the Captain against the will and prime direction of the auto-pilot that organizes a mutiny on board.",w
7,29 June 2008,jedi-jones,10, An A+ for Wall-E! One of the best movies this century!,"Wall-E is the movie experience I've been looking for. I haven't seen a new film this richly entertaining, thrilling, touching and satisfying since Spider-Man 2. It is truly the finest Pixar or animated CGI film to date. I can discuss it without spoilers easily because it's one of those films, like 2001: A Space Odyssey, that exists more as a pure experience of the heart and the senses than as a collection of events that we're supposed to keep track of intellectually. Wall-E rises above that kind of unnecessary complication into the same kind of space occupied by dreams and the imagination.",/
8,25 June 2008,jaredmobarak,8, Define dancingWall-E,"Robots falling in love. There is a lot to like about the new Pixar film Wall-E. The animation goes without sayingbetter than anything out there. The glares, the environments, everything is rendered spectacularly, right down to the flame of a Zippo lighter. As for the story, leave it to these wizards for creating a tale that hits on a gut level, letting our simplest emotions come to the surface in order speak to our hearts and souls. With fewer words than Arnold Swartzenegger had to speak in Terminator 2, this movie relies on its visuals and on the movements and actions of the characters. It is appropriate that we are shown clips from older musicals to show humanity before Earth was abandoned. If we harken back to them for the joys of people, why not go to silent era style in order to portray communication between beings that cannot speak? Wall-E, his crush EVE, and all the other robots involved can say little than their name, however, we understand exactly what they mean throughout. The entire film speaks on a level that most people might have forgotten. In an age of Hollywood spoon-feeding the masses by having actors preach the obvious, Pixar has shown their originality again by getting an audience to partake in a film that makes them pay attention and work a little; something that the message of the piece is trying to have come across for humanity in general.",r
9,7 June 2008,CA_movie_fan,10, Pixar's still producing the best movies out there,"We went to the San Francisco Film Institute's first public screening at their campus in Emeryville. Everyone's sworn to secrecy, but for a film with little dialog, it carries more of an emotional punch and has a richer story than any live-action movie this year. The tone and style of the film is completely different for Pixar, and Disney haven't tried to override the darker thematic elements at all, making the story surprisingly three-dimensional.",w
