Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,11 January 2003,OttoVonB,10," ""Only when he learned he would die did he start to live!""","Ikiru (""to live"")is a Kurosawa film devoid of samurai or Toshiro Mifune. It is an oddity in his canon, neither an adaptation, nor an epic, or even a detective story. Instead, it is the simple and touching story of the last months of the life of a man, Watanabbe, public official, who decides to give a meaning to his life by transcending the obtuse and stiff mind of government bureaucracy to get a small public children's park built. As a parable for the soulless workings of modern bureaucracy, the goal is set pretty high, and Kurosawa goes even further, giving this story a lot of character, frequent humor, life and, most of all, heart. And going beyond the strengths of the direction and script, is the central performance by Takashi Shimura (later Kambei in Seven Samurai). Shimura gives his character such a transparently good heart and such great pain that every second of Watanabe's plight and struggle tugs at your heart, not in an overwhelmingly sentimental manner, but in one than feels honest and pure. If even many hardened souls will be drawn to tears, it is not for pity, but, admirably, because of envy for Watanabe's beautiful human dignity in the end, and for a film to have such power is beyond pure accomplishment, as the need to see this and, more importantly, feel it, goes beyond pure necessity...",/
1,19 May 2004,Quinoa1984,10," a cinematic experience that's a near-nexus of existentialism- life, living, dying, death, and can be done while alive- remarkable","Akira Kurosawa knew how to get in touch with human nature through his art. With his visual expressiveness and storytelling, he could pierce through his subjects, even in his big and occasionally comical samurai films, and find the elemental things do work. What he probably learned off of Rashomon probably helped out with Ikiru (To Live), a story of an old man who finds out he will die within a year, as both stories deal with perceptions of the significance of a life spent and a life wasted. Though that was to a different degree in Rashomon, with Ikiru Kurosawa expands into full-on existentialism. ",r
2,12 October 2009,Hitchcoc,9," The Older You Get, the More It Means","I too have seen all the Samurai films. It was gratifying to watch this tender little film. How would we act if we knew when the end was coming? There are so many terrifying and tender moments in this film. The scenes with the young office mate went from charming to cold-- we knew there was no more than companionship, but she can't really even give him that anymore. The scene when he is about to tell his son about his condition and the young man goes off on a rant about how embarrassingly his father has been acting actually brought me to tears. Of course, it's the price he pays for his cold distance all those years. Then there's the whole bureaucratic nightmare of the office. Even at the wake they don't want to give credit. All the buck passers want a share of his legacy. Maybe families who are living on the edge should watch this movie. Even after more than 50 years, it wears extremely well.",e
3,16 December 2004,The_Void,8, Complex and thought-provoking masterpiece,"Ikiru is a film about life. Constantly complex and thought-provoking, although simple at the same time; it tells a story about life's limits, how we perceive life and the fact that life is short and not to be wasted. Our hero is Kanji Watanabe, the most unlikely 'hero' of all time. He works in a dreary city office, where nothing happens and it's all very meaningless. Watanabe is particularly boring, which has lead to him being nicknamed 'The Mummy' by a fellow worker. He later learns that he is dying from stomach cancer and that he only has six months to live. But Watanabe has been dead for thirty years, and now that he's learned that his life has a limit; it's time for Watanabe to escape his dreary life and finally start living. What follows is probably the most thoughtful analysis of life ever filmed.",v
4,2 February 2017,lee_eisenberg,10," death exposes life and bureaucracy, showing why Kurosawa was one of the greatest","Any film buff is bound to have heard of Akira Kurosawa, and likely knows his most famous movies (""Rashomon"", ""Seven Samurai"", etc). But there's a lesser known one that's just as good. 1952's ""Ikiru"" focuses on the approaching death of government bureaucrat Kanji Watanabe, and how it turns into a quest for his life's meaning. After an introduction in which the protagonist's cancer gets addressed - complete with an X ray of it - we see a sequence where several people try to bring attention to a cesspool that they want cleared, but the sheer level of bureaucracy prevents any action (and Japan is supposed to be the most well run country in the world). But probably the most important scene is at the Watanabe's wake. The attendees are supposed to praise him, but one person addresses an unpleasant topic and gets chastised by his peers. Even as these men vow to live their lives with the same dedication that the deceased did, it's clear that the bureaucracy will continue to plague their lives.",i
5,11 June 2004,Serge_Zehnder,10, To Live in Death,"Probably one of the most difficult aspects a film like ""Ikiru"" has to overcome is the very rough march of time. To actually find someone these days, let's say a crowd of regular movie-goers to sit down and watch a film about an old Japanese man dying of cancer would be too much to ask.",e
6,21 October 2002,will_butler,10, The most moving and human film I have ever seen.,"I can safely say that I have seen no finer film than Kurosawa's true masterpiece, Ikiru.  The story of a dying petty bureaucrat in 1950's Japan, Ikiru is as uncompromisingly honest and beautiful a film as has ever been made on the subject of life.  Kurosawa elevates a story that could have been simple melodrama to the level of masterwork with a genuine love of his characters, and with an incredible technical direction.  The film's structure accentuates and deepens its many, many lessons on life, and the performances, including a heartbreakingly earnest turn by Shimura are all flawless.",w
7,17 June 2012,TheLittleSongbird,10, Kurasawa's most moving film,"As a great fan of Akira Kurasawa, Ikiru is not just Kurasawa's most moving film it is one of his very finest alongside Seven Samurai and Ran. It is as always beautifully made, sumptuous in look and the cinematography simple yet interesting. Kurasawa's direction is at its most delicate, making a story that could easily be mawkish and manipulative into a genuinely moving, powerful and quite inspiring one instead, and making us also care every step of the way for the dignified central character of Watanabe. Together with a hypnotic score, a thought-provoking script and a powerful, yet in a discreet and heart-wrenching way, lead performance from Takeshi Shimura, and you have a fantastic film.",/
8,29 December 2016,grantss,10, Truly a masterpiece,"Kanji Watanabe is a civil servant. He has worked in the same department for 30 years. His life is pretty boring and monotonous, though he once used to have passion and drive. Then one day he discovers that he has stomach cancer and has less than a year to live. After the initial depression he sets about living for the first time in over 20 years. Then he realises that his limited time left is not just for living life to the full but to leave something meaningful behind...",r
9,30 June 2005,planktonrules,9, An incredibly well-written and acted story about the meaning of life,"The main character, so ably played in this movie, is an older bureaucrat whose life has little, if any, significance. After 30 years on the job, he has little to show for himself. This becomes very apparent once he finds out that he is dying from stomach cancer and has only months to live.",w
