Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,15 May 2020,Her-Excellency,9," I love, Love, LOVE this film.","Not only is the acting fantastic, but every single one of the stories paints a picture of each of us at our most gloriously, base, human-like moments.",/
1,11 February 2018,gogoschka-1,8, The Edge Of Reason,"Hilarious and very, very black comedy consisting of six episodes about people who get driven to the edge of reason (and a little beyond). The acting and writing in this gem from Argentina are superb, and the beautifully photographed segments keep you thrilled and unable to guess just what crazy turn they will take next. A wonderful joy of a film for film lovers with a rather twisted sense of humor. 8 stars out of 10.",r
2,20 July 2018,perica-43151,10, Brilliant,"Perhaps the best omnibus dark comedy ever made. This movie is funny, it explores some of the darker parts of humanity but it does so with so much wit and intelligence. It was a great hit in South America, and understandably so. Despite dark and cynical take on the human condition, the movie is lighthearted and highly watchable, and uncompromisingly original.",e
3,21 May 2015,ahegde3149,8, Big things have small beginnings,"Never watched any Argentine/Spanish film before. Actually, the number of foreign language (ie. other than English and Hindi) films I have watched till date is not even two digit. Still, this movie was mind-blowing!! Wild Tales, is a package of 6 short films which are dark and explosive comedies. All of them has the theme of revenge strikingly common and each one of them is unique and funny in its own way. Each one of them puts forth wild yet realistic situations. The first short story is the shortest of them and is shown pre-credits.Its story of a psych who is not even seen on the screen who makes revenge plan which ends on a bang giving us an overly wild ending. The second film slightly more dark and longer, will make you think before deciding what is right and what is wrong. Third one even longer, is my favorite alongside the fourth. Its violent and brutally hilarious with explosive ending(literally). The fourth one sheds light on realistic situation of a common man troubled by the abusive government system. Another explosion in the climax(again literally)! The fifth slightly less on humor quotient but portrays the human characteristic of greed perfectly. Its darker and has a shocking finale! Th last one, longest and wildest of them all will take you to one of the craziest weddings you have ever seen. Beneath its madness it subtly touches upon the issues of trust and betrayals in human relations.",v
4,12 March 2015,ferguson-6,8," Rage and Revenge, Guilty Laughter","Greetings again from the darkness. Do you often get accused of having a slightly demented sense of humor? Do you have secret crazy thoughts of seeking revenge on those who have wronged you? If so, writer/director Damian Szifron has a collection of short stories just for you!",i
5,25 August 2014,patrickfile,10, Too much fun and human darkness for one day.,Watched last night at the theater with my girlfriend.,e
6,17 March 2015,twilliams76,8, Wildly thrilling. Wildly fun. Wildly original.,This Argentine film that found itself nominated for the 2014 Best Foreign Language Film Academy Award comes to us from director Damián Szifrón who has crafted a feature film comprised of a series of 6 vignettes/small stories about human beings from all walks of (Argentine) life who are all tested and taken to their limits ... until they finally lose control. While mostly disastrous the film is also WILDly thrilling and wholly original in its daring cheekiness ... as the film is a bitter dark comedy (with tinges of brutal drama).,w
7,5 January 2016,SnoopyStyle,8, six good stories,"These are six wild tales. (1) Various strangers board a plane and find they all know Gabriel Pasternak. (2) An arrogant man walks into a desolate diner. The waitress recognizes him as the loan shark who drove her father to commit suicide. The cook pushes her to put rat poison in the food. (3) A city guy in a nice car gets into an escalating fight with a brute in an old rundown car on a desert highway. (4) A demolition expert gets his car towed. He tries to fight the system which spiral out of control. (5) A young man is in a hit-and-run which kills a pregnant woman. His family hires the gardener to take the criminal charge in exchange for a large payout. (6) At her wedding party, Romina uncovers her groom Ariel had cheated on her. This sends her on a downward spiral.",/
8,19 July 2015,lee_eisenberg,10, animals of the human world,"Damián Szifron's ""Relatos salvajes"" (""Wild Tales"" in English) features a couple of stories focusing on people who want revenge and use violence to achieve their ends. The best vignette is the one starring Ricardo Darín as a man intent on not paying his parking tickets.",r
9,12 October 2014,Blue-Grotto,10, Time does not heal all wounds.,"Time does not heal all wounds. One thing leads to another in six outrageous, hilarious and extreme stories of revenge. A jilted and emotionally volatile bride wreaks havoc at her wedding with an equally unstable new husband, a towing company hauls away one too many times the vehicle belonging an explosive expert, and two macho drivers – one in an Audi and the other in a pile of junk – go head to head with explosive road rage, among other delicious and fiery adventures. The utmost fantasies fulfilled, the extremes of emotions, and the riot of laughter that engulfed me from all sides, I cannot remember having such a good time watching a film. The director, who answered questions at the 2014 Toronto International Film Festival, said the film is about the pleasure of losing control and giving in to unrestrained passions. Is it ever!",w
10,29 September 2014,abisio,10," Very dark, very funny, extremely realistic","Wild Tales (Relatos Salvajes) is perhaps the darkest and funniest movie I saw in years; but is it really a comedy ?. No it is not. Six tales about human that are obviously related to the Argentinian reality (abusive government, corruption, people indifference) but certainly can be applied to many other countries in the world; USA included.",4
11,3 January 2015,maurice_yacowar,10, Six stories of frustration leading to joyous revenge,"The Spanish title is more apt: Savage Tales. Six short stories show various ways in which savagery persists in the highest levels of civilization. The titles appear against a montage of wild animals. The twist is that here the savagery is celebrated not rued. Where civilization was supposed to free us from savagery, as in the American Western, here the savagery liberates the characters from their civilization. As director Damian Szifron told the Palm Springs festival audience, ""The theme is the pleasure of losing control. Releasing the beast.""",4
12,17 May 2015,claudio_carvalho,7, Six Black Comedies,"""Relatos Salvajes"" is a black comedy film divided in six segments. ",1
