Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,17 April 2019,TheLittleSongbird,10, A question of taste,"A number of interest points here. A brilliant premise. Material that was daring at the time, that one is amazed at what it got away with even if some of it may be an acquired taste. That it was the final film of the lovely Carole Lombard, who died far too young in a plane crash not long after with much more to give. And that it was directed by Ernst Lubitsch, a personal favourite of mine who had one of the most distinctive directing styles for any director often cited as ""the Lubtisch touch"".",/
1,20 December 2013,gogoschka-1,10, The Nazis have never been mocked better,Comedies rarely stand the test of time - this one does: one of the funniest films I have ever seen.,r
2,27 December 2018,littlemartinarocena,10, An Immortal Comedy,"I'm not sure how many time I've seen it but it doesn't matter. Every time is like the first time. Carole Lombard in her last film before her untimely death is not just beautiful and impossibly funny but modern, profoundly modern. A performance that will still be relevant a hundred years from now. Jack Benny is perfect in what must be his very best film. Robert Stack, beautifully wooden, as usual, reports to duty with a delicious Lubitsch touch. As if all this wasn't enough, this film was made in 1942 and that in itself will give film lovers and historians a lot to tal;k about for centuries to come.",e
3,25 June 2019,ElMaruecan82,8," Fiction can make fun of reality, that's the revenge of reason over barbarity...","""To Be or Not To Be"" doesn't trivialize the barbarity of the Nazi regime as much as it ennobles art and gives an aura of metaphysical importance to laughter, as the main characteristic of the reasonable person. It's precisely because Ernst Lubitsch could laugh at the Nazism that one shouldn't underestimate the sadness and terror that devoured his soul. One could say the same about Chaplin's ""Great Dictator"", more focused on the inner heroism of the little people while Lubitsch' movie is a love letter to artists, and the work of a true one.",v
4,17 June 2019,FrenchEddieFelson,9, An indecent masterpiece,As ,i
5,18 June 2019,alansabljakovic-39044,8, Well made,"Great comedy like Chaplin's Great Dictator, right in the middle of ww2 making fun of Hitler is amazing. Humor is so good on every level and I wish it was longer movie. Anyway, this is one entertaining and enjoyable movie if you aren't a Nazi.",e
6,4 June 2017,howard.schumann,9, Skewers the Nazi cause as effectively as Casablanca,"In celebrating the 75th anniversary of the release of Casablanca, it is easy to overlook another anti-Nazi film, Ernst Lubitsch's ""screwball"" comedy To Be or Not To Be, a film that skewered the Nazi cause with equal effectiveness. While not as dramatic or filled with memorable lines and patriotic songs, To Be or Not To Be, like Casablanca, the film features two main Hollywood stars, Carole Lombard and Jack Benny and a love triangle in which romance must be subordinate to a greater cause. Set in Poland just before the German invasion of September 1, 1939, the film opens as a mustachioed man bearing a close resemblance to German Chancellor Adolf Hitler is seen walking alone in the streets of Warsaw.",w
7,20 November 2005,Balthazar-5,10, One of the great romantic/satirical comedies of all time,"There is a famous review of this film by the late Sunday Times critic, Dilys Powell which begins 'Is the joke funny?'... what Miss Powell was getting at was that, given the horror of the Holocaust, it is appropriate to laugh at the Nazis. The answer is, ultimately, irrelevant to the viewing of this modest masterpiece.",/
8,18 April 2018,classicsoncall,7," ""Wait a minute. I'll decide with whom my wife is gonna have dinner and who she's gonna kill!""","I was genuinely shocked when the movie began to see Jack Benny in a Nazi uniform and thought how inappropriate that casting decision was, right until it was revealed he was taking part in a documentary on Nazi Germany. So with a sigh of relief, I settled back to enjoy this humorous treatment with Carole Lombard portraying Benny's wife as the couple, Joseph and Maria Tura, became part of the Polish underground in 1939 Warsaw, right on the brink of World War II. I always wonder how films like this might have been received by audiences of the time, realizing that war was imminent, and whether or not the viewing public had reservations about seeing a film treating such a serious topic with humor. In director Ernst Lubitsch's case, he handled the issue with a unique balance of political satire, romance, slapstick and wartime suspense, and if anything, the picture might be even better received today than back in the era in which it was made.",r
9,12 November 2005,theowinthrop,10, Swan Song in Warsaw,"In 1940 the American public was shocked when Charlie Chaplin released his first all talkie movie THE GREAT DICTATOR, in which he lampooned Adolf Hitler and Benito Mussolini. Despite the new European war, we were yet still at peace with both Axis states. Hollywood, with rare exceptions (BLOCKADE, CONFESSIONS OF A NAZI SPY, ESCAPE) had been gingerly tackling the Nazis and Fascists. Yet public reaction to THE GREAT DICTATOR was odd. It had a big box office success, and yet many were appalled because it chose to say Hitler could be laughed at. Chaplin's response was that if he had been laughed at to begin with he would never have become such a threat.",w
