Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,4 February 2020,Sleepin_Dragon,10, One of the best films ever made.,"So often when you think of sequels you imagine cynical attempts to cash in on successful movies, efforts to bring in the coins with any old rubbish, when you think of the likes of Police Academy, Halloween and Jaws you can understand why, and then there is Aliens......",/
1,7 February 2005,BrandtSponseller,10, Excellent sequel--matches the brilliance of the first film,Series note: It is strongly advised that you watch this film only after seeing Alien (1979). This is a direct continuation of that story.,r
2,13 February 2018,ivo-cobra8,10, A masterpiece - one of the best epic-action films of all time my personal favorite,"Aliens (1986) is the best Epic Sci-Fi Classic Action Movie of all time and one of my personal favorite best action sci-fi flicks that I love to death. Just like I love The Terminator and T2, I love this movie to death. James Cameron's classic masterpiece. The now classic science fiction film was only the third feature directed by James Cameron (following Piranha Part Two, The Terminator). It is the sequel to the 1979 film Alien and Alien is a masterpiece I love that film, but I love this movie more sorry this is my personal opinion this is my movie. I am not saying it is better than the original movie but it is right up there with Alien a real classic. ",e
3,28 April 2021,Fella_shibby,8," Action, horror n science fiction combined in an amazing way.",I first saw this in the late 80s on a vhs.,v
4,15 June 1999,baumer,10, James Cameron and Bill Paxton at their finest,"There are really good movies and then there's that select few that change your life.  For me movies like Jaws, Raiders of the Lost Ark, JFK, Titanic and Star Wars did that.  By viewing a movie you see life in a different light.  Aliens also did that to me.  I didn't think a movie could scare me as much as Halloween did but this one certainly did that and more.  The atmosphere in this movie, and the lighting and cinematography and of course the direction are top notch, and some of the scenes are some of the scariest I've seen in my life time.  But what puts this movie over the top as one of the all time greatest films ever made is the casting.",i
5,31 August 2005,Derek237,10, One of the most thrilling films ever- special edition highly recommended,"James Cameron is an extremely talented action director because not only does he know great action, but he always backs the action up with a great story and interesting characters. Aliens is his finest achievement, as far as I'm concerned. Of course, I should specify: Aliens Special Edition is his finest achievement.",e
6,8 December 2004,carflo,10, Gets better every time I see it,"I am just going to add my voice to the chorus of praise for this movie. It is as near to being perfect as any I have ever seen. I will not say that it is much better than Alien - which is just about near to being perfect also. But I do love all the characters in this movie. I have rarely seen a movie where all the characters were so well developed. Even most serious dramas seldom develops each character so completely. None of these characters are stereotypes even Paul Reiser as Burke, although the slimy company/government man villain is a prerequisite in disaster type movies. I would almost say that my favorite is Michael Beihn as Hicks, just because I like his work & consider him to be underrated. But I also like Lance Henriksen as Bishop, William Hope as Lt. Gorman, Bill Paxton as Hudson, and of course, Jenette Goldstein as Vasquez. I liked all of these characters. I cared about their lives & deaths. The final scene for Gorman & Vasquez still chokes me up after seeing it many times. ",w
7,7 September 2020,IMDbKeepsDeletingMyReviews,9," This is how it's done, you morons","Welcome to 1986, where they had diverse AND well-written characters in what has to be one of the best Sci-Fi Action films of all time: ALIENS.",/
8,3 September 2020,mark.waltz,10, Who could believe that a sequel could top an already modern classic?,"While Ridley Scott did not return as director, they got someone to take the reins that seems to have proven in teeny tiny ways that he was capable of the job, a man named James Cameron. This film is better (which isn't an easy task considering how good ""Alien"" was) simply because more care is put into the creation of the characters. Sigourney Weaver returns as Ripley, and this time, she gets more dialogue to express who she is underneath the rather sheltered heroin from the first film. She has not given dialog just to hear Sigourney Weaver speak, because this dialogue really expresses the lessons that she has learned through the events of the first film, and how secrets of her personal life impacted the way she was as a human.",r
9,17 March 2015,Leofwine_draca,10, All-time classic; one of the greatest films ever made,"What more can be said that hasn't been said before about one of the greatest movies of our time? One of Jim Cameron's top three films, this is by far the best of the ALIEN saga, an endlessly rewatchable piece of classic action cinema which can best be described as ""Vietnam in space"". The alien is back and has multiplied, so now we have the now-classic action premise of ""group of marines vs. invincible enemy"".",w
10,12 October 2013,SnoopyStyle,9, Great follow up,It's 57 years after the first movie. Ellen Ripley (Sigourney Weaver) has been lost in cryogenic sleep until she's discovered by a deep salvage team. She's asked to return to the planet to investigate why the colony there has lost all communication. She and a team of space marines must battle the aliens in an all out fight.,2
11,12 February 2020,one9eighty,10," In space, nobody can hear you s**t your pants","57 years ago Ellen Ripley (Sigourney Weaver) was part of the Nostromo spaceship's crew that encountered a terrifying alien, as the last remaining member of the crew she has drifted through space in hyper sleep. Awake and alive nobody believes her, so she is asked upon to support a Colonial Marine outfit as they go back to Moon LV-426 - a now colonized moon where the original Alien came from. They have recently gone dark and potentially abandoned the moon, and the authorities want to know why. The Colonial Marines are outfitted with state of the art warfare machinery and an arsenal to potentially deal with any threat.",0
