Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,10 December 2016,Leofwine_draca,10," A stone cold, 100% gangster classic","Words alone cannot express how much I love this movie. The first time I saw it, it blew me away. When I watched it again recently it hadn't lost any of its impact. SCARFACE is, quite simply, one of the best films in the ""gangster"" genre that there is, if not the best. The simple tale tells of Tony Montana's journey from being a lowly refugee, to working in a cheap mobile café, to working for a drug lord's assistant, to working for a drug lord, to becoming a drug lord and then losing everything due to his own mistakes.",/
1,19 December 2005,Aditya_Gokhale,10," ""You wanna play rough?? OKAY!""","""Scarface"" has a major cult following even now, 22 years after its release.",r
2,12 September 2004,akpiggott,9, Exceed to Excess,"Every great gangster movie has under-currents of human drama. Don't expect an emotional story of guilt, retribution and despair from ""Scarface"". This is a tale of ferocious greed, corruption, and power. The darker side of the fabled ""American Dream"".",e
3,28 January 2007,TruPretender,10, The Real Scarface.,"""A Classic is something that everybody wants to have read but nobody wants to read. A classic is also something that everyone praises but no one has read."" -Mark Twain",v
4,21 February 2016,ankitbbd,9, Al Pacino made it unforgettable,"Scarface is surely one of the best crime movie ever made.Al Pacino's performance as a sharp minded,angry,dangerous and powerful criminal is phenomenal.Al Pacino is playing a character which is brutal,angry,fearless and at the same time has love for his sister. Although movie is 2 hours and 50 mins long,but you will not find any dull moment in the movie.Alhough Al Pacino is playing a drug dealer but you will still like him as a person.",i
5,22 June 2003,lambiepie-2,10, The 80's and how not to live them...,"Ya know when one looks at this Brian DePalma film today, I'm sure there has been a lot of criticism about how dated it is. Also, about the violence. When I looked at this film on VHS when I was 20, I thought it was ulta-violent and gritty as well. But I didn't get 'it'.",e
6,30 June 2001,jhclues,8, Dynamic Performance by Pacino,"In 1983, Director Brian De Palma set out to make a film about the rise and fall of an American gangster, and that he did-- with the help of a terrific screenplay by Oliver Stone and some impeccable work by an outstanding cast. The result was `Scarface,' starring Al Pacino in one of his most memorable roles.  The story begins in May of 1980, when Castro opened the harbor at Mariel, Cuba, to allow Cuban nationals to join their families in the United States.  125,000 left Cuba at that time, for the greener pastures of freedom in America, and most were honest, hard-working people, thankful for the opportunity they had been granted.  But not all.  Among the `Marielitos' who streamed into Florida, approximately 25,000 had criminal records and were nothing less than the dregs of Cuba's jails-- criminals considered beyond redemption, who Castro had merely wanted to be rid of.  And they, too, saw America as a land of opportunity, even as Al Capone had considered Chicago some fifty years earlier.  And among the most ambitious was a man named Tony Montana (Pacino), known to his associates as `Caracortada.' Scarface.",w
7,6 February 2011,murtaza_mma,9, A Potpourri of Vestiges Review: Pacino gives a heart-wrenching performance as the modern-day Macbeth,"Brian De Palma's Scarface depicts cinema at its most macabre, and not for a second does Stone's cut-throat screenplay go awry in its unforgiving attempt to limn the naked reality associated with drug mafia and the kingpins who govern it. Brian De Palma's unquenchable thirst to mimic the gore reality on the celluloid didn't go well with the MPAA, which rated even the highly censored third cut of the movie as 'X'. Brian De Palma and the producer Martin Bergman arranged a hearing with the MPAA and roped in a panel of experts including some narcotics officers, who testified the movie's verisimilitude to the conditions prevalent in the drug underworld. Their testimonies greatly convinced the members of the rating board, who eventually condescended to give an 'R' rating to the aforesaid third cut of the movie. Brian De Palma used the pervasive kerfuffle as a subterfuge to release the unedited original version of the movie instead of the curtailed one and kept this fact surreptitious for months until the movie was released on videocassettes. ",/
8,17 September 2011,Arcturus1980,10, My favorite crime film,"They improved on greatness for this remake of Howard Hawks' 1932 film of the same name. To my mind, this is more than a crime doesn't pay morality tale, just as Al Pacino's Tony Montana is an anti-villain rather than an anti-hero. This is deep filmmaking not to be dismissed in so superficial and parochial a manner.",r
9,24 May 2020,kosmasp,10, Say hello to my little friend,"One of the most recognized quote from a movie ever. Even to those who haven't seen the movie. It's sort of Pacinos equivalent to De Niro ""You talkin to me?"" scene from Taxi Driver. Not comparing those movies of course. If you want to compare movies, you could compare this to the 30s original with Paul Muni. A movie that Pacino watched in a cinema and made him want this movie. Made him want to be as mesmerizing and have a powerful role. Add Oliver Stone and others to make this happen and you have an amazing movie.",w
10,14 July 2008,alexkolokotronis,10," Loved, But For The Wrong Reasons","Many people like this movie and many more love it, but it seems that it is all for the wrong reasons. Scarface should be liked and loved but not in the way it has been or is.",1
