Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,24 February 2016,Leofwine_draca,10, Pure action spectacle,"MAD MAX: FURY ROAD is the finest piece of pure action spectacle that I've watched since THE RAID 2 and JOHN WICK. It feels like the MAD MAX film that George Miller always wanted to make, and in many ways it's a virtual remake of MAD MAX 2: THE ROAD WARRIOR, except with a grossly inflated budget and CGI effects used to enhance rather than dominate. Now, I love THE ROAD WARRIOR and always will, but MAD MAX: FURY ROAD truly is an action film for our times.",/
1,3 October 2015,ivo-cobra8,10, Finally yes Finally I have seen a good Action Film from 2015. Mad Max: Fury Road is the finest blockbuster of 2015!,"When I wrote this review 3 years ago I had no idea how many people hate this movie and they are preferring Mad Max 3 over this film. Claming Mad Max Beyond Thunderdome the third film is better film than this, really? Better than this? Listen folks it has no Mel Gibson so what? So what's your point? Gibson dropped out this film and he wasn't interested, it was in development for years, since in 2004 this movie was announced. George Miller did something different with this film and he got hate for it. I hate Mad Max Beyond Thunderdome to death! It is rated PG-13 family film and I wanted an action bloody rated R film not a boring stupid lame fu**** movie! I got an rated R bloody action film that I wanted in Mad Max: Fury Road. I was entertained and I enjoy it. ",r
2,12 October 2015,Hitchcoc,5, It Never Stops,"I have to say that I tried really hard to like this. But my old fashioned ""There needs to be a story and interesting characters"" mode took over. It took about fifteen minutes to figure out who was who. Apparently, the guy with the death mask and the tubes was seen as a god, that there was some religious following. Could be interesting, I guess. But what follows is one chase after another with every conceivable vehicle that some guy could dream up. There were porcupine cars. Monster trucks. Guys on poles dropping into vehicles. There was no logic presented as to why one vehicle would have a spear thing thrown at it and explode while others were hit with heavy artillery and seemed to move on just fine. Then we have Mad Max who is a captive with a mask that looks like a 1955 Oldsmobile grill. He is put on the front of a vehicle as all this combat goes on. Unfortunately, he has absolutely no personality whatsoever. There was never any suspense in this film because the place they were trying to get to was never really in our mind's eye. Then there's the short crop haired female which seems to be a standard these days. Make her look masculine and she becomes more formidable. Anyway, it is spectacular to look at but when it was over I felt no emotion or satisfaction at all.",e
3,7 August 2015,Uriah43,5, Extremely Inflated,"Like the previous ""Mad Max"" movies this film takes place in a future desert world which has been devastated by a nuclear war. What remains of humanity is both primitive and barbaric and those who have survived exist with the most basic of necessities in war-like fortresses where few laws exist. That being the case, after being taken as a prisoner, it is to one of these harsh enclaves that ""Max"" (Tom Hardy) is subsequently forced to endure. And since life has very little value Max ends up as nothing more than a human blood bank for one of the militaristic ""War Boys"" by the name of ""Nux"" (Nicholas Hoult). It's at this same time that one of the military leaders named ""Imperator Furiosa"" (Charlize Theron) decides to escape from this citadel and she takes with her five wives of the religious leader, ""Immortan Joe"" (Hugh Keays-Byrne). Soon all of the clans in the entire area are summoned to assist in the recapture of Imperator Furiosa with both Nux and his captive Max in hot pursuit and leading the charge. Now rather than reveal any more of this movie I will just say that those who enjoy films which feature action from start to finish will really appreciate this picture. However, it is this strength which also happens to be the films weakness as there is very little room for anything else. That said, I thought the talents of both Tom Hardy--and in particular Charlize Theron--were terribly wasted. Likewise, I also believe that the current IMDb score of 8.4 (whether by chance or design) is extremely inflated as well. To that end, I would hope that once the initial euphoria has subsided realism will set in and the score will more closely resemble the film's actual merits. Time will tell. In any case, while I certainly do not believe that this particular film is deserving of scores equal to classics like ""Gone with the Wind"", I also don't consider this to be a bad movie either. Accordingly, while my score may not be popular at this time I have rated this movie as I see it. Average.",v
4,10 September 2015,planktonrules,8, Well made and mindlessly entertaining....,"""Mad Max: Fury Road"" is not the sort of film I enjoy and I after watching it, I am not a huge fan though I deeply respect the filmmakers. The reason I even saw it was the insane reaction the public had to this one...and the critical reviews were all surprisingly good. I wanted to see what all the hubbub was about...and try to understand why folks liked it so much. My take on it is that if you enjoy a film that is non-stop amazing action, then this one is for you. As far as the story goes, it's plot is super-thin--but the movie is handled so well and the stunts so amazingly insane that you don't mind. Worth seeing--but I sure wouldn't like to see a lot of films like this. Additionally, it was VERY refreshing to see a film where so many women are NOT mindless objects to be killed or protected--several are about as strong and heroic as Max himself--and no doubt this is why women seemed to like the film so much.",i
5,12 July 2020,cutesd,7, It's a whole lot of style and not much substance,I realize a lot of people will disagree with me ... but personally ... I don't like movies that leave me scratching my head with a lot of questions at the end. I prefer to ... you know ... understand the movies I'm watching.,e
6,13 May 2015,stephendaxter,10, An absolutely insane action film that will blow you away,"Mad Max Fury Road is George Miller's return to the franchise he started way back in 1979 with Mad Max. I will start by saying this movie was absolutely batsh** insane. It was filled right to the brim with continuous over the top bloody ridiculous action sequences that keep you on the edge of the seat and just amazed at what Is happening on screen. Now this film doesn't have much of a plot at all but seriously you're not going into this film for an intense plot, this is a film that almost didn't even need one at all. The one thing I was worried about going in was whether I needed to have seen the previous films to understand this one and thankfully you don't, the story is independent of the previous film which was really helpful. ",w
7,16 May 2015,confrank,10, Mad Max Fury Road: A statement to embarrass and destroy all other movies in the action genre,"Mad Max: Fury Road, starring Tom Hardy and Charlize Theron, is George Miller's attempt to reignite his long dormant Mad Max franchise...and my god does he ever. For the past decade or so, with exceptions such as John Wick, The Bourne Trilogy, and The Raid, action movies seem to be struggling to capture the excitement and enjoyment the genre once held; a tenacity that classics from the 80's and 90's had in spades. George Miller single handedly delivers our saving grace with Fury Road on the back of a spike covered oil rig with a blind zombie playing a fire breathing electric guitar.",/
8,17 August 2015,claudio_carvalho,5, Terrible and Overrated Sequel,"The former policeman Max (Tom Hardy) is captured by the War Boys tribe, commanded by the Immortal Joe (Hugh Keays-Byrne) and assigned to be blood donor for the Wat Boy Nux (Nicholas Hoult) that is sick. Meanwhile Imperator Furiosa (Charlize Theron) drives a tank truck to collect gasoline for Joe. However her truly intention is to flee from the tyrannic Joe with his five women selected to breed hidden in the truck to her homeland. Immortal Joe commands a party to hunt down Furiosa and Max is chained to Nux's car. Furiosa heads the truck to a sand storm but Nux continues to pursuit her. After the storm, Max succeeds to release from the car and brings Nux chained with him. He sees Furiosa and the five wives and decides to flee in their truck; but there is a secret to operate the truck and he teams up with Furiosa, leaving Nux on the desert. When Joe's gang arrives, they retrieve Nux and follow Furiosa. Will Max and she succeed to escape from Joe's gang? ",r
9,13 May 2015,prospectus_capricornium,9, Dark Yet Visually Exhilarating. Beautifully Brutal and Yet Still Visceral,"Even at the beginning, there's no hint MAD MAX: FURY ROAD is going to a stop. Right at the very start, the engines are already rewing, gathering furious fires of vengeance and redemption, and before the audience could snap out of the sheer moments of brutal grittiness and exhilarating high-octane drama, they are surely already held hostage within the confines of a post-apocalyptic world, where everything is horrendously scarce. Not that it's a bad thing, no it's not. I tell you, this is like being hurled into the space in a roller-coaster ride. It's dangerous, but it's also thrilling. Witnessing this dystopic world and all its hellish drama unfold might make you grope for seatbelt under your seat.",w
10,14 May 2015,punishable-by-death,9," A blockbuster that dark, gritty, brutal and bloody? Right here.","I was left speechless when this finished. It can be hard to describe  indeed.... but I'll go for it...  Sheer madness that isn't sullied by bad acting or laughable lines. A  blockbuster that is gritty and doesn't have a sense of humour that  could be equated to a fluffy kitten. No 'lets all hug' sentimental BS.  This is seriously a movie I thought I'd never see: a CGI-filled  blockbuster that I flat out loved. The stunts are so much fun, the FX  so great, it is the first movie I have seen where I have thoroughly  enjoyed all this type of stuff - probably because the cinematography  for once doesn't suffer cos of it. It is all incredibly shot.  The action is so brutal and appropriately high-octane. I thought to  myself more than once, 'I think I am loving this more than Terminator  2' but other than that, there wasn't time to think. It kicked off fast  and barely stopped, and the lulls were amplified by the insanity  preceding them. Plus it is a dark film, which made it even better. I  many people do an Aussie accent even close to well, was Hardy actually  trying for that? Either way, he didn't talk much so it didn't really  matter. This is more Theron's movie than Hardy's, he doesn't say much  and does next to nothing for the first third or so. Theron's Furiosa is  more of the hero is the story, if there were to be a hero in such a  grisly and dark world.  I don't even like this type of movie but the execution is  everything. I'm gonna go see this again, soon. 4.5/5",3
11,14 August 2021,AlsExGal,5, I felt my boomerism rising up while watching this..,Because my first reaction is to HATE HATE HATE this film. It's like an overly long David Bowie music video in its weirdness without Bowie's great music and great style.,4
12,2 December 2015,phd_travel,2, An endless ugly chase in the desert,I just don't get the praise for this movie. The straight launch into fighting and chasing doesn't let one feel for the characters or identify with them. Lots of gross creatures chase each other in disgusting vehicles along the endless desert.,4
13,6 June 2015,Theo Robertson,6, Nothing More Than A Noisy Blockbuster,"I love post apocalyptic fiction . John Wyndham and John Christopher are amongst my favourite authors . They weave compelling stories of average everymen surround by a hostile landscape where it's every man for himself and only the cruelest and most heartless survive . George Miller's MAD MAX films are an extention of this . Low brow cinematic spectacle but fair as entertainment goes . And let's not forget hugely influential as well . Sadly the films' influence found itself being transplanted in nearly every post apocalypse story for the next 20 years where a brooding loner , a man of few words , drives through a desert landscape doing his best to survive in a hostile world against scavengers . Influntial but rather unimaginative and the movies probably did the sub-genre more harm than good . This reboot did capture my imagination via the trailers and so decided to give the film a chance , not least because as soon as it was released it shot to number 25 on the IMDb Top 250 ",8
14,14 May 2015,isaacsuttle,10, An Action Masterpiece. Ridiculous In All The Right Ways. (9.5/10),George Miller returns to live-action filmmaking with one of the greatest action films ever put to screen. 'Mad Max: Fury Road' is ridiculous in all the right ways.,2
15,16 May 2015,Imaculata,9," Beyond Thunderdome on acid, with a huge budget","I see a lot of negative reviews for this movie popping up. People complaining that there is a lack of story and character development, and too much action.... too much action? Really? Have these people never seen a Mad Max movie before? How is that a bad thing in a Mad Max movie? Fury Road feels like an 80's action movie, with a preposterously large budget, and it is GLORIOUS. This movie was an epic ride. So many awesome set pieces, incredible car designs, twisted and bizarre costumes and characters, and a lot of really strong warrior women as well.",9
16,29 March 2022,david-meldrum,10, Magnificently Unhinged,"A film that deals in scorched earth landscapes and scorched retina viewers, this film - large parts of which were shot in the Namibian desert - must have been hell to make, but the result is gleefully unhinged, visually stunning and utterly relentlessly thrilling. Tom Hardy may have played the lead role, but the film belongs to Charlize Theron's blistering intensity, director George Miller's crazed vision and every single technical expert who worked on it. A piece of action cinema that you won't have the seen the like of before.",2
