Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,28 April 2002,Agent10,10, One of those films you have to watch multiple times,"It's hard to judge a film such as this. Its cold and hard, yet can be exhilarating and sarcastic. It can be average, yet it can be visionary. Exploitive? Satirical? Too many questions to consider when one watches this film.",/
1,14 March 2006,Hitchcoc,9, We Are Seeing Our Future,"Having read Anthony Burgess's novel years ago and working my way through the amazingly creative, futuristic dialogue, I really looked forward to seeing the movie. It was not a disappointment. In the hands of Stanley Kubrick, it comes to life. It is the product of the desensitized world that we see unfolding before us in the beginning of the 21st century. There will be a lot of Alexes in the future; there already are. We are slowly moving away from conventional morality and playing with forms of nihilism. Our politics are beginning to diminish the individual rights and safety of our citizens. Our young people are beginning to band together in little covens, the cell phone and the computer creating little worlds where anonymity can lead to diminution of what is good. Pardon my diatribe, but what Alex and his droogs are doing isn't all that out of the ordinary these days. The manipulative, controlling, anything for ""me"" society is just being formed. Kubrick and Burgess had a a vision. Sometimes this movie is called science fiction. The only science fiction thing about it is that it takes place in the future. The violence we see is the violence of those who no longer care what that word means. This whole world is more frightening than the terrorists we see behind every rock. This enemy is us; or the us yet to be.",r
2,26 November 2019,davidmvining,8," A great, but hard watch","I've struggled a bit with this film more than any other Kubrick. The problem is that I think I get it too easily, or I don't get it at all. I'm never quite sure.",e
3,25 February 2004,MovieAddict2016,10, One of Kubrick's best,"To say that the Alex character from Stanley Kubrick's ""A Clockwork Orange"" is unlikable is like saying the Manson family was sort of bad. He's not just unlikable; he's despicable, terrifying, sick, twisted, and ultimately a haunting embodiment of all our greatest realistic fears and worries. But Alex does not see himself as a sick person. The key to this is in his voice-over narrative.",v
4,15 July 2021,kevin_robbins,10, This is an all time masterpiece,"A Clockwork Orange (1971) is a movie I recently rewatched on HBOMAX. The storyline follows a little gang of misfits who travels the streets of England causing chaos through their random acts of violence. When they cross each other one night trying to establish a leader the direction of the gang and leader of the gang changes permanently...this movie is directed by legend Stanley Kubrick (The Shining) and stars Malcolm McDowell (Halloween), Patrick Magee (Zulu), Michael Bates (Patton), Warren Clarke (Firefox) and Adrienne Corri (Bunny Lake is Missing). This story from beginning to end is absolutely captivating. The sets are eccentric and unique. The dialogue is brilliant as the terminology is entertaining and well delivered. The acting by McDowell is all time great. One of my favorite all time performances. The circumstances throughout the film are horrifying, hilarious, intense and unpredictable all at the same time. The cinematography within the film keeps your mind turning throughout. This is an all time masterpiece that is an absolute must see and a 10/10.",i
5,6 November 2005,nycritic,10, Kubrick and the Art of Violence.,"Stanley Kubrick has a way of telling stories about violence without actually exploiting them, or going into exaggeration. In DR STRANGELOVE, OR HOW I STOPPED WORRYING AND LEARNED TO LOVE THE BOMB violence as war was discussed, overheard, never truly seen until the final reel when a flurry of atomic bombs exploded into bright mushrooms as the song ""We'll Meet Again"" lovingly played in the background. In 2001: A SPACE ODYSSEY Hal-9000 terminates an entire crew in a most chilling way and all we see is a computer screen indicating the termination of life. Now, in A CLOCKWORK ORANGE, Kubrick actually brings a story about violence, and even then it is art directed within an inch of its life.",e
6,3 January 2005,sol-,10, My brief review of the film,"A disturbing but yet very beautiful piece of film-making, Kubrick has created the ultimate study of mind manipulation in this film. It is a protest against reform programs that take away freedom of a choice, and the message of the film in terms of paying for one's sins in all eternity is inescapable, evident to a large extent in the sardonic nature of the tale. Although set in the future, it hardly feels like it is, this being because the message of the film is overwhelmingly powerful and capable of applying to any age. The film has a number of possible hidden meanings to it  a feat equaled on scale only by Kubrick's former film '2001: A Space Odyssey'. Besides for the meaning behind the film, there are still the marks of a masterpiece. Kubrick's direction is superb alongside the good photography, capturing shadows and angles needed to establish tone. The editing is excellent too, done in a flashy, brainwashing style at times to have relevance to the film. The choice of cast is again inspirational, however the film achieves the most in terms of music. Kubrick manages to use one of the earliest forms of art, classical music, and give it an unforgettable style and importance in the film. It is truly a difficult task to explain what is so great about a film such as 'A Clockwork Orange'  it is maybe best explained by watching the film itself.",w
7,31 January 2017,tyson-hunsaker,8, A controversial and offensive masterpiece.,"Anyone looking to watch A Clockwork Orange might be wanting to revisit some of Stanley Kubrik's work and might be interested in studying this film. Those who have already seen this film tend to already have strong opinions regarding this dark sci-fi movie but for me, I approached this film recently to obtain an opinion for myself and study one of the great masters of cinema. ",/
8,9 January 2022,Ch4ndler_B1ng,10, A second viewing does the trick,"A Clockwork Orange is directed by Stanley Kubrick, my favorite director of all time and this is my second favorite movie of all time including one of my favorite villain performances of all time! A Clockwork Orange is every genre, it's Sci-Fi mixed with crime, drama, psychological thriller, satire, horror elements and most importantly romance (nah, I'm kidding).",r
9,29 November 2004,TBJCSKCNRRQTreviews,10, One of the greatest films ever made,"I haven't read the novel that this film is based upon, and I didn't know that much about it before I sat down to see it. I decided to see it after hearing pretty much nothing but praise for the film(in fact, the only negative comments I've ever heard about it is that it deviates too much from the original novel... which is something Kubrick was famous for) and because I immensely enjoyed The Shining and Kubrick's directorial style as seen in it. I must say, it's been quite a while since I saw something so full, spectacular, exhausting and powerful. From the very first frame to the very last... amazing. Kubrick's style is magnificent, his storytelling is among the best ever seen in cinema. With this film he truly captures the raw and pure qualities of violence. I don't think(well, I certainly don't hope) that anyone who ever has or ever will see this film confuses this as an ode or a tribute to violence... this is not, in any way, shape, or form glorifying violence or violent behavior. Quite the contrary, you might say. The film proves, once and for all, that violence spawns violence. Visually, the film is absolutely stunning. The angles, pans, tracking shots... fantastic work. The ideas presented in the film are more than enough to disturb and freak out any normal person... which is(at least part of) the point. If I mention the words 'eyes opened forcefully' you probably already know what I'm talking about, right? That famous sequence has been referenced, spoofed and talked about more times than just about any other visual impression in the history of cinema. The way everyone and everything turns at Alex after he's apparently cured... truly disturbing. I found a surprise at every change in scenery or even in immediate situation, especially in the latter part of the movie. The way society turns against Alex after he rejoins it, apparently a better man... one of the most 'true' and real cinematic truths ever told of humanity. We are beasts, we are what is commonly referred to as 'inhumane'... and Kubrick tells us this in a truly astonishing manner. The plot is very good. It deals with the main character of Alex, beautifully played by Malcolm McDowell, who loves 'a bit of the old ultra-violence'. He is incarcerated and offered a chance to be re-entered to society, after being 'cured' of his psychotic tendencies. The pacing is... well, hard to describe, really... it feels slow, the movie seems to move slowly... but it hardly drags at all. It's exhausting, not to mention hard to sit through, both due to the extreme content and the slowly moving plot, but it's all worth it. The point is pure genius. Pure Kubrick. The acting is flawless... and believe me, that is not a term I use lightly. Every single actor performs perfectly. The characters are perfectly written, credible in every scene and interesting. The cinematography is pure beauty... pure excellence. I've come to love Kubrick's visual style. His cuts of varying speed and intensity, his long takes when dealing with dialog... truly amazing. His use of music is astounding... the use of classical music is great and really adds to the ironic tone and the atmosphere, the mood of the film. This is truly a work of art, and an exhausting but truly worthwhile film. I haven't seen anything quite like it for a while... in fact, maybe I never have. I recommend this to any fan of Kubrick or intelligent theater. If you believe yourself to be perceptive and intelligent enough to understand the film on most or all of its levels(I don't claim to, not at all), or even on the most basic levels, such as theme and morale(which is what I understood of it) then you should, nay, then you *need* to see this film. Be prepared, though, it does contain quite a lot of disturbing themes and ideas, and is not in any way for the faint of heart. 10/10",w
