Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,9 November 2004,Surecure,10, A fantastic and powerful film,"I was fortunate to see this film at the Toronto Film Festival. I had heard nothing about this film before I read up on it in the Fest guide and originally was going to see something else. But, the subway happened to shut down and I was not going to be able to see the film I originally intended. So, I decided to give this a try.",/
1,20 January 2014,planktonrules,10," Not surprisingly, you'll need to have some Kleenex nearby as you watch this film.","""Hotel Rwanda"" is an incredibly sad sort of film. After all, during 1994 between 500,000 and 1,000,000 people were murdered--mostly Tutsis hacked to death due to an insane tribal rivalry with the more numerous Hutus. Genocide is not pleasant viewing. However, the film is a bit easier to watch than it could be, as most of the scenes of the slaughter are pretty tame. This isn't really a complaint--it doesn't deny the killings but it also doesn't show a lot of hacked off limbs and bodies (though there are quite a few of the latter). I appreciate how the MPAA changed their minds and re-rated the film PG-13 instead of R, as R would seem to imply that it's not a film for a wide audience. Folks should see this film.",r
2,16 February 2005,anhedonia,8, A brilliant movie that deserved a Best Picture Oscar-nomination,"At one point in ""Hotel Rwanda,"" our hero Paul Rusesabagina (Don Cheadle) asks an American TV reporter (Joaquin Phoenix) how the western world could not intervene after seeing scenes of women and children being hacked by machete-wielding Hutu militia.",e
3,19 December 2004,larajane,10, Shaming and compelling,"Anything I say in this review is probably redundant, because there isn't a single negative review in all the comments so far here, and I agree wholeheartedly with what has been said by other reviewers.",v
4,21 December 2005,ma-cortes,8, Extraordinary film based correctly on real deeds about the brutal genocide,"1994 Rwanda,Kigali. Paul Rusesabagina (Don Cheadle) is a Hutu happily married (Sophie Okonedo) and with children .He's a Hotel manager -Millie Collines proprietary of Belgian Airlines : Sabena- and its General Director(Jean Reno) placed in Belgium. Paul is respected for his generosity , charm , friendship and numerous contacts with important people. He's accidentally trapped in violent events when his family and neighbours are threatened to be killed . He gets avoid it by means of bribes with the hope that United Nations (UN) and international forces arrive to preventing the civil war. However the happenings break out again . After assassination President of Rwanda, all get worse. It begins the horrible genocide including rampage , massacres and ravage in Rwanda which is spread along Burundi. Slaughter of Tusis by the Hutu is executed by soldiers and rebels. A journalist (Joaquin Phoenix) get into tumult and will shoot the events to show it all around the world. Paul gets to protect his family and unfortunate refugees at the hotel but others hapless people by the hundred are coming to ask for help. Meanwhile, the refugees Tutsis flee toward Congo to find shelter .The film has an acid critic to the indolence of United Nations (exception for Colonel incarnated by Nick Nolte) and international community and specially , the abandon of the European foreign policy .",i
5,15 September 2004,Proud_Canadian,9, This year's Schindler's List,I was fortunate to see it at the Toronto International Film Festival.,e
6,21 July 2005,lee_eisenberg,10, I heard Paul Rusesabagina speak at Lewis & Clark College.,"""Hotel Rwanda"" recreates the 1994 Rwandan Genocide in the same way that ""Schindler's List"" recreated the genocide against the Jews. The movie shows not only the massacre, but also how the international community did nothing to stop it. Hotel owner Paul Rusesabagina (Don Cheadle) and his wife Tatiana (Sophie Okonedo) sheltered several Tutsis and moderate Hutus in the Mille Collines hotel, saving them from getting murdered.",w
7,18 August 2013,rooprect,8, What were you doing in 1994?,"What were you doing in 1994? I was probably rockin to Soundgarden's latest album on my portable CD player, waiting for Seinfeld to come on while pondering the OJ Simpson murder case, the ""news of the century.""",/
8,16 December 2004,RickyThind,10, One of the most inspiring films I've ever seen.,I have just seen this film and have to say I am deeply moved by it. The premise of the film is about one mans struggle to do the right thing at when everything around him is going wrong. ,r
9,8 July 2011,TheLittleSongbird,10," Powerful, gut-wrenching and compelling","Hotel Rwanda was one of those films I initially put off seeing for reasons I don't really know, but after seeing it that decision is one of those decisions that I've regretted as it turned out to be one of the better films I've seen in a while now. Hotel Rwanda is beautifully shot and the scenery is striking while still being authentic without being too clean. The story is always compelling and powerful, with plenty of gut-wrenching and poignant moments while never feeling preachy. The film is excellently directed and scripted too, while Sophie Okonedo, Joaquin Pheonix and particularly Don Cheadle give superb acting performances. Overall, a truly fantastic film. 10/10 Bethany Cox",w
10,9 December 2004,Julia-Gefter,10, so powerful and amazing,"I have never been so touched by a movie. It was the hardest movie I have ever sat through but also the best. it's so easy to ignore human rights abuses if they are not happening to you or your family, but just because you ignore it, they are still happening. i hope this movie receives the praise it deserves. i am frustrated because nothing i can type can represent how powerful this movie is or how much it moved me. i can't comment on the amazing acting or cinematography or directing because the movie transported me. i did not think about the making of the movie but rather sat shocked and horrified and nauseated and inspired. there was the red cross agent. there were heroes and while human nature perverts and the thin veil of culture unravels, there is still good. i have to look at the good of the heroes in the movie and of the people that wrote the movie, and realize that going to the movies doesn't have to be about escapism. it can be about reality. this is a must-see, not because it will make you laugh but because it will make you think and feel.",2
11,9 December 2004,celicaricky,10, Documentary Feel & an Acting Treasure - A must see.,Just saw the San Francisco premier last night and it isn't a dramatization - it's much more of a documentary -- Hotel is extremely factual. CAN'T SAY ENOUGH ABOUT THIS FILM! INCREDIBLE EXPERIENCE! ,1
12,19 March 2005,jotix100,10, A document for humanity,"The madness one sees in this brilliant film is hard to imagine, yet it occurred in Rwanda. Terry George, the director, captures those terrible days in Rwanda in his film ""Hotel Rwanda"". Mr. George has to be commended for bringing to the screen a detailed account of a country in chaos. Working with Keir Pearson on the screen play, the director presents us with the horrors of what the country lived during the holocaust that befell Rwanda.",6
13,28 February 2005,FilmOtaku,8, Excellent and emotionally devastating,"""Hotel Rwanda"" gives a first-hand account of the genocide that occurred between the two main tribes in Rwanda, the Hutus and the Tutsis. Paul Rusesabagina (Cheadle) is the manager of a luxury hotel in the area that caters to the wealthy and to government figures. Outside of the gates of the resort, Tutsis are being killed by the Hutu militia, and though Paul (a Hutu) is married to Tatiana (Okonedo) (a Tutsi) for the sake of his family, he turns a blind eye until his in-laws disappear and the militia literally come to his doorstep demanding his cooperation and the surrender of his wife, children and neighbors. With the diplomacy that he has learned in his job he is able to barter with them, basically paying a great deal of money for the lives of his family and neighbors. Meanwhile, Col. Oliver (Nolte), who is with the United Nations, is trying to help the refugees and keep some semblance of order, but is forced to evacuate only the Caucasian residents of the hotel, leaving all of the Rwandans (both Tutsi and Hutus that are Tutsi sympathizers) to fend for themselves, which leads Paul to open the hotel to over 1,000 Tutsi refugees. There they try desperately to get out of the country, and ultimately, survive since the Hutu militia is now targeting any sympathizers as well.",7
14,5 February 2005,Red-125,10, Probably the most important movie of 2004,"Hotel Rwanda (2004) Directed by Terry George, is the great film of 2004.",9
15,26 October 2005,rbverhoef,8, Powerful,"'Hotel Rwanda' tells the story of hotel manager Paul Rusesabagina (Don Cheadle) who used his skills to save over a thousand people during the terrible events that happened in Rwanda in the early nineties. Tutsis were slaughtered by Hutus simply because they were Tutsi, while the rest of the world was looking away. The way the United Nations acted here is portrayed by Colonel Oliver (Nick Nolte), the only fictional person in the movie.",0
16,14 March 2005,The_Void,6," Not bad, but definitely a disappointment","Sentimental dramas are not my thing, but after the good reviews that Hotel Rwanda has been winning itself; I figured it has to be worth a go, and it was; but that's all it's worth. For a film that's supposed to 'stay with you' and 'leave an impact'; Hotel Rwanda is a huge disappointment. There isn't much in this film that wouldn't be able to be took from a documentary on the subject of the plight of Rwanda; but it has to be said, in spite of this, that Hotel Rwanda balances it's story with the human drama rather well, as not too much time is ever spent on either. The film can easily be likened to a disaster movie, as it gives two sides of a story - one being a terrible happening and the other being the effect on the people involved. This likeness continues when you come to realise that the protagonists are totally uninvolving characters and the only reason that the film gives you for feeling for them is the fact that they're the leads. Hotel Rwanda will get praise from some people because it's based on a true story, but this film fan isn't as easily impressed as many evidently are.",9
17,9 July 2005,moviemanMA,9, One of the Most Moving Pictures Ever!,"For a while now, there have been uprisings in Africa, most of the time, it is quite violent. In Tears of the Sun starring Bruce Willis, the problem in Nigeria was put into perspective. It was shown through the eyes of the US military trying to rescue a couple of select people but end up bringing back refugees. Hotel Rwanda takes a different path, shown through the eyes of those under attack.",/
18,2 March 2005,Chris_Docker,8, Making a film and a contribution to humanity,"I usually say my criteria for assessing a film are asking myself if it inspired, educated or entertained me. I somehow don't seem to have a category for 'it totally devastated me'.",?
19,16 March 2005,stamper,8, An African holocaust,"As one can probably imagine, a film with an 8,5 out of 10 (with 4.356 votes) ranking at number 130 of the IMDb's top 250 has few naysayers. There are some there however and I've taken the trouble to read them. What I think is sort of funny, is that many of the critique that is placed is utterly stupid. One person actually goes so far as to say that the film: ",r
20,6 June 2005,EvLauster,10," Inspiring true story, compelling performance by Cheadle, one of the best movies I'v ever seen","**** Don Cheadle, Nick Nolte, Jophie Okonedo, Hakeem Kae-Kazim, Desmond Dube, Joaquin Phoenix. Directed by Terry George.",e
21,10 June 2006,Lady_Targaryen,9," When the world closed its eyes, he opened his arms.","''Hotel Rwanda'''is a very powerful and sad story showing the atrocities that happened in Rwanda in 1994,where almost 1 million people were killed in 100 days. The division of two groups, the tutsis and the hutus,made Rwanda's peace something to dream about. We see that all started when the Belgians gave power to the tustsis, because they had a fair skin and a complexion much more similar of the Europeans then the hutus. Even measuring the noses was a normal thing to do. Years after, the Hutus were the ones who stayed with the power and they wanted revenge by smashing the tutsis.",f
22,2 November 2005,michaelRokeefe,8, Astounding as it is awesome.,"This movie deserves every accolade thrown its way. Don Cheadle probably has never been better. Based on an event that seemed to escape the eyes of the rest of the world. Some of the worst atrocities of the twentieth century was like a rancid belch in the central African nation of Rwanda. In spite of peace talks between the Hutus and Tutsis; the Hutus militia broke the pact and started killing Tutsis on sight. Almost one million people were brutally murdered in their homes, in the street at will. In the middle of the madness, an ordinary hotel manager Paul Rusesabagina(Cheadle)summoned the courage to actually save 1,268 refugees by hiding them in the four star hotel he managed. HOTEL RWANDA is a testament to Paul's devotion and love for his family and mankind. Also in this modern day classic: Mosa Kaiser, Joaquin Phoenix, Nick Nolte, Fana Mokoena, Mabutho 'Kid' Sithole, Kgomotso Seitshohlo, Simo Mogwaza and Hakeem Kae-Kazim. This is an outstanding motion picture and worth every minute of the the 2 hour 2 minutes running time. Kudos to writer and director Terry George.",_
23,12 February 2005,druss44121-1,8, More than just an African 'Schindler's List',"Based on the 1994 genocide between the African ""tribes"" of the Hutu's and the Tutsi's, Hotel Rwanda has gotten decidedly mixed reviews. Before seeing the film, I was a little surprised since such subject matter alone is usually powerful enough to lead a film to critical acclaim. After seeing the film, though, I was incredibly surprised, as this is one of the most powerful and harrowing films I've seen in a year. It moved me in a way most films fail to do.",=
24,29 January 2005,ferguson-6,9, There's always room,"Greetings again from the darkness. Don Cheadle's Academy Award nomination for Hotel Rwanda is a well deserved and a wonderful thing. Hopefully it will encourage even more to see director Terry George's incredibly moving tale of the 1994 Rwanda crisis between the Tutsis and the Hutu. As with Schindler's List, nothing is more powerful than a real life hero. Paul Rusesabagina is a real life hero. With the slaughter of nearly a million right outside his front gate, Paul R gave refuge to nearly 1000 who surely would have died. The tour de force by Cheadle is with his divergent performance from the elegant Hotel manager to the smooth negotiator to the passionate husband, parent and humanist. This man cares about people and what is right. Although, Nick Nolte's performance was slightly askew, the movie is well paced and heartfelt and should be seen by many. Very powerful.",t
25,18 April 2005,howard.schumann,9, A moving and powerful film,"Just over ten years ago, Rwanda, a former Belgian colony the size of Vermont, became a horrific killing field, the result of ethnic, social, and political hatred between the majority Hutus and the rival Tutsis, the former ruling elite who ran the country for the Belgians and treated the Hutu as second class citizens. The Washington Post reported ""how the heads and limbs of victims were sorted and piled neatly, a bone-chilling order in the midst of chaos that harked back to the Holocaust."" The massacre that claimed over one million lives was triggered by the still unsolved assassination of Hutu President Juvenal Habyarimana, whose plane was gunned down by missiles on his return from a conference in Dar-es Salam. Senior Hutu leaders used the downing of the plane as an excuse to exterminate Tutsis and moderate Hutus. While the UN maintained a peacekeeping presence they did not intervene, nor did the U.S., France, Belgium or other Western powers who had the power to stop it.",t
26,5 March 2005,vertigo_14,10, This IS the Best Picture of 2004 (spoilers),"As governments around the world ignore the atrocities against the Sudanese in Darfur, this movie should have you screaming for something to be done to save them! 'The Hotel Rwanda' should be seen by all, and forgotten by none. ",_
27,23 January 2005,jessie-39,10, Don Cheadle...Finally will get his calling. Wow!,"As one who feels that there is ""no best performance"" for the Oscars but rather, everyone who is nominated is a ""best performance"". How can you possibly compare any one performance against another when the movies and stories are totally different. We loved many movies this year and feel they are worthy of nominations. We have already been rewarded by seeing that Natalie Portman and Clive Owens were honored by the foreign Press for a movie that we loved, but understood some would find it abhorrent. The line is drawn in the sand by Don Cheadle who we have always liked in every role he has played. He has been relegated the usual stereotypical roles for Black actors and it must be frustrating for him and the handful of very talented black actors and actresses who just don't get the great roles. Don Cheadle sets himself apart from every single actor in any movie of 2004. It is done by simply providing the best acting role in a movie about ""real events"". It makes us all ashamed of the fact that we were frozen to the TV watching OJ Simpson at the time that all of this took place. What a disgrace to us. As usual the world stood still and did nothing as in the Holocaust and the few other cases of genocide. The French true to their colors did nothing when they could have and should been first on the site. The English and Americans turned their backs as did the UN. Cheadle brings us to tears and cheers in this fascinating story of ""one man"" who defies the odds against genocide of his own people. He is an outstanding actor and he surely deserves not only the nomination but the win as well. True, Leo was great as Hughes, Sideways is still something I cannot understand as to what the hub bub is about, Clint and Morgan were superb in Million Dollar baby, but none come close to Cheadle in this spectacular role of a lifetime. Bravo to Cheadle and those who had the guts to make this movie. Everyone from 8 to 108 should be required to see this movie as much if not equal to Schindlers List.",u
28,26 January 2005,judywalker2,10, I couldn't stop crying,"I almost didn't go see this movie. It's so hard for me to sit through things like this. It is very, very good, but you can only see it once if you have a heart or a soul. You can only go through the experience one time because you can't do it again, at least I can't. Don Cheadle was exceptional. Nick Nolte and Jaoquin Phoenix had very difficult roles. I was also happy to see Jean Reno has the hotel president. The good people anguished and the bad people schemed. The woman who played Don Cheadle's wife was also very good I really felt her fear. I agree with the critics that this movie had a message without being preachy. It should teach us a lesson, but I know the world won't listen.",r
29,27 March 2005,kergillian,10, Welcome to the wonderful world of European colonization.,"Somalia, Ethiopia/Eritrea, Kenya, Tanzania, Zimbabwe, Congo, Sudan, Algeria, Nigeria, Tunisia - and Rwanda...what do all of these African counties have in common? They're countries torn apart by civil war, where millions have been slaughtered and millions more have been maimed, raped, beaten, tortured, threatened, displaced, and, most importantly, ignored by the rest of the world. And the main reason for the nightmare that Africa has become? Europe colonized Africa and divided it along new territorial lines, splitting tribes and clans into pieces, and forcing rivals and foreigners into the same territories. The entire Rwandan genocide is namely due to the Belgians, who basically handpicked certain Rwandans and called them Hutus, and called the others Tutsis, all arbitrarily, then left the country and power to the Hutus, creating a power struggle between two 'tribes' who were really the SAME PEOPLE.",v
30,15 April 2005,rps-2,7, Excellent except for one thing,"It's difficult to imagine the inhumanity and horror of the Rwandan genocide. Yet this film does a good job of conveying it without resorting to excess gore. It also leavens the horror with well timed moments of humour or tenderness. From all accounts it is factually correct. Why then did they not portray Gen. Romeo Dallaire as himself instead of inserting some trumped up fictional character played most unsuitably by Nick Nolte wearing a Canadian flag on his shirt? This detracts from the film and angers Canadians. Most of us regard Dalaire as a compassionate, highly principled hero who was betrayed by the UN. (Read his book, ""Shake Hands With The Devil."") The movie tells a terrible story very well. But eliminating Gen. Dalaire is a little like eliminating Eisenhower from ""The Longest Day"" (Dalaire, incidentally, just recently was appointed to the Canadian Senate.)",
