Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,11 December 2016,jacobs-greenwood,10," Pure cinematic magic, won Best Picture of the Year and rightfully so!","Capitalizing on two ""hot"" properties of the early sixties, director Robert Wise and the infinitely talented Julie Andrews, this film delivers some pure cinematic magic like none before it nor since, especially the sequences which feature the songs ""Do Re Mi"" (#88 on AFI's 100 Top Movie Songs of All Time) through the streets of Salzburg and ""The Lonely Goatherd"", performed with puppets.",/
1,26 October 2017,davispittman,10, Fantastic family friendly musical classic,"The Sound of Music (1965) is an all time classic family musical that has always been one of my favorites. Ever since I was child, I would watch this movie and just love every minute of it. This movie really was destined for greatness from the beginning, anyone at all could have seen that. Between the A list cast, great performances, top notch singing, and the enchanting story.... there's no wonder people still love it to death. Julie Andrews stars as Maria, who is a nun, but not a very good one, and she gets sent to be a governess to the Von Trapp family. The Von Trapp family is a very well to do family in Austria. The father is a former captain and the mother died some time ago. Christopher Plummer plays captain Von Trapp, and he does a great job. Every member of the cast does a great job with their performances, both singing and non. The singing alone in this film is just astounding, every single musical number is just as good, if not better than the previous one. If you do not care for musicals, then I wouldn't really suggest this movie to you. It really is a lot of singing, but it is great singing by talented artists, which is really why it will forever have a place in classic great cinema. 10/10 for The Sound of Music. Enchanting story with lovely entertaining music.",r
2,28 April 2018,brett-76260,10, Just a classic that will never get old,"Song and dance is definitely not my thing. However I've seen this movie dozens and dozens of times overs the years. It never gets old... if you have never seen it it's well worth your time. They just don't make them like this anymore. Rent it or buy it, a true classic that is perfect from start to finish...",e
3,23 February 2005,Smells_Like_Cheese,10, Would you even want to solve a problem like Maria? She's wonderful!,"Sound of Music is one of the best musicals of all time displaying one of the greatest voices to ever be heard on the silver screen: Julie Andrews. What a wonderful movie that not only I grew up with but still treasure to this day. Sound of Music has everything you could ask for: romance, humor, singing, dancing and a wonderful cast that put their heart and soul into this film. All the songs are recognizable, although I admit that still hearing ""Few Favorite Things"" is strange during Christmas time. But moving on, Sound of Music is a classic film that is still incredible to watch and I always enjoy slipping into my DVD player to this day.",v
4,12 April 2017,duffjerroldorg,10, We are alive with The Sound Of Music,"Let me confess I'm not a Catholic, I don't have children, I can't stand schmaltz and yet I love The Sound Of Music. I've tried to explain this to myself, let alone to others, without ever finding a satisfactory answer. Yesterday I sat to see it again with a group of kids who hadn't seen it before. They all loved it even the ones who loved Transporters. I asked them afterwards why did they loved it so much and a 12 year old boy's reply was: ""It makes you feel alive"" Wow, I thought, Wow! Of course, that's what I felt too and a 12 year old found the perfect words to express my feelings. Julie Andrews is a the center of this little miracle. She is Sister Maria and her wishes, thoughts and fears are recognizable automatically, because they are, in many ways, my same wishes, thoughts and fears. Perfect. Thank you.",i
5,6 August 2015,happipuppi13,10, The Sights & Sounds of The Sound Of Music,*** This review may contain spoilers ***,e
6,2 April 2009,TheLittleSongbird,10, How do you solve a problem like Maria?,"I know this movie is long, but it is a timeless musical nonetheless. The thing i loved most was the songs by Rodgers and Hammerstein. They are amazing, and make the movie what it is. Another reason why I love it is the magnificent performance of Julie Andrews as Maria, a young woman who wishes for a better life, I suppose. Maria is pretty, with a beautiful voice, mixed with brashness and sadness, all the qualities that Andrews gives to her performances. The only film she disappoints slightly in is Thoroughly Modern Millie. The choreography is superb, as well as the supporting cast, from the likes of Christopher Plummer and co. i can't pick a favourite scene, but who can forget the opening and the ""Do ah Dear"" sequence? i also thought the children were sweet and the film had a number of clever subplots, like Liesels's secret love. 10/10 for a musical, that should be in the top 250. It was number 2 on the Greatest Musicals, losing out to Grease. Bethany Cox",w
7,17 December 2015,littlemanzone,10, I couldn't fault a thing! A Masterpiece,"I've grown up with every Female generation in my Family Singing these Songs, so it's surprising I've only just got round to watching this now. I had no idea this Movie was so Dark! Starting with the Joyful opening which slowly progresses to an unpredictable Sinister Storyline.",/
8,20 November 2005,bkoganbing,10, One of Our Favorite Things,"I was fortunate enough to see The Sound of Music on Broadway with the original cast minus Mary Martin, her part had been taken over by Martha Wright at that point. The production was good, but the thing I like best about The Sound of Music was how well Robert Wise transferred it to the screen. I defy anyone to show any trace of stage origin in this magnificently photographed film from that aerial opening with Julie Andrews singing the title song to the end with the Von Trapp family climbing every mountain.",r
9,12 January 2000,Calysta,10, My favourite movie of all time!,"Watching my Mother dancing and singing to the songs of ""The Sound of Music"" at the age of five was incredibly disturbing. It was seven years before anyone was able to sit me down in front of the T.V to the musical during the annual telecast in Sydney. Almost to my horror, I was falling in love with the musical. More than two years later, not a single movie has been able to pass it in my favourite movies stakes. ",w
10,20 June 2017,o-31546,9," The power of music, the joy of music","The Sound of Music, the sound of freedom.",0
