Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,10 August 2016,AlsExGal,9," Just a great movie all around, but a very dark tale","This film is a sharp-edged study of the effects of greed on otherwise normal men, and one man in particular: Bogart's Fred C. Dobbs. Dobbs and Bob Curtin (Tim Holt) are down and out and meet up with prospector Howard (Walter Huston). When Dobbs wins a lottery, he uses the proceeds to finance a trip for the three to central Mexico to search for gold. ",/
1,8 September 2005,bkoganbing,10, God Has a Sense of Humor,I think the great lesson of The Treasure of the Sierra Madre is the effect civilization has on the behavior of man. Some people are only as good as they ought to be and the case in point is the guys that go out into the Sierra Madre gold prospecting and how their behavior changes.,r
2,6 April 2005,Nazi_Fighter_David,8, One of Warner Brother's triumphs of the forties,"Having had his day as an idolized star and romantic leading man, it was now time for Bogart to get down to the serious business of acting For eighteen years it had usually been Bogart playing Bogart in various shadings Now that Bogart was gone and in his place was an older and far less romantic figure, one who found new challenges and was able to meet most of them successfully This new phase of his continued growth began with a story of three men in search of gold ",e
3,27 June 2004,jotix100,10," All that glitters is ""gone with the wind....""","John Huston's genius as a director is undeniable. From his beginning he showed an uncanny knack for getting not only excellent acting from his actors, but his movies always had a social conscience as well.",v
4,3 January 2015,Hitchcoc,10, Great Character Actors...and No Stinking Badges,"Ever since ""Greed,"" I have loved movies about losers who destroy themselves and others. This is a classic example of the worst of that term as three men try to face off against forces over which they have little control. It's a little like an early ""Deliverance"" where the paranoia and fear and, yes, greed, conspire to take away what could have been quite lucrative. The performances, for me, of Bogart, and particularly Walter Huston, in a smaller role, make this worthwhile. This is the prototype for the Mexican bandito with his grin and his disregard for human life. The confrontation has become the basis for parody. The concluding scene is priceless with Bogart's facial expressions and the utter dismay it produces. So much has been said about this. Enjoy the ride.",i
5,26 February 2010,planktonrules,10, A great tale about the darker side of human nature...,"There are already a lot of reviews for this film and it's in the Top 250 list on IMDb, so I don't feel quite as much need to talk about his film in great depth--after all, it's all been pretty much said. This is an exceptional film for many reasons--most notably because it looks into the darker side of human nature--something you don't often see in films during this era.",e
6,7 September 2007,thinker1691,8," ""If you want somebody NOT to find it, . . . Put it in front of them""","In the 1920's, labor was hard to find. If you happened to be a laborer, work was almost non existent. Indeed, if you were unemployed and in Mexico, your chances were dismal. Yet, these were the times, which attracted many South of the border. The place was barren, yet many a fortune could spring up directly before you, . . .if you were luckily enough to see it. That is the story behind this incredible film. The legend of El Dorado was only one of the many myths which lured the adventurous to Mexico, another was ""The Treasure of the Sierra Madre."" The gold of the Mother of Mountains was passed from father to son for generations. Thus when the film adaption was made, it was sure to be sculpted by men of vision. One such man is legendary John Huston who directed this film. Three common men are lured by the promise of discovering a lost treasure. The first is Fred C. Dobbs (Humphrey Bogart) a nice enough guy who wants only to be fair, but is hungry to 'strike it rich.' The second is Howard, (Walter Huston) as honest as you expect him to be and a man of considerable experience. The last is Bob Curtin (Tim Holt) who if given a chance, will use it. The trio make a PAC to share and share alike all the treasure they find. However, only Howard is aware of what the possession of Gold can do to a man. To find the treasure, they need the mountain, some hard work, a little luck. To bring it home, will require something only one of them possesses. The film is a Classic and is due to the combined talents of all the stars and the director. If you look closely, you'll see Robert Blake (Barreta) and John Huston in brief roles. ****",w
7,20 November 2003,rmax304823,10, Unbeatable.,"I wish I knew who B. Traven was. He wrote the novel this film is based on, and it's a good read. There are stories that he was a German. Maybe he was. The dialogue has little German touches in it. Traven surely lived in modest circumstances in Mexico, the details and dynamics of run-down hotels being far too accurate to have been made up in a comfortable armchair.",/
8,5 May 1999,yenlo,9, A treasure presented to the viewer,Some movies have certain scenes in them that hold the viewers interest more than others. However every single scene in this film holds the viewers interest. There is never a dull or lagging moment. Three down and outers who at one time in their lives were maybe up and comers strike out in search of a fortune or at least enough to live better than they have been.,r
9,17 July 2011,ElMaruecan82,10," ""The Treasure"" of American Cinema ...","A brutal and uncompromising portrayal of greed's effects on the human spirit and an exhilarating quest of the Mexican El Dorado, the Treasure of the Sierra Madre. You'll be thrilled by John Huston's masterpiece, a genuine monument that would catch by surprise, even the most skeptical viewers when it comes to 'old' movies.",w
