Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,26 December 2013,gogoschka-1,10," Strange, touching and beautiful","Personally, I've never seen anything as original in an animated film as in this deeply mythical fairytale. What a surreal idea for a movie! It's hard to find an adequate description (because I also don't want to spoil this in the slightest way) but this film has a sense of ""otherness"" to it - for lack of a better word - like none I've ever seen. And the strange, mythical nature of this film - apart from the amazing artwork - is probably one of the main reasons for its appeal to me. ",/
1,29 December 2020,Morejambo54,7, I don't really know what to say.,"I enjoyed this movie but more towards the end. The first half of the movie was very odd, which is one of the main reasons I kept watching as I wanted to understand it but that didn't really happen. Not enough was explained and it felt like a mix of random events yet there was an actual story. Im struggling to come up with a reason of why no-face was even in the movie, he was just there. This movie isn't bad by any means, it's just lacking somethings in my opinion. I also didn't. Really feel in touch with any of the characters as no room was left for them to develop. The wired and wacky characters made the film very unique and interesting, the film is visually beautiful as well, I would personally want more depth.It is a good movie with a lot of potential. 7/10",r
2,2 April 2004,supertom-3,10, Best animated film I have seen!,This is a wonderfully imaginative and fantastical children's fantasy. It is easy to see why it was perhaps the critical hit of 2002. The film is glorious to look at. It is a testament to old fashioned animation techniques that seem to be resigned to foreign animations. Of course there is some use of computer imagery for certain shots but they blend seamlessly and the overall artistry involved is superlative.,e
3,4 November 2002,shanebuckland,10," A stunning, intoxicating, magical masterpiece.","There is simply no denying that Miyazaki is the Godfather of Japanese Animation, time and time again delivering unto the public works of such incredible beauty, such stunning visual and sensory delights, such mastery of storytelling, that one can only be left speechless. Overwhelmed. Intoxicated with wonder. Such is the magic of Spirited Away.",v
4,11 June 2007,planktonrules,9," Exceptional, but perhaps not so much for the casual viewer","I have seen many international films over the years and quite a few of these were Japanese. In addition, unlike many parents, I have seen a lot of anime that my kids have watched so at least I have some familiarity with the medium. Yet, with my background I still felt pretty confused and baffled by the strangeness of this movie. Now this isn't to say I didn't like it, but so many times I just couldn't understand exactly what was happening. Interestingly, when I saw the film again, I understood it much better and appreciated it much more. And this may be exactly how you might want to approach the film unless you already are a die-hard anime fan. See it, but be willing to see it without trying to think out the odd plot too much or even try seeing it several times. I know that each time I did, the film became more and more enjoyable and I began to notice so many cultural references. Now, several years after I first saw it in the theater, I have seen a lot more Japanese anime and films and it's practically second-nature to follow the film. So, for adults and those unfamiliar with the medium, this movie might take a bit of effort to fully enjoy, though with more and more children being familiar with and loving anime, it's very likely your kids will love it and will then be able to explain it to you!! As for the film, the animation is the best I have seen in any Miyazaki film, the story deep and fascinating and it's full of cute and endearing little touches that make the movie magical. See this with an open mind, please.",i
5,18 October 2004,Balibari,9, Dub or sub?,"Last year I saw Spirited Away on it's UK release. I've never been a particular fan of anime, and it didn't really occur to me that I was watching a foreign language film dubbed into English (or 'American'). I can't imagine seeing a live action foreign language film dubbed into another language, but hey, this is a kids cartoon, what does it matter? Up to a point it didn't, because I loved the film. I enjoyed it so much I set about digging up the Studio Ghibli/Miyazaki back catalogue, in the process Sprited Away was filed away as one of the lesser Ghibli's - still great, but compared to Laputa, Grave of the Fireflies and a few others, it seemed a little weak. ",e
6,2 May 2005,Foxbarking,10, One of the Greatest Movies Of All Time,"This movie is an outstanding piece of artwork. I hadn't heard much about it when it was first released. Being a huge Oscar fan, I was surprised when it took home the award for best animated film. At that point, knew nothing about it.",w
7,15 June 2020,elpresidente-4,5, I have no strong opinion about this movie either way,"I've been hearing good things about this movie for years and finally decided to watch it, but I didn't quite understood it. There are things that I liked, like the expressive way the main character was drawn, the overall color palette and backgrounds, maybe some points for the original setting, but with that, I can't think of what else good to say. From all the things I've heard I expected the movie to be very emotional, yet I failed to notice such thing. I had seen the black character with the mask used in memes on the internet so much, that I expected he would play a really important part in the story, but in the end he was nothing special. The story really confused me, some elements didn't make much sense to me, and the ending was pretty rushed, like they ran out of money and had to complete the movie fast. I don't know, maybe I have to study Japanese philosophy and symbolism to understand what is happening. Don't get me wrong, I kinda enjoyed the movie, I just wish it made more sense. It sort of reminded me of the movie ""labyrinth"", but that movie has a very good structure and story, and you always know what is going on and why. In conclusion, I think the movie would be appreciated more by children.",/
8,26 April 2020,DanLawson146,6, I just didn't fully get it,POSITIVES:,r
9,24 January 2005,Matti-Man,10, The audience is even more interesting than the film,"That ""Spirited Away"" is a masterpiece would seem to any sane person to be beyond dispute. This is the first of Miyazaki's films I've seen and had it recommended to me by a friend who's into anime. I'm really not keen on Manga at all, so I delayed seeing ""Spirited Away"" for a few months. I finally got around to seeing the subtitled version - never, never waste your time with dubbed versions of foreign movies - over the weekend and I loved every frame of it. The imagination and creativity blew me away and I'd put the film alongside other ""children's"" masterpieces like ""The Lion, The Witch and the Wardrobe"", Philip Pullman's ""His Dark Materials"" trilogy and Ray Bradbury's poetic ""Something Wicked this Way Comes""..",w
