Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,24 January 2003,jotix100,10, Witty con man.,From the opening credits design we get in the mood of this very entertaining film. They create the tone for what will follow. Steven Spielberg is in rare form directing this movie that doesn't have a dull moment.,/
1,8 June 2003,rbverhoef,9, A lot of fun,"While watching 'Catch Me If You Can' I had so much fun I smiled constantly. Well, that smile was interrupted by laughs. The movie tells the story of Frank W. Abignale, Jr. who is just a kid as he pretends to be a schoolteacher. After his father and mother get a divorce he runs away and starts pretending to be a co-pilot, a doctor, a lawyer. The way he does this is funny and brilliant.",r
2,18 March 2003,rosscinema,7, Very good film has those Spielberg edges!,"At first I thought I was going to see a lightweight film from a great director but instead I watched another impressive achievement by Steven Spielberg. A few things stand out and of course the performances are terrific. Leonardo Dicaprio is believable as a guy that can convince people that he's someone else. Dicaprio is a charmer and is very smooth as we watch his character do some fancy talk to the young ladies. Tom Hanks as the FBI agent reminds me of his cynical character that he played in ""A League of Their Own"" and his mere presence adds more to this film. The sign of a great film star. And Christopher Walken gives one of his best performances in his already interesting career. The last scene of him as he talks to his son in the restaurant is so moving that it reflects on the great talent of Walken. You can understand why Dicaprio admires and loves his father. Walken conveys these emotions and makes the audience react just accurately. I'll be rooting for him at Oscar time. Another impressive thing about this film is the beautiful cinematography by Janusz Kaminski who's a real artist with a camera and has worked on several Spielberg films. One shot in particular stands out. The ray of sunshine coming in through the kitchen window on Walken. Very thought provoking. And of course since its a Spielberg film its very personal. Spielberg was interested in the Frank Abagnale character because as a youngster he also came from a broken family and wanted to be someone else. Spielberg would sneak onto the studios and tell people that he worked there. Also, the real Frank Abagnale jr. appears as a French police officer. Well made, extremely well acted and sharply written. Viewers seem to forget that this is really a film about the breaking up of a family and the aftermath. This really is a personal film from Spielberg, and a very good one.",e
3,17 January 2005,mjw2305,8, Hard to believe its true,"I Don't know how accurate these events are but as they are based on accounts written by Frank Abagale Jr. himself, then i assume that they are probably only dramatised for the viewing audience.",v
4,31 January 2017,TheLittleSongbird,9, A film well worth catching,"'Catch Me if You Can' has such a talented cast, the true story is a fascinating one and while Steven Spielberg is an inconsistent director he was a big childhood influence and he has proved several times that he is capable of masterpieces of iconic status.",i
5,28 October 2020,Xstal,7, Genuinely Entertaining but Overly Embellished...,"Great performances from some truly great actors with an almost unbelievable story - and therein lies the one criticism if you wanted to raise one. Because, in order to catch you, which Steven Spielberg does, and finds doing it a good deal easier than the task ascribed before Carl Hanratty, he has to evolve and embellish this story with some not insignificant leaps of faith. Fine if its a conjured tale of fiction but ever so slightly, for me, detrimental to the experience as a whole, as its not.",e
6,22 May 2003,MovieAddict2016,8, Catch It If You Can!,"""Catch Me If You Can"" is based on the true story of Frank Abagnale, the most successful conman in history. By the age of 19, Frank had already posed as a pilot for Pan Am, paraded around as a medical doctor, and fooled everyone by taking an on-the-side-job as a lawyer. (By the way, he faked a Harvard-graduate diploma to become one.) During this time he cashed fraudulent checks at various banks around the country, and eventually around various places in the world. His is an amazing story, and this film is based on it.",w
7,13 May 2014,tomsview,9, Caught me,"One thing is for sure, Steven Spielberg has an amazing range.",/
8,31 March 2005,camcmahon,8, I haven't read the book just yet - I definitely will now!,"This was an entertaining and fun piece of film making from the ever-reliable Steven Spielberg. It is a bit of a depart from his usual full-blown and hugely epic pictures, yet this does not detract at all from the fascinating story of Frank Abagnale Jr. I was interested in this man before I'd seen the movie, and it only served to increase my interest. Although it is important to remember (as with any such film) that this is only 'inspired' by a true story and not told word for word from one, the plot is fascinating and keeps you laughing, crying and wondering until the end.",r
9,16 April 2014,ironhorse_iv,8, Catch it if you can. I concur this movie is good.,"Catch Me If You Can is a pretty interesting movie that is supposedly based on the life of Frank Abagnale, who, before his 19th birthday, successfully performed cons worth millions of dollars. He was allow to pull this off, by posing high income jobs, and forging payroll checks. The movie by Steven Spielberg is really trying hard, not to say based off true events, as the movie use 'inspired by a true story"" in order to avoid controversy similar to other past biographical films, which deviated from history. In my opinion, the movie doesn't deviated from the autobiography of Frank Abagnale too much. The movie stars Leonardo DiCaprio as the teenager Frank Abagnale who after witnessing his parents awful divorce, run away. When he runs out of money, he begins to rely on confidence scams to get by. Soon, Frank's cons grow bolder and he even impersonates an airline pilot, a Georgia doctor, and a Louisiana parish prosecutor. He drew attention by the FBI Bank fraud agency lead by Det. Carl Hanratty (Tom Hanks). Soon enough, it become a game of cat and mouse, with Frank trying everything to try to escape, and Carl trying everything to try to catch him. Set in the 1960s, the movie has this early James Bond type spy genre escapism theme going with it. Even the opening of the film by Olivier Kuntzel & Florence Deygas, looks something out of a 1960s spy film with its one of a kind title sequence. The slender Lowreyesque stamp style animation figures run through environments that symbolize key plot points from the film to the 1960s jazz-era score by John Williams is amazing and memorable. The movie was shot with bright vibrant colors, bringing out the world that no longer exist, built on trust and a firm handshake. There is a few historical anachronisms, but nothing really standing out for too long. The movie is pretty predictable as it gives you the whole story in the opening shot of the film. Approximately 80 percent of the movie is true based on Frank Abagnale Jr's account, but there were some stuff, they didn't mention on the film, the producers change or Frank just make it up. After all, Frank is indeed a consummate liar. Lots of plot holes or scenes never truly explain well. There is one outlandish scene with him looking for female airplane attendant recruits just in the space of one day and another one escaping a jet through the toilet. You have to hold, suspense of disbelief here. There was a stint, not added to the film, where Frank was professor of sociology at a college in Salt Lake City, Utah that was supposedly cut due to time constraints; but the truth is, the college, Brigham Young University, repudiates this claim that he never did teach there. The film, somewhat change it to him pretending to a French teacher in the beginning a local New York school. Another thing is his relationship with his father. In the film, Frank has a strong relationship with his dad. His father love that his son is stealing from the government and business, because they didn't support him when his business went under. Not in the case of real life, as his first victim was indeed his father stealing $3,400 from him in credit card fraud. Also, Abagnale never saw his father after he ran away from home, unlike the film. Other minor changes is that, the movie omitted his two jail attempts to get away from prison and his time in France. It would be nice to see that, both the movie would had been long. One more thing, FBI officer who was chasing Frank was really Joe Shea. Frank Abagnale Jr. used the pseudonym ""Sean O'Reilly"" in his book because Joe Shea was still in the F. B. I. He has since passed away, but the movie still used a new name, Carl Hanratty. I love the relationship between Frank and Carl in this movie. The chemistry in their respective roles is what breathes life into this film. There is a great scene at a motel between the two. The whole act was so risky. Leo play Frank with integrity and accuracy. He got the suave playboy down being bold and stylish. Tom Hanks was great as Carl. Season actor by this time, going toe to toe with a then, still-green, Leo. There is another great scene where both of their character call on Christmas. You can really tell the lack of family in Leo's character making him sympathy giving him a Freudian excuse. As less, he wasn't unlikeable. Catch me if You Can deals with themes of broken homes and troubled childhoods so well. The female characters played by Jennifer Garner, Ellen Pompeo and Elizabeth Banks were alright, but in my opinion, I have to say, Amy Adams as Brenda Strong was the best. Amy Adams as Brenda Strong gave one of the best performance in the film, as the emotional Brenda. I felt sad on what happen to her character. Also check out, the real Frank Abagnale as one of the French police officers toward the end. The music is great. I love the way, they use Frank Sinatra 'come fly with me'. Full of fantasy glam. The movie comes with a good moral message. Overall: Highly Informative and Incredibly Life Changing, Yet Subtly Descriptive and Wildly Entertaining. Worth the watch. So catch it!",w
10,17 January 2006,Theo Robertson,6, A Dishonest Movie,!!!! MILD SPOILERS !!! ,3
11,16 February 2023,Sleepin_Dragon,9," Knock knock, it's a great movie.","Frank Abagnale Junior becomes an accomplished fraudster at a very young age, passing himself off as a pilot, and cashing banker's cheques galore. FBI Agent Carl Hanratty makes it his mission to track him down.",1
