Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,10 November 2017,classicsoncall,9," ""That's got to be the best pirate I've ever seen.""","If you're ever in the mood for just a flat out entertaining flick, you can't go wrong with 'Curse of the Black Pearl"". I wasn't writing these reviews when this movie first came out, didn't even know there was such a thing as IMDb. So I'm finally getting back to it this many years later and even though I'd forgotten a lot about the story, I was blown away all over again by the outrageous antics of Captain Jack Sparrow and those transition scenes where the skeleton pirates manifest in the moonlight. In fact, the story itself might be incidental to the special effects and physical stunts that highlight the action in the film. Johnny Depp of course makes the movie with his swish-buckling (yeah, I misspelled it on purpose) approach to the character, and you couldn't ask for a more fetching lady in distress than Keira Knightley, although she managed to hold her own against most of those menacing pirates quite nicely. Orlando Bloom and Geoffrey Rush round out the rest of the principal cast, and each did a superb job. I've never gotten beyond this movie's sequel, 'Dead Man's Chest', but watching this one again inspires me to go forward and check out all the rest.",/
1,16 November 2020,mark.waltz,9," ""You better start believing in ghost stories. You're in one.""","What a great line to describe probably the greatest pirate movie ever. Certainly, it isn't perfect, a bit over the top, yet filled with characters that you love to hate or you can't resist rooting for. Thanks to the performance of Johnny Depp as Captain Jack Sparrow, this has become a long-lasting franchise of Disney car and love the many sequels that followed up aren't as good, Jack has remained consistently strong in the ones where he was given a great opportunity to show off his huge talents.",r
2,29 September 2005,MaxBorg89,9, Terrific!,"You will always remember this as the movie that made Johnny Depp a superstar and almost got him an Oscar.The fact that he didn't win isn't a problem,since thanks to him this is the best pirate film ever made.",e
3,13 May 2009,TheLittleSongbird,10, Phenomenal!,"If there was a minor quibble with the movie, it is that it is a little overlong. Putting that aside, this is a truly wonderful film, that is definitely one of the highlights of 2003. The whole film is a wonder to look at, with splendid costumes and very realistic sets. The script is just a gem, with classic and original lines like ""Stop blowing holes in my ship,"" that sometimes have you in gales of laughter. I did find the pirates as skeletons quite frightening though. Films that have scared me are The Mummy and Pitch Black. The performances were first-rate, especially Johnny Depp in possibly his best performance. His character Jack Sparrow is a somewhat charming, likable rogue, and Depp pulled him off to perfection. As Barbossa, Geoffrey Rush positively sinks his teeth into his role, sometimes sinister and sometimes fun. Kiera Knightly proves once again that she looks lovely in period dramas, because it really does suit her. Orlando Bloom is dashing as Will Turner. Before I round off, I want to mention another aspect of the film, the music by Hans Zimmer(Lion King)... it was outstanding! Zimmer should be up there with the great film composers, like James Horner(American Tail, Titanic), John Williams(ET, Home Alone) and the late Jerry Goldsmith.(Legend, The Shadow) All in all, a highly entertaining film! 10/10 Bethany Cox.",v
4,24 April 2004,claudio_carvalho,10, One of the Most Delightful Pirates Adventure Ever,"When the daughter of the governor of a Caribbean island, Elizabeth Swann (Keira Knightley), is proposed by Commodore Norrington (Jack Davenport), she faints, fells into the sea and is rescued and saved by the pirate Captain Jack Sparrow (Johnny Depp) but he is arrested and sentenced to death for piracy. Meanwhile, the town is attacked by the ship Black Pearl, commanded by the former first mate Barbossa (Geoffrey Rush), who leaded a mutiny against Captain Jack Sparrow years ago. Barbossa kidnaps Elizabeth, and the blacksmith Will Turner (Orlando Bloom), who loves her, releases Jack Sparrow and they steal the fastest vessel of the navy to follow the Black Pearl, Will trying to save Elizabeth, and Jack trying to retrieve his ship. Along their journey, many secrets are disclosed about the course of the Black Pearl and her crew.",i
5,4 September 2004,Brad2002,8, Surprisingly Good,"Although I had expectations ( from watching the trailers ) that this might be a good movie, I was still surprised that it's as good as it is. The story is actually more complex than I had expected, involving cursed pirates and their quest to rid themselves of the curse. I won't say more than that so as not to spoil it if you haven't seen it.",e
6,22 August 2020,ForceofSU,10, Amazing,"Yep, 20 years late with a review. But give me a break, i was a kid back then.
Anyways this movie is amazing. It is original, full of twists and turns, fun, funny... It deserves 9 stars. However considering the fact i had to lower criteria for 'modern' movies made in the past decade, i have to give this a maxumum rating because compared to them it should get 15/10 stars.",w
7,23 November 2003,Igenlode Wordsmith,8," Finally, a real swashbuckling film to make me laugh","""Even I love Johnny Depp, and I'm male,"" a previous reviewer declares, tongue in cheek. Well, I wouldn't go quite that far, but there's no doubt whatsoever that when I lost my heart to this film, Johnny Depp's outrageous Cap'n Jack Sparrow had almost everything to do with it. I don't normally review 'current' films, so the very fact that I'm writing this highlights an almost unprecedented event - after endless failures, Hollywood has finally rediscovered the spirit of the classic swashbuckler movie.",/
8,30 July 2007,kosmasp,10, Captain Jack Sparrow arrives,"And he has a great entrance. A really great one, if you haven't seen it yet, go watch it! Even if it's only the first scene with Johnny Depp as Cpt. Jack Sparrow! While many/some have dismissed Johnnys performance here as being gay, I do think his intentions were others! That's not only because he himself said so in an interview (his inspiration being Keith Richards as he said), but also because I saw him as crazy, but genius guy, who was different.",r
9,21 January 2021,Dalina,10, Justice for Johnny,You bs people need to rehire Johnny and give a public apology to him for what you have done.,w
10,20 August 2020,briancham1994,7, A true adventure,"This film is the epitome of a solid action-filled adventure. It has a straightforward and fast-paced plot that drags you in, propelled by a charming lead, witty jokes and compelling special effects. It roars along with gusto and thrills the audience from beginning to end.",1
11,27 November 2005,eak-1,10, Depp for Emperor?,"I am nearly fifty years old. A sober grown man. With children. Children with whom I have now sat through hundreds of movies. Many of which I have enjoyed. And I am not completely hardened in my sophistication. The opening music to The Lion King brought tears to my eyes when my little ones were but wee tots. But still, these are after all just children's movies. In another life, I would never have seen them. And, really, one can't take such movies too seriously, can one?",7
12,4 February 2020,sajugopz,10, This movie never gets old.,"I just forgot how many times I watched this film.This film has comedy,adventure,action.The climax was awesome.A must watch movie.",4
13,1 August 2020,AJB2002,10," Is it true, was this masterpiece really based of a Disney Land ride?","The answer is yes, yes it was. Does that sound like a good economic decision? No it does not. Was it a good economic decision yes, yes it was....but who cares? Certainly not me for this film is brilliant, in every single way. Acting: Flawless. Music: Perfect. Writing/Plot/Story: Exquisite. Comedy? Hilarious.
This film is by far one of the greatest films Disney has ever made. Watch it.",7
14,11 May 2009,tburke85,10, Pirates A Terrific Adventure Film,"Pirates Of The Caribbean Curse Of The Black Pearl is a terrific adventure film with action, drama, suspense, some romance, and humor. Johnny Depp is amazing as Captain Jack Sparrow and he's clearly having a lot of fun with this character. The rest of the supporting cast are great in their roles including Geoffrey Rush as the villain Captain Barbossa, Orland Bloom as Will Turner a blacksmith, and Kiera Knightely as Elizabeth Swann. Gore Verbinksi does a fantastic job of bringing this movie to the big screen. From the action, to the drama, to the humor and adventure this film has something in it for everyone who's looking for an entertaining movie to watch. It really is that good and The Curse Of The Black Pearl is now one of the my favorite movies. With two possible sequels on the way lets just hope they can be just as good or even better than this one. Go see it you won't be disappointed even with a running time of 2 hours and 23 minutes the movie is fast paced and action packed. With plenty of humor thrown in that balances well between the drama, suspense, and action.",0
15,11 August 2020,localvolta,10, Perfect beginning,"Beautiful,huge production.Amazing beginning of the magnificent series.Memorable Jack Sparrow acting.Well written scenario,well directed movie,well played pirate. Music.Hans Zimmer.Like his other jobs. perfect.Let the series begin.",5
16,8 August 2020,rajanpandey-36042,9, Wow....!!!,"Beautiful costumes..amazing story and concept and Johnny depp is simply amazing as captain jack sparrow.
Must watch..its a combo of Action Mystery..Comedy and Adventure...",0
17,22 May 2004,crazy_caz,10, A VERY GOOD FILM!!!!!,"Pirates of the caribbean is not only an action, but funny and a bit of horror too, EVERYONE who i have asked if they like it have said yes, its a film that almost everybody likes, no matter what age or genre they like.",/
18,10 July 2003,rising_star-42,9, Bloody Brilliant!,"Pirates of the Caribbean is a well-written, well-made, and well-acted film. Do not expect a simple action film; it is humourous and creepy, fascinating and thrilling.  Like most films, there are a couple of holes here and there in the fabric of the story; but this film wasn't made for the Oscars, it's meant to entertain and it succeeds in full at that.  It's a jolly good time with some good actors (and great Academy Award Winner Geoffrey Rush) and high adventure on the high seas.  Not to be missed!",?
19,5 December 2013,connork97,9, This is a true classic,"There are two few action-adventure movies now a days that delivers such original characters, played by a truly incredible cast. When I first saw The Curse of the Black Pearl as a boy I was fascinated. There where Pirates, cannons, sword fights, treasures funny monkey's and a beautiful girl, What more could you possibly ask for. ",r
20,5 July 2006,emasterslake,8, I shoulda known it was going to be good.,I didn't see this movie till it came out on DVD back 2 years ago.,e
21,17 June 2006,chi-cerca-trova,9, A Wonderful Accident,"OK, here we go... 2 years after initially seeing this movie, it finally hit me. This movie should have been absolutely terrible. It had a mediocre plot, terrible screen writing, Disney (which, at this point in time, if it didn't have Pixar attached, it sucked). The initial character development and interaction was contrived and shallow. ",f
22,16 November 2009,wes-connors,8, Johnny Depp Is Ready for His Close-Up,"""From producer Jerry Bruckheimer comes 'Pirates of the Caribbean: The Curse of the Black Pearl', the thrilling high-seas adventure with a mysterious twist. The roguish yet charming Captain Jack Sparrow's (Johnny Depp) idyllic pirate life capsizes after his nemesis, the wily Captain Barbossa (Geoffrey Rush), steals his ship, the 'Black Pearl', and later attacks the town of Port Royal, kidnapping the governor's beautiful daughter Elizabeth (Keira Knightley).",_
23,23 January 2007,ccthemovieman-1,7, The Good & Bad Of 'Pirates Of The Caribbean: Curse Of The Black Pearl',"I very much enjoyed this movie the first time I saw it but lost interest on the second viewing, for some reason. It's the usual Disney adventure story which means the same good and bad traits I usually find, namely:",=
24,19 August 2019,michaelwoods-11911,10, A film Brits love,"As a lovely wild, filthy long haired bearded white British Barbarian who also happens to be a British Imperialist, this film was truly amazing and makes me SO proud to be British culturally and genetically. My only flaw of this film is that I wish it showed our sexy island during the film, but the Caribbean for a faraway foreign land was surprisingly quite pleasant in terms of looks, it did make me sweat just by looking at it though and I'd never go there for fear of burning my lovely white skin under the scorching Caribbean sun. So overall the setting wasn't brilliant but it was ok. Moving on, the acting was brilliant as were the characters, they were all so complex and therefore gave me a lot of food for thought. All the characters accents were also very nice and pleasing to the ear.",t
25,20 June 2009,jangomac72,10, A joy from start to finish,Disney's surprise hit from 2003 based on their long running theme park ride was widely expected to be a huge flop but is a fantastic popcorn blockbuster featuring swashbuckling action and a very sly funny screenplay from the writers of Aladdin and Shrek.,t
