Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,6 August 2014,hitchcockthelegend,10, They said you were a giant. They said you can crush a man's skull with one hand.,"Ridley Scott's Gladiator is not a perfect film, I would think that the hardiest of fans, of which I'm firmly one, know this deep down. Yet just like Commodus in the film is keen to point out that he himself has other virtues that are worthy, so does Gladiator the film. Enough in fact to make it an everlasting favourite of genre fans and worthy of the Academy Award acknowledgements it received.",/
1,11 October 2020,mahmus,8," As a matter of fact, Maximus, I AM entertained.",Gladiator is the best bread and circus. A moving and very entertaining action epic with Russel Crowe and Joaquin Phoenix at the top of their game.,r
2,6 April 2021,ajkbiotech,10, One of the best films ever,"There are so many iconic lines and quips in this film, too many to count",e
3,6 December 2020,nathanmanson,8, Are you entertained? Yes sir yes I am,"How good is Russell Crowe though, easily one of my favourite actors. Joaquin Phoenix play the role of a little weasel very well. Absolute classic of a film.",v
4,12 March 2022,Sleepin_Dragon,10, Spellbinding.,"One of the best films of a generation, it's a bold claim, but Gladiator truly is that good. Every single element is perfect, the story is phenomenal, one to absorb you for the full running time. The visuals are incredible, an epic masterpiece for the eyes as well as the soul. The acting first rate, surely the aim of any film is to move you, this does just that and then some.",i
5,21 August 2020,david-meldrum,8," 20 Years On, It Still Rewards And Grips","20 years on, the first DVD I bought is still a barnstorming, thrilling ride. There's so much to recommend this - Lisa Gerrard & Hans Zimmer's iconic score, the canny casting of Joaquin Phoenix as a foil for Crowe; the realisation that I quote this film in everyday conversation far more than I thought I did. If it should have won the Oscars is a moot point - this is another of Ridley Scott's superb worldbuilding - one of his primary film-making skills, giving us a Rome that feels recognisable yet still a break from the cliché's that had seeped in to popular culture before this. That the film's status was boosted by the DVD boom as it made its way to home release is undeniable, but this remains a film that thrills, absorbs and grips.",e
6,9 July 2017,jaredpahl,9," Both Old-Fashioned And Modern, Gladiator Is An Intoxicating Blend Of Action Spectacle and Intimate Drama","Gladiator, 2000's Best Picture winner, was undoubtedly one of the biggest successes of the decade. It made tons of box-office cash, nearly swept the Oscars, and revitalized the sword-and-sandals genre for years to come. Does the movie warrant the massive success it received? For the most part, yes. Ridley Scott's Roman blockbuster doesn't have quite the overwhelming emotion of another Oscar-winning epic, Braveheart, but as a brawny action spectacle, Gladiator soars. With a strong story, a profound sense of character, and action and special effects that are suitably exciting, Gladiator is a special kind of sword-and-sandals picture; One with a true dramatic core.",w
7,15 May 2009,TheLittleSongbird,9," Disturbing, but beautifully made and well acted, as well as jaw-dropping scenery!","Ridley Scott rarely disappoints with his films. All of them, including the unjustly-maligned Legend, are visually stunning and just show the director's artistic genius. Gladiator should be up there as one of the best films he's done, if not the best. Almost everything on screen is very graphic, making some scenes upsetting to watch, but the visuals are just outstanding. The music score by Hans Zimmer just adds to the drama that is already there in the script. which is well written and rather Shakespearean. The performances were brilliant, especially Joaquin Pheonix and Oliver Reed. Russell Crowe is wholly convincing in the title role, and Richard Harris and Connie Nielson are also excellent. The costumes are brilliant, as well as the sets. In conclusion, Gladiator is a near masterpiece, only marred by some upsetting scenes. 9/10 Bethany Cox.",/
8,1 November 2006,ccthemovieman-1,8, A Throwback To The Epics Of The '60s,"An intense Roman epic, a la ""Ben-Hur"" or ""Spartacus,"" it was nice to see something like this made again. It had been since the 1960s that we had seen a 3-hour extravaganza like this.",r
9,18 February 2019,allicouldbe,10, Why don't they make films like this anymore,Seriously the best fantasy film of the modern area with great acting and emotional rollercoastering all the way through. The soundtrack by Zimmer really propels this film,w
10,29 December 2020,marianstelian,10, Amazing movie,"This movie is amazing, every soul should see this, Russell Crowe deserved the Oscar",0
11,17 February 2021,kbuttstadt,10, Timeless. A modern day classic. Epitome of an epic. An all-time great.,"""Are you not entertained?!?!""",5
12,19 February 2001,shoktart,10, Edge of Your Seat Fun!,"Great Story!  Great Writing!  Great Acting!  Great Directing!  Great Score! This movie has it all.  I especially enjoyed the mood of the film.  Even though it has a lot of action, there is a subtle elegance throughout the picture that gives it great style.  The movie flows effortlessly from scene to scene, while at the same time creating wonderful intensity and nail-biting excitement.",9
13,4 October 2020,bkoganbing,8, The Glory that was Rome was of another day,"35 years after Samuel Bronston and Anthony Mann gave us The Fall Of The Roman Empire, Ridley Scott told the same tale of the Emperor Commodus and
his problems succeeding his legendary father, Emperor/philosopher Marcus Aurelius. Neither film got the story right, both have him killing his father and
both have him with a hero/rival. In the Mann film it's Stephen Boyd in this film it is Russell Crowe. Both have a sister working against him Sophia Loren in the
Mann film and in the Ridley Scott film Connie Nielsen.",8
14,22 July 2016,Leofwine_draca,9, Epic spectacle,"An epic, awe-inspiring movie which thankfully shows us that Hollywood hasn't forgotten how to make good movies anymore, this is a film which has it all, from intrigue to suspense to violence to subtle romance. Forget any of the other CGI-laden rubbish filling out the multiplexes, this is a film which simply has to be seen at the cinema - or alternatively on a very big television screen indeed. Due to the fact that this film was hyped up incredibly, it doesn't actually live up to the hype, but nothing could have done. GLADIATOR is pure, old-fashioned escapism, nothing less.",3
15,12 September 2005,Russell_,10, Can't be missed!,"""Gladiator"" definitely is a classic film as it combines a simple, but moving, story with beautiful scenery, filming, direction and score  it is truly a ""complete"" movie.",2
16,6 June 2000,angelo-29,10, Breathtaking!,"Once again, Director Ridley Scott proves to be as professional as one can be. The recreation of ancient Rome is splendid, with all its magnificent buildings and atmosphere and he is able to show with all brightness the greatness of the Roman Empire, with its political problems and military discipline, and love and treason, of hate and jealousy, that still have a place in our world today. But the story has a glow of its own, to which all the beautiful scenery (believe me, it's awesome!!!) and great cinematography are just balancing factors. The plot is a rich one, that is as dynamic as it is present. He once again, after Blade Runner, 1492, and others helps us visit the depths of the human soul, which remains the same over all our historical and social experience. Even the fights, are displayed in such a way that all the blood is quite discrete, but still, making us feel like screaming and jumping out of our seats. I would also like to point out the performances of the cast, that is surprisingly good. We have some actors and actresses, who are not Hollywood icons, but are are greatly able to move the audience among screams and tears. All in all, we have guys like Russel Crowe, who are coming out to be part of a new and extremely promising harvest of people who are making each time more fans around the world. Well, you should see for yourself!",7
17,11 December 2020,ravenclaw_girlrules,10, The most perfect movie ever made,"Rewatched this movie today. I am convinced it is the most perfect movie ever made. It has a strong female character, positive and realistic minority rep (the Roman Empire extended into Africa and I think lots of people forget that), and a compelling revenge plot. Every line moves the plot forward and is memorable. The music is gorgeous. The acting is impeccable. The visuals are absolutely stunning - especially the rose petals raining down as the emperor is ascending on the platform. The visual of the emperor dead in the colosseum while the crowd lifts Maximus away. The whole concept of Elysium makes me cry every time. The ending couldn't have wrapped everything up better.",/
18,24 October 2005,Lady_Targaryen,10, A general who became a slave. A slave who became a gladiator. A gladiator who defied an emperor.,"This movie is awesome! I think it's great to be in one of IMDb's top 250 best movies, because it deserves it. Every time I watch 'Gladiator'I stay touched by the story and I never get bored of it.",?
19,3 May 2000,gregatory,10," A nail biting, intense modern epic!","Most films require that the viewer identifies with the character to truly be engrossed with the film. If you can't feel something for the character, than the audience is lost.",r
20,24 March 2002,sddavis63,7, A Very Good Movie That Could Have Been Even Better,"The beginning of ""Gladiator"" is powerful. We see the Roman Legion fighting against the Germanic tribes in what surely must be one of the most spectacular battle scenes ever filmed; one which truly does give the viewer a taste of what warfare in that era must have been like. The ending is powerful, as the quest for vengeance finally comes to a head, with General Maximus facing the Emperor Commodus in a gladiatorial contest in the Roman arena. In between - well - things could have been a little better.",e
21,9 January 2021,fletchy-57354,10, An almost perfect movie,"Perfect cast, perfect soundtrack, perfect script. I would love an extra battle scene or two and feel there was not enough actual colliseum fights for my bloodthirsty needs.",f
22,22 February 2012,ma-cortes,8," Impressive epic movie with strong casting , rousing sets , and overwhelming combats","Breathtaking Sword and Sandals plenty of swordplay , perfect cast ,lively pacing , massed action ,dastardly plots and many other things . The late second century : the Roman army is fighting Germania where takes place a bloody carnage . Troops are commanded by general Maximus (Russell Crowe). Ailing Marcus Aurelius ( Richard Harris) would like his confident and favorite to take over empire , but the events go wrong . Mean heir Comodus's (Joaquin Phoenix) vices arise from poor parental care as he takes power. When the Roman general is betrayed and his family murdered by an emperor's corrupt son , the insecure Commodus feels powerful . Having ensured father dies in his arms , the new emperor exerts his killer fury . Maximus , then comes to Rome as a gladiator to seek revenge .He won't swear loyalty and gets a chance to redeem himself .Father of a murdered son , husband to a murdered wife and I shall have my revenge in this life or the next .",_
23,25 October 2005,Nazi_Fighter_David,9," ""Gladiator"" brought a poetic vision in a new and very cinematically richly way...","When you go to the ruins of Rome now, you get really no sense of the scale and the grandeur of what that forum would have been It's hard to get it anywhere except from some of the great epic films of the past like ""Quo Vadis,"" ""Ben-Hur,"" ""Demetrius and the Gladiators,"" ""Barabbas,"" and ""The Fall of the Roman Empire."" ",=
24,19 November 2005,almagz,9, Nitpicking is only criticism,"There is so little to find wanting in this film and not wanting to merely repeat its many deserved praises, all I can do is question a couple of historical points.",t
