Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,26 July 2004,MovieAddict2016,10, A classic that still holds up to this very day,"""I know I'm human. And if you were all these things, then you'd just attack me right now, so some of you are still human. This thing doesn't want to show itself, it wants to hide inside an imitation. It'll fight if it has to, but it's vulnerable out in the open. If it takes us over, then it has no more enemies, nobody left to kill it. And then it's won.""",/
1,31 October 2015,ivo-cobra8,10," ""The Thing"" is John Carpenter's masterpiece and one of the best classic horror films!","A classic film. John Carpenter's ""The Thing"" is one of the most entertaining horror films ever made - fast, clever and purely exciting from start to finish. It is one of my personal favorite horror movies. This is how all movies of the genre should be made. Set on an isolated base in Antarctica, this version seems almost to pick up where the original version (The Thing From Another World) left off. The American scientists discover a decimated Norwegian base some miles distant. Everyone is dead, and only the half charred remains of some unidentifiable thing left to smolder outside the compound might offer any answers to what may have happened. The Thing is brought back to the American base and, too late, the scientists realize that it is alive and lethal. The Thing thaws out and is off, not only killing anyone and anything that crosses Its path, but also absorbing them, making Itself into whoever and whatever it wants. The film then turns into a brilliant paranoia piece. Everyone is suspect, anyone can be The Thing, and no one trusts anyone anymore. Gone is the strength and security found when human beings band together in spite of their differences to battle a monster. The group splinters and fear rules supreme. Who is the Thing?",r
2,4 March 2008,hitchcockthelegend,10, Flips the scenario round from the original to great effect.,"John Carpenter shows how much he loves the 1951 original by giving it the utmost respect that he possibly could, the only difference here is that Carpenter chooses to stick to the paranoiac core of John W Campbell Jr's short story.",e
3,6 December 2003,preppy-3,10," Right up there with ""Halloween""--one of Carpenter's best!","Remake of the classic 1951 ""The Thing From Another World"". 12 men are in a completely isolated station in Antartica. They are invaded by a thing from outer space--it devours and completely duplicates anything it chooses to. It starts off as a dog but gets loose--and has a chance to duplicate any of the men. Soon, nobody trusts anyone else--they're isolated--the radio is destroyed--their helicopter likewise. What are they going to do?",v
4,28 December 2003,Gafke,10, Intelligent Splatter,"This is another one of those films that I remember staying up late to watch on TV, scaring the crap out of myself at the impressionable age of 12 or so and dooming myself thereafter to a life of horror movie obsession. This is a GREAT movie, and stands as living proof that there were indeed realistic effects before CGI.",i
5,11 July 2005,Stibbert,9, Today it's still one of the best horror films,"Antarctica, winter 1982. The team on an American research base get surprised by a couple of mad Norwegians who is chasing a dog with a helicopter, trying to kill it. All the Norwegians are killed and the Americans are left with nothing, but a dog, a couple of bodies and questions. That's the beginning of the greatest horror/thriller film I've ever seen.",e
6,19 December 2020,I_Ailurophile,10, The tagline is no mere jest,"""The ultimate in alien terror,"" it says. It's not wrong. This is it. This is the greatest horror film ever made. John Carpenter's A-#1.",w
7,22 May 2008,PeachHamBeach,10, Still my all time favorite sci-fi/horror!!!,"The silly saying, ""You can't touch this"" surely applies here. With all the clone horror and sci-fi films coming out, along with all the inferior remakes, it's hard to find anything worthy of 2 hours of your time. That's why I always rely on the classics that scared the weewee out of me when I was a pre-teen.",/
8,29 May 2021,fullbug,10, One of the Most Re-Watchable Movies Ever Made,"Classic and timeless that is now almost 40 years old. Great cast and character interaction, and covers the whole gambit of genre's (sci-fi, action, horror, thriller, mystery). There are even a few comedy moments, and with it taking place in Antarctica, it could even be classified as an adventure. It is one of the most re-watchable movies ever made.",r
9,20 April 2002,The_Wood,10, I worship this film. 10/10,"John Carpenter's The Thing is hands down the best horror film ever made. Not only that, but it is also on of my personal favorite films of all time. What makes the movie so great?  It's hard to put my finger on it. Everything just seems to work in The Thing, it's one of the rare occasions where everything just seems to fall in place.  The film is even superior to Alien in creating a type of moody atmospheric hell.  The fact that it's not only about the gore (which is wonderful btw), but it is able to create a paranoia that is unmatched in films.  A truly wonderful film that is worshiped by all horror buffs, and anyone who has good taste in films.",w
10,12 September 2022,Xstal,8, Who Goes There?...,"You're stationed at an isolated outpost in Antarctica when a helicopter arrives intent on shooting a dog it had been pursuing across the tundra. Things get out of hand and the occupants of the chopper have their ability to pursue curtailed, more permanently than they'd like. Not too long after this carnage it becomes apparent that the pursuing shooters had a pretty good reason for wanting to remove the dog from the land of the living as the dog turns out to have the same aspirations as its pursuers, albeit in various guises, transformations, metamorphoses and reconfigurations.",3
11,12 November 2016,Leofwine_draca,10, A creepy gem of imaginative sci-fi horror,"Although this film clearly got made due to the success of ALIEN, I actually find it the better of the two. I certainly consider it Carpenter's joint best, along with that one with the Michael Myers guy. This is a film based on John W. Campbell's story ""Who Goes There?"", which also inspired the 1951 flick THE THING FROM ANOTHER WORLD which saw James Arness as a killer carrot-man in the same setting. Carpenter is closer to the original story, as his menace is a gory shape shifting alien which consumes and imitates its prey – forget the T1000, he has nothing on this thing. The look of the creature is extremely disgusting and disturbing and hard to forget – imagine some Lovecraftian terror in the flesh, covered in blood and tentacles and other less describable body parts, and you're halfway there.",6
12,8 April 2011,TheLittleSongbird,10, A serious contender for the best remake ever,The Thing is not only a brilliant remake(which I was not expecting after seeing abominations such as Psycho and The Wicker Man) but it is also a brilliant film that seamlessly blends horror and sci-fi amongst other things.,9
13,1 May 2008,DavidSim240183,10, The last John Carpenter classic,"In 1982, two films were released within weeks of each other that were both about aliens. Steven Spielberg's ET, and John Carpenter's The Thing. Of the two of them, ET was the one that won the hearts of people the world over, even though The Thing debuted first. Because people were so entranced with Spielberg's warm, fuzzy feelgood alien fable, they stayed away from The Thing in droves.",5
14,19 December 2020,BandSAboutMovies,8, Makes more sense now,"This movie failed at the box office and nearly ruined the career of John Carpenter. Think of that as you watch it. But did it really fail? It made nearly $20 million on a $15 million budget, but audiences must have expected more. Studios certainly did.",9
15,28 May 2021,YellowTea,10, Couldn't Be Better - One of History's Greatest Films,"I remember being encouraged to watch this in my mid-teens. Naturally, being a teen, I was reluctant to give anything from the 80s a try as I felt it to be a long gone ancient era. I was pleasantly surprised. The practical effects were a very welcome change to the cgi I was used to. They were done so well that I was at no point removed from the illusion. To this day, they're still the best I've seen. It's proof that if done right, practical effects such as animatronics will always beat out cgi.",6
16,11 October 2014,SnoopyStyle,9, Must-watch for all horror fans,It's the start of winter. An isolation group of scientists at the United States National Science Institute Station 4 in Antarctica is interrupted by a Norwegian helicopter buzzing around. The Norwegians are throwing charges and shooting at a dog. George Bennings (Peter Maloney) is shot and Garry (Donald Moffat) kills the supposed mad Norwegian. Clark (Richard Masur) takes the dog in. MacReady (Kurt Russell) flies Dr. Blair (Wilford Brimley) and Garry to the Norwegian camp. They discover it smoldering and a place of massacre. Windows can't reach anybody on the radio.,5
17,30 May 2021,drewnes,10," ""First goddamn week of winter.""","I saved the best for last. There is nothing I don't like about this movie. The music, the pacing, the story, the practical effects, the cast, the paranoia, the ending.. I love it all. Kurt Russell is so cool and the creature haunted my dreams when I first saw this, and is still creepy on a rewatch. Sucks that it was not popular when it first came out, because I would've loved to see this in theaters. The Thing might be my favorite horror movie of all time.",/
18,29 December 2012,Red-Barracuda,9, A cult favourite that has become a classic,"A dog is chased through the wide open snowy expanse of the Antarctic by men in a helicopter who attempt to kill it with a rifle. They fail and die, and the dog enters an American compound unharmed. The men of this outpost now try to discover what events led to this bizarre scene",?
19,19 May 2021,atdmv,10, Better than the book,One of very few movies that are better than the books they're based on. Great storyline. The effects exceed expectations for their time. Excellent acting!,r
20,29 December 2013,Vartiainen,9, Masterful horror,"The movie opens to a frozen wasteland of Antarctica, as we spot the lonely figure of a dog fleeing from its pursuers. It's a bleak, unforgiving setting and a perfect opener to this movie. The Thing, based on John W. Campbell Jr.'s novella Who Goes There? is one of the finest horror movies ever made. In a way it reminds me a lot of Alien, another masterpiece of horror. They both have an isolated setting where no help will be forthcoming, they both feature an attack by an unknown alien entity and they both have unbelievably good special effects, the sheer brutality, goriness and impossibility of which are the stuff of nightmares.",e
