Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,8 March 2007,wisewebwoman,10, Outstandingly great movie,I wonder why there has been so little written and publicized about this movie. This should be seen in every country and its merits trumpeted from the skies.,/
1,19 May 2015,Horst_In_Translation,10," Masterpiece, a unique lesson on humanity","This is the first full feature film by Florian Henckel von Donnersmarck and won him a Best Foreign Language Film Academy Award as well as an uncountable number of other awards all around the world. The film runs for roughly 2 hours and 15 minutes and does not drag a single second. The reason for this is FHvD's outstanding script and a cast that delivers 100% from minute 1, also including all the actors in smaller roles such as Thomas Thieme, who gives a great performance of an influential figure not scared of using his political power to his own sexual advantage. The standout is Ulrich Mühe showing us his character's transformation from a ruthless Stasi (secret police) agent into a caring human being who puts his own freedom at risk in order to oppose a political system built on fear that is as rotten as it gets and protect the people suffering from it. Merely from the political perspective, in my opinion, this is a movie that everybody needs to see, especially those with an interest in history. And even for those who are not particularly fond of political films, this is highly recommended as the characters and their interaction are written and portrayed with such wit and accuracy that I am not shy of calling it the best German movie ever made. And I have seen lots.",r
2,26 March 2007,Red-125,10, We all have something to hide.,Das Leben der Anderen (2006) (The Lives of Others) was brilliantly written and directed by Florian Henckel von Donnersmarck. The film is a taut thriller. It's also a dramatization of what happened in East Germany--and could happen here--if we allow the government access to every aspect of our lives. Ulrich Mühe stars as Hauptmann Gerd Wiesler of the Stasi--the dreaded secret police. The Captain is so talented in interrogation that he gives lectures on interrogation techniques to Stasi cadets.,e
3,11 March 2007,Hprog,10, The ghost of authoritarian regimes,"I've been taking German lessons for about 2 months now, and since movies were great in helping me learn English language I'm always looking for German films to watch (as well as German music to listen to) in order to educate my ears.",v
4,20 May 2006,hareck,10, Excellent,"I do agree with all the other positive comments, and just need to add that this is the very first movie about the former GDR I saw that is not something like a comedy. Flicks like ""Sonnenallee"" or ""Good bye Lenin"" definitely were great and funny, but unconsciously left myself (a West German) with the impression that the GDR has been a sort of ""Mickey Mouse State"" full of stupid but charming characters, not really to be taken seriously. After seeing ""Das Leben der Anderen"" this impression shifted quite a bit: there actually was suffering, killing desperation and a terribly claustrophobic atmosphere behind that wall. This might well be the most realistic depiction of the dark side of the former East Germany. Thanks to the Producers, actors and director for making this movie. 10 out of 10.",i
5,24 January 2010,blanche-2,10, One word: Magnificent,"Before the Berlin Wall came down, the government was very interested in ""The Lives of Others,"" a brilliant 2006 German film directed and written by Florian Henckel von Donnersmarck.",e
6,19 December 2015,grantss,10, Brilliant,Brilliant. ,w
7,9 March 2007,johno-21,10, Sonata for a Good Man,"This film is set in the Orlwellian year of 1984 in the old German Democratic Republic of what was known as East Berlin. The Stasi are the ""Shield and the Sword"" of the ruling party of this soviet bloc nation, a secret police force of 100,000 that subjugates another 300,000 to spy for them. This totalitarian system is based on a need to know everything about the countries populace of 16 million. Everything is meticulously documented. Big Brother keeps tabs on any it deems worthy of investigation. Captain Gerd Wiesler (Ulrich Mühe) is a button-down bureaucratic establishmentarian who works as a Stasi interrogator and as an instructor in the school for Stasi. His old schoolmate Lt. Col Grubitz (Ulrich Tukur) is now his immediate superior. In an attempt to further his career, Grubitz wants to impress Cultural Minister Bruno Hempf (Thomas Thieme) and orders Wiesler to set up an elaborate eavesdropping stakeout to gather information on playwright George Dreyman (Sebastian Koch). Dreyman is a playwright loyal to the party but most his contemporaries have not been including his favorite director Albert Jerska (Volkmar Leinert) who has been blacklisted. Dreyman's live-in girlfriend is the popular stage actress Christina- Maria Sieland (Martina Gedeck) who is also the object of amorous affection from the sinister, shades of gestapo-like Hemph. This is no ordinary spy thriller. Writer/director Florian Henckel von Donnersmarck in his feature film debut gives the screen this wonderfully compelling story of life behind the Iron Curtain in the years leading to the 1989 fall of the Berlin Wall and continues into 1991 after the reunification of Germany. Wonderful camera work from cinematographer Hagen Bogdanski enhances the stark realism of this film. This is the Academy Award winning Best Foreign Language Film of 2006. I had to see this since it beat out the highly favored Pan's Labyrinth for the Oscar. It's evident to me that Lives of Others is the superior film and the Academy got it right. This film flows so smoothly and your eyes are constantly on every movement on the screen that it's hard to believe you are reading subtitles too. Gabriel Yared's original composition for the film ""Sonata for a Good Man"" is a pivotal piece of it's storyline. I can't help but give this film my highest rating of a 10 out of 10 and I would highly recommend it.",/
8,14 January 2016,bkrauser-81-311064,10," A Quiet, Meticulous, Well-Made Thriller","In the very first minutes of The Lives of Others, the unassuming Captain Gerd Wiesler (Muhe) sits in a small office interrogating a prisoner of the East German Stasi. He records his progress on tape and within hours Wiesler exhausts his prisoner to the point of confession, The tape stops; Wiesler is in a classroom teaching pupils at the university how to do the same. Within those first minutes we get a strong impression of his character; calculated, reserved and above all meticulous. It's those traits along with his dedication to Communism that make him a perfect surveillance man, at least according to Grubitz (Tukur) his supervisor.",r
9,22 February 2016,Hitchcoc,10, Think Twice Before You Hand Over Too Much to Government,"The Cold War is the center of all this. We were guilty of allowing the division of Germany and the splitting of the city of Berlin. What transpired was a Soviet controlled city with as many informants as citizens (exaggeration, but not that great a one). Of course, the true journalist is going to be the first to go. Don't say anything against the government. The focuses of this film is a young author who has to keep a low profile, and a man who lives right next to him, whose job is to use heavy surveillance on him. Eventually, this man begins to realize the results of his actions and he tries to pull back his invasiveness. The scariest part of this film involves the tactics used to get confessions out of those singled out. Of course, when they can't get to the person, they threaten their wives and children. Of course, since this takes place in 1980, we are in the wake of the destruction of the Berlin Wall. Everyone should see this and think about its implications. There is alo a subtlety and a reserved presentation that makes this work well.",w
