Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,3 December 2003,Smells_Like_Cheese,10, It's not a GUY'S film only,"Without a doubt this movie is probably the best coming of age flick around, it has terrific acting and an incredibly touching plot that keeps you going throughout the whole film. I think the reason I love this film so much is because, everyone in some way could relate to it. When you're a pre-teen and have a close group of friends and face something so intense together, there's that special bond that no matter how much you loose touch with each other, one day, you just think of them and that one incident.",/
1,2 April 2001,Anonymous_Maxine,10, One of the best adaptations of a Stephen King story ever.,"Stand By Me is yet another one of the stories made into a movie from the author who has had more stories made into movies than any other author in history, Stephen King. Clearly, the central character here is Gordie Lachance, from whose point of view the story is told and who obviously symbolizes King himself, given many of his characteristics as well as some of the content of the film. This movie is literally filled with actors who have achieved varying degrees of success over the years, such as Jerry O'Connell, who played Vern, River Phoenix, who could have been bigger than Leonardo DiCaprio if he hadn't died, Corey Feldman, who has grown into an unenviable but visible existence, Kiefer Sutherland, who has become an excellent and very well known actor, John Cusack can be seen in a small role as Gordie's late brother, and of course, Richard Dreyfuss, who played the narrator and Gordie as an adult, has remained famous but originally achieved fame more than a decade before Stand By Me was filmed or the original story was even written.",r
2,7 September 2020,Xstal,8, World Before WiFi...,"If you grew up in the world before WiFi, a higher fidelity world depending on your circumstances as a child, there's a good chance that a lot of your growing up was done outside, with a group of pals, mates, friends or chums - who all sought to share what they knew, and discover together what they did not.",e
3,2 July 1999,baumer,10, Biggest one in four counties,"Perhaps this is a personal bias because I had friends like this when I was 12, but having said that this is one of the best films I have ever seen and it hits every chord perfectly.",v
4,10 August 2009,TheLittleSongbird,10, Unforgettable,"I saw Stand By Me yesterday for the first time in one and a half years, (I'm 17) and I absolutely loved it, and it is definitely one of my favourite Stephen King adaptations. I will say I absolutely loved Shawshank Redemption, and despite the fact that it was unfaithful to the book, and badly flawed, I liked It too.",i
5,5 July 1999,Peach-2,10, A small masterpiece.,"Growing up isn't easy for anyone. There are times when you feel no one understands you at all. Although growing up is tough, the friends you have at a young age are the friends you'll remember for the rest of your life. Stand By Me is a very wonderful film, a masterpiece on a small scale. The film is full of great insights into the minds of a group of four boys who decide they want to see what a dead body looks like, and it sparks their interest even more that they actually knew this dead person. A young boy's mind is full of many things, they feel lost sometimes, strong at others, but mostly they feel invinceable. Rob Reiner has directed a film about four young boys who discover life is quick, sometimes merciless, and magical. I've seen this film numerous times and it always seems better than the time before. This is a perfect little film.",e
6,13 January 2003,rbverhoef,9, Stephen King with a great story,"Stephen King adaptations can be great. In my opinion the less horror pictures, and The Shining, are the best. Misery, The Shawshank Redemption, The Green Mile and this one. Stand by Me is a great film, you can say it is a drama with some thriller elements.",w
7,8 September 2015,estebangonzalez10,9, When it comes to coming of age films it is the best,"""It happens sometimes. Friends come in and out of our lives, like busboys in a restaurant.""",/
8,9 December 2004,yummyballerina,10, This classic film is worth a watch!,"This film is a brilliant, well-acted masterpiece! What touched me the most was the late River Phoenix's acting, but all of the young actors performances were incredible. They are why you should see this film. 'Stand By Me' is not a bubblegum Disney film, nor a dry Hollywood film; it is a movie that captures childhood in a poignant, non-candy coated manner that is dead on. I saw this movie only a couple months ago and was blown away by it's style and acting. It is rare that you see such fresh, relaxed and deep performances that the actors in this film offered. Although this is not a recent film, it is a genuine, inspiring film that is so refreshing-being so different than the films Hollywood often gives us. I give this film a 100+ and recommend it to everyone. You will benefit from it's message and it's wonderful acting.",r
9,8 March 2000,Jason-228,10, Inspiration,"As a lover of Stephen King's writing style and Rob Reiner's directing techniques, this movie leaves me speechless every time. It is an almost forgotten film about a time and a youth nearly forgotten, as well. And I will say, as a writer, the novella that this film was based upon, ""The Body"" has and always will be the inspiration for my style of writing.",w
10,12 July 2019,bkoganbing,9, Superb film making,"Interesting that in Stand By Me the four kids who were our protagonists in the
film all went on to have successful careers. One of them, River Phoenix has passed on to legend as a result of his early demise.",0
