Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,25 July 2002,Quinoa1984,10, The Quintessential Bergman Picture,"One thing that can be certain after watching the Seventh Seal, outside of being thankful for living in this century, is that Bergman knows his film-making- and imagery.  He uses subliminal and not so subliminal techniques to convey a dying, frightened world, where making a living is almost impossible and the debate of god's control over life is discussed like un-rhyming yet fascinating poetry. ",/
1,1 January 2005,ACitizenCalledKane,10," Ingmar Bergman questions the meaning of life, death, faith, and the existence of God in this masterpiece of world cinema...","Antonius Block - ""Who are you?"" Death - ""I am Death."" Antonius Block - ""Have you come for me?"" Death - ""I have long walked by your side."" Antonius Block - ""So I have noticed.""",r
2,21 April 2020,Xstal,10, The Curse of Existence...,"An abstraction of your fears, conjured progressively through years, walks beside you every day, may cause some to halt, then pray; it's a demon that's passed on, through generations come and gone, as fixed and certain as the tide, nowhere for you to run, or hide; is there a game that you can play, that extends your time and stay, with instructions and some rules, that don't leave you, as the fool; can the clock that's counting down, tick half as fast before you frown, and gaze with stoical askance, as you begin, your macabre dance.",e
3,24 January 2003,RWiggum,10," Grim, but not entirely hopeless","Middle Ages: Antonius Blok, a Swedish knight, returns from the Crusades only to find his country dying of the plague, religious fundamentalists taking over and Death himself wanting him to come along. Antonius challenges Death to a game of chess and is meanwhile driven to desperation because of the absence of God. This description sounds like a very serious, philosophical and dour film, and actually it is serious, philosophical and dour; but there is also a little warmth, hope and humor, maybe not for Antonius, but for the viewer.",v
4,12 January 2017,elvircorhodzic,9," ""I want knowledge! Not faith, not assumptions, but knowledge.""",THE SEVENTH SEAL is a film that presents a dramatic fantasy game between meaning of life and fear of death. A knight and his squire have returned to their country after a ten-year crusade. Deadly disease ravaged country. Knight faces Death. He calls Death on the multi-day game of chess...,i
5,4 November 2000,jhclues,10, Compelling Drama From Ingmar Bergman,"A compelling contemplation of death and the nature of Man's existence, Ingmar Bergman's `The Seventh Seal' is uncompromising, riveting drama that is every bit as striking conceptually as it is philosophically.  In the Fourteenth Century a knight, Antonius Block (Max von Sydow), and his squire, Jons (Gunnar Bjornstrand), have returned after ten years away at the Crusades to their native Sweden, and are beginning their journey home.  For Block, it is a pensive time; he is troubled by what he perceives as God's silence, and thirsts for knowledge and some meaning to his life, as well as a resolution of faith, which has deserted him.  Jons, meanwhile, is a study in jaded indifference, who believes in nothing beyond the present and whatever his senses and current circumstances dictate.  Shortly after their arrival on the coast of Sweden, Death (Bengt Ekerot) comes for Block.  But Block strikes a bargain with him, challenging him to a game of chess, to be played as they continue on with their journey.  As long as Block prevails, they will go on; if he wins, he will be released.  And though Block knows what the outcome must inevitably be, he welcomes Death's acceptance of his challenge, for the game affords him perhaps enough time to fulfill his quest, while adding purpose to what promises to be an arduous trek through a land being ravaged by the Black Plague. 	Von Sydow brings a commanding presence to the screen as Block, his very countenance bespeaking strength and poise.  His subtle, stoic approach to this enigmatic character is captivating, and lends a depth and dignity that makes Block truly memorable.  By contrast, Jons' strength seems born of his indifference; he takes things as they come, and is governed by a somewhat fatalistic philosophy.  Bjornstrand, a gifted, eloquent actor (and veteran of numerous Bergman films), invests an earthy, gritty quality to Jons that plays effectively opposite von Sydow's more ethereal portrayal of Block.  It is significant that in the closing scene the final speech, in the presence of Death, is accorded to Jons; for it elevates the character to a station equal to, if not surpassing, that of the protagonist, Block. 	The supporting cast includes Nils Poppe (Jof), Bibi Andersson (Mia), Inga Gill (Lisa), Gunnel Lindblom (Girl), Anders Ek (The Monk), Ake Fridell (Plog) and Erik Strandmark (Skat).  Written and directed by Bergman, `The Seventh Seal' is a thought provoking, earnest meditation on faith and mortality that is filled with stunning metaphoric and visual images that will forever be indelibly inscribed in your memory.  One scene in particular, in which the players link hands and, silhouetted against a twilight sky are led by Death in a dance across the crest of a distant hill, is breathtaking in it's simplicity.  It stands (as does this entire film) as an example of why Ingmar Bergman is one of the greatest directors in the history of the cinema.  I rate this one 10/10.",e
6,6 September 2005,bsinc,6, Didn't like it but will definitely see it again in the distant future,"First of all, I have taken the time to read some posts on this movie before writing my review because I was searching for lots of answers. Didn't get many though, the popular thing fans like to say (and please, no pun intended) is that it just takes time to understand and appreciate this movie. To this I quickly reply that my perception of ""Det Sjunde Inseglet"" was that it is a rather dull, if not eventless, movie. It has some really nice moments (and for some reason I really liked the concept of a man playing chess with death itself) but in the end almost nothing is resolved except from the main protagonist who, at the brink of his death, discovers that it's love that makes people want to live ,very roughly put, I apologize, but even this revelation was hidden from the writer of this comment. And this is what bothered me the most, I couldn't read (for the lack of a better word) any of these important details, the movie very coldly rolled in front of my eyes and I just didn't get it! Now the easiest and dumbest thing to say is that this is all the fault of the director for not having a more universal way of film-making, rather the viewer has to decipher such information if he wants to fully appreciate his movies. I've just realized that I could say the same for Kubrick's visionary movies, I didn't like most, scratch that, none of them the first time around, they grew on me after a second viewing. And I dig Kubrick, a lot!!!",w
7,19 November 2003,Captain_Couth,10, Top ten favorites. The Seventh Seal.,"Seventh Seal (1957) is one of my favorite movies. I have to rank it up there with A Touch of Zen, Seven Samurai and Battleship Potemkin. If there ever was such a thing as a perfect film, this one would have to be a nominee. I've never seen such a picture (and I probably never will) that was so moving, well shot, written, acted and directed. The chess game between the knight and death is an all-time classic. Words cannot describe how great this film is. There will never be another one like it. Truly amazing piece of celluloid.",/
8,31 August 2012,TheLittleSongbird,10, Fully deserves its rep as a masterpiece,"This is one amazing film, and in my view Ingmar Bergman's best. Visually, The Seventh looks wonderful, the bleak scenery adds much to the mood, the cinematography is beautifully composed and skillful and the lighting is atmospheric. It also has many memorable images like with the flagellates, the hawk flying in the cloudless sky, Jof's vision of the Virgin Mary and the milk and strawberries in the dusk. Bergman's direction is superb, Erik Nordgren's score is resolutely haunting and the dialogue is some of the most thought-provoking I've heard with some nice bawdy humour with especially the squire that doesn't feel misplaced. The story is like an allegory and meditation of life, death, love and fear(amongst other things), and it is dealt with in a very intelligent and careful manner. Again there are some timeless scenes like the ending, the scene of the girl about to be burnt, Death being challenged to a game of chess and with the jester. The acting is also exemplary, Max Von Sydow gives one of cinema's finest performances, stoic yet always commanding with a face that speaks volumes about what he's thinking. Bengt Ekerot evokes chills as Death, while Gunner Bjornstrand is suitably dry as the squire. All in all, a really amazing film, fully deserving of its reputation. 10/10 Bethany Cox",r
9,5 September 2006,Doylenf,6, Death never takes a holiday...,"While I'm not going overboard in extolling the virtues of THE SEVENTH SEAL, I do think it has some striking imagery and had the potential to be the ultimate work of art Ingmar Bergman was obviously striving for. But do I think he achieved it? No...for the simple reason that it leaves us unenlightened on the subject with no new knowledge.",w
