Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,17 September 2006,bkoganbing,10," ""We Intend To Watch This Basket Very Closely.""","The Great Escape tells the amazing story of a whole bunch of allied prisoners who accomplish a mass breakout during World War II, some of whom actually did make it to freedom and the allied armed forces once again. The film is so good that you do not mind the fact that some American players were tossed into the story as the real story was one accomplished by the British.",/
1,4 March 2008,hitchcockthelegend,10," Not just great, simply magnificent more like!","""Wait a minute, you aren't seriously suggesting that if I get thru the wire and case everything out there, and don't get picked up, to turn myself in and get thrown in the cooler for a couple of months so you can get the information you need""",r
2,18 July 2001,Nazi_Fighter_David,9," A vast, multi-star war epic with great score by Elmer Bernstein...","'The Great Escape' had the advantage of a fine source, and a fine script... Each actor realizes his potential in a very detailed manner, giving a feeling lost in the actual cinema...",e
3,27 December 2011,planktonrules,9, Excellent...but the history teacher in me could have hoped for just a bit more...,"I am a tough audience for historical films. As a retired history teacher, I often notice when details are wrong--and I am not the sort of person you'd like to go to such a movie with, as I will invariably complain about the historical license the filmmakers took in regard to the facts. Now I sometimes realize that there are times when changing the facts a bit might not be such a bad thing--but too often, the writers just don't seem to care if they get it right. Because of this, I generally love ""The Great Escape"" as it IS based on a real mass escape and the characters are often based on these actual men. BUT, what I struggle with is the studio's insistence that Americans be included in the cast--though in the actual escape this was NOT the case. What makes it worse is that two of these Americans (Steve McQueen and James Garner) were among the leads in the film--making the event seem like it was planned and executed thanks to the good 'ol USA. Now I love my country, but I love the truth even more and it made me feel bad that the Brits and their Commonwealth members somehow got the short end of this. But, on the other hand, the film does do a very job otherwise when it comes to portraying this period in history.",v
4,13 January 2022,boblipton,10, The Great Movie,"The Germans, ""with madness in their method"" have taken every captured flier who has made repeated attempts to escape and put them in a POW camp which they have devised to be inescapable. Under the supervision of Richard Attenborough, they immediately begin to dig tunnels to break out 250 men.",i
5,1 November 2010,ma-cortes,8, Awesome warlike movie with memorable images and outstanding acting by well-known faces,"This is a splendid film about a daring breakout from inescapable Nazi concentration camp , Stalag Luft North , with all star cast and magnificently realized by John Sturges . It's partially based on facts adapted by James Clavell and W.R. Burnett from a bestselling written by Paul Brickhill . The continuous escapes have caused the Nazi staff ordered 'putting all the rotten eggs in one basket' as the prisoners are reunited into a special concentration camp . It deals with hard preparatives of a diverse group formed by rebel air officers and soldiers mounting a dangerous getaway from a barbed-wired and strongly controlled camp . The most part of the film concerns on the elaborated process of secretly digging an underground tunnel and the last one deals with spectacular breakout and effort the approx. 70 escaped prisoners throughout Germany trying to make their bid to freedom , including an impressive motorcycle pursuit in charge of iconic Steve McQueen for one of the best action sequences in years .",e
6,28 December 2003,KEVMC,9, A genuine timeless classic.,"During World War Two the Germans build a new prison camp, Stalag Luft III, for the express purpose of housing many of their most troublesome captured Allied airmen. However, all this serves to do is to pool the resources of some of the most ingenious escape artists in captivity and fill them with a resolve to engineer a mass breakout from the camp.",w
7,15 December 2019,brett-76260,9, Fantastic Movie,"They will never make movies like this again... If You haven't seen this before go hit the play button. This has a fantastic cast, great story and just an all around entertaining flick. Sit back and enjoy a few cold ones while you watch this classic WWII movie. Easily one of the best war movies ever made...",/
8,15 December 1998,Peach-2,10, The greatest of escapes.,"The Great Escape is THE prison escape movie. The film is rich with characters and the direction by John Sturges is great. Steve McQueen is the man and the rest of the cast are terrific. This movie is heroic and shows the bravery of men in the second world war. I escape into this movie whenever I feel really down, it's a great spirit lifter and one of the greatest films of all time.",r
9,31 December 2021,richardchatten,10, Behind the Wire,"Exactly fifty years ago this month I first saw this on BBC1 with the never to be repeated news that it was ""the first ever screening on British television"".",w
