Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,11 September 2017,gbill-74877,9," Fantastic acting, script, and direction in a thought-provoking movie","Outstanding film. Star-studded with several fantastic performances. Highly emotional given the subject matter, but presented in a very intelligent, balanced way. I was struck at once by that, and by how well director Stanley Kramer gives us both sides of the argument – and avoids simply paying lip service to the defense of the German judges on trial. Maximilian Schell is brilliant as the defense attorney, well worthy of his Oscar, and is forceful and compelling in his arguments. There are also so many brilliant scenes. Spencer Tracy walking in the empty arena where the Nazi rallies were held, with Kramer focusing on the dais from which Hitler spoke. The testimony of Montgomery Clift and Judy Garland, both of whom are outstanding and should have gotten Oscars. Burt Lancaster in the role of one of the German judges, the one tortured by his complicity, knowing he and others are guilty. The devastating real film clips from the concentration camps, which are still spine tingling despite all we 'know' or have been exposed to. Marlene Dietrich as the German general's wife, haunted but expressing the German viewpoint, one time while people are singing over drinks. Her night stroll with Tracy, as she explains the words to one song, is touching. It just seemed like there was just one powerhouse scene after another, and the film did not seem long at all at three hours. Heck, you've even got Werner Klemperer and William Shatner before they would become Colonel Klink and Captain Kirk! In this film, the acting, the script, and the direction are all brilliant, and in harmony with one another.",/
1,1 February 2007,littlemartinarocena,9, Cinematic Theater Of A Remarkable Kind,"Beyond its compelling subject matter ""Judgement At Neuremberg"" revolutionizes the court room drama genre. The camera swings and swerves and dives between the lines of this exemplary Abby Mann script. Stanley Kramer conducts his orchestra of iconic stars with the precision of a Swiss watchmaker. The language barriers and the confinement of the action masterfully resolved. Spencer Tracy is simply magnificent and, as per usual, we believe every word that comes out of his mouth. His judge is an American monument of unsentimental humanity. Twentynine year old Maimilian Schell won the Oscar as best actor and his performance survived the test of time with the vigor of his conviction. Montgomery Cliff makes his short minutes on the screen, one of those memorable moments that nobody that has ever seen it will be able to forget. The man and the character merging into one chilling, shattering truth. ""I am half the man I've ever been"" Marlene Dietrich gives to her German aristocrat a legendary star quality. And Judy Garland, overweight and almost unrecognizable breaks your heart and gets her last Oscar nomination. My only troubles came with the stoic Burt Lancaster because I could never forget it was Burt Lancaster and with Richard Widmark's strident prosecutor. I have seen ""Judgement At Neuremberg"" more than a dozen times and it never ceases to amaze me that no matter the darkness of the subject it always manages to entertain and inspire.",r
2,11 April 2008,lastliberal,8, Hollywood's best in an important film,"It is so easy to dismiss this as a story of other people in another time in another land. Unfortunately, what was done then, is being done by the leaders of our country in the name of protection from terrorists, and we, the people, sit silently by and let it happen just as the German people did seven decades ago.",e
3,28 January 2009,alexkolokotronis,10," ""My counsel says we were not aware of the extermination of the millions. He would give you the excuse: We were only aware of the extermination of the hundreds.""",This quote is one of the most shocking and yet truthful quotes I have ever heard. It is one of many shocking and intense quotes in the movie. Furthermore Judgment at Nuremburg is one of the most absorbing movies I have seen. Even though most if not all of it is dialog it is very much a haunting film. This film is loosely based on the trials in Nuremburg in 1948. Right from the start the movie captures your mind and never lets it go. ,v
4,8 May 2005,Lechuguilla,10, A Film Of Enduring Value,"They say that time heals all heartache. In the case of the Third Reich, I'm not sure that the old saying is true. Out of respect for the Holocaust victims, and as an important history lesson, there's something to be said for not forgetting the evils of Hitler. Fortunately, we have this great film to help us not forget.",i
5,23 December 2010,TheLittleSongbird,10," Quite grim, but also very gripping","What can I say? Judgment at Nuremberg was just wonderful. At three hours, it is just mesmerising from start to finish. The subject matter of the story is admittedly grim and hard-hitting, but in the way it is put across and acted it is also incredibly gripping. The production values are striking, Ernest Gold's music is memorable and Kramer's direction is superb. Then there is the script, intelligent, thought-provoking, poignant, quite simply a brilliant screenplay, and the cast is for me one of the best on film. This film does have a lot of dignity, exemplified by Burt Lancaster's thoughtful performance as Ernst Janning, and a startling turn from Maximillian Schell. Marlene Dietrich is also great, and I also have to mention Judy Garland's touching Irene and Montgomery Clift's Rudolph. Overall, gripping and intelligent helped enormously by adept direction and acting. 10/10 Bethany Cox",e
6,25 September 2004,bsmith5552,10, A True Cinematic Masterpiece,"""Judgment at Nuremberg"" is one of the great films of all time. This can be attributed to the excellent script written by Abby Mann, its skillful direction by Stanley Kramer and possibly one of the greatest casts ever assembled for a motion picture.",w
7,20 July 2021,eddie_baggins,10, An ageless examination of the aftermath of war,"Full too the brim with more star wattage fire power than a dozen other films combined, Stanley Kramer's Oscar winning courtroom epic Judgment at Nuremberg is a powerful and ageless dialogue heavy classic that remains to this day one of the best World War 2 themed films, all without ever firing a single shot or even a single battle.",/
8,30 April 2007,Beaucoul,9, Would a film of that candor have a chance of being made today?,"I watched ""Judgment at Nuremburg"" on PBS the other night. I had never seen it before. I expected an empty-headed, Hollywood-style, quasi-melodrama, but I was pleasantly surprised. Even Spencer Tracy, that universally beloved actor whose appeal has always escaped me, gave an honest and heartfelt portrayal of a ""simple man"" who was also a deeply conflicted judge.",r
9,14 June 2010,The_Fifth_Echo,10, ~One of the most Powerful Films ever made.~,"Judgement At Nurmeberg is a 1961 film about four Nazi Judges are in trial for crimes against humanity. Well let me just start out by saying that this is a very sad, powerful film. I was expecting it to be very boring and I guess I underestimated it. The film is also very well written, so well written that actually it makes you really think. I'm happy that it won an Oscar for writing. ",w
