Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,12 January 2023,Sleepin_Dragon,8," Strong performance from the leading man, very good film.","After his wife dies, Korean Water veteran Walt Kowalski busies his life with small household jobs and snarling at his family, until his young neighbour tries to steal his car.",/
1,22 March 2009,Smells_Like_Cheese,9, Clint's best performance since Million Dollar Baby,"I saw Gran Torino opening weekend and after hearing rave reviews, I was looking forward to it. After seeing it, I realized what people were excited about, it was Clint's performance, this is a man you do not want to mess with. He's the perfect good guy with a bad guy's lust for vengeance. I love his growls, he sounds like a great guard dog, I would love to just have him by my door if a salesman comes by to make that noise. I can't believe what a triple threat Clint is: he's a writer, director, and an actor, not to mention that he's great at all three of them. He presents Gran Torino with grace and style of an old man that society has forgotten about because of his bad mood not realizing that deep down, he's truly a good man.",r
2,16 December 2008,woljm45,10, Clint Eastwood shows you why he still should be in FRONT of the camera,"With his performance Eastwood shows you why people like himself, Jack Nicholson, or Paul Newman only come around once in a lifetime. Though Eastwood would rather focus on directing, he can still carry a movie with his on screen presence, and he's pure dynamite in ""Gran Torino"". Perhaps the poor box office results of ""hollywoody"" movies like Absolute Power, True Crime, Space Cowboys, and Blood Work, caused Eastwood to shy away from acting, but given cutting edge material to work with as ""Million Dollar Baby"" and ""Gran Torino"", he's as good as ever. His character as the racist and salty war vet makes you think of that old guy we've all had on our blocks with the garbage door open, the million tools hanging everywhere, and always fixing or building something. I found myself not wanting the movie to end because the scenes between himself and the various Hmong characters where priceless. There may be complaints over the racist remarks and scenes, but Eastwood pulls it off in a way a real person like that would talk or act to a point where it ends up being lighthearted. I'm not going to give the plot away, but if you like your Clint Eastwood as a hard-nosed tough guy with foul language alla Dirty Harry or Heartbreak Ridge, you'll love this movie!!",e
3,21 January 2021,dk777,9, Gran Torino,Clint Eastwood is simply great both in front of and behind the camera.,v
4,13 December 2008,Len9876,10," Another top-notch, Clint Eastwood film that entertains and teaches.","Manohla Dargis writes in the New York Times: ""Dirty Harry is back, in a way, in ""Gran Torino,"" not as a character but as a ghostly presence. He hovers in the film, in its themes and high-caliber imagery, and of course most obviously in Mr. Eastwood's face. It is a monumental face now, so puckered and pleated that it no longer looks merely weathered, as it has for decades, but seems closer to petrified wood. Words like flinty and steely come to mind, adjectives that Mr. Eastwood ... expressively embodies with his usual lack of fuss and a number of growls."" More praise for Eastwood comes from Joe Morgenstern in the Wall Street Journal, who comments: ""No one makes movies like Gran Torino any more, and more's the pity. This one, with Clint Eastwood as director and star, is concerned with honor and atonement, with rough justice and the family of man. It raises irascibility to the level of folk art, takes unapologetic time-outs for unfashionable moral debates, revives acting conventions that haven't been in fashion for half a century and keeps you watching every frame as Mr. Eastwood snarls, glowers, mutters, growls and grins his way through the performance of a lifetime."" Elizabeth Weitzman in the New York Daily News remarks that ""it's clearly a career-capping work."" Kenneth Turan in The Los Angeles Times writes that the movie ""is impossible to imagine without the actor in the title role. The notion of a 78-year-old action hero may sound like a contradiction in terms, but Eastwood brings it off, even if his toughness is as much verbal as physical. Even at 78, Eastwood can make 'Get off my lawn' sound as menacing as 'Make my day,' and when he says 'I blow a hole in your face and sleep like a baby,' he sounds as if he means it.""",i
5,16 November 2011,TheLittleSongbird,9, A very well done and powerful film,"I saw Gran Torino mainly as an admirer of Clint Eastwood, both as an actor and as director. And I was very impressed, there were parts that amused me and others that had me moved. Gran Torino was a very well made and beautifully directed movie, complete with a fitting soundtrack, a strong script with smooth enough tone shifts and a powerful message that is well conveyed and one that I think many, myself included, would identify with. The story is mostly engaging with an interesting protagonist, but there are a few moments where it is hackneyed and predictable, which is my only criticism of this movie. In regard to the acting, Clint Eastwood gives a very commanding performance and the kids are also very good mostly. Overall, very well done. 9/10 Bethany Cox",e
6,27 January 2009,Simon_Says_Movies,9, Sour Humour and Pure Badassery,"If movies like Indiana Jones, Iron Man and The Dark Knight were the thoroughbred hits of 2008, then Clint Eastwood's Gran Torino is the dark horse. This rousing crowd-pleaser is sure to surprise many, through its copious sour humour and pure badassery, while managing to still be an affecting and sombre dramatic entry in Eastwood's long-enduring and wildly successful career in front of and behind the camera.",w
7,15 December 2008,come2whereimfrom,8, Great whether in front or behind the camera.,"Hot on the heels of 'Changeling' Eastwood is back and as well as directing he is back in front of the camera. He plays Walt Kowalski a recently widowed ex-Vietnam veteran who harbours slight racism and bitterness which isn't helped by the changing world he now lives in alone. He has relatives but they only seem to call when they want something and his grandkids have already started deciding what they will have of his when he dies. He has a few mates he drinks with in the pub but other than that his neighbourhood is being overrun by immigrants and gang warfare. Walt's next door neighbours are a Hmong family with no father figure and after the son tries to steal his prize car, the 'Grand Torino' of the title, Walt decides to try and reform the boy and hopefully as time passes learn about their culture and change his mind before he dies. As with all Eastwood films where you begin isn't where you will end up and the story takes many turns that will test all of your emotions, I laughed, I cried and I got angry it's a real roller-coaster. But its Clint's aged 'Dirty Harry' in Walt that steals the show and anytime he is on screen he is mesmerising which means that the supporting cast members are barely noticeable. At times it plays like Lynch's 'Straight Story' with sprinkles of 'Taxi Driver' but the real beauty is in the old fashioned storytelling, something that Clint is a dab hand at, mix that with the modern day context and you have a gripping and enthralling film. It's no wonder that so many 'best of year' lists contain this film, they should, it is that good and it proves that even at 78 Eastwood is a force to be reckoned with when it comes to movies in front or behind the camera or in the case of 'Grand Torino' both.",/
8,24 July 2016,Leofwine_draca,9, This unusual Eastwood drama turns out to be one of his very best films,"Once rumoured to be another film in the DIRTY HARRY saga, GRAN TORINO is actually much, much more than a crime film. It's not even an action film, or a thriller, despite containing elements from those genres: in actual fact, it's a solid human drama about human relationships, along with ruminations on plenty of issues affecting today's world: immigration, integration into society, crime, violence, friendship, life and death, regret. I can't imagine anyone but Clint Eastwood starring in this film. Eastwood plays his usual character, except older, more frail than more; perhaps the word I'm thinking of is 'more human'. Whatever, he's absolutely astounding in this film, giving a brilliant performance as Walt Kowalski, a foul-mouthed, irritable old racist who gradually uncovers his humanity as the story progresses.",r
9,13 December 2008,scottedwards007,9, Clint is the best director in Hollywood and still one of the great actors,seeing the trailer for this film kinda made me expect id be watching Dirty Harry in the suburbs.,w
